LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760385213.500312,1079313.000,44968,1,BI,1,100,840
1760385214.313283,1080126.000,45105,1,BI,1,100,800
1760385215.113256,1080926.000,45241,1,BI,1,100,800
1760385215.913228,1081726.000,45361,1,BI,1,100,800
1760385216.713201,1082526.000,45505,1,BI,1,100,800
1760385217.153185,1082966.000,45574,1,BI,1,100,440
1760385217.513173,1083326.000,45627,1,BI,1,100,360
1760385218.352144,1084165.000,45780,1,BI,1,100,840
1760385219.112118,1084925.000,45902,1,BI,1,100,760
1760385219.712097,1085525.000,46003,1,BI,1,100,600
1760385219.952089,1085765.000,46040,1,BI,1,100,240
1760385220.752061,1086565.000,46177,1,BI,1,100,800
1760385221.312042,1087125.000,46269,1,BI,1,100,560
1760385221.592032,1087405.000,46322,1,BI,1,100,280
1760385222.312007,1088125.000,46444,1,BI,1,100,720
1760385223.151978,1088965.000,46595,1,BI,1,100,840
1760385223.951951,1089765.000,46716,1,BI,1,100,800
1760385224.764923,1090578.000,46853,1,BI,1,100,800
1760385225.604894,1091418.000,47007,1,BI,1,100,840
1760385226.444865,1092258.000,47150,1,BI,1,100,840
1760385227.244837,1093058.000,47269,1,BI,1,100,800
1760385228.084808,1093898.000,47423,1,BI,1,100,840
1760385228.644789,1094458.000,47509,1,BI,1,100,560
1760385229.444761,1095258.000,47645,1,BI,1,100,800
1760385229.684753,1095498.000,47683,1,BI,1,100,240
1760385230.444727,1096258.000,47819,1,BI,1,100,760
1760385231.323697,1097137.000,47980,1,BI,1,100,880
1760385232.123669,1097937.000,48099,1,BI,1,100,800
1760385232.883643,1098697.000,48221,1,BI,1,100,760
1760385233.683615,1099497.000,48358,1,BI,1,100,800
1760385234.483588,1100297.000,48494,1,BI,1,100,800
1760385235.336558,1101150.000,48647,1,BI,1,100,840
1760385236.176529,1101990.000,48783,1,BI,1,100,840
1760385236.976501,1102790.000,48910,1,BI,1,100,800
1760385237.776474,1103590.000,49048,1,BI,1,100,800
1760385238.616445,1104430.000,49200,1,BI,1,100,840
1760385239.376419,1105190.000,49322,1,BI,1,100,760
1760385240.216390,1106030.000,49458,1,BI,1,100,840
1760385240.976363,1106790.000,49595,1,BI,1,100,760
1760385241.776336,1107590.000,49721,1,BI,1,100,800
1760385242.576308,1108390.000,49857,1,BI,1,100,800
1760385243.376281,1109190.000,49994,1,BI,1,100,800
1760385243.976260,1109790.000,50095,1,BI,1,100,600
1760385245.029224,1110843.000,50267,1,BI,1,100,1040
1760385245.829196,1111643.000,50403,1,BI,1,100,800
1760385246.389177,1112203.000,50508,1,BI,1,100,560
1760385247.389142,1113203.000,50669,1,BI,1,100,1000
1760385248.188115,1114002.000,50805,1,BI,1,100,800
1760385249.068084,1114882.000,50958,1,BI,1,100,880
1760385249.788059,1115602.000,51078,1,BI,1,100,720
1760385250.588032,1116402.000,51215,1,BI,1,100,800
1760385251.348006,1117162.000,51337,1,BI,1,100,760
1760385251.827989,1117642.000,51427,1,BI,1,100,480
1760385252.227975,1118042.000,51481,1,BI,1,100,400
1760385253.027948,1118842.000,51618,1,BI,1,100,800
1760385253.827920,1119642.000,51754,1,BI,1,100,800
1760385254.627892,1120442.000,51891,1,BI,1,100,800
1760385255.067877,1120882.000,51960,1,BI,1,100,440
1760385255.480863,1121295.000,52029,1,BI,1,100,400
1760385256.240837,1122055.000,52167,1,BI,1,100,760
1760385257.080808,1122895.000,52311,1,BI,1,100,840
1760385257.720786,1123535.000,52414,1,BI,1,100,640
1760385258.680753,1124495.000,52568,1,BI,1,100,960
1760385259.160736,1124975.000,52653,1,BI,1,100,480
1760385259.520724,1125335.000,52722,1,BI,1,100,360
1760385260.280697,1126095.000,52842,1,BI,1,100,760
1760385261.120668,1126935.000,52995,1,BI,1,100,840
