LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760385212.965330,1078778.000,44873,2,EA,1,100,0.055390
1760385212.965330,1078778.000,44873,2,EA,1,100,0.055343
1760385213.032328,1078845.000,44890,1,EA,1,100,0.055374
1760385213.098825,1078911.500,44906,2,EA,1,100,0.055388
1760385213.165323,1078978.000,44906,2,EA,1,100,0.055402
1760385213.232321,1079045.000,44924,1,EA,1,100,0.055399
1760385213.298819,1079111.500,44938,2,EA,1,100,0.055342
1760385213.365316,1079178.000,44938,2,EA,1,100,0.055314
1760385213.432314,1079245.000,44955,1,EA,1,100,0.055358
1760385213.498811,1079311.500,44974,2,EA,1,100,0.055394
1760385213.565309,1079378.000,44974,2,EA,1,100,0.055433
1760385213.632307,1079445.000,44991,1,EA,1,100,0.055421
1760385213.698805,1079511.500,45007,2,EA,1,100,0.055360
1760385213.765302,1079578.000,45007,2,EA,1,100,0.055338
1760385213.832300,1079645.000,45024,1,EA,1,100,0.055387
1760385213.898798,1079711.500,45041,2,EA,1,100,0.055415
1760385213.965296,1079778.000,45041,2,EA,1,100,0.055430
1760385214.032293,1079845.000,45058,1,EA,1,100,0.055437
1760385214.098791,1079911.500,45074,2,EA,1,100,0.055403
1760385214.165289,1079978.000,45074,2,EA,1,100,0.055390
1760385214.232286,1080045.000,45092,1,EA,1,100,0.055445
1760385214.298784,1080111.500,45110,2,EA,1,100,0.055506
1760385214.365282,1080178.000,45110,2,EA,1,100,0.055532
1760385214.432279,1080245.000,45129,1,EA,1,100,0.055483
1760385214.498777,1080311.500,45145,2,EA,1,100,0.055427
1760385214.565275,1080378.000,45145,2,EA,1,100,0.055411
1760385214.631773,1080444.500,45161,2,EA,1,100,0.055460
1760385214.698270,1080511.000,45161,2,EA,1,100,0.055503
1760385214.765268,1080578.000,45177,1,EA,1,100,0.055537
1760385214.831766,1080644.500,45197,2,EA,1,100,0.055544
1760385214.898263,1080711.000,45197,2,EA,1,100,0.055490
1760385214.965261,1080778.000,45213,1,EA,1,100,0.055447
1760385215.031759,1080844.500,45228,2,EA,1,100,0.055465
1760385215.098256,1080911.000,45228,2,EA,1,100,0.055537
1760385215.165254,1080978.000,45246,1,EA,1,100,0.055593
1760385215.231752,1081044.500,45266,2,EA,1,100,0.055594
1760385215.298249,1081111.000,45266,2,EA,1,100,0.055515
1760385215.365247,1081178.000,45282,1,EA,1,100,0.055496
1760385215.431745,1081244.500,45297,2,EA,1,100,0.055548
1760385215.498243,1081311.000,45297,2,EA,1,100,0.055584
1760385215.565240,1081378.000,45314,1,EA,1,100,0.055625
1760385215.631738,1081444.500,45333,2,EA,1,100,0.055595
1760385215.698236,1081511.000,45333,2,EA,1,100,0.055531
1760385215.765233,1081578.000,45349,1,EA,1,100,0.055507
1760385215.831731,1081644.500,45367,2,EA,1,100,0.055551
1760385215.898229,1081711.000,45367,2,EA,1,100,0.055603
1760385215.964893,1081777.667,45391,3,EA,1,100,0.055650
1760385216.031558,1081844.333,45391,3,EA,1,100,0.055638
1760385216.098222,1081911.000,45391,3,EA,1,100,0.055570
1760385216.165220,1081978.000,45407,1,EA,1,100,0.055530
1760385216.231717,1082044.500,45425,2,EA,1,100,0.055560
1760385216.298215,1082111.000,45425,2,EA,1,100,0.055620
1760385216.365213,1082178.000,45441,1,EA,1,100,0.055663
1760385216.431710,1082244.500,45460,2,EA,1,100,0.055691
1760385216.498208,1082311.000,45460,2,EA,1,100,0.055638
1760385216.565206,1082378.000,45477,1,EA,1,100,0.055589
1760385216.631703,1082444.500,45492,2,EA,1,100,0.055605
1760385216.698201,1082511.000,45492,2,EA,1,100,0.055660
1760385216.765199,1082578.000,45510,1,EA,1,100,0.055709
1760385216.831697,1082644.500,45530,2,EA,1,100,0.055720
1760385216.898194,1082711.000,45530,2,EA,1,100,0.055658
1760385216.965192,1082778.000,45546,1,EA,1,100,0.055617
1760385217.031690,1082844.500,45561,2,EA,1,100,0.055632
1760385217.098187,1082911.000,45561,2,EA,1,100,0.055701
1760385217.165185,1082978.000,45579,1,EA,1,100,0.055741
1760385217.231683,1083044.500,45599,2,EA,1,100,0.055754
1760385217.298181,1083111.000,45599,2,EA,1,100,0.055701
1760385217.365178,1083178.000,45615,1,EA,1,100,0.055658
1760385217.431676,1083244.500,45632,2,EA,1,100,0.055675
1760385217.498173,1083311.000,45632,2,EA,1,100,0.055723
1760385217.565171,1083378.000,45649,1,EA,1,100,0.055758
1760385217.631669,1083444.500,45668,2,EA,1,100,0.055782
1760385217.698167,1083511.000,45668,2,EA,1,100,0.055738
1760385217.765164,1083578.000,45684,1,EA,1,100,0.055688
1760385217.831662,1083644.500,45700,2,EA,1,100,0.055701
1760385217.898160,1083711.000,45700,2,EA,1,100,0.055769
1760385217.965158,1083778.000,45716,1,EA,1,100,0.055803
1760385218.031655,1083844.500,45735,2,EA,1,100,0.055818
1760385218.098153,1083911.000,45735,2,EA,1,100,0.055786
1760385218.165151,1083978.000,45751,1,EA,1,100,0.055743
1760385218.231648,1084044.500,45768,2,EA,1,100,0.055760
1760385218.298146,1084111.000,45768,2,EA,1,100,0.055811
1760385218.364644,1084177.500,45785,2,EA,1,100,0.055851
1760385218.431141,1084244.000,45785,2,EA,1,100,0.055865
1760385218.498139,1084311.000,45804,1,EA,1,100,0.055830
1760385218.564637,1084377.500,45821,2,EA,1,100,0.055780
1760385218.631135,1084444.000,45821,2,EA,1,100,0.055774
1760385218.698132,1084511.000,45838,1,EA,1,100,0.055824
1760385218.764630,1084577.500,45852,2,EA,1,100,0.055844
