LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760385213.500312,1079313.000,44969,1,HR,1,100,109.02
1760385214.313283,1080126.000,45106,1,HR,1,100,101.46
1760385215.113256,1080926.000,45242,1,HR,1,100,95.58
1760385215.913228,1081726.000,45362,1,HR,1,100,91.00
1760385216.713201,1082526.000,45506,1,HR,1,100,87.45
1760385217.153185,1082966.000,45575,1,HR,1,100,98.32
1760385217.513173,1083326.000,45628,1,HR,1,100,113.51
1760385218.352144,1084165.000,45781,1,HR,1,100,104.16
1760385219.112118,1084925.000,45903,1,HR,1,100,98.55
1760385219.712097,1085525.000,46004,1,HR,1,100,98.88
1760385219.952089,1085765.000,46041,1,HR,1,100,132.46
1760385220.752061,1086565.000,46178,1,HR,1,100,119.69
1760385221.312042,1087125.000,46270,1,HR,1,100,116.90
1760385221.592032,1087405.000,46323,1,HR,1,100,138.54
1760385222.312007,1088125.000,46445,1,HR,1,100,126.27
1760385223.151978,1088965.000,46596,1,HR,1,100,114.09
1760385223.951951,1089765.000,46717,1,HR,1,100,105.40
1760385224.764923,1090578.000,46854,1,HR,1,100,98.64
1760385225.604894,1091418.000,47008,1,HR,1,100,92.60
1760385226.444865,1092258.000,47151,1,HR,1,100,87.89
1760385227.244837,1093058.000,47270,1,HR,1,100,85.03
1760385228.084808,1093898.000,47424,1,HR,1,100,82.00
1760385228.644789,1094458.000,47510,1,HR,1,100,87.59
1760385229.444761,1095258.000,47646,1,HR,1,100,84.79
1760385229.684753,1095498.000,47684,1,HR,1,100,121.51
1760385230.444727,1096258.000,47820,1,HR,1,100,112.05
1760385231.323697,1097137.000,47981,1,HR,1,100,102.30
1760385232.123669,1097937.000,48100,1,HR,1,100,96.23
1760385232.883643,1098697.000,48222,1,HR,1,100,92.39
1760385233.683615,1099497.000,48359,1,HR,1,100,88.53
1760385234.483588,1100297.000,48495,1,HR,1,100,85.52
1760385235.336558,1101150.000,48648,1,HR,1,100,82.39
1760385236.176529,1101990.000,48784,1,HR,1,100,79.95
1760385236.976501,1102790.000,48911,1,HR,1,100,78.85
1760385237.776474,1103590.000,49049,1,HR,1,100,78.00
1760385238.616445,1104430.000,49201,1,HR,1,100,76.54
