LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760385212.860334,1078673.000,44857,1,PG,1,100,6854
1760385212.900332,1078713.000,44872,2,PG,1,100,6849
1760385212.940331,1078753.000,44872,2,PG,1,100,6854
1760385212.980330,1078793.000,44889,3,PG,1,100,6853
1760385213.020328,1078833.000,44889,3,PG,1,100,6850
1760385213.060327,1078873.000,44889,3,PG,1,100,6844
1760385213.100325,1078913.000,44905,2,PG,1,100,6840
1760385213.140324,1078953.000,44905,2,PG,1,100,6841
1760385213.180323,1078993.000,44923,3,PG,1,100,6843
1760385213.220321,1079033.000,44923,3,PG,1,100,6846
1760385213.260320,1079073.000,44923,3,PG,1,100,6833
1760385213.300318,1079113.000,44937,3,PG,1,100,6837
1760385213.340317,1079153.000,44937,3,PG,1,100,6854
1760385213.380316,1079193.000,44937,3,PG,1,100,6840
1760385213.420314,1079233.000,44954,2,PG,1,100,6838
1760385213.460313,1079273.000,44954,2,PG,1,100,6836
1760385213.500312,1079313.000,44973,2,PG,1,100,6849
1760385213.540310,1079353.000,44973,2,PG,1,100,6836
1760385213.584642,1079397.333,44990,3,PG,1,100,6851
1760385213.628974,1079441.667,44990,3,PG,1,100,6850
1760385213.673306,1079486.000,44990,3,PG,1,100,6852
1760385213.713304,1079526.000,45006,2,PG,1,100,6835
1760385213.753303,1079566.000,45006,2,PG,1,100,6846
1760385213.793301,1079606.000,45023,3,PG,1,100,6841
1760385213.833300,1079646.000,45023,3,PG,1,100,6842
1760385213.873299,1079686.000,45023,3,PG,1,100,6839
1760385213.913297,1079726.000,45040,2,PG,1,100,6828
1760385213.953296,1079766.000,45040,2,PG,1,100,6835
1760385213.993294,1079806.000,45057,3,PG,1,100,6818
1760385214.033293,1079846.000,45057,3,PG,1,100,6814
1760385214.073292,1079886.000,45057,3,PG,1,100,6814
1760385214.113290,1079926.000,45073,3,PG,1,100,6820
1760385214.153289,1079966.000,45073,3,PG,1,100,6818
1760385214.193288,1080006.000,45073,3,PG,1,100,6824
1760385214.233286,1080046.000,45091,2,PG,1,100,6819
1760385214.273285,1080086.000,45091,2,PG,1,100,6836
1760385214.313283,1080126.000,45109,3,PG,1,100,6829
1760385214.353282,1080166.000,45109,3,PG,1,100,6824
1760385214.393281,1080206.000,45109,3,PG,1,100,6822
1760385214.433279,1080246.000,45128,2,PG,1,100,6803
1760385214.473278,1080286.000,45128,2,PG,1,100,6816
1760385214.513277,1080326.000,45144,3,PG,1,100,6813
1760385214.553275,1080366.000,45144,3,PG,1,100,6825
1760385214.593274,1080406.000,45144,3,PG,1,100,6817
1760385214.633272,1080446.000,45160,2,PG,1,100,6813
1760385214.673271,1080486.000,45160,2,PG,1,100,6803
1760385214.713270,1080526.000,45176,3,PG,1,100,6799
1760385214.753268,1080566.000,45176,3,PG,1,100,6800
1760385214.793267,1080606.000,45176,3,PG,1,100,6791
1760385214.833266,1080646.000,45196,2,PG,1,100,6780
1760385214.873264,1080686.000,45196,2,PG,1,100,6768
1760385214.913263,1080726.000,45212,3,PG,1,100,6795
1760385214.953261,1080766.000,45212,3,PG,1,100,6781
1760385214.993260,1080806.000,45212,3,PG,1,100,6794
1760385215.033259,1080846.000,45227,2,PG,1,100,6803
1760385215.073257,1080886.000,45227,2,PG,1,100,6813
1760385215.113256,1080926.000,45245,3,PG,1,100,6811
1760385215.153255,1080966.000,45245,3,PG,1,100,6786
1760385215.193253,1081006.000,45245,3,PG,1,100,6792
1760385215.233252,1081046.000,45265,2,PG,1,100,6803
1760385215.273250,1081086.000,45265,2,PG,1,100,6797
1760385215.313249,1081126.000,45281,3,PG,1,100,6795
1760385215.353248,1081166.000,45281,3,PG,1,100,6788
1760385215.393246,1081206.000,45281,3,PG,1,100,6783
1760385215.433245,1081246.000,45296,2,PG,1,100,6765
1760385215.473243,1081286.000,45296,2,PG,1,100,6759
1760385215.513242,1081326.000,45313,3,PG,1,100,6770
1760385215.553241,1081366.000,45313,3,PG,1,100,6761
1760385215.593239,1081406.000,45313,3,PG,1,100,6751
1760385215.633238,1081446.000,45332,3,PG,1,100,6761
1760385215.673237,1081486.000,45332,3,PG,1,100,6761
1760385215.713235,1081526.000,45332,3,PG,1,100,6750
1760385215.753234,1081566.000,45348,2,PG,1,100,6732
1760385215.793232,1081606.000,45348,2,PG,1,100,6749
1760385215.833231,1081646.000,45366,3,PG,1,100,6763
1760385215.873230,1081686.000,45366,3,PG,1,100,6754
1760385215.913228,1081726.000,45366,3,PG,1,100,6758
1760385215.953227,1081766.000,45390,4,PG,1,100,6753
1760385215.993226,1081806.000,45390,4,PG,1,100,6752
1760385216.033224,1081846.000,45390,4,PG,1,100,6745
1760385216.073223,1081886.000,45390,4,PG,1,100,6746
1760385216.113221,1081926.000,45406,3,PG,1,100,6734
1760385216.153220,1081966.000,45406,3,PG,1,100,6749
1760385216.193219,1082006.000,45406,3,PG,1,100,6726
1760385216.233217,1082046.000,45424,2,PG,1,100,6725
1760385216.273216,1082086.000,45424,2,PG,1,100,6729
1760385216.313215,1082126.000,45440,3,PG,1,100,6711
1760385216.353213,1082166.000,45440,3,PG,1,100,6720
1760385216.393212,1082206.000,45440,3,PG,1,100,6705
1760385216.433210,1082246.000,45459,2,PG,1,100,6695
1760385216.473209,1082286.000,45459,2,PG,1,100,6711
1760385216.513208,1082326.000,45476,3,PG,1,100,6690
1760385216.553206,1082366.000,45476,3,PG,1,100,6710
1760385216.593205,1082406.000,45476,3,PG,1,100,6709
1760385216.633204,1082446.000,45491,2,PG,1,100,6706
1760385216.673202,1082486.000,45491,2,PG,1,100,6700
1760385216.713201,1082526.000,45509,3,PG,1,100,6692
1760385216.753199,1082566.000,45509,3,PG,1,100,6696
1760385216.793198,1082606.000,45509,3,PG,1,100,6689
1760385216.833196,1082646.000,45529,3,PG,1,100,6676
1760385216.873195,1082686.000,45529,3,PG,1,100,6696
1760385216.913194,1082726.000,45529,3,PG,1,100,6692
1760385216.953192,1082766.000,45545,2,PG,1,100,6708
1760385216.993191,1082806.000,45545,2,PG,1,100,6704
1760385217.033190,1082846.000,45560,3,PG,1,100,6695
1760385217.073188,1082886.000,45560,3,PG,1,100,6688
1760385217.113187,1082926.000,45560,3,PG,1,100,6694
1760385217.153185,1082966.000,45578,2,PG,1,100,6677
1760385217.193184,1083006.000,45578,2,PG,1,100,6679
1760385217.233183,1083046.000,45598,3,PG,1,100,6661
1760385217.273181,1083086.000,45598,3,PG,1,100,6666
1760385217.313180,1083126.000,45598,3,PG,1,100,6660
1760385217.353179,1083166.000,45614,2,PG,1,100,6650
1760385217.393177,1083206.000,45614,2,PG,1,100,6655
1760385217.433176,1083246.000,45631,3,PG,1,100,6657
1760385217.473174,1083286.000,45631,3,PG,1,100,6669
1760385217.513173,1083326.000,45631,3,PG,1,100,6660
1760385217.553172,1083366.000,45648,2,PG,1,100,6670
1760385217.593170,1083406.000,45648,2,PG,1,100,6661
1760385217.633169,1083446.000,45667,3,PG,1,100,6644
1760385217.673167,1083486.000,45667,3,PG,1,100,6653
1760385217.713166,1083526.000,45667,3,PG,1,100,6645
1760385217.753165,1083566.000,45683,2,PG,1,100,6659
1760385217.793163,1083606.000,45683,2,PG,1,100,6649
