LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760385215.988226,1081801,45382,2,RD,1,100,TL,TU
1760385221.107049,1086920,46247,2,RD,1,100,TL,TU
1760385226.231872,1092045,47108,2,RD,1,100,TL,TU
1760385231.354695,1097168,47976,2,RD,1,100,TL,TU
1760385236.465519,1102279,48839,2,RD,1,100,TL,TU
1760385241.591342,1107405,49698,2,RD,1,100,TL,TU
1760385246.716165,1112530,50562,2,RD,1,100,TL,TU
1760385251.830989,1117645,51423,2,RD,1,100,TL,TU
1760385256.950812,1122765,52291,2,RD,1,100,TL,TU
1760385262.069636,1127884,53154,2,RD,1,100,TL,TU
1760385267.180459,1132995,54017,2,RD,1,100,TL,TU
1760385272.297283,1138112,54880,2,RD,1,100,TL,TU
1760385277.411106,1143226,55745,2,RD,1,100,TL,TU
1760385282.521930,1148337,56607,2,RD,1,100,TL,TU
1760385287.652753,1153468,57471,2,RD,1,100,TL,TU
1760385292.786576,1158602,58334,2,RD,1,100,TL,TU
1760385297.908399,1163724,59197,2,RD,1,100,TL,TU
1760385303.036222,1168852,60061,2,RD,1,100,TL,TU
1760385308.145046,1173961,60926,2,RD,1,100,TL,TU
1760385313.261869,1179078,61794,2,RD,1,100,TL,TU
1760385318.381692,1184198,62661,2,RD,1,100,TL,TU
1760385323.504516,1189321,63530,2,RD,1,100,TL,TU
1760385328.619339,1194436,64398,2,RD,1,100,TL,TU
1760385333.740162,1199557,65269,2,RD,1,100,TL,TU
