LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760385212.965330,1078778.000,44869,1,SF,1,100,124.4875
1760385213.232321,1079045.000,44920,1,SF,1,100,123.0475
1760385213.565309,1079378.000,44970,1,SF,1,100,121.6240
1760385213.965296,1079778.000,45037,1,SF,1,100,122.2993
1760385214.232286,1080045.000,45088,1,SF,1,100,122.9668
1760385214.565275,1080378.000,45141,1,SF,1,100,123.6266
1760385214.898263,1080711.000,45193,1,SF,1,100,124.2787
1760385215.298249,1081111.000,45260,1,SF,1,100,122.8411
1760385215.565240,1081378.000,45310,1,SF,1,100,123.5023
1760385215.898229,1081711.000,45363,1,SF,1,100,124.1558
1760385216.298215,1082111.000,45421,1,SF,1,100,124.8019
1760385216.565206,1082378.000,45473,1,SF,1,100,125.4404
1760385216.898194,1082711.000,45526,1,SF,1,100,126.0715
1760385217.298181,1083111.000,45593,1,SF,1,100,124.6131
1760385217.565171,1083378.000,45645,1,SF,1,100,125.2539
1760385217.898160,1083711.000,45696,1,SF,1,100,125.8872
1760385218.298146,1084111.000,45764,1,SF,1,100,126.5131
1760385218.631135,1084444.000,45817,1,SF,1,100,127.1319
1760385218.898125,1084711.000,45866,1,SF,1,100,125.6612
1760385219.231114,1085044.000,45918,1,SF,1,100,126.2898
1760385219.631100,1085444.000,45985,1,SF,1,100,126.9111
1760385219.898091,1085711.000,46042,1,SF,1,100,127.5253
1760385220.231079,1086044.000,46092,1,SF,1,100,128.1323
1760385220.564068,1086377.000,46143,1,SF,1,100,128.7323
1760385220.964054,1086777.000,46212,1,SF,1,100,129.3254
1760385221.297042,1087110.000,46271,1,SF,1,100,127.8293
1760385221.564033,1087377.000,46324,1,SF,1,100,128.4328
1760385221.897022,1087710.000,46375,1,SF,1,100,129.0294
1760385222.231010,1088044.000,46427,1,SF,1,100,129.6190
1760385222.630996,1088444.000,46496,1,SF,1,100,130.2018
1760385222.896987,1088710.000,46544,1,SF,1,100,128.6957
1760385223.230976,1089044.000,46597,1,SF,1,100,129.2892
1760385223.630962,1089444.000,46664,1,SF,1,100,129.8758
1760385223.896953,1089710.000,46718,1,SF,1,100,130.4556
1760385224.230941,1090044.000,46769,1,SF,1,100,131.0287
1760385224.563930,1090377.000,46819,1,SF,1,100,131.5952
1760385224.963916,1090777.000,46886,1,SF,1,100,130.0729
1760385225.229907,1091043.000,46939,1,SF,1,100,130.6505
1760385225.563895,1091377.000,46989,1,SF,1,100,131.2214
1760385225.963881,1091777.000,47058,1,SF,1,100,131.7856
1760385226.296870,1092110.000,47114,1,SF,1,100,132.3434
1760385226.629858,1092443.000,47168,1,SF,1,100,130.8124
1760385226.896849,1092710.000,47219,1,SF,1,100,131.3814
1760385227.229838,1093043.000,47271,1,SF,1,100,131.9438
1760385227.629824,1093443.000,47339,1,SF,1,100,132.4998
1760385227.896815,1093710.000,47391,1,SF,1,100,133.0493
1760385228.229803,1094043.000,47443,1,SF,1,100,133.5924
1760385228.562792,1094376.000,47492,1,SF,1,100,132.0470
1760385228.962778,1094776.000,47561,1,SF,1,100,132.6017
1760385229.229769,1095043.000,47613,1,SF,1,100,133.1500
1760385229.562757,1095376.000,47666,1,SF,1,100,133.6920
1760385229.962744,1095776.000,47735,1,SF,1,100,134.2277
1760385230.296732,1096110.000,47783,1,SF,1,100,132.6749
1760385230.562723,1096376.000,47838,1,SF,1,100,133.2224
1760385230.896711,1096710.000,47888,1,SF,1,100,133.7635
1760385231.295697,1097109.000,47957,1,SF,1,100,134.2984
1760385231.562688,1097376.000,48000,1,SF,1,100,134.8271
1760385231.962674,1097776.000,48067,1,SF,1,100,135.3496
1760385232.229665,1098043.000,48118,1,SF,1,100,133.7839
1760385232.562654,1098376.000,48168,1,SF,1,100,134.3185
1760385232.962640,1098776.000,48237,1,SF,1,100,134.8470
1760385233.229631,1099043.000,48290,1,SF,1,100,135.3693
1760385233.562619,1099376.000,48340,1,SF,1,100,135.8856
1760385233.895608,1099709.000,48391,1,SF,1,100,134.3137
1760385234.295594,1100109.000,48458,1,SF,1,100,134.8422
1760385234.562585,1100376.000,48512,1,SF,1,100,135.3646
1760385234.895573,1100709.000,48563,1,SF,1,100,135.8810
1760385235.295559,1101109.000,48630,1,SF,1,100,136.3913
1760385235.562550,1101376.000,48682,1,SF,1,100,136.8958
1760385235.895539,1101709.000,48732,1,SF,1,100,135.3122
1760385236.295525,1102109.000,48803,1,SF,1,100,135.8291
1760385236.562516,1102376.000,48843,1,SF,1,100,136.3401
1760385236.962502,1102776.000,48912,1,SF,1,100,136.8452
1760385237.228493,1103042.000,48964,1,SF,1,100,137.3444
1760385237.562481,1103376.000,49015,1,SF,1,100,137.8378
1760385237.962467,1103776.000,49082,1,SF,1,100,136.2433
1760385238.295456,1104109.000,49132,1,SF,1,100,136.7495
