LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760385212.565344,1078378.000,44868,1,SR,1,100,0.266667
1760385213.499311,1079312.000,45003,1,SR,1,100,0.133333
1760385213.765302,1079578.000,45070,1,SR,1,100,0.266667
1760385214.165289,1079978.000,45125,1,SR,1,100,0.200000
1760385214.632272,1080445.000,45192,1,SR,1,100,0.200000
1760385215.098256,1080911.000,45262,1,SR,1,100,0.133333
1760385215.365247,1081178.000,45329,1,SR,1,100,0.200000
1760385215.832231,1081645.000,45387,1,SR,1,100,0.200000
1760385216.298215,1082111.000,45456,1,SR,1,100,0.133333
1760385216.698201,1082511.000,45525,1,SR,1,100,0.133333
1760385217.098187,1082911.000,45595,1,SR,1,100,0.133333
1760385217.498173,1083311.000,45664,1,SR,1,100,0.133333
1760385217.898160,1083711.000,45731,1,SR,1,100,0.133333
1760385218.298146,1084111.000,45800,1,SR,1,100,0.133333
1760385218.698132,1084511.000,45884,1,SR,1,100,0.200000
1760385219.031121,1084844.000,45937,1,SR,1,100,0.200000
1760385219.498105,1085311.000,46022,1,SR,1,100,0.200000
1760385219.831093,1085644.000,46091,1,SR,1,100,0.266667
1760385220.231079,1086044.000,46142,1,SR,1,100,0.266667
1760385220.631065,1086444.000,46211,1,SR,1,100,0.200000
1760385221.098049,1086911.000,46290,1,SR,1,100,0.200000
1760385221.564033,1087377.000,46359,1,SR,1,100,0.133333
1760385221.964020,1087777.000,46426,1,SR,1,100,0.133333
1760385222.365006,1088178.000,46478,1,SR,1,100,0.066667
1760385222.696994,1088510.000,46563,1,SR,1,100,0.200000
1760385223.164978,1088978.000,46632,1,SR,1,100,0.133333
1760385223.564964,1089378.000,46699,1,SR,1,100,0.133333
1760385223.964950,1089778.000,46768,1,SR,1,100,0.133333
1760385224.363937,1090177.000,46818,1,SR,1,100,0.133333
1760385224.763923,1090577.000,46888,1,SR,1,100,0.133333
1760385225.163909,1090977.000,46955,1,SR,1,100,0.133333
1760385225.563895,1091377.000,47024,1,SR,1,100,0.133333
1760385225.963881,1091777.000,47113,1,SR,1,100,0.200000
1760385226.429865,1092243.000,47170,1,SR,1,100,0.133333
1760385226.829852,1092643.000,47254,1,SR,1,100,0.200000
1760385227.163840,1092977.000,47306,1,SR,1,100,0.200000
1760385227.629824,1093443.000,47390,1,SR,1,100,0.200000
1760385227.963812,1093777.000,47442,1,SR,1,100,0.200000
1760385228.429796,1094243.000,47529,1,SR,1,100,0.200000
1760385228.762785,1094576.000,47579,1,SR,1,100,0.200000
1760385229.229769,1095043.000,47665,1,SR,1,100,0.200000
