LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760385212.907332,1078720.000,44876,1,TH,1,100,30.879
1760385213.040327,1078853.000,44893,1,TH,1,100,30.879
1760385213.173323,1078986.000,44909,1,TH,1,100,30.955
1760385213.306318,1079119.000,44941,1,TH,1,100,30.955
1760385213.440314,1079253.000,44958,1,TH,1,100,30.945
1760385213.573309,1079386.000,44977,1,TH,1,100,30.945
1760385213.706304,1079519.000,45010,1,TH,1,100,30.874
1760385213.840300,1079653.000,45027,1,TH,1,100,30.874
1760385213.973295,1079786.000,45044,1,TH,1,100,30.886
1760385214.106291,1079919.000,45077,1,TH,1,100,30.886
1760385214.240286,1080053.000,45095,1,TH,1,100,30.906
1760385214.373281,1080186.000,45113,1,TH,1,100,30.906
1760385214.506277,1080319.000,45147,1,TH,1,100,30.920
1760385214.639272,1080452.000,45164,1,TH,1,100,30.928
1760385214.773268,1080586.000,45180,1,TH,1,100,30.906
1760385214.906263,1080719.000,45200,1,TH,1,100,30.906
1760385215.039258,1080852.000,45231,1,TH,1,100,30.888
1760385215.173254,1080986.000,45249,1,TH,1,100,30.888
1760385215.306249,1081119.000,45269,1,TH,1,100,30.937
1760385215.439245,1081252.000,45300,1,TH,1,100,30.937
1760385215.573240,1081386.000,45317,1,TH,1,100,30.967
1760385215.706235,1081519.000,45336,1,TH,1,100,30.960
1760385215.839231,1081652.000,45370,1,TH,1,100,30.903
1760385215.972726,1081785.500,45394,2,TH,1,100,30.910
1760385216.106222,1081919.000,45394,2,TH,1,100,30.805
1760385216.239217,1082052.000,45428,1,TH,1,100,30.805
1760385216.373212,1082186.000,45444,1,TH,1,100,30.903
1760385216.506208,1082319.000,45463,1,TH,1,100,30.903
1760385216.639203,1082452.000,45495,1,TH,1,100,30.933
1760385216.773199,1082586.000,45513,1,TH,1,100,30.932
1760385216.906194,1082719.000,45533,1,TH,1,100,30.969
1760385217.039189,1082852.000,45564,1,TH,1,100,30.969
1760385217.173185,1082986.000,45582,1,TH,1,100,30.847
1760385217.306180,1083119.000,45602,1,TH,1,100,30.847
1760385217.439176,1083252.000,45635,1,TH,1,100,30.957
1760385217.573171,1083386.000,45652,1,TH,1,100,30.950
1760385217.706167,1083519.000,45671,1,TH,1,100,30.920
1760385217.839162,1083652.000,45703,1,TH,1,100,30.920
1760385217.973157,1083786.000,45719,1,TH,1,100,30.903
1760385218.106153,1083919.000,45738,1,TH,1,100,30.903
1760385218.239148,1084052.000,45770,1,TH,1,100,30.928
1760385218.372144,1084185.000,45788,1,TH,1,100,30.928
1760385218.506139,1084319.000,45807,1,TH,1,100,30.933
1760385218.639134,1084452.000,45824,1,TH,1,100,30.940
1760385218.773129,1084586.000,45855,1,TH,1,100,30.893
1760385218.906125,1084719.000,45873,1,TH,1,100,30.893
1760385219.039120,1084852.000,45891,1,TH,1,100,30.910
1760385219.172116,1084985.000,45925,1,TH,1,100,30.910
1760385219.306111,1085119.000,45944,1,TH,1,100,30.908
1760385219.439107,1085252.000,45960,1,TH,1,100,30.908
1760385219.572102,1085385.000,45992,1,TH,1,100,30.928
1760385219.706097,1085519.000,46011,1,TH,1,100,30.920
1760385219.839093,1085652.000,46029,1,TH,1,100,30.881
1760385219.972088,1085785.000,46063,1,TH,1,100,30.881
1760385220.106084,1085919.000,46080,1,TH,1,100,30.925
1760385220.239079,1086052.000,46099,1,TH,1,100,30.925
1760385220.372074,1086185.000,46130,1,TH,1,100,30.874
1760385220.506070,1086319.000,46150,1,TH,1,100,30.881
1760385220.639065,1086452.000,46166,1,TH,1,100,30.967
1760385220.772061,1086585.000,46185,1,TH,1,100,30.960
1760385220.906056,1086719.000,46219,1,TH,1,100,30.884
1760385221.039051,1086852.000,46235,1,TH,1,100,30.891
1760385221.172047,1086985.000,46257,1,TH,1,100,30.884
1760385221.305042,1087118.000,46278,1,TH,1,100,30.884
1760385221.439038,1087252.000,46311,1,TH,1,100,30.896
1760385221.572033,1087385.000,46331,1,TH,1,100,30.896
1760385221.706028,1087519.000,46347,1,TH,1,100,30.925
1760385221.839024,1087652.000,46381,1,TH,1,100,30.925
1760385221.972019,1087785.000,46398,1,TH,1,100,30.874
1760385222.105015,1087918.000,46414,1,TH,1,100,30.874
1760385222.239010,1088052.000,46434,1,TH,1,100,30.864
1760385222.372005,1088185.000,46467,1,TH,1,100,30.864
1760385222.505001,1088318.000,46485,1,TH,1,100,30.952
1760385222.638996,1088452.000,46503,1,TH,1,100,30.952
1760385222.771991,1088585.000,46534,1,TH,1,100,30.920
1760385222.904987,1088718.000,46551,1,TH,1,100,30.920
1760385223.038982,1088852.000,46570,1,TH,1,100,30.928
1760385223.171978,1088985.000,46604,1,TH,1,100,30.928
1760385223.304973,1089118.000,46620,1,TH,1,100,30.954
1760385223.438969,1089252.000,46639,1,TH,1,100,30.954
1760385223.571964,1089385.000,46671,1,TH,1,100,30.964
1760385223.704959,1089518.000,46687,1,TH,1,100,30.964
1760385223.838955,1089652.000,46706,1,TH,1,100,30.812
1760385223.971950,1089785.000,46740,1,TH,1,100,30.812
1760385224.104946,1089918.000,46756,1,TH,1,100,30.928
1760385224.238941,1090052.000,46776,1,TH,1,100,30.928
1760385224.371936,1090185.000,46792,1,TH,1,100,30.913
1760385224.504932,1090318.000,46826,1,TH,1,100,30.913
1760385224.637927,1090451.000,46843,1,TH,1,100,30.896
1760385224.771923,1090585.000,46861,1,TH,1,100,30.896
1760385224.904918,1090718.000,46895,1,TH,1,100,30.964
1760385225.037913,1090851.000,46912,1,TH,1,100,30.964
1760385225.171909,1090985.000,46928,1,TH,1,100,30.891
1760385225.304904,1091118.000,46962,1,TH,1,100,30.891
1760385225.437900,1091251.000,46979,1,TH,1,100,30.864
1760385225.571895,1091385.000,46996,1,TH,1,100,30.864
1760385225.704890,1091518.000,47031,1,TH,1,100,30.903
1760385225.837886,1091651.000,47048,1,TH,1,100,30.903
1760385225.971881,1091785.000,47065,1,TH,1,100,30.896
1760385226.104877,1091918.000,47096,1,TH,1,100,30.896
1760385226.237872,1092051.000,47121,1,TH,1,100,30.945
1760385226.371867,1092185.000,47139,1,TH,1,100,30.945
1760385226.504863,1092318.000,47158,1,TH,1,100,30.888
1760385226.637858,1092451.000,47177,1,TH,1,100,30.888
1760385226.771853,1092585.000,47208,1,TH,1,100,30.945
1760385226.904849,1092718.000,47226,1,TH,1,100,30.945
1760385227.037844,1092851.000,47242,1,TH,1,100,30.898
1760385227.171840,1092985.000,47278,1,TH,1,100,30.898
1760385227.304835,1093118.000,47295,1,TH,1,100,30.964
1760385227.437831,1093251.000,47313,1,TH,1,100,30.964
1760385227.571826,1093385.000,47345,1,TH,1,100,30.874
1760385227.704821,1093518.000,47362,1,TH,1,100,30.874
1760385227.837817,1093651.000,47378,1,TH,1,100,30.891
1760385227.971812,1093785.000,47412,1,TH,1,100,30.891
1760385228.104808,1093918.000,47431,1,TH,1,100,30.866
1760385228.237803,1094051.000,47450,1,TH,1,100,30.866
1760385228.370798,1094184.000,47467,1,TH,1,100,30.954
1760385228.504794,1094318.000,47499,1,TH,1,100,30.954
1760385228.637789,1094451.000,47517,1,TH,1,100,30.964
1760385228.770785,1094584.000,47536,1,TH,1,100,30.964
1760385228.904780,1094718.000,47568,1,TH,1,100,30.854
1760385229.037775,1094851.000,47586,1,TH,1,100,30.854
1760385229.170771,1094984.000,47603,1,TH,1,100,30.844
1760385229.304766,1095118.000,47635,1,TH,1,100,30.844
1760385229.437762,1095251.000,47653,1,TH,1,100,30.923
1760385229.570757,1095384.000,47673,1,TH,1,100,30.923
1760385229.704752,1095518.000,47706,1,TH,1,100,30.896
1760385229.837748,1095651.000,47722,1,TH,1,100,30.896
1760385229.970743,1095784.000,47742,1,TH,1,100,30.837
1760385230.104738,1095918.000,47773,1,TH,1,100,30.837
1760385230.237734,1096051.000,47792,1,TH,1,100,30.989
1760385230.370729,1096184.000,47809,1,TH,1,100,30.989
