LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760385215.986226,1081799,45380,1,TL,1,100,2025-10-13_15-53-31-036244
1760385216.024225,1081837,45383,1,TL,1,100,2025-10-13_15-53-36-017847
1760385221.105049,1086918,46245,1,TL,1,100,2025-10-13_15-53-36-134585
1760385221.127048,1086940,46248,1,TL,1,100,2025-10-13_15-53-41-119448
1760385226.227872,1092041,47106,1,TL,1,100,2025-10-13_15-53-41-240963
1760385226.250872,1092064,47109,1,TL,1,100,2025-10-13_15-53-46-241930
1760385231.352695,1097166,47974,1,TL,1,100,2025-10-13_15-53-46-363891
1760385231.370695,1097184,47977,1,TL,1,100,2025-10-13_15-53-51-362695
1760385236.463519,1102277,48837,1,TL,1,100,2025-10-13_15-53-51-482309
1760385236.486518,1102300,48840,1,TL,1,100,2025-10-13_15-53-56-478706
1760385241.586342,1107400,49696,1,TL,1,100,2025-10-13_15-53-56-606228
1760385241.612341,1107426,49699,1,TL,1,100,2025-10-13_15-54-01-603849
1760385246.714165,1112528,50560,1,TL,1,100,2025-10-13_15-54-01-758269
1760385246.726165,1112540,50563,1,TL,1,100,2025-10-13_15-54-06-721069
1760385251.824989,1117639,51421,1,TL,1,100,2025-10-13_15-54-06-878863
1760385251.846988,1117661,51424,1,TL,1,100,2025-10-13_15-54-11-840168
1760385256.948812,1122763,52289,1,TL,1,100,2025-10-13_15-54-11-977343
1760385256.981811,1122796,52292,1,TL,1,100,2025-10-13_15-54-16-975757
1760385262.067636,1127882,53152,1,TL,1,100,2025-10-13_15-54-17-104750
1760385262.085635,1127900,53155,1,TL,1,100,2025-10-13_15-54-22-079070
1760385267.178459,1132993,54015,1,TL,1,100,2025-10-13_15-54-22-209596
1760385267.191459,1133006,54018,1,TL,1,100,2025-10-13_15-54-27-185389
1760385272.295283,1138110,54878,1,TL,1,100,2025-10-13_15-54-27-333832
1760385272.308282,1138123,54881,1,TL,1,100,2025-10-13_15-54-32-302161
1760385277.407106,1143222,55743,1,TL,1,100,2025-10-13_15-54-32-436129
1760385277.426106,1143241,55746,1,TL,1,100,2025-10-13_15-54-37-417226
1760385282.519930,1148335,56605,1,TL,1,100,2025-10-13_15-54-37-550979
1760385282.537929,1148353,56608,1,TL,1,100,2025-10-13_15-54-42-528270
1760385287.646753,1153462,57469,1,TL,1,100,2025-10-13_15-54-42-659651
1760385287.710751,1153526,57472,1,TL,1,100,2025-10-13_15-54-47-699910
1760385292.784576,1158600,58332,1,TL,1,100,2025-10-13_15-54-47-782833
1760385292.810575,1158626,58335,1,TL,1,100,2025-10-13_15-54-52-800690
1760385297.907399,1163723,59195,1,TL,1,100,2025-10-13_15-54-52-932969
1760385297.934398,1163750,59198,1,TL,1,100,2025-10-13_15-54-57-918659
1760385303.031222,1168847,60059,1,TL,1,100,2025-10-13_15-54-58-047451
1760385303.045222,1168861,60062,1,TL,1,100,2025-10-13_15-55-03-042479
1760385308.143046,1173959,60924,1,TL,1,100,2025-10-13_15-55-03-181936
1760385308.161045,1173977,60927,1,TL,1,100,2025-10-13_15-55-08-153804
1760385313.255869,1179072,61792,1,TL,1,100,2025-10-13_15-55-08-361043
1760385318.374693,1184191,62657,1,TL,1,100,2025-10-13_15-55-13-276083
1760385318.379693,1184196,62659,1,TL,1,100,2025-10-13_15-55-13-393229
1760385318.393692,1184210,62662,1,TL,1,100,2025-10-13_15-55-18-387692
1760385323.502516,1189319,63528,1,TL,1,100,2025-10-13_15-55-18-519421
1760385323.518515,1189335,63531,1,TL,1,100,2025-10-13_15-55-23-514895
1760385328.615339,1194432,64396,1,TL,1,100,2025-10-13_15-55-23-635825
1760385328.638339,1194455,64399,1,TL,1,100,2025-10-13_15-55-28-636568
1760385333.738163,1199555,65267,1,TL,1,100,2025-10-13_15-55-28-759983
1760385333.752162,1199569,65270,1,TL,1,100,2025-10-13_15-55-33-746850
