LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760384806.238411,672051.000,43014,1,B%,1,100,42
1760384811.238252,677051.000,43805,1,B%,1,100,42
1760384816.237092,682050.000,44612,1,B%,1,100,42
1760384821.236933,687050.000,45421,1,B%,1,100,43
1760384826.235773,692049.000,46227,1,B%,1,100,44
1760384831.235614,697049.000,47035,1,B%,1,100,43
1760384836.234454,702048.000,47843,1,B%,1,100,43
1760384841.234295,707048.000,48634,1,B%,1,100,43
1760384846.234135,712048.000,49440,1,B%,1,100,42
1760384851.232975,717047.000,50249,1,B%,1,100,44
1760384856.231816,722046.000,51058,1,B%,1,100,44
1760384861.231657,727046.000,51864,1,B%,1,100,43
1760384866.230497,732045.000,52673,1,B%,1,100,43
1760384871.230338,737045.000,53479,1,B%,1,100,44
1760384876.229178,742044.000,54270,1,B%,1,100,43
1760384881.229018,747044.000,55081,1,B%,1,100,43
1760384886.227859,752043.000,55887,1,B%,1,100,42
1760384891.227700,757043.000,56696,1,B%,1,100,43
1760384896.227540,762043.000,57504,1,B%,1,100,43
1760384901.226380,767042.000,58308,1,B%,1,100,42
1760384906.225221,772041.000,59118,1,B%,1,100,43
1760384911.225061,777041.000,59909,1,B%,1,100,43
1760384916.223902,782040.000,60733,1,B%,1,100,42
1760384921.223742,787040.000,61559,1,B%,1,100,43
1760384926.222583,792039.000,62386,1,B%,1,100,42
