LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760384801.634558,667447.000,42263,3,GX,1,100,-3.876
1760384801.634558,667447.000,42263,3,GX,1,100,-0.458
1760384801.634558,667447.000,42263,3,GX,1,100,-1.587
1760384801.674357,667486.800,42285,5,GX,1,100,-4.211
1760384801.714156,667526.600,42285,5,GX,1,100,-3.418
1760384801.753954,667566.400,42285,5,GX,1,100,0.916
1760384801.793753,667606.200,42285,5,GX,1,100,2.747
1760384801.833552,667646.000,42285,5,GX,1,100,1.587
1760384801.873550,667686.000,42302,3,GX,1,100,2.106
1760384801.913549,667726.000,42302,3,GX,1,100,2.411
1760384801.953548,667766.000,42302,3,GX,1,100,0.824
1760384801.993547,667806.000,42319,2,GX,1,100,-0.488
1760384802.033545,667846.000,42319,2,GX,1,100,-0.610
1760384802.073544,667886.000,42335,3,GX,1,100,-1.068
1760384802.113543,667926.000,42335,3,GX,1,100,-3.845
1760384802.153542,667966.000,42335,3,GX,1,100,-3.418
1760384802.193540,668006.000,42351,2,GX,1,100,-3.815
1760384802.233539,668046.000,42351,2,GX,1,100,-3.296
1760384802.273538,668086.000,42367,3,GX,1,100,-1.373
1760384802.313536,668126.000,42367,3,GX,1,100,-0.763
1760384802.353535,668166.000,42367,3,GX,1,100,0.671
1760384802.393867,668206.333,42384,3,GX,1,100,-0.305
1760384802.434199,668246.667,42384,3,GX,1,100,-1.892
1760384802.474531,668287.000,42384,3,GX,1,100,-1.587
1760384802.514030,668326.500,42400,2,GX,1,100,0.031
1760384802.553529,668366.000,42400,2,GX,1,100,0.824
1760384802.593861,668406.333,42418,3,GX,1,100,1.587
1760384802.634193,668446.667,42418,3,GX,1,100,5.432
1760384802.674525,668487.000,42418,3,GX,1,100,8.911
1760384802.714024,668526.500,42432,2,GX,1,100,6.683
1760384802.753522,668566.000,42432,2,GX,1,100,2.350
1760384802.793521,668606.000,42449,3,GX,1,100,-0.946
1760384802.833520,668646.000,42449,3,GX,1,100,-3.967
1760384802.873518,668686.000,42449,3,GX,1,100,-6.653
1760384802.913517,668726.000,42466,2,GX,1,100,-1.282
1760384802.953516,668766.000,42466,2,GX,1,100,1.862
1760384802.993848,668806.333,42483,3,GX,1,100,0.244
1760384803.034180,668846.667,42483,3,GX,1,100,0.031
1760384803.074512,668887.000,42483,3,GX,1,100,-0.549
1760384803.114011,668926.500,42497,2,GX,1,100,-1.251
1760384803.153510,668966.000,42497,2,GX,1,100,-1.343
1760384803.193842,669006.333,42515,3,GX,1,100,-1.556
1760384803.234174,669046.667,42515,3,GX,1,100,-1.221
1760384803.274506,669087.000,42515,3,GX,1,100,-1.068
1760384803.314004,669126.500,42531,2,GX,1,100,0.946
1760384803.353503,669166.000,42531,2,GX,1,100,0.793
1760384803.393502,669206.000,42548,3,GX,1,100,0.275
1760384803.433501,669246.000,42548,3,GX,1,100,0.763
1760384803.473500,669286.000,42548,3,GX,1,100,-0.153
1760384803.513498,669326.000,42562,2,GX,1,100,-2.258
1760384803.553497,669366.000,42562,2,GX,1,100,-3.601
1760384803.593496,669406.000,42580,3,GX,1,100,-3.113
1760384803.633494,669446.000,42580,3,GX,1,100,-0.671
1760384803.673493,669486.000,42580,3,GX,1,100,-0.336
1760384803.713492,669526.000,42596,3,GX,1,100,-0.305
1760384803.753490,669566.000,42596,3,GX,1,100,-1.282
1760384803.793489,669606.000,42596,3,GX,1,100,-2.655
1760384803.833488,669646.000,42613,2,GX,1,100,-1.678
1760384803.873487,669686.000,42613,2,GX,1,100,-1.709
1760384803.913485,669726.000,42629,3,GX,1,100,-3.265
1760384803.953484,669766.000,42629,3,GX,1,100,-5.066
1760384803.993483,669806.000,42629,3,GX,1,100,-5.493
1760384804.033482,669846.000,42645,2,GX,1,100,-4.364
1760384804.073480,669886.000,42645,2,GX,1,100,-4.211
1760384804.109146,669921.667,42661,3,GX,1,100,-2.441
1760384804.144811,669957.333,42661,3,GX,1,100,-3.296
1760384804.180477,669993.000,42661,3,GX,1,100,-3.479
1760384804.220476,670033.000,42681,3,GX,1,100,-0.549
1760384804.260474,670073.000,42681,3,GX,1,100,-0.610
1760384804.300473,670113.000,42681,3,GX,1,100,-1.892
1760384804.340472,670153.000,42697,2,GX,1,100,-1.099
1760384804.380471,670193.000,42697,2,GX,1,100,-2.075
1760384804.420469,670233.000,42712,3,GX,1,100,-3.052
1760384804.460468,670273.000,42712,3,GX,1,100,-2.258
1760384804.500467,670313.000,42712,3,GX,1,100,-2.625
1760384804.540465,670353.000,42729,2,GX,1,100,-2.075
1760384804.580464,670393.000,42729,2,GX,1,100,-2.167
1760384804.620463,670433.000,42746,3,GX,1,100,-2.075
1760384804.660462,670473.000,42746,3,GX,1,100,-1.129
1760384804.700460,670513.000,42746,3,GX,1,100,-1.953
1760384804.740459,670553.000,42762,2,GX,1,100,-1.556
1760384804.780458,670593.000,42762,2,GX,1,100,-1.434
1760384804.820457,670633.000,42777,3,GX,1,100,-1.404
1760384804.860455,670673.000,42777,3,GX,1,100,-1.465
1760384804.900454,670713.000,42777,3,GX,1,100,-1.495
1760384804.940453,670753.000,42794,3,GX,1,100,-0.793
1760384804.980451,670793.000,42794,3,GX,1,100,-1.099
1760384805.020450,670833.000,42794,3,GX,1,100,-1.190
1760384805.060449,670873.000,42811,2,GX,1,100,-0.854
1760384805.100447,670913.000,42811,2,GX,1,100,-0.549
1760384805.140446,670953.000,42827,3,GX,1,100,-0.397
1760384805.180445,670993.000,42827,3,GX,1,100,-0.427
1760384805.220444,671033.000,42827,3,GX,1,100,0.031
1760384805.260442,671073.000,42843,2,GX,1,100,0.366
1760384805.300441,671113.000,42843,2,GX,1,100,0.000
1760384805.340440,671153.000,42859,3,GX,1,100,-0.549
1760384805.380439,671193.000,42859,3,GX,1,100,-0.793
1760384805.420437,671233.000,42859,3,GX,1,100,-0.397
1760384805.460436,671273.000,42876,2,GX,1,100,-0.214
1760384805.500435,671313.000,42876,2,GX,1,100,-0.610
1760384805.540433,671353.000,42893,3,GX,1,100,-0.183
1760384805.580432,671393.000,42893,3,GX,1,100,-0.214
1760384805.620431,671433.000,42893,3,GX,1,100,-0.183
1760384805.660430,671473.000,42908,2,GX,1,100,-0.275
1760384805.700428,671513.000,42908,2,GX,1,100,-0.458
1760384805.740427,671553.000,42924,3,GX,1,100,-0.214
1760384805.780426,671593.000,42924,3,GX,1,100,-0.824
1760384805.820425,671633.000,42924,3,GX,1,100,-0.977
1760384805.860423,671673.000,42941,2,GX,1,100,-0.854
1760384805.900422,671713.000,42941,2,GX,1,100,-0.824
1760384805.940421,671753.000,42958,3,GX,1,100,-0.977
1760384805.980419,671793.000,42958,3,GX,1,100,-0.885
1760384806.020418,671833.000,42958,3,GX,1,100,-0.824
1760384806.060417,671873.000,42974,2,GX,1,100,-0.702
1760384806.100416,671913.000,42974,2,GX,1,100,-0.702
1760384806.140414,671953.000,42989,3,GX,1,100,-0.610
1760384806.180413,671993.000,42989,3,GX,1,100,-0.549
1760384806.220412,672033.000,42989,3,GX,1,100,-0.671
1760384806.260411,672073.000,43007,3,GX,1,100,-0.519
1760384806.300409,672113.000,43007,3,GX,1,100,-0.427
1760384806.340408,672153.000,43007,3,GX,1,100,-0.732
1760384806.380407,672193.000,43025,2,GX,1,100,-0.122
1760384806.420405,672233.000,43025,2,GX,1,100,-0.458
1760384806.460404,672273.000,43042,3,GX,1,100,-0.427
1760384806.500403,672313.000,43042,3,GX,1,100,-0.580
1760384806.540402,672353.000,43042,3,GX,1,100,-0.671
1760384806.580400,672393.000,43057,2,GX,1,100,-0.305
1760384806.620399,672433.000,43057,2,GX,1,100,-0.671
1760384806.660398,672473.000,43074,3,GX,1,100,-0.702
1760384806.700397,672513.000,43074,3,GX,1,100,-0.580
1760384806.740395,672553.000,43074,3,GX,1,100,-0.397
1760384806.780394,672593.000,43090,2,GX,1,100,-0.488
1760384806.820393,672633.000,43090,2,GX,1,100,-0.641
1760384806.860391,672673.000,43113,4,GX,1,100,-0.580
1760384806.900390,672713.000,43113,4,GX,1,100,-0.977
1760384806.940389,672753.000,43113,4,GX,1,100,-1.068
1760384806.980387,672793.000,43113,4,GX,1,100,-0.671
1760384807.020386,672833.000,43129,2,GX,1,100,-0.549
1760384807.060385,672873.000,43129,2,GX,1,100,-0.732
1760384807.100384,672913.000,43144,3,GX,1,100,-1.129
1760384807.140383,672953.000,43144,3,GX,1,100,-0.763
1760384807.180381,672993.000,43144,3,GX,1,100,-0.671
1760384807.220380,673033.000,43161,2,GX,1,100,0.061
1760384807.260379,673073.000,43161,2,GX,1,100,0.031
1760384807.300377,673113.000,43178,3,GX,1,100,-0.732
1760384807.340376,673153.000,43178,3,GX,1,100,-1.007
1760384807.380375,673193.000,43178,3,GX,1,100,-0.763
1760384807.420373,673233.000,43194,2,GX,1,100,0.092
1760384807.460372,673273.000,43194,2,GX,1,100,-0.061
1760384807.500371,673313.000,43210,3,GX,1,100,-0.488
1760384807.540370,673353.000,43210,3,GX,1,100,-0.397
