LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760384801.634558,667447.000,42266,3,MX,1,100,-59
1760384801.634558,667447.000,42266,3,MX,1,100,-58
1760384801.634558,667447.000,42266,3,MX,1,100,-57
1760384801.674357,667486.800,42288,5,MX,1,100,-57
1760384801.714156,667526.600,42288,5,MX,1,100,-59
1760384801.753954,667566.400,42288,5,MX,1,100,-59
1760384801.793753,667606.200,42288,5,MX,1,100,-57
1760384801.833552,667646.000,42288,5,MX,1,100,-58
1760384801.873550,667686.000,42305,3,MX,1,100,-58
1760384801.913549,667726.000,42305,3,MX,1,100,-58
1760384801.953548,667766.000,42305,3,MX,1,100,-58
1760384801.993547,667806.000,42322,2,MX,1,100,-58
1760384802.033545,667846.000,42322,2,MX,1,100,-58
1760384802.073544,667886.000,42338,3,MX,1,100,-59
1760384802.113543,667926.000,42338,3,MX,1,100,-58
1760384802.153542,667966.000,42338,3,MX,1,100,-58
1760384802.193540,668006.000,42354,2,MX,1,100,-59
1760384802.233539,668046.000,42354,2,MX,1,100,-58
1760384802.273538,668086.000,42370,3,MX,1,100,-59
1760384802.313536,668126.000,42370,3,MX,1,100,-58
1760384802.353535,668166.000,42370,3,MX,1,100,-58
1760384802.393867,668206.333,42387,3,MX,1,100,-58
1760384802.434199,668246.667,42387,3,MX,1,100,-58
1760384802.474531,668287.000,42387,3,MX,1,100,-58
1760384802.514030,668326.500,42403,2,MX,1,100,-58
1760384802.553529,668366.000,42403,2,MX,1,100,-57
1760384802.593861,668406.333,42421,3,MX,1,100,-59
1760384802.634193,668446.667,42421,3,MX,1,100,-58
1760384802.674525,668487.000,42421,3,MX,1,100,-58
1760384802.714024,668526.500,42435,2,MX,1,100,-57
1760384802.753522,668566.000,42435,2,MX,1,100,-57
1760384802.793521,668606.000,42452,3,MX,1,100,-58
1760384802.833520,668646.000,42452,3,MX,1,100,-58
1760384802.873518,668686.000,42452,3,MX,1,100,-58
1760384802.913517,668726.000,42469,2,MX,1,100,-58
1760384802.953516,668766.000,42469,2,MX,1,100,-57
1760384802.993848,668806.333,42486,3,MX,1,100,-58
1760384803.034180,668846.667,42486,3,MX,1,100,-57
1760384803.074512,668887.000,42486,3,MX,1,100,-56
1760384803.114011,668926.500,42500,2,MX,1,100,-57
1760384803.153510,668966.000,42500,2,MX,1,100,-58
1760384803.193842,669006.333,42518,3,MX,1,100,-59
