LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760384801.647558,667460.000,42253,3,PI,1,100,150706
1760384801.647558,667460.000,42253,3,PI,1,100,150715
1760384801.647558,667460.000,42253,3,PI,1,100,150705
1760384801.687557,667500.000,42275,5,PI,1,100,150713
1760384801.727555,667540.000,42275,5,PI,1,100,150719
1760384801.767554,667580.000,42275,5,PI,1,100,150720
1760384801.807553,667620.000,42275,5,PI,1,100,150731
1760384801.847551,667660.000,42275,5,PI,1,100,150745
1760384801.887550,667700.000,42292,3,PI,1,100,150737
1760384801.927549,667740.000,42292,3,PI,1,100,150741
1760384801.967547,667780.000,42292,3,PI,1,100,150741
1760384802.007546,667820.000,42309,2,PI,1,100,150728
1760384802.047545,667860.000,42309,2,PI,1,100,150757
1760384802.087544,667900.000,42325,3,PI,1,100,150744
1760384802.127542,667940.000,42325,3,PI,1,100,150742
1760384802.167541,667980.000,42325,3,PI,1,100,150733
1760384802.207540,668020.000,42342,2,PI,1,100,150760
1760384802.247539,668060.000,42342,2,PI,1,100,150760
1760384802.287537,668100.000,42358,3,PI,1,100,150757
1760384802.327536,668140.000,42358,3,PI,1,100,150758
1760384802.367535,668180.000,42358,3,PI,1,100,150787
1760384802.407533,668220.000,42374,2,PI,1,100,150769
1760384802.447532,668260.000,42374,2,PI,1,100,150767
1760384802.487531,668300.000,42390,3,PI,1,100,150785
1760384802.527530,668340.000,42390,3,PI,1,100,150791
1760384802.567528,668380.000,42390,3,PI,1,100,150786
1760384802.607527,668420.000,42408,2,PI,1,100,150773
1760384802.647526,668460.000,42408,2,PI,1,100,150797
1760384802.687525,668500.000,42424,3,PI,1,100,150785
1760384802.727523,668540.000,42424,3,PI,1,100,150793
1760384802.767522,668580.000,42424,3,PI,1,100,150793
1760384802.807521,668620.000,42439,2,PI,1,100,150815
1760384802.847519,668660.000,42439,2,PI,1,100,150791
1760384802.887518,668700.000,42456,3,PI,1,100,150804
1760384802.927517,668740.000,42456,3,PI,1,100,150815
1760384802.967515,668780.000,42456,3,PI,1,100,150812
1760384803.007514,668820.000,42473,2,PI,1,100,150823
1760384803.047513,668860.000,42473,2,PI,1,100,150807
1760384803.087512,668900.000,42489,3,PI,1,100,150834
1760384803.127511,668940.000,42489,3,PI,1,100,150827
1760384803.167509,668980.000,42489,3,PI,1,100,150815
1760384803.207508,669020.000,42505,3,PI,1,100,150828
1760384803.247507,669060.000,42505,3,PI,1,100,150836
1760384803.287505,669100.000,42505,3,PI,1,100,150828
1760384803.327504,669140.000,42521,2,PI,1,100,150823
1760384803.367503,669180.000,42521,2,PI,1,100,150815
1760384803.407501,669220.000,42538,3,PI,1,100,150823
1760384803.447500,669260.000,42538,3,PI,1,100,150821
1760384803.487499,669300.000,42538,3,PI,1,100,150835
1760384803.527498,669340.000,42554,2,PI,1,100,150842
1760384803.567497,669380.000,42554,2,PI,1,100,150849
1760384803.607495,669420.000,42570,3,PI,1,100,150847
1760384803.647494,669460.000,42570,3,PI,1,100,150838
1760384803.687493,669500.000,42570,3,PI,1,100,150874
1760384803.727491,669540.000,42586,2,PI,1,100,150873
1760384803.767490,669580.000,42586,2,PI,1,100,150876
1760384803.807489,669620.000,42603,3,PI,1,100,150873
1760384803.847487,669660.000,42603,3,PI,1,100,150880
1760384803.887486,669700.000,42603,3,PI,1,100,150865
1760384803.927485,669740.000,42620,2,PI,1,100,150863
1760384803.967484,669780.000,42620,2,PI,1,100,150864
1760384804.007482,669820.000,42636,3,PI,1,100,150856
1760384804.047481,669860.000,42636,3,PI,1,100,150857
1760384804.087480,669900.000,42636,3,PI,1,100,150853
1760384804.127479,669940.000,42651,2,PI,1,100,150843
1760384804.167477,669980.000,42651,2,PI,1,100,150855
1760384804.207476,670020.000,42671,3,PI,1,100,150857
1760384804.247475,670060.000,42671,3,PI,1,100,150883
1760384804.287473,670100.000,42671,3,PI,1,100,150870
1760384804.327472,670140.000,42687,3,PI,1,100,150867
1760384804.367471,670180.000,42687,3,PI,1,100,150882
1760384804.407470,670220.000,42687,3,PI,1,100,150889
1760384804.447468,670260.000,42704,2,PI,1,100,150891
1760384804.487467,670300.000,42704,2,PI,1,100,150900
1760384804.527466,670340.000,42719,3,PI,1,100,150900
1760384804.567465,670380.000,42719,3,PI,1,100,150901
1760384804.607463,670420.000,42719,3,PI,1,100,150907
1760384804.647462,670460.000,42736,2,PI,1,100,150900
1760384804.687461,670500.000,42736,2,PI,1,100,150905
1760384804.727459,670540.000,42752,3,PI,1,100,150879
1760384804.767458,670580.000,42752,3,PI,1,100,150884
1760384804.807457,670620.000,42752,3,PI,1,100,150892
1760384804.847456,670660.000,42769,2,PI,1,100,150909
1760384804.887454,670700.000,42769,2,PI,1,100,150892
1760384804.927453,670740.000,42784,3,PI,1,100,150912
1760384804.967452,670780.000,42784,3,PI,1,100,150906
1760384805.007451,670820.000,42784,3,PI,1,100,150909
1760384805.047449,670860.000,42801,2,PI,1,100,150891
1760384805.087448,670900.000,42801,2,PI,1,100,150892
1760384805.127447,670940.000,42817,3,PI,1,100,150907
1760384805.167445,670980.000,42817,3,PI,1,100,150916
1760384805.207444,671020.000,42817,3,PI,1,100,150923
1760384805.247443,671060.000,42835,2,PI,1,100,150922
1760384805.287441,671100.000,42835,2,PI,1,100,150923
1760384805.327440,671140.000,42849,3,PI,1,100,150924
1760384805.367439,671180.000,42849,3,PI,1,100,150921
1760384805.407438,671220.000,42849,3,PI,1,100,150915
1760384805.447437,671260.000,42866,2,PI,1,100,150919
1760384805.487435,671300.000,42866,2,PI,1,100,150914
1760384805.527434,671340.000,42883,3,PI,1,100,150911
1760384805.567433,671380.000,42883,3,PI,1,100,150913
1760384805.607431,671420.000,42883,3,PI,1,100,150910
1760384805.647430,671460.000,42900,3,PI,1,100,150912
1760384805.687429,671500.000,42900,3,PI,1,100,150917
1760384805.727427,671540.000,42900,3,PI,1,100,150922
1760384805.767426,671580.000,42914,2,PI,1,100,150922
1760384805.807425,671620.000,42914,2,PI,1,100,150912
1760384805.847424,671660.000,42931,3,PI,1,100,150916
1760384805.887422,671700.000,42931,3,PI,1,100,150922
1760384805.927421,671740.000,42931,3,PI,1,100,150928
1760384805.967420,671780.000,42948,2,PI,1,100,150924
1760384806.007419,671820.000,42948,2,PI,1,100,150927
1760384806.047417,671860.000,42965,3,PI,1,100,150921
1760384806.087416,671900.000,42965,3,PI,1,100,150931
1760384806.127415,671940.000,42965,3,PI,1,100,150934
1760384806.167413,671980.000,42980,2,PI,1,100,150925
1760384806.207412,672020.000,42980,2,PI,1,100,150937
1760384806.247411,672060.000,42997,3,PI,1,100,150959
1760384806.287410,672100.000,42997,3,PI,1,100,150962
1760384806.327408,672140.000,42997,3,PI,1,100,150940
1760384806.367407,672180.000,43015,2,PI,1,100,150954
1760384806.407406,672220.000,43015,2,PI,1,100,150962
