LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760384912.992005,778808.000,60220,1,SA,1,100,0.000001
1760384913.392992,779209.000,60287,1,SA,1,100,0.000000
1760384913.658984,779475.000,60323,1,SA,1,100,0.000001
1760384913.858977,779675.000,60390,1,SA,1,100,0.000004
1760384914.258965,780075.000,60431,1,SA,1,100,0.000005
1760384914.791948,780608.000,60516,1,SA,1,100,0.000001
1760384915.058939,780875.000,60597,1,SA,1,100,0.000013
1760384915.724918,781541.000,60698,1,SA,1,100,0.000007
1760384916.258901,782075.000,61012,1,SA,1,100,0.000147
1760384918.124841,783941.000,61079,1,SA,1,100,0.000027
1760384918.657824,784474.000,61147,1,SA,1,100,0.000005
1760384918.857818,784674.000,61182,1,SA,1,100,0.000009
1760384919.057811,784874.000,61219,1,SA,1,100,0.000011
1760384919.990782,785807.000,61357,1,SA,1,100,0.000008
1760384920.458767,786275.000,61457,1,SA,1,100,0.000026
1760384921.058748,786875.000,61539,1,SA,1,100,0.000015
1760384921.591731,787408.000,61674,1,SA,1,100,0.000041
1760384922.123714,787940.000,61741,1,SA,1,100,0.000019
1760384922.991686,788808.000,61874,1,SA,1,100,0.000022
1760384923.724663,789541.000,61991,1,SA,1,100,0.000017
1760384924.124650,789941.000,62075,1,SA,1,100,0.000028
1760384924.790629,790607.000,62165,1,SA,1,100,0.000009
1760384925.456607,791273.000,62282,1,SA,1,100,0.000022
1760384925.790597,791607.000,62333,1,SA,1,100,0.000021
1760384926.056588,791873.000,62402,1,SA,1,100,0.000030
1760384926.590571,792407.000,62454,1,SA,1,100,0.000006
1760384927.456543,793273.000,62604,1,SA,1,100,0.000014
1760384927.989527,793806.000,62685,1,SA,1,100,0.000017
1760384928.389514,794206.000,62803,1,SA,1,100,0.000041
1760384929.056493,794873.000,62887,1,SA,1,100,0.000033
