LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760384801.599559,667412.000,42258,1,T1,1,100,31.046
1760384801.733555,667546.000,42280,1,T1,1,100,31.126
1760384801.866551,667679.000,42297,1,T1,1,100,31.125
1760384801.999547,667812.000,42314,1,T1,1,100,31.019
1760384802.133542,667946.000,42330,1,T1,1,100,30.937
1760384802.266538,668079.000,42347,1,T1,1,100,31.008
1760384802.399534,668212.000,42379,1,T1,1,100,31.039
1760384802.533530,668346.000,42395,1,T1,1,100,31.017
1760384802.666525,668479.000,42413,1,T1,1,100,31.043
1760384802.799521,668612.000,42444,1,T1,1,100,31.054
1760384802.932517,668745.000,42461,1,T1,1,100,30.988
1760384803.066512,668879.000,42478,1,T1,1,100,30.995
1760384803.199508,669012.000,42510,1,T1,1,100,30.927
1760384803.332504,669145.000,42526,1,T1,1,100,31.004
1760384803.466500,669279.000,42543,1,T1,1,100,31.002
1760384803.599495,669412.000,42575,1,T1,1,100,31.001
1760384803.732491,669545.000,42591,1,T1,1,100,31.036
1760384803.866487,669679.000,42608,1,T1,1,100,31.086
1760384803.999483,669812.000,42625,1,T1,1,100,31.002
1760384804.132478,669945.000,42656,1,T1,1,100,31.001
1760384804.266474,670079.000,42676,1,T1,1,100,31.071
1760384804.399470,670212.000,42692,1,T1,1,100,30.995
1760384804.532466,670345.000,42724,1,T1,1,100,30.927
1760384804.666461,670479.000,42741,1,T1,1,100,31.039
1760384804.799457,670612.000,42757,1,T1,1,100,30.982
1760384804.932453,670745.000,42789,1,T1,1,100,30.992
1760384805.066449,670879.000,42806,1,T1,1,100,31.067
1760384805.199444,671012.000,42822,1,T1,1,100,30.958
1760384805.332440,671145.000,42854,1,T1,1,100,31.053
1760384805.466436,671279.000,42871,1,T1,1,100,31.094
1760384805.599432,671412.000,42888,1,T1,1,100,31.041
1760384805.732427,671545.000,42919,1,T1,1,100,31.018
1760384805.866423,671679.000,42936,1,T1,1,100,31.079
1760384805.999419,671812.000,42953,1,T1,1,100,30.928
1760384806.132415,671945.000,42970,1,T1,1,100,31.004
1760384806.266410,672079.000,43002,1,T1,1,100,31.073
1760384806.399406,672212.000,43020,1,T1,1,100,30.961
1760384806.532402,672345.000,43037,1,T1,1,100,30.983
1760384806.665398,672478.000,43069,1,T1,1,100,30.993
1760384806.799393,672612.000,43085,1,T1,1,100,30.997
1760384806.932389,672745.000,43108,1,T1,1,100,30.999
1760384807.065385,672878.000,43124,1,T1,1,100,31.035
1760384807.199381,673012.000,43156,1,T1,1,100,31.015
1760384807.332376,673145.000,43173,1,T1,1,100,30.900
1760384807.465372,673278.000,43189,1,T1,1,100,30.957
1760384807.599368,673412.000,43206,1,T1,1,100,31.088
1760384807.732363,673545.000,43238,1,T1,1,100,30.967
1760384807.865359,673678.000,43254,1,T1,1,100,30.986
1760384807.999355,673812.000,43272,1,T1,1,100,31.065
1760384808.132351,673945.000,43303,1,T1,1,100,30.957
1760384808.265347,674078.000,43320,1,T1,1,100,31.017
1760384808.399342,674212.000,43337,1,T1,1,100,31.043
1760384808.532338,674345.000,43369,1,T1,1,100,30.983
1760384808.665334,674478.000,43385,1,T1,1,100,30.993
1760384808.799330,674612.000,43402,1,T1,1,100,31.032
1760384808.932325,674745.000,43434,1,T1,1,100,30.908
1760384809.065321,674878.000,43450,1,T1,1,100,30.960
1760384809.199317,675012.000,43467,1,T1,1,100,31.018
1760384809.332313,675145.000,43499,1,T1,1,100,31.008
1760384809.465308,675278.000,43515,1,T1,1,100,30.932
1760384809.598304,675411.000,43533,1,T1,1,100,30.971
1760384809.732300,675545.000,43564,1,T1,1,100,30.987
1760384809.865295,675678.000,43580,1,T1,1,100,31.030
1760384809.998291,675811.000,43598,1,T1,1,100,30.978
1760384810.132287,675945.000,43614,1,T1,1,100,30.955
