LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760385036.022598,901837.000,15205,1,AY,1,100,-1.134
1760385036.062598,901877.000,15223,2,AY,1,100,-1.379
1760385036.102598,901917.000,15223,2,AY,1,100,-1.270
1760385036.142598,901957.000,15238,3,AY,1,100,-1.146
1760385036.182598,901997.000,15238,3,AY,1,100,-1.160
1760385036.222598,902037.000,15238,3,AY,1,100,-1.060
1760385036.262598,902077.000,15257,2,AY,1,100,-0.988
1760385036.302598,902117.000,15257,2,AY,1,100,-0.922
1760385036.342597,902157.000,15276,3,AY,1,100,-0.915
1760385036.382597,902197.000,15276,3,AY,1,100,-0.918
1760385036.422597,902237.000,15276,3,AY,1,100,-0.905
1760385036.462597,902277.000,15292,2,AY,1,100,-0.868
1760385036.502597,902317.000,15292,2,AY,1,100,-0.919
1760385036.542597,902357.000,15308,3,AY,1,100,-0.981
1760385036.582597,902397.000,15308,3,AY,1,100,-1.002
1760385036.622597,902437.000,15308,3,AY,1,100,-1.061
1760385036.662596,902477.000,15324,2,AY,1,100,-1.070
1760385036.702596,902517.000,15324,2,AY,1,100,-1.161
1760385036.742596,902557.000,15341,3,AY,1,100,-1.299
1760385036.782596,902597.000,15341,3,AY,1,100,-1.165
1760385036.822596,902637.000,15341,3,AY,1,100,-1.079
1760385036.862596,902677.000,15358,3,AY,1,100,-1.123
1760385036.902596,902717.000,15358,3,AY,1,100,-1.086
1760385036.942596,902757.000,15358,3,AY,1,100,-0.990
1760385036.982596,902797.000,15383,3,AY,1,100,-0.946
1760385037.022595,902837.000,15383,3,AY,1,100,-0.928
1760385037.062595,902877.000,15383,3,AY,1,100,-0.924
1760385037.102595,902917.000,15399,3,AY,1,100,-0.898
1760385037.142595,902957.000,15399,3,AY,1,100,-0.927
1760385037.182595,902997.000,15399,3,AY,1,100,-1.006
1760385037.222595,903037.000,15415,2,AY,1,100,-0.983
1760385037.262595,903077.000,15415,2,AY,1,100,-0.964
1760385037.302595,903117.000,15431,3,AY,1,100,-0.998
1760385037.342595,903157.000,15431,3,AY,1,100,-1.010
1760385037.382594,903197.000,15431,3,AY,1,100,-1.094
1760385037.422594,903237.000,15448,3,AY,1,100,-1.367
1760385037.462594,903277.000,15448,3,AY,1,100,-1.281
1760385037.502594,903317.000,15448,3,AY,1,100,-1.108
1760385037.542594,903357.000,15465,2,AY,1,100,-1.123
1760385037.582594,903397.000,15465,2,AY,1,100,-1.068
1760385037.622594,903437.000,15485,3,AY,1,100,-1.054
1760385037.662594,903477.000,15485,3,AY,1,100,-0.964
1760385037.702594,903517.000,15485,3,AY,1,100,-0.954
1760385037.742593,903557.000,15500,2,AY,1,100,-0.931
1760385037.782593,903597.000,15500,2,AY,1,100,-0.919
1760385037.822593,903637.000,15517,3,AY,1,100,-0.892
1760385037.862593,903677.000,15517,3,AY,1,100,-0.938
1760385037.902593,903717.000,15517,3,AY,1,100,-0.949
1760385037.942593,903757.000,15534,2,AY,1,100,-0.972
1760385037.982593,903797.000,15534,2,AY,1,100,-1.031
1760385038.022593,903837.000,15550,3,AY,1,100,-1.086
1760385038.062593,903877.000,15550,3,AY,1,100,-1.075
1760385038.102592,903917.000,15550,3,AY,1,100,-1.307
1760385038.142592,903957.000,15565,2,AY,1,100,-1.234
1760385038.182592,903997.000,15565,2,AY,1,100,-1.054
1760385038.222592,904037.000,15583,3,AY,1,100,-1.101
1760385038.262592,904077.000,15583,3,AY,1,100,-1.030
1760385038.302592,904117.000,15583,3,AY,1,100,-0.978
1760385038.342592,904157.000,15601,2,AY,1,100,-0.986
1760385038.382591,904197.000,15601,2,AY,1,100,-0.997
1760385038.422591,904237.000,15620,3,AY,1,100,-0.955
