LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1760385036.022598,901837.000,15206,1,AZ,1,100,0.185
1760385036.062598,901877.000,15224,2,AZ,1,100,0.131
1760385036.102598,901917.000,15224,2,AZ,1,100,0.086
1760385036.142598,901957.000,15239,3,AZ,1,100,0.101
1760385036.182598,901997.000,15239,3,AZ,1,100,0.144
1760385036.222598,902037.000,15239,3,AZ,1,100,0.111
1760385036.262598,902077.000,15258,2,AZ,1,100,0.063
1760385036.302598,902117.000,15258,2,AZ,1,100,0.088
1760385036.342597,902157.000,15277,3,AZ,1,100,0.066
1760385036.382597,902197.000,15277,3,AZ,1,100,0.080
1760385036.422597,902237.000,15277,3,AZ,1,100,0.079
1760385036.462597,902277.000,15293,2,AZ,1,100,0.094
1760385036.502597,902317.000,15293,2,AZ,1,100,0.124
1760385036.542597,902357.000,15309,3,AZ,1,100,0.150
1760385036.582597,902397.000,15309,3,AZ,1,100,0.171
1760385036.622597,902437.000,15309,3,AZ,1,100,0.199
1760385036.662596,902477.000,15325,2,AZ,1,100,0.187
1760385036.702596,902517.000,15325,2,AZ,1,100,0.148
1760385036.742596,902557.000,15342,3,AZ,1,100,0.161
1760385036.782596,902597.000,15342,3,AZ,1,100,0.183
1760385036.822596,902637.000,15342,3,AZ,1,100,0.223
1760385036.862596,902677.000,15359,3,AZ,1,100,0.191
1760385036.902596,902717.000,15359,3,AZ,1,100,0.168
1760385036.942596,902757.000,15359,3,AZ,1,100,0.186
1760385036.982596,902797.000,15384,3,AZ,1,100,0.144
1760385037.022595,902837.000,15384,3,AZ,1,100,0.118
1760385037.062595,902877.000,15384,3,AZ,1,100,0.131
1760385037.102595,902917.000,15400,3,AZ,1,100,0.161
1760385037.142595,902957.000,15400,3,AZ,1,100,0.181
1760385037.182595,902997.000,15400,3,AZ,1,100,0.218
1760385037.222595,903037.000,15416,2,AZ,1,100,0.202
1760385037.262595,903077.000,15416,2,AZ,1,100,0.190
1760385037.302595,903117.000,15432,3,AZ,1,100,0.157
1760385037.342595,903157.000,15432,3,AZ,1,100,0.160
1760385037.382594,903197.000,15432,3,AZ,1,100,0.142
1760385037.422594,903237.000,15449,3,AZ,1,100,0.116
