LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760385036.213598,902028.000,15247,1,B%,1,100,39
1760385041.213583,907028.000,16085,1,B%,1,100,39
1760385046.213569,912028.000,16921,1,B%,1,100,39
1760385051.212554,917027.000,17776,1,B%,1,100,39
1760385056.211540,922026.000,18617,1,B%,1,100,39
1760385061.211525,927026.000,19456,1,B%,1,100,39
1760385066.210511,932025.000,20289,1,B%,1,100,39
1760385071.210497,937025.000,21128,1,B%,1,100,39
1760385076.210482,942025.000,21980,1,B%,1,100,39
1760385081.209468,947024.000,22820,1,B%,1,100,39
1760385086.208453,952023.000,23657,1,B%,1,100,40
1760385091.208439,957023.000,24491,1,B%,1,100,39
1760385096.207424,962022.000,25325,1,B%,1,100,39
1760385101.207410,967022.000,26179,1,B%,1,100,39
1760385106.206395,972021.000,27021,1,B%,1,100,39
1760385111.206381,977021.000,27856,1,B%,1,100,39
1760385116.205367,982020.000,28692,1,B%,1,100,39
1760385121.205352,987020.000,29546,1,B%,1,100,39
1760385126.205338,992020.000,30386,1,B%,1,100,39
1760385131.204323,997019.000,31224,1,B%,1,100,38
1760385136.203309,1002018.000,32063,1,B%,1,100,39
1760385141.203294,1007018.000,32899,1,B%,1,100,40
1760385146.202280,1012017.000,33722,1,B%,1,100,39
1760385151.202265,1017017.000,34557,1,B%,1,100,38
1760385156.202251,1022017.000,35396,1,B%,1,100,39
1760385161.201236,1027016.000,36234,1,B%,1,100,39
