LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760385036.114598,901929.000,15218,2,EA,1,100,0.039337
1760385036.114598,901929.000,15218,2,EA,1,100,0.039325
1760385036.181598,901996.000,15235,1,EA,1,100,0.039331
1760385036.248098,902062.500,15252,2,EA,1,100,0.039332
1760385036.314598,902129.000,15252,2,EA,1,100,0.039313
1760385036.381597,902196.000,15271,1,EA,1,100,0.039307
1760385036.448097,902262.500,15287,2,EA,1,100,0.039302
1760385036.514597,902329.000,15287,2,EA,1,100,0.039307
1760385036.581597,902396.000,15305,1,EA,1,100,0.039323
1760385036.648097,902462.500,15319,2,EA,1,100,0.039336
1760385036.714596,902529.000,15319,2,EA,1,100,0.039345
1760385036.781596,902596.000,15336,1,EA,1,100,0.039360
1760385036.848096,902662.500,15353,2,EA,1,100,0.039386
1760385036.914596,902729.000,15353,2,EA,1,100,0.039396
1760385036.981096,902795.500,15378,2,EA,1,100,0.039370
1760385037.047596,902862.000,15378,2,EA,1,100,0.039349
1760385037.114595,902929.000,15394,2,EA,1,100,0.039344
1760385037.181595,902996.000,15394,2,EA,1,100,0.039348
1760385037.247595,903062.000,15412,1,EA,1,100,0.039356
1760385037.314595,903129.000,15426,2,EA,1,100,0.039372
1760385037.381594,903196.000,15426,2,EA,1,100,0.039386
1760385037.447594,903262.000,15443,1,EA,1,100,0.039396
1760385037.514594,903329.000,15460,2,EA,1,100,0.039398
1760385037.581594,903396.000,15460,2,EA,1,100,0.039409
1760385037.647594,903462.000,15481,1,EA,1,100,0.039395
1760385037.714593,903529.000,15496,2,EA,1,100,0.039388
1760385037.781593,903596.000,15496,2,EA,1,100,0.039392
1760385037.847593,903662.000,15512,1,EA,1,100,0.039403
1760385037.914093,903728.500,15529,2,EA,1,100,0.039416
1760385037.980593,903795.000,15529,2,EA,1,100,0.039427
1760385038.047592,903862.000,15546,1,EA,1,100,0.039441
1760385038.114092,903928.500,15561,2,EA,1,100,0.039453
1760385038.180592,903995.000,15561,2,EA,1,100,0.039461
1760385038.247592,904062.000,15578,2,EA,1,100,0.039486
1760385038.314592,904129.000,15578,2,EA,1,100,0.039478
1760385038.380592,904195.000,15596,1,EA,1,100,0.039462
1760385038.447591,904262.000,15615,2,EA,1,100,0.039466
1760385038.514591,904329.000,15615,2,EA,1,100,0.039464
1760385038.580591,904395.000,15632,1,EA,1,100,0.039470
1760385038.647591,904462.000,15647,2,EA,1,100,0.039484
1760385038.714591,904529.000,15647,2,EA,1,100,0.039493
1760385038.780590,904595.000,15663,1,EA,1,100,0.039499
1760385038.847590,904662.000,15681,2,EA,1,100,0.039504
1760385038.914590,904729.000,15681,2,EA,1,100,0.039520
1760385038.980590,904795.000,15697,1,EA,1,100,0.039523
1760385039.047590,904862.000,15716,2,EA,1,100,0.039511
