LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1760385036.022598,901837.000,15208,1,GY,1,100,-9.003
1760385036.062598,901877.000,15226,2,GY,1,100,-21.454
1760385036.102598,901917.000,15226,2,GY,1,100,20.294
1760385036.142598,901957.000,15241,3,GY,1,100,58.685
1760385036.182598,901997.000,15241,3,GY,1,100,29.358
1760385036.222598,902037.000,15241,3,GY,1,100,18.372
1760385036.262598,902077.000,15260,2,GY,1,100,65.216
1760385036.302598,902117.000,15260,2,GY,1,100,94.666
1760385036.342597,902157.000,15279,3,GY,1,100,102.081
1760385036.382597,902197.000,15279,3,GY,1,100,77.362
1760385036.422597,902237.000,15279,3,GY,1,100,23.895
1760385036.462597,902277.000,15295,2,GY,1,100,-1.343
1760385036.502597,902317.000,15295,2,GY,1,100,5.188
1760385036.542597,902357.000,15311,3,GY,1,100,9.827
1760385036.582597,902397.000,15311,3,GY,1,100,7.507
1760385036.622597,902437.000,15311,3,GY,1,100,7.385
1760385036.662596,902477.000,15327,2,GY,1,100,-2.625
1760385036.702596,902517.000,15327,2,GY,1,100,-4.059
1760385036.742596,902557.000,15344,3,GY,1,100,3.723
1760385036.782596,902597.000,15344,3,GY,1,100,-30.884
1760385036.822596,902637.000,15344,3,GY,1,100,-85.419
1760385036.862596,902677.000,15361,3,GY,1,100,-134.125
1760385036.902596,902717.000,15361,3,GY,1,100,-106.689
1760385036.942596,902757.000,15361,3,GY,1,100,-28.687
1760385036.982596,902797.000,15386,3,GY,1,100,-16.632
1760385037.022595,902837.000,15386,3,GY,1,100,-38.940
1760385037.062595,902877.000,15386,3,GY,1,100,-49.164
1760385037.102595,902917.000,15402,3,GY,1,100,-43.640
1760385037.142595,902957.000,15402,3,GY,1,100,-30.731
1760385037.182595,902997.000,15402,3,GY,1,100,-24.384
1760385037.222595,903037.000,15418,2,GY,1,100,-21.301
1760385037.262595,903077.000,15418,2,GY,1,100,-1.465
1760385037.302595,903117.000,15434,3,GY,1,100,32.410
1760385037.342595,903157.000,15434,3,GY,1,100,47.974
1760385037.382594,903197.000,15434,3,GY,1,100,16.205
1760385037.422594,903237.000,15451,3,GY,1,100,-14.954
1760385037.462594,903277.000,15451,3,GY,1,100,9.857
1760385037.502594,903317.000,15451,3,GY,1,100,55.786
1760385037.542594,903357.000,15468,2,GY,1,100,64.880
1760385037.582594,903397.000,15468,2,GY,1,100,78.827
1760385037.622594,903437.000,15488,3,GY,1,100,94.574
1760385037.662594,903477.000,15488,3,GY,1,100,78.125
1760385037.702594,903517.000,15488,3,GY,1,100,54.260
1760385037.742593,903557.000,15503,2,GY,1,100,36.804
1760385037.782593,903597.000,15503,2,GY,1,100,16.266
1760385037.822593,903637.000,15520,3,GY,1,100,1.923
1760385037.862593,903677.000,15520,3,GY,1,100,-7.019
1760385037.902593,903717.000,15520,3,GY,1,100,-7.324
1760385037.942593,903757.000,15537,2,GY,1,100,-4.028
1760385037.982593,903797.000,15537,2,GY,1,100,-4.395
1760385038.022593,903837.000,15553,3,GY,1,100,-4.791
1760385038.062593,903877.000,15553,3,GY,1,100,3.784
1760385038.102592,903917.000,15553,3,GY,1,100,22.430
1760385038.142592,903957.000,15568,2,GY,1,100,2.075
1760385038.182592,903997.000,15568,2,GY,1,100,-56.091
1760385038.222592,904037.000,15586,3,GY,1,100,-113.922
1760385038.262592,904077.000,15586,3,GY,1,100,-128.479
1760385038.302592,904117.000,15586,3,GY,1,100,-49.133
1760385038.342592,904157.000,15604,2,GY,1,100,-27.008
1760385038.382591,904197.000,15604,2,GY,1,100,-71.136
1760385038.422591,904237.000,15623,3,GY,1,100,-88.165
1760385038.462591,904277.000,15623,3,GY,1,100,-70.557
1760385038.502591,904317.000,15623,3,GY,1,100,-42.480
1760385038.542591,904357.000,15638,2,GY,1,100,-13.214
1760385038.582591,904397.000,15638,2,GY,1,100,-1.221
1760385038.622591,904437.000,15655,3,GY,1,100,-8.698
1760385038.662591,904477.000,15655,3,GY,1,100,-10.803
1760385038.702591,904517.000,15655,3,GY,1,100,19.043
1760385038.742590,904557.000,15671,3,GY,1,100,31.830
1760385038.782590,904597.000,15671,3,GY,1,100,-7.202
1760385038.822590,904637.000,15671,3,GY,1,100,-10.284
1760385038.862590,904677.000,15689,2,GY,1,100,42.328
1760385038.902590,904717.000,15689,2,GY,1,100,69.458
1760385038.942590,904757.000,15703,3,GY,1,100,50.018
1760385038.982590,904797.000,15703,3,GY,1,100,43.274
1760385039.022590,904837.000,15703,3,GY,1,100,62.897
1760385039.062590,904877.000,15724,2,GY,1,100,71.747
1760385039.102589,904917.000,15724,2,GY,1,100,65.002
1760385039.142589,904957.000,15740,3,GY,1,100,58.502
1760385039.182589,904997.000,15740,3,GY,1,100,46.570
1760385039.222589,905037.000,15740,3,GY,1,100,21.729
1760385039.262589,905077.000,15758,2,GY,1,100,3.723
1760385039.302589,905117.000,15758,2,GY,1,100,0.946
1760385039.337922,905152.333,15772,3,GY,1,100,-9.186
1760385039.373255,905187.667,15772,3,GY,1,100,-34.637
1760385039.408589,905223.000,15772,3,GY,1,100,-32.928
1760385039.448588,905263.000,15789,3,GY,1,100,10.010
1760385039.488588,905303.000,15789,3,GY,1,100,36.163
1760385039.528588,905343.000,15789,3,GY,1,100,0.031
1760385039.568588,905383.000,15806,2,GY,1,100,-96.161
1760385039.608588,905423.000,15806,2,GY,1,100,-136.414
1760385039.648588,905463.000,15825,3,GY,1,100,-67.688
1760385039.688588,905503.000,15825,3,GY,1,100,-23.132
1760385039.728588,905543.000,15825,3,GY,1,100,-44.495
1760385039.768588,905583.000,15841,2,GY,1,100,-65.460
1760385039.808587,905623.000,15841,2,GY,1,100,-68.848
1760385039.848587,905663.000,15859,3,GY,1,100,-54.291
1760385039.888587,905703.000,15859,3,GY,1,100,-42.389
1760385039.928587,905743.000,15859,3,GY,1,100,-34.180
1760385039.968587,905783.000,15875,2,GY,1,100,-19.043
1760385040.008587,905823.000,15875,2,GY,1,100,-9.003
1760385040.048587,905863.000,15892,3,GY,1,100,12.634
1760385040.088587,905903.000,15892,3,GY,1,100,27.405
1760385040.128587,905943.000,15892,3,GY,1,100,12.207
1760385040.168586,905983.000,15907,2,GY,1,100,21.118
1760385040.208586,906023.000,15907,2,GY,1,100,54.810
1760385040.248586,906063.000,15924,3,GY,1,100,61.829
1760385040.288586,906103.000,15924,3,GY,1,100,73.914
1760385040.328586,906143.000,15924,3,GY,1,100,86.639
1760385040.368586,906183.000,15944,2,GY,1,100,90.240
1760385040.408586,906223.000,15944,2,GY,1,100,93.262
1760385040.448586,906263.000,15961,3,GY,1,100,84.961
1760385040.488585,906303.000,15961,3,GY,1,100,77.942
1760385040.528585,906343.000,15961,3,GY,1,100,61.981
1760385040.568585,906383.000,15978,3,GY,1,100,49.652
1760385040.608585,906423.000,15978,3,GY,1,100,43.762
1760385040.648585,906463.000,15978,3,GY,1,100,18.829
1760385040.688585,906503.000,15993,2,GY,1,100,-16.144
1760385040.728585,906543.000,15993,2,GY,1,100,-46.844
1760385040.768585,906583.000,16009,3,GY,1,100,-48.584
1760385040.808584,906623.000,16009,3,GY,1,100,-11.444
1760385040.848584,906663.000,16009,3,GY,1,100,51.941
1760385040.888584,906703.000,16027,2,GY,1,100,20.966
1760385040.928584,906743.000,16027,2,GY,1,100,-81.207
1760385040.968584,906783.000,16045,3,GY,1,100,-156.708
1760385041.008584,906823.000,16045,3,GY,1,100,-100.128
1760385041.048584,906863.000,16045,3,GY,1,100,-54.871
1760385041.088584,906903.000,16062,2,GY,1,100,-64.636
1760385041.128584,906943.000,16062,2,GY,1,100,-57.373
1760385041.168583,906983.000,16079,3,GY,1,100,-40.710
1760385041.208583,907023.000,16079,3,GY,1,100,-21.729
1760385041.248583,907063.000,16079,3,GY,1,100,-7.568
1760385041.288583,907103.000,16098,2,GY,1,100,-2.594
1760385041.328583,907143.000,16098,2,GY,1,100,-0.885
1760385041.368583,907183.000,16114,3,GY,1,100,8.667
1760385041.408583,907223.000,16114,3,GY,1,100,21.393
1760385041.448583,907263.000,16114,3,GY,1,100,33.447
1760385041.488083,907302.500,16129,2,GY,1,100,28.625
1760385041.527582,907342.000,16129,2,GY,1,100,27.588
1760385041.567916,907382.333,16146,3,GY,1,100,59.509
1760385041.608249,907422.667,16146,3,GY,1,100,66.803
1760385041.648582,907463.000,16146,3,GY,1,100,36.255
1760385041.688249,907502.667,16163,3,GY,1,100,38.757
1760385041.727915,907542.333,16163,3,GY,1,100,52.124
1760385041.767582,907582.000,16163,3,GY,1,100,46.814
1760385041.808082,907622.500,16183,2,GY,1,100,66.559
1760385041.848582,907663.000,16183,2,GY,1,100,54.626
1760385041.888248,907702.667,16199,3,GY,1,100,13.611
1760385041.927915,907742.333,16199,3,GY,1,100,1.770
1760385041.967581,907782.000,16199,3,GY,1,100,1.984
1760385042.008081,907822.500,16215,2,GY,1,100,8.698
1760385042.048581,907863.000,16215,2,GY,1,100,15.411
1760385042.088248,907902.667,16239,3,GY,1,100,1.740
1760385042.127914,907942.333,16239,3,GY,1,100,-14.771
1760385042.167581,907982.000,16239,3,GY,1,100,-18.158
1760385042.207581,908022.000,16256,2,GY,1,100,-10.254
1760385042.247580,908062.000,16256,2,GY,1,100,-17.639
1760385042.287580,908102.000,16272,3,GY,1,100,-93.567
1760385042.327580,908142.000,16272,3,GY,1,100,-154.388
1760385042.367580,908182.000,16272,3,GY,1,100,-88.745
1760385042.407580,908222.000,16289,2,GY,1,100,-20.813
1760385042.447580,908262.000,16289,2,GY,1,100,-46.692
1760385042.487580,908302.000,16308,3,GY,1,100,-64.240
1760385042.527580,908342.000,16308,3,GY,1,100,-55.145
1760385042.567580,908382.000,16308,3,GY,1,100,-34.302
1760385042.607579,908422.000,16325,2,GY,1,100,-17.303
1760385042.647579,908462.000,16325,2,GY,1,100,-9.827
1760385042.683579,908498.000,16342,3,GY,1,100,2.014
1760385042.719579,908534.000,16342,3,GY,1,100,22.186
1760385042.755579,908570.000,16342,3,GY,1,100,54.230
1760385042.795579,908610.000,16356,3,GY,1,100,70.160
1760385042.835579,908650.000,16356,3,GY,1,100,36.346
1760385042.875579,908690.000,16356,3,GY,1,100,-0.244
1760385042.915578,908730.000,16374,2,GY,1,100,16.693
1760385042.955578,908770.000,16374,2,GY,1,100,36.224
1760385042.995578,908810.000,16390,3,GY,1,100,25.604
1760385043.035578,908850.000,16390,3,GY,1,100,29.053
1760385043.075578,908890.000,16390,3,GY,1,100,31.525
1760385043.115578,908930.000,16409,2,GY,1,100,25.421
1760385043.155578,908970.000,16409,2,GY,1,100,36.591
1760385043.195578,909010.000,16426,3,GY,1,100,48.126
1760385043.235578,909050.000,16426,3,GY,1,100,30.396
1760385043.275577,909090.000,16426,3,GY,1,100,22.583
1760385043.315577,909130.000,16443,2,GY,1,100,27.313
1760385043.355577,909170.000,16443,2,GY,1,100,26.917
1760385043.395577,909210.000,16459,3,GY,1,100,13.824
1760385043.435577,909250.000,16459,3,GY,1,100,-17.944
1760385043.475577,909290.000,16459,3,GY,1,100,-43.488
1760385043.515577,909330.000,16477,2,GY,1,100,-26.978
1760385043.555577,909370.000,16477,2,GY,1,100,3.906
1760385043.595577,909410.000,16491,3,GY,1,100,-3.662
1760385043.635576,909450.000,16491,3,GY,1,100,-59.326
1760385043.675576,909490.000,16491,3,GY,1,100,-122.162
1760385043.715576,909530.000,16510,3,GY,1,100,-83.160
1760385043.755576,909570.000,16510,3,GY,1,100,-17.456
1760385043.795576,909610.000,16510,3,GY,1,100,-36.652
1760385043.835576,909650.000,16528,2,GY,1,100,-53.894
1760385043.875576,909690.000,16528,2,GY,1,100,-46.570
1760385043.915576,909730.000,16546,3,GY,1,100,-40.924
1760385043.955575,909770.000,16546,3,GY,1,100,-25.116
1760385043.995575,909810.000,16546,3,GY,1,100,2.686
1760385044.035575,909850.000,16560,2,GY,1,100,14.893
1760385044.075575,909890.000,16560,2,GY,1,100,14.709
1760385044.115575,909930.000,16577,3,GY,1,100,12.177
1760385044.155575,909970.000,16577,3,GY,1,100,4.791
1760385044.195575,910010.000,16577,3,GY,1,100,-17.090
1760385044.235575,910050.000,16594,2,GY,1,100,-25.421
1760385044.275574,910090.000,16594,2,GY,1,100,6.836
1760385044.315574,910130.000,16611,3,GY,1,100,38.452
1760385044.355574,910170.000,16611,3,GY,1,100,48.767
1760385044.395574,910210.000,16611,3,GY,1,100,79.651
1760385044.435574,910250.000,16629,2,GY,1,100,91.553
1760385044.475574,910290.000,16629,2,GY,1,100,66.284
1760385044.515240,910329.667,16647,3,GY,1,100,49.316
