LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760385036.022598,901837.000,15209,1,GZ,1,100,-20.844
1760385036.062598,901877.000,15227,2,GZ,1,100,-14.984
1760385036.102598,901917.000,15227,2,GZ,1,100,-33.783
1760385036.142598,901957.000,15242,3,GZ,1,100,-62.988
1760385036.182598,901997.000,15242,3,GZ,1,100,-57.404
1760385036.222598,902037.000,15242,3,GZ,1,100,-40.771
1760385036.262598,902077.000,15261,2,GZ,1,100,-38.208
1760385036.302598,902117.000,15261,2,GZ,1,100,-44.861
1760385036.342597,902157.000,15280,3,GZ,1,100,-48.401
1760385036.382597,902197.000,15280,3,GZ,1,100,-35.858
1760385036.422597,902237.000,15280,3,GZ,1,100,-20.996
1760385036.462597,902277.000,15296,2,GZ,1,100,-14.191
1760385036.502597,902317.000,15296,2,GZ,1,100,-10.315
1760385036.542597,902357.000,15312,3,GZ,1,100,-4.028
1760385036.582597,902397.000,15312,3,GZ,1,100,-0.763
1760385036.622597,902437.000,15312,3,GZ,1,100,-0.427
1760385036.662596,902477.000,15328,2,GZ,1,100,11.749
1760385036.702596,902517.000,15328,2,GZ,1,100,31.952
1760385036.742596,902557.000,15345,3,GZ,1,100,42.267
1760385036.782596,902597.000,15345,3,GZ,1,100,38.910
1760385036.822596,902637.000,15345,3,GZ,1,100,52.582
1760385036.862596,902677.000,15362,3,GZ,1,100,63.354
1760385036.902596,902717.000,15362,3,GZ,1,100,48.401
1760385036.942596,902757.000,15362,3,GZ,1,100,33.661
1760385036.982596,902797.000,15387,3,GZ,1,100,32.318
1760385037.022595,902837.000,15387,3,GZ,1,100,33.173
1760385037.062595,902877.000,15387,3,GZ,1,100,36.133
1760385037.102595,902917.000,15403,3,GZ,1,100,36.255
1760385037.142595,902957.000,15403,3,GZ,1,100,32.288
1760385037.182595,902997.000,15403,3,GZ,1,100,27.710
1760385037.222595,903037.000,15419,2,GZ,1,100,21.179
1760385037.262595,903077.000,15419,2,GZ,1,100,12.207
1760385037.302595,903117.000,15435,3,GZ,1,100,-1.434
1760385037.342595,903157.000,15435,3,GZ,1,100,-16.907
1760385037.382594,903197.000,15435,3,GZ,1,100,-24.323
1760385037.422594,903237.000,15452,3,GZ,1,100,-23.285
1760385037.462594,903277.000,15452,3,GZ,1,100,-32.410
1760385037.502594,903317.000,15452,3,GZ,1,100,-50.690
1760385037.542594,903357.000,15469,2,GZ,1,100,-54.810
1760385037.582594,903397.000,15469,2,GZ,1,100,-55.054
1760385037.622594,903437.000,15489,3,GZ,1,100,-59.418
1760385037.662594,903477.000,15489,3,GZ,1,100,-60.791
1760385037.702594,903517.000,15489,3,GZ,1,100,-59.875
1760385037.742593,903557.000,15504,2,GZ,1,100,-54.565
1760385037.782593,903597.000,15504,2,GZ,1,100,-46.844
1760385037.822593,903637.000,15521,3,GZ,1,100,-40.527
1760385037.862593,903677.000,15521,3,GZ,1,100,-36.591
1760385037.902593,903717.000,15521,3,GZ,1,100,-26.855
1760385037.942593,903757.000,15538,2,GZ,1,100,-13.245
1760385037.982593,903797.000,15538,2,GZ,1,100,1.282
