LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760385036.342597,902157.000,15267,1,HR,1,100,90.69
1760385037.062595,902877.000,15372,1,HR,1,100,89.06
1760385037.662594,903477.000,15475,1,HR,1,100,91.49
1760385038.422591,904237.000,15611,1,HR,1,100,88.70
1760385039.102589,904917.000,15710,1,HR,1,100,88.60
1760385039.782588,905597.000,15831,1,HR,1,100,88.52
1760385040.382586,906197.000,15930,1,HR,1,100,91.07
1760385041.102584,906917.000,16052,1,HR,1,100,89.35
1760385041.861582,907676.000,16169,1,HR,1,100,87.04
1760385042.515580,908330.000,16296,1,HR,1,100,88.53
1760385043.195578,909010.000,16415,1,HR,1,100,88.46
1760385043.835576,909650.000,16516,1,HR,1,100,89.64
1760385044.475574,910290.000,16617,1,HR,1,100,90.55
1760385045.194572,911009.000,16735,1,HR,1,100,88.95
1760385045.834570,911649.000,16854,1,HR,1,100,90.02
1760385046.594568,912409.000,16976,1,HR,1,100,87.56
1760385047.234566,913049.000,17080,1,HR,1,100,88.93
1760385047.914564,913729.000,17199,1,HR,1,100,88.78
1760385048.554562,914369.000,17300,1,HR,1,100,89.88
1760385049.354560,915169.000,17435,1,HR,1,100,86.58
1760385049.914558,915729.000,17537,1,HR,1,100,91.15
1760385050.714556,916529.000,17674,1,HR,1,100,87.56
1760385051.394554,917209.000,17778,1,HR,1,100,87.71
1760385052.074552,917889.000,17897,1,HR,1,100,87.83
1760385052.727550,918542.000,18003,1,HR,1,100,89.14
1760385053.447548,919262.000,18122,1,HR,1,100,87.85
1760385054.047546,919862.000,18225,1,HR,1,100,90.55
1760385054.847544,920662.000,18359,1,HR,1,100,87.10
1760385055.527542,921342.000,18481,1,HR,1,100,87.35
1760385056.167540,921982.000,18582,1,HR,1,100,88.77
1760385056.887538,922702.000,18705,1,HR,1,100,87.56
1760385057.526536,923341.000,18826,1,HR,1,100,88.94
1760385058.206534,924021.000,18933,1,HR,1,100,88.78
1760385058.926532,924741.000,19048,1,HR,1,100,87.57
1760385059.366531,925181.000,19135,1,HR,1,100,98.41
1760385060.246528,926061.000,19269,1,HR,1,100,91.70
1760385060.926526,926741.000,19388,1,HR,1,100,90.93
1760385061.606524,927421.000,19508,1,HR,1,100,90.33
