LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760385036.022598,901837.000,15212,1,MZ,1,100, 5
1760385036.062598,901877.000,15230,2,MZ,1,100, 6
1760385036.102598,901917.000,15230,2,MZ,1,100, 6
1760385036.142598,901957.000,15245,3,MZ,1,100, 7
1760385036.182598,901997.000,15245,3,MZ,1,100, 8
1760385036.222598,902037.000,15245,3,MZ,1,100, 8
1760385036.262598,902077.000,15264,2,MZ,1,100, 9
1760385036.302598,902117.000,15264,2,MZ,1,100,11
1760385036.342597,902157.000,15283,3,MZ,1,100,13
1760385036.382597,902197.000,15283,3,MZ,1,100,13
1760385036.422597,902237.000,15283,3,MZ,1,100,14
1760385036.462597,902277.000,15299,2,MZ,1,100,13
1760385036.502597,902317.000,15299,2,MZ,1,100,15
1760385036.542597,902357.000,15315,3,MZ,1,100,15
1760385036.582597,902397.000,15315,3,MZ,1,100,13
1760385036.622597,902437.000,15315,3,MZ,1,100,15
1760385036.662596,902477.000,15331,2,MZ,1,100,14
1760385036.702596,902517.000,15331,2,MZ,1,100,15
1760385036.742596,902557.000,15348,3,MZ,1,100,14
1760385036.782596,902597.000,15348,3,MZ,1,100,13
1760385036.822596,902637.000,15348,3,MZ,1,100,11
1760385036.862596,902677.000,15365,3,MZ,1,100, 9
1760385036.902596,902717.000,15365,3,MZ,1,100, 7
1760385036.942596,902757.000,15365,3,MZ,1,100, 6
1760385036.982596,902797.000,15390,3,MZ,1,100, 5
1760385037.022595,902837.000,15390,3,MZ,1,100, 6
1760385037.062595,902877.000,15390,3,MZ,1,100, 5
1760385037.102595,902917.000,15406,3,MZ,1,100, 4
1760385037.142595,902957.000,15406,3,MZ,1,100, 4
1760385037.182595,902997.000,15406,3,MZ,1,100, 3
1760385037.222595,903037.000,15422,2,MZ,1,100, 3
1760385037.262595,903077.000,15422,2,MZ,1,100, 3
1760385037.302595,903117.000,15438,3,MZ,1,100, 3
1760385037.342595,903157.000,15438,3,MZ,1,100, 4
1760385037.382594,903197.000,15438,3,MZ,1,100, 3
1760385037.422594,903237.000,15455,3,MZ,1,100, 5
1760385037.462594,903277.000,15455,3,MZ,1,100, 5
1760385037.502594,903317.000,15455,3,MZ,1,100, 5
1760385037.542594,903357.000,15472,2,MZ,1,100, 7
1760385037.582594,903397.000,15472,2,MZ,1,100, 8
1760385037.622594,903437.000,15492,3,MZ,1,100,12
1760385037.662594,903477.000,15492,3,MZ,1,100,12
1760385037.702594,903517.000,15492,3,MZ,1,100,12
1760385037.742593,903557.000,15507,2,MZ,1,100,13
1760385037.782593,903597.000,15507,2,MZ,1,100,14
1760385037.822593,903637.000,15524,3,MZ,1,100,13
1760385037.862593,903677.000,15524,3,MZ,1,100,14
1760385037.902593,903717.000,15524,3,MZ,1,100,14
1760385037.942593,903757.000,15541,2,MZ,1,100,15
