LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760385036.022598,901837.000,15203,1,PG,1,100,7326
1760385036.062598,901877.000,15217,2,PG,1,100,7337
1760385036.102598,901917.000,15217,2,PG,1,100,7337
1760385036.142598,901957.000,15234,3,PG,1,100,7322
1760385036.182598,901997.000,15234,3,PG,1,100,7314
1760385036.222598,902037.000,15234,3,PG,1,100,7325
1760385036.262598,902077.000,15251,2,PG,1,100,7317
1760385036.302598,902117.000,15251,2,PG,1,100,7323
1760385036.342597,902157.000,15270,3,PG,1,100,7353
1760385036.382597,902197.000,15270,3,PG,1,100,7354
1760385036.422597,902237.000,15270,3,PG,1,100,7336
1760385036.462597,902277.000,15286,2,PG,1,100,7342
1760385036.502597,902317.000,15286,2,PG,1,100,7331
1760385036.542597,902357.000,15304,3,PG,1,100,7349
1760385036.582597,902397.000,15304,3,PG,1,100,7343
1760385036.622597,902437.000,15304,3,PG,1,100,7331
1760385036.662596,902477.000,15318,2,PG,1,100,7330
1760385036.702596,902517.000,15318,2,PG,1,100,7314
1760385036.742596,902557.000,15335,3,PG,1,100,7315
1760385036.782596,902597.000,15335,3,PG,1,100,7313
1760385036.822596,902637.000,15335,3,PG,1,100,7316
1760385036.862596,902677.000,15352,3,PG,1,100,7321
1760385036.902596,902717.000,15352,3,PG,1,100,7326
1760385036.942596,902757.000,15352,3,PG,1,100,7324
1760385036.982596,902797.000,15377,3,PG,1,100,7342
1760385037.022595,902837.000,15377,3,PG,1,100,7339
1760385037.062595,902877.000,15377,3,PG,1,100,7335
1760385037.102595,902917.000,15393,3,PG,1,100,7332
1760385037.142595,902957.000,15393,3,PG,1,100,7336
1760385037.182595,902997.000,15393,3,PG,1,100,7337
1760385037.222595,903037.000,15411,2,PG,1,100,7332
1760385037.262595,903077.000,15411,2,PG,1,100,7340
1760385037.302595,903117.000,15425,3,PG,1,100,7344
1760385037.342595,903157.000,15425,3,PG,1,100,7338
1760385037.382594,903197.000,15425,3,PG,1,100,7334
1760385037.422594,903237.000,15442,3,PG,1,100,7330
1760385037.462594,903277.000,15442,3,PG,1,100,7326
1760385037.502594,903317.000,15442,3,PG,1,100,7335
1760385037.542594,903357.000,15459,2,PG,1,100,7334
1760385037.582594,903397.000,15459,2,PG,1,100,7336
1760385037.622594,903437.000,15480,3,PG,1,100,7330
1760385037.662594,903477.000,15480,3,PG,1,100,7333
1760385037.702594,903517.000,15480,3,PG,1,100,7345
1760385037.742593,903557.000,15495,2,PG,1,100,7345
1760385037.782593,903597.000,15495,2,PG,1,100,7350
1760385037.822593,903637.000,15511,3,PG,1,100,7347
1760385037.862593,903677.000,15511,3,PG,1,100,7342
1760385037.902593,903717.000,15511,3,PG,1,100,7347
1760385037.942593,903757.000,15528,2,PG,1,100,7333
1760385037.982593,903797.000,15528,2,PG,1,100,7340
1760385038.022593,903837.000,15545,3,PG,1,100,7322
1760385038.062593,903877.000,15545,3,PG,1,100,7340
1760385038.102592,903917.000,15545,3,PG,1,100,7338
1760385038.142592,903957.000,15560,2,PG,1,100,7330
1760385038.182592,903997.000,15560,2,PG,1,100,7335
1760385038.222592,904037.000,15577,3,PG,1,100,7334
1760385038.262592,904077.000,15577,3,PG,1,100,7326
1760385038.302592,904117.000,15577,3,PG,1,100,7334
1760385038.342592,904157.000,15595,2,PG,1,100,7331
1760385038.382591,904197.000,15595,2,PG,1,100,7331
1760385038.422591,904237.000,15614,3,PG,1,100,7346
1760385038.462591,904277.000,15614,3,PG,1,100,7352
1760385038.502591,904317.000,15614,3,PG,1,100,7349
1760385038.542591,904357.000,15631,2,PG,1,100,7360
1760385038.582591,904397.000,15631,2,PG,1,100,7349
1760385038.622591,904437.000,15646,3,PG,1,100,7344
1760385038.662591,904477.000,15646,3,PG,1,100,7350
1760385038.702591,904517.000,15646,3,PG,1,100,7343
1760385038.742590,904557.000,15662,3,PG,1,100,7352
1760385038.782590,904597.000,15662,3,PG,1,100,7348
1760385038.822590,904637.000,15662,3,PG,1,100,7353
1760385038.862590,904677.000,15680,2,PG,1,100,7342
1760385038.902590,904717.000,15680,2,PG,1,100,7341
1760385038.942590,904757.000,15696,3,PG,1,100,7342
1760385038.982590,904797.000,15696,3,PG,1,100,7341
1760385039.022590,904837.000,15696,3,PG,1,100,7332
1760385039.062590,904877.000,15715,2,PG,1,100,7352
1760385039.102589,904917.000,15715,2,PG,1,100,7346
1760385039.142589,904957.000,15731,3,PG,1,100,7345
1760385039.182589,904997.000,15731,3,PG,1,100,7337
1760385039.222589,905037.000,15731,3,PG,1,100,7349
1760385039.262589,905077.000,15749,2,PG,1,100,7346
1760385039.302589,905117.000,15749,2,PG,1,100,7339
1760385039.342589,905157.000,15765,3,PG,1,100,7349
1760385039.382589,905197.000,15765,3,PG,1,100,7353
1760385039.422589,905237.000,15765,3,PG,1,100,7345
1760385039.462588,905277.000,15780,2,PG,1,100,7345
1760385039.502588,905317.000,15780,2,PG,1,100,7329
1760385039.542588,905357.000,15797,3,PG,1,100,7336
1760385039.582588,905397.000,15797,3,PG,1,100,7340
1760385039.622588,905437.000,15797,3,PG,1,100,7343
1760385039.662588,905477.000,15816,2,PG,1,100,7347
1760385039.702588,905517.000,15816,2,PG,1,100,7347
1760385039.742588,905557.000,15834,3,PG,1,100,7350
1760385039.782588,905597.000,15834,3,PG,1,100,7361
1760385039.822587,905637.000,15834,3,PG,1,100,7348
1760385039.862587,905677.000,15850,2,PG,1,100,7361
1760385039.902587,905717.000,15850,2,PG,1,100,7358
1760385039.942587,905757.000,15866,3,PG,1,100,7360
