LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760385036.991596,902806,15369,2,RD,1,100,TL,TU
1760385042.108581,907923,16224,2,RD,1,100,TL,TU
1760385047.211566,913026,17076,2,RD,1,100,TL,TU
1760385052.319551,918134,17933,2,RD,1,100,TL,TU
1760385057.442536,923257,18805,2,RD,1,100,TL,TU
1760385062.550522,928365,19662,2,RD,1,100,TL,TU
1760385067.683507,933498,20530,2,RD,1,100,TL,TU
1760385072.793492,938608,21383,2,RD,1,100,TL,TU
1760385077.902477,943717,22235,2,RD,1,100,TL,TU
1760385083.010463,948825,23095,2,RD,1,100,TL,TU
1760385088.143448,953958,23963,2,RD,1,100,TL,TU
1760385093.251433,959066,24816,2,RD,1,100,TL,TU
1760385098.377418,964192,25683,2,RD,1,100,TL,TU
1760385103.485403,969300,26541,2,RD,1,100,TL,TU
1760385108.593389,974408,27394,2,RD,1,100,TL,TU
1760385113.736374,979551,28264,2,RD,1,100,TL,TU
1760385118.843359,984658,29120,2,RD,1,100,TL,TU
1760385123.988344,989803,29989,2,RD,1,100,TL,TU
1760385129.096329,994911,30845,2,RD,1,100,TL,TU
1760385134.205314,1000020,31700,2,RD,1,100,TL,TU
1760385139.319300,1005134,32557,2,RD,1,100,TL,TU
1760385144.420285,1010235,33411,2,RD,1,100,TL,TU
1760385149.539270,1015354,34266,2,RD,1,100,TL,TU
1760385154.657255,1020472,35118,2,RD,1,100,TL,TU
1760385159.775240,1025590,35976,2,RD,1,100,TL,TU
