LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760385035.981598,901796.000,15213,1,SA,1,100,0.000012
1760385036.581597,902396.000,15373,1,SA,1,100,0.000073
1760385037.315595,903130.000,15476,1,SA,1,100,0.000037
1760385037.847593,903662.000,15591,1,SA,1,100,0.000075
1760385038.580591,904395.000,15711,1,SA,1,100,0.000052
1760385039.248589,905063.000,15812,1,SA,1,100,0.000094
1760385040.048587,905863.000,15931,1,SA,1,100,0.000060
1760385040.581585,906396.000,16032,1,SA,1,100,0.000077
1760385041.381583,907196.000,16170,1,SA,1,100,0.000036
1760385041.981581,907796.000,16277,1,SA,1,100,0.000093
1760385042.780579,908595.000,16396,1,SA,1,100,0.000040
1760385043.314577,909129.000,16497,1,SA,1,100,0.000087
1760385044.247575,910062.000,16618,1,SA,1,100,0.000023
1760385044.647573,910462.000,16736,1,SA,1,100,0.000084
1760385045.513571,911328.000,16820,1,SA,1,100,0.000007
1760385046.113569,911928.000,16956,1,SA,1,100,0.000073
1760385046.847567,912662.000,17097,1,SA,1,100,0.000054
1760385047.447565,913262.000,17200,1,SA,1,100,0.000073
1760385048.113563,913928.000,17318,1,SA,1,100,0.000068
1760385048.780561,914595.000,17436,1,SA,1,100,0.000076
1760385049.513559,915328.000,17538,1,SA,1,100,0.000060
1760385050.246557,916061.000,17655,1,SA,1,100,0.000062
1760385050.846555,916661.000,17724,1,SA,1,100,0.000023
1760385051.113555,916928.000,17779,1,SA,1,100,0.000035
1760385051.513554,917328.000,17898,1,SA,1,100,0.000092
1760385052.379551,918194.000,18004,1,SA,1,100,0.000044
1760385052.912549,918727.000,18123,1,SA,1,100,0.000076
1760385053.580548,919395.000,18190,1,SA,1,100,0.000027
1760385053.912547,919727.000,18226,1,SA,1,100,0.000012
1760385054.380545,920195.000,18360,1,SA,1,100,0.000053
1760385055.246543,921061.000,18461,1,SA,1,100,0.000026
1760385055.645542,921460.000,18564,1,SA,1,100,0.000078
1760385056.379539,922194.000,18650,1,SA,1,100,0.000009
1760385056.645539,922460.000,18686,1,SA,1,100,0.000020
1760385057.113537,922928.000,18827,1,SA,1,100,0.000058
1760385057.712536,923527.000,18877,1,SA,1,100,0.000020
1760385057.979535,923794.000,18913,1,SA,1,100,0.000015
1760385058.312534,924127.000,19049,1,SA,1,100,0.000111
1760385059.312531,925127.000,19150,1,SA,1,100,0.000022
1760385059.712530,925527.000,19270,1,SA,1,100,0.000084
1760385060.512527,926327.000,19369,1,SA,1,100,0.000037
1760385061.112526,926927.000,19490,1,SA,1,100,0.000082
1760385061.845524,927660.000,19591,1,SA,1,100,0.000047
1760385062.512522,928327.000,19716,1,SA,1,100,0.000080
1760385063.178520,928993.000,19835,1,SA,1,100,0.000071
1760385063.845518,929660.000,19953,1,SA,1,100,0.000063
1760385064.578516,930393.000,20054,1,SA,1,100,0.000061
1760385065.245514,931060.000,20173,1,SA,1,100,0.000057
1760385065.911512,931726.000,20291,1,SA,1,100,0.000056
1760385066.711510,932526.000,20409,1,SA,1,100,0.000061
1760385067.311508,933126.000,20509,1,SA,1,100,0.000037
1760385067.911506,933726.000,20652,1,SA,1,100,0.000078
1760385068.578504,934393.000,20752,1,SA,1,100,0.000073
1760385069.377502,935192.000,20870,1,SA,1,100,0.000086
1760385069.977500,935792.000,20973,1,SA,1,100,0.000048
1760385070.711498,936526.000,21090,1,SA,1,100,0.000076
1760385071.577496,937392.000,21195,1,SA,1,100,0.000021
1760385071.910495,937725.000,21331,1,SA,1,100,0.000091
1760385072.644492,938459.000,21437,1,SA,1,100,0.000068
1760385073.310491,939125.000,21557,1,SA,1,100,0.000116
1760385074.110488,939925.000,21656,1,SA,1,100,0.000066
1760385074.778486,940593.000,21775,1,SA,1,100,0.000079
1760385075.443484,941258.000,21876,1,SA,1,100,0.000045
