LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760385036.314598,902129.000,15248,1,SF,1,100,109.8665
1760385036.581597,902396.000,15301,1,SF,1,100,108.5956
1760385036.914596,902729.000,15349,1,SF,1,100,107.3393
1760385037.247595,903062.000,15408,1,SF,1,100,108.1799
1760385037.581594,903396.000,15456,1,SF,1,100,106.9284
1760385037.980593,903795.000,15525,1,SF,1,100,107.7737
1760385038.314592,904129.000,15574,1,SF,1,100,106.5270
1760385038.580591,904395.000,15628,1,SF,1,100,107.3769
1760385038.914590,904729.000,15677,1,SF,1,100,106.1348
1760385039.314589,905129.000,15746,1,SF,1,100,106.9893
1760385039.580588,905395.000,15794,1,SF,1,100,105.7516
1760385039.914587,905729.000,15847,1,SF,1,100,106.6105
1760385040.314586,906129.000,15913,1,SF,1,100,105.3773
1760385040.647585,906462.000,15966,1,SF,1,100,106.2405
1760385040.914584,906729.000,16015,1,SF,1,100,105.0115
1760385041.247583,907062.000,16067,1,SF,1,100,105.8790
1760385041.647582,907462.000,16134,1,SF,1,100,104.6542
1760385041.913581,907728.000,16189,1,SF,1,100,105.5258
1760385042.247580,908062.000,16244,1,SF,1,100,104.3050
1760385042.647579,908462.000,16313,1,SF,1,100,105.1807
1760385042.980578,908795.000,16362,1,SF,1,100,103.9639
1760385043.247577,909062.000,16416,1,SF,1,100,104.8435
1760385043.580576,909395.000,16465,1,SF,1,100,103.6307
1760385043.980575,909795.000,16534,1,SF,1,100,104.5141
1760385044.247575,910062.000,16582,1,SF,1,100,103.3051
1760385044.580574,910395.000,16635,1,SF,1,100,104.1923
1760385044.980572,910795.000,16701,1,SF,1,100,102.9870
1760385045.313571,911128.000,16754,1,SF,1,100,103.8779
1760385045.580571,911395.000,16803,1,SF,1,100,102.6762
1760385045.913570,911728.000,16855,1,SF,1,100,103.5707
1760385046.313569,912128.000,16922,1,SF,1,100,102.3726
1760385046.580568,912395.000,16977,1,SF,1,100,103.2706
1760385046.913567,912728.000,17025,1,SF,1,100,102.0760
1760385047.313566,913128.000,17099,1,SF,1,100,102.9774
1760385047.646565,913461.000,17148,1,SF,1,100,101.7862
1760385047.913564,913728.000,17202,1,SF,1,100,102.6909
1760385048.246563,914061.000,17251,1,SF,1,100,101.5030
1760385048.646562,914461.000,17320,1,SF,1,100,102.4111
1760385048.913561,914728.000,17368,1,SF,1,100,101.2264
1760385049.246560,915061.000,17418,1,SF,1,100,100.0554
1760385049.646559,915461.000,17487,1,SF,1,100,100.9802
1760385049.979558,915794.000,17540,1,SF,1,100,101.8943
1760385050.246557,916061.000,17589,1,SF,1,100,100.7156
1760385050.579556,916394.000,17637,1,SF,1,100,99.5505
1760385050.979555,916794.000,17706,1,SF,1,100,100.4811
1760385051.246554,917061.000,17759,1,SF,1,100,101.4010
1760385051.579553,917394.000,17813,1,SF,1,100,102.3103
1760385051.912552,917727.000,17862,1,SF,1,100,101.1267
1760385052.312551,918127.000,17936,1,SF,1,100,102.0391
1760385052.579551,918394.000,17986,1,SF,1,100,100.8587
1760385052.912549,918727.000,18039,1,SF,1,100,101.7743
1760385053.246549,919061.000,18087,1,SF,1,100,100.5969
1760385053.646547,919461.000,18156,1,SF,1,100,101.5155
1760385053.912547,919727.000,18209,1,SF,1,100,102.4234
1760385054.246546,920061.000,18261,1,SF,1,100,103.3208
1760385054.645545,920460.000,18326,1,SF,1,100,102.1256
1760385054.912544,920727.000,18379,1,SF,1,100,103.0264
1760385055.246543,921061.000,18428,1,SF,1,100,101.8346
1760385055.579542,921394.000,18482,1,SF,1,100,102.7388
1760385055.979541,921794.000,18547,1,SF,1,100,101.5503
1760385056.245540,922060.000,18599,1,SF,1,100,102.4578
1760385056.579539,922394.000,18652,1,SF,1,100,103.3549
1760385056.979538,922794.000,18721,1,SF,1,100,104.2415
1760385057.245537,923060.000,18771,1,SF,1,100,103.0356
1760385057.579536,923394.000,18829,1,SF,1,100,103.9259
1760385057.912535,923727.000,18879,1,SF,1,100,104.8060
1760385058.312534,924127.000,18948,1,SF,1,100,105.6758
1760385058.578533,924393.000,18999,1,SF,1,100,104.4534
1760385058.912532,924727.000,19051,1,SF,1,100,105.3273
1760385059.312531,925127.000,19116,1,SF,1,100,104.1089
1760385059.578530,925393.000,19169,1,SF,1,100,104.9868
1760385059.912529,925727.000,19218,1,SF,1,100,103.7723
1760385060.245528,926060.000,19272,1,SF,1,100,104.6541
1760385060.645527,926460.000,19337,1,SF,1,100,103.4434
1760385060.912526,926727.000,19389,1,SF,1,100,104.3290
1760385061.245525,927060.000,19438,1,SF,1,100,103.1222
1760385061.645524,927460.000,19509,1,SF,1,100,104.0115
1760385061.911524,927726.000,19559,1,SF,1,100,102.8083
1760385062.245522,928060.000,19612,1,SF,1,100,103.7012
1760385062.578521,928393.000,19665,1,SF,1,100,102.5016
1760385062.978520,928793.000,19734,1,SF,1,100,103.3981
1760385063.245520,929060.000,19785,1,SF,1,100,102.2020
1760385063.578519,929393.000,19837,1,SF,1,100,103.1020
1760385063.978518,929793.000,19902,1,SF,1,100,101.9093
1760385064.245517,930060.000,19955,1,SF,1,100,102.8127
1760385064.578516,930393.000,20004,1,SF,1,100,101.6233
1760385064.911515,930726.000,20056,1,SF,1,100,102.5300
1760385065.311514,931126.000,20123,1,SF,1,100,101.3439
1760385065.578513,931393.000,20175,1,SF,1,100,102.2538
1760385065.911512,931726.000,20224,1,SF,1,100,101.0709
1760385066.311511,932126.000,20293,1,SF,1,100,101.9840
1760385066.578510,932393.000,20343,1,SF,1,100,100.8042
1760385066.911509,932726.000,20392,1,SF,1,100,99.6381
1760385067.244508,933059.000,20444,1,SF,1,100,100.5677
1760385067.644507,933459.000,20511,1,SF,1,100,101.4866
1760385067.911506,933726.000,20569,1,SF,1,100,100.3126
1760385068.244505,934059.000,20617,1,SF,1,100,99.1522
1760385068.644504,934459.000,20686,1,SF,1,100,100.0874
1760385068.977503,934792.000,20735,1,SF,1,100,98.9296
1760385069.244502,935059.000,20789,1,SF,1,100,99.8675
1760385069.577501,935392.000,20838,1,SF,1,100,98.7122
1760385069.977500,935792.000,20907,1,SF,1,100,99.6525
1760385070.311499,936126.000,20955,1,SF,1,100,98.4997
1760385070.577498,936392.000,21010,1,SF,1,100,99.4425
1760385070.911498,936726.000,21058,1,SF,1,100,98.2922
1760385071.311496,937126.000,21129,1,SF,1,100,99.2374
1760385071.577496,937392.000,21178,1,SF,1,100,98.0894
1760385071.910495,937725.000,21230,1,SF,1,100,99.0369
1760385072.310493,938125.000,21296,1,SF,1,100,97.8913
1760385072.577493,938392.000,21350,1,SF,1,100,98.8411
1760385072.910492,938725.000,21403,1,SF,1,100,97.6977
1760385073.244491,939059.000,21456,1,SF,1,100,98.6498
1760385073.644490,939459.000,21521,1,SF,1,100,97.5086
1760385073.910489,939725.000,21575,1,SF,1,100,98.4629
1760385074.244488,940059.000,21624,1,SF,1,100,97.3238
1760385074.643487,940458.000,21693,1,SF,1,100,98.2803
1760385074.977486,940792.000,21741,1,SF,1,100,97.1433
1760385075.243485,941058.000,21796,1,SF,1,100,98.1018
1760385075.577484,941392.000,21844,1,SF,1,100,96.9670
1760385075.977483,941792.000,21913,1,SF,1,100,97.9275
1760385076.243482,942058.000,21962,1,SF,1,100,96.7947
1760385076.577481,942392.000,22016,1,SF,1,100,97.7572
1760385076.977480,942792.000,22082,1,SF,1,100,96.6263
1760385077.310479,943125.000,22136,1,SF,1,100,97.5908
1760385077.577478,943392.000,22184,1,SF,1,100,96.4619
1760385077.910477,943725.000,22242,1,SF,1,100,97.4283
1760385078.243476,944058.000,22292,1,SF,1,100,96.3012
1760385078.643475,944458.000,22361,1,SF,1,100,97.2694
1760385078.910474,944725.000,22412,1,SF,1,100,98.2265
1760385079.243473,945058.000,22462,1,SF,1,100,99.1724
1760385079.643472,945458.000,22529,1,SF,1,100,98.0252
1760385079.910471,945725.000,22584,1,SF,1,100,98.9735
1760385080.243470,946058.000,22632,1,SF,1,100,97.8285
1760385080.576469,946391.000,22683,1,SF,1,100,98.7791
1760385080.976468,946791.000,22750,1,SF,1,100,97.6364
1760385081.243468,947058.000,22804,1,SF,1,100,98.5892
1760385081.576467,947391.000,22855,1,SF,1,100,97.4487
1760385081.976465,947791.000,22924,1,SF,1,100,98.4037
1760385082.243465,948058.000,22972,1,SF,1,100,97.2653
1760385082.576464,948391.000,23027,1,SF,1,100,98.2224
1760385082.909463,948724.000,23075,1,SF,1,100,97.0862
1760385083.309462,949124.000,23145,1,SF,1,100,95.9631
1760385083.576461,949391.000,23198,1,SF,1,100,96.9352
1760385083.909460,949724.000,23247,1,SF,1,100,95.8139
1760385084.243459,950058.000,23301,1,SF,1,100,96.7877
1760385084.642458,950457.000,23366,1,SF,1,100,95.6681
1760385084.909457,950724.000,23418,1,SF,1,100,96.6436
1760385085.242456,951057.000,23467,1,SF,1,100,95.5257
1760385085.642455,951457.000,23536,1,SF,1,100,96.5029
1760385085.909454,951724.000,23586,1,SF,1,100,95.3865
1760385086.242453,952057.000,23639,1,SF,1,100,96.3653
1760385086.576452,952391.000,23689,1,SF,1,100,95.2506
1760385086.976451,952791.000,23758,1,SF,1,100,96.2309
1760385087.242450,953057.000,23809,1,SF,1,100,95.1177
1760385087.576449,953391.000,23861,1,SF,1,100,96.0997
1760385087.976448,953791.000,23926,1,SF,1,100,94.9880
1760385088.242447,954057.000,23984,1,SF,1,100,95.9714
1760385088.575446,954390.000,24033,1,SF,1,100,94.8612
1760385088.909446,954724.000,24087,1,SF,1,100,95.8461
1760385089.309444,955124.000,24152,1,SF,1,100,94.7373
1760385089.575444,955390.000,24204,1,SF,1,100,95.7237
1760385089.909443,955724.000,24253,1,SF,1,100,94.6163
1760385090.309441,956124.000,24322,1,SF,1,100,95.6040
1760385090.575441,956390.000,24372,1,SF,1,100,94.4981
1760385090.909440,956724.000,24425,1,SF,1,100,95.4872
1760385091.242439,957057.000,24473,1,SF,1,100,94.3826
1760385091.642437,957457.000,24544,1,SF,1,100,95.3730
1760385091.908437,957723.000,24595,1,SF,1,100,94.2697
1760385092.242436,958057.000,24647,1,SF,1,100,95.2615
1760385092.642435,958457.000,24712,1,SF,1,100,94.1595
1760385092.908434,958723.000,24763,1,SF,1,100,93.0702
1760385093.242433,959057.000,24819,1,SF,1,100,94.0758
1760385093.575432,959390.000,24869,1,SF,1,100,92.9876
1760385093.975431,959790.000,24938,1,SF,1,100,93.9941
1760385094.242430,960057.000,24986,1,SF,1,100,92.9068
1760385094.575429,960390.000,25039,1,SF,1,100,93.9143
1760385094.975428,960790.000,25104,1,SF,1,100,92.8279
