LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760385036.122598,901937.000,15221,1,TH,1,100,29.596
1760385036.255598,902070.000,15255,1,TH,1,100,29.596
1760385036.389597,902204.000,15274,1,TH,1,100,29.687
1760385036.522597,902337.000,15290,1,TH,1,100,29.687
1760385036.655596,902470.000,15322,1,TH,1,100,29.662
1760385036.789596,902604.000,15339,1,TH,1,100,29.662
1760385036.922596,902737.000,15356,1,TH,1,100,29.638
1760385037.055595,902870.000,15381,1,TH,1,100,29.645
1760385037.189595,903004.000,15397,1,TH,1,100,29.647
1760385037.322595,903137.000,15429,1,TH,1,100,29.647
1760385037.455594,903270.000,15446,1,TH,1,100,29.573
1760385037.589594,903404.000,15463,1,TH,1,100,29.573
1760385037.722594,903537.000,15498,1,TH,1,100,29.619
1760385037.855593,903670.000,15515,1,TH,1,100,29.619
1760385037.989593,903804.000,15532,1,TH,1,100,29.597
1760385038.122592,903937.000,15563,1,TH,1,100,29.597
1760385038.255592,904070.000,15581,1,TH,1,100,29.659
1760385038.389591,904204.000,15599,1,TH,1,100,29.659
1760385038.522591,904337.000,15618,1,TH,1,100,29.637
1760385038.655591,904470.000,15650,1,TH,1,100,29.637
1760385038.788590,904603.000,15666,1,TH,1,100,29.694
1760385038.922590,904737.000,15684,1,TH,1,100,29.694
1760385039.055590,904870.000,15719,1,TH,1,100,29.659
1760385039.188589,905003.000,15735,1,TH,1,100,29.659
1760385039.322589,905137.000,15753,1,TH,1,100,29.563
1760385039.455588,905270.000,15784,1,TH,1,100,29.570
1760385039.588588,905403.000,15801,1,TH,1,100,29.661
1760385039.722588,905537.000,15820,1,TH,1,100,29.661
1760385039.855587,905670.000,15854,1,TH,1,100,29.696
1760385039.988587,905803.000,15870,1,TH,1,100,29.696
1760385040.122586,905937.000,15887,1,TH,1,100,29.654
1760385040.255586,906070.000,15919,1,TH,1,100,29.654
1760385040.388586,906203.000,15939,1,TH,1,100,29.616
1760385040.522585,906337.000,15956,1,TH,1,100,29.616
1760385040.655585,906470.000,15973,1,TH,1,100,29.681
1760385040.788585,906603.000,16004,1,TH,1,100,29.681
1760385040.922584,906737.000,16022,1,TH,1,100,29.659
1760385041.055584,906870.000,16040,1,TH,1,100,29.666
1760385041.188583,907003.000,16074,1,TH,1,100,29.713
1760385041.321583,907136.000,16093,1,TH,1,100,29.713
1760385041.455583,907270.000,16109,1,TH,1,100,29.611
1760385041.588582,907403.000,16141,1,TH,1,100,29.611
1760385041.722582,907537.000,16158,1,TH,1,100,29.631
1760385041.855582,907670.000,16178,1,TH,1,100,29.631
1760385041.988581,907803.000,16210,1,TH,1,100,29.656
1760385042.121581,907936.000,16234,1,TH,1,100,29.656
1760385042.255580,908070.000,16251,1,TH,1,100,29.668
1760385042.388580,908203.000,16284,1,TH,1,100,29.668
1760385042.521580,908336.000,16303,1,TH,1,100,29.710
1760385042.655579,908470.000,16320,1,TH,1,100,29.710
1760385042.788579,908603.000,16337,1,TH,1,100,29.678
1760385042.921578,908736.000,16369,1,TH,1,100,29.685
1760385043.055578,908870.000,16385,1,TH,1,100,29.601
1760385043.188578,909003.000,16404,1,TH,1,100,29.601
1760385043.321577,909136.000,16438,1,TH,1,100,29.672
1760385043.455577,909270.000,16454,1,TH,1,100,29.672
1760385043.588577,909403.000,16472,1,TH,1,100,29.677
1760385043.721576,909536.000,16505,1,TH,1,100,29.677
1760385043.855576,909670.000,16523,1,TH,1,100,29.670
1760385043.988575,909803.000,16541,1,TH,1,100,29.670
1760385044.121575,909936.000,16572,1,TH,1,100,29.752
1760385044.255574,910070.000,16589,1,TH,1,100,29.752
1760385044.388574,910203.000,16606,1,TH,1,100,29.719
1760385044.521574,910336.000,16642,1,TH,1,100,29.719
1760385044.654573,910469.000,16658,1,TH,1,100,29.717
1760385044.788573,910603.000,16675,1,TH,1,100,29.724
1760385044.921573,910736.000,16707,1,TH,1,100,29.699
1760385045.054572,910869.000,16723,1,TH,1,100,29.699
1760385045.188572,911003.000,16744,1,TH,1,100,29.801
1760385045.321572,911136.000,16761,1,TH,1,100,29.801
1760385045.454571,911269.000,16792,1,TH,1,100,29.716
1760385045.588571,911403.000,16810,1,TH,1,100,29.716
1760385045.721570,911536.000,16828,1,TH,1,100,29.687
1760385045.854570,911669.000,16862,1,TH,1,100,29.687
1760385045.988569,911803.000,16879,1,TH,1,100,29.667
1760385046.121569,911936.000,16895,1,TH,1,100,29.667
1760385046.254569,912069.000,16929,1,TH,1,100,29.711
1760385046.388568,912203.000,16946,1,TH,1,100,29.711
1760385046.521568,912336.000,16964,1,TH,1,100,29.726
1760385046.654568,912469.000,16998,1,TH,1,100,29.726
1760385046.788567,912603.000,17015,1,TH,1,100,29.692
1760385046.921567,912736.000,17032,1,TH,1,100,29.692
1760385047.054566,912869.000,17063,1,TH,1,100,29.647
1760385047.188566,913003.000,17087,1,TH,1,100,29.654
1760385047.321566,913136.000,17106,1,TH,1,100,29.661
1760385047.454565,913269.000,17137,1,TH,1,100,29.661
1760385047.588565,913403.000,17155,1,TH,1,100,29.736
1760385047.721565,913536.000,17171,1,TH,1,100,29.736
1760385047.854564,913669.000,17188,1,TH,1,100,29.639
1760385047.987564,913802.000,17224,1,TH,1,100,29.639
1760385048.121563,913936.000,17240,1,TH,1,100,29.721
1760385048.254563,914069.000,17258,1,TH,1,100,29.721
1760385048.387563,914202.000,17289,1,TH,1,100,29.644
1760385048.521562,914336.000,17307,1,TH,1,100,29.644
1760385048.654562,914469.000,17327,1,TH,1,100,29.711
1760385048.788561,914603.000,17358,1,TH,1,100,29.718
1760385048.921561,914736.000,17375,1,TH,1,100,29.651
