LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760385036.989596,902804,15367,1,TL,1,100,2025-10-13_15-50-32-020345
1760385042.102581,907917,16220,1,TL,1,100,2025-10-13_15-50-37-047892
1760385042.104581,907919,16222,1,TL,1,100,2025-10-13_15-50-37-124654
1760385042.149581,907964,16225,1,TL,1,100,2025-10-13_15-50-42-138312
1760385047.209566,913024,17074,1,TL,1,100,2025-10-13_15-50-42-195313
1760385047.227566,913042,17077,1,TL,1,100,2025-10-13_15-50-47-221928
1760385052.317551,918132,17931,1,TL,1,100,2025-10-13_15-50-47-274333
1760385052.329551,918144,17934,1,TL,1,100,2025-10-13_15-50-52-324551
1760385057.440536,923255,18803,1,TL,1,100,2025-10-13_15-50-52-361809
1760385057.456536,923271,18806,1,TL,1,100,2025-10-13_15-50-57-447962
1760385062.548522,928363,19660,1,TL,1,100,2025-10-13_15-50-57-540441
1760385062.568521,928383,19663,1,TL,1,100,2025-10-13_15-51-02-563441
1760385067.681507,933496,20528,1,TL,1,100,2025-10-13_15-51-02-606818
1760385067.753507,933568,20531,1,TL,1,100,2025-10-13_15-51-07-737266
1760385072.789492,938604,21381,1,TL,1,100,2025-10-13_15-51-07-780344
1760385072.808492,938623,21384,1,TL,1,100,2025-10-13_15-51-12-804154
1760385077.900477,943715,22233,1,TL,1,100,2025-10-13_15-51-12-866573
1760385077.934477,943749,22236,1,TL,1,100,2025-10-13_15-51-17-913461
1760385083.008462,948823,23093,1,TL,1,100,2025-10-13_15-51-17-968337
1760385083.026463,948841,23096,1,TL,1,100,2025-10-13_15-51-23-015890
1760385088.141448,953956,23961,1,TL,1,100,2025-10-13_15-51-23-054520
1760385088.177448,953992,23964,1,TL,1,100,2025-10-13_15-51-28-163270
1760385093.249433,959064,24814,1,TL,1,100,2025-10-13_15-51-28-243868
1760385093.265433,959080,24817,1,TL,1,100,2025-10-13_15-51-33-258092
1760385098.372418,964187,25681,1,TL,1,100,2025-10-13_15-51-33-304939
1760385098.403418,964218,25684,1,TL,1,100,2025-10-13_15-51-38-395066
1760385103.483403,969298,26539,1,TL,1,100,2025-10-13_15-51-38-468025
1760385103.509403,969324,26542,1,TL,1,100,2025-10-13_15-51-43-498876
1760385108.591388,974406,27392,1,TL,1,100,2025-10-13_15-51-43-563542
1760385108.615388,974430,27395,1,TL,1,100,2025-10-13_15-51-48-600214
1760385113.734374,979549,28262,1,TL,1,100,2025-10-13_15-51-48-641137
1760385113.748374,979563,28265,1,TL,1,100,2025-10-13_15-51-53-741951
1760385118.842359,984657,29118,1,TL,1,100,2025-10-13_15-51-53-860579
1760385118.856359,984671,29121,1,TL,1,100,2025-10-13_15-51-58-851569
1760385123.983344,989798,29987,1,TL,1,100,2025-10-13_15-51-58-895438
1760385124.002344,989817,29990,1,TL,1,100,2025-10-13_15-52-03-993545
1760385129.094329,994909,30843,1,TL,1,100,2025-10-13_15-52-04-079688
1760385129.150329,994965,30846,1,TL,1,100,2025-10-13_15-52-09-140405
1760385134.202314,1000017,31698,1,TL,1,100,2025-10-13_15-52-09-178537
1760385134.255314,1000070,31701,1,TL,1,100,2025-10-13_15-52-14-247511
1760385139.314300,1005129,32555,1,TL,1,100,2025-10-13_15-52-14-281574
1760385139.348300,1005163,32558,1,TL,1,100,2025-10-13_15-52-19-327974
1760385144.418285,1010233,33409,1,TL,1,100,2025-10-13_15-52-19-370492
1760385144.454285,1010269,33412,1,TL,1,100,2025-10-13_15-52-24-446703
1760385149.537270,1015352,34264,1,TL,1,100,2025-10-13_15-52-24-558755
1760385149.550270,1015365,34267,1,TL,1,100,2025-10-13_15-52-29-544770
1760385154.655255,1020470,35116,1,TL,1,100,2025-10-13_15-52-29-671276
1760385154.697255,1020512,35119,1,TL,1,100,2025-10-13_15-52-34-672279
1760385159.773241,1025588,35974,1,TL,1,100,2025-10-13_15-52-34-795232
1760385159.816240,1025631,35977,1,TL,1,100,2025-10-13_15-52-39-809005
