RD,TS_received,TS_sent,AK,RoundTrip,
902806,907917,2025-10-13_15-50-37-047892,907918,5111,
907923,907964,2025-10-13_15-50-42-138312,907965,41,
913026,913042,2025-10-13_15-50-47-221928,913043,16,
918134,918144,2025-10-13_15-50-52-324551,918145,10,
923257,923271,2025-10-13_15-50-57-447962,923275,14,
928365,928383,2025-10-13_15-51-02-563441,928384,18,
933498,933568,2025-10-13_15-51-07-737266,933569,70,
938608,938623,2025-10-13_15-51-12-804154,938624,15,
943717,943749,2025-10-13_15-51-17-913461,943754,32,
948825,948841,2025-10-13_15-51-23-015890,948842,16,
953958,953992,2025-10-13_15-51-28-163270,953994,34,
959066,959080,2025-10-13_15-51-33-258092,959082,14,
964192,964218,2025-10-13_15-51-38-395066,964219,26,
969300,969324,2025-10-13_15-51-43-498876,969325,24,
974408,974430,2025-10-13_15-51-48-600214,974431,22,
979551,979563,2025-10-13_15-51-53-741951,979566,12,
984658,984671,2025-10-13_15-51-58-851569,984672,13,
989803,989817,2025-10-13_15-52-03-993545,989818,14,
994911,994965,2025-10-13_15-52-09-140405,994967,54,
1000020,1000070,2025-10-13_15-52-14-247511,1000071,50,
1005134,1005163,2025-10-13_15-52-19-327974,1005164,29,
1010235,1010269,2025-10-13_15-52-24-446703,1010271,34,
1015354,1015365,2025-10-13_15-52-29-544770,1015366,11,
1020472,1020512,2025-10-13_15-52-34-672279,1020513,40,
1025590,1025631,2025-10-13_15-52-39-809005,1025632,41,
