LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760386315.706981,2181524,31824,2,AK,1,100,31016,RD
1760386315.736980,2181554,31827,2,AK,1,100,31825,RD
1760386320.845898,2186663,32682,2,AK,1,100,31825,RD
1760386320.856898,2186674,32685,2,AK,1,100,32683,RD
1760386325.953816,2191771,33524,2,AK,1,100,32683,RD
1760386325.973816,2191791,33527,2,AK,1,100,33525,RD
1760386331.067734,2196885,34365,2,AK,1,100,33525,RD
1760386331.132733,2196950,34368,2,AK,1,100,34366,RD
1760386336.189651,2202007,35211,2,AK,1,100,34366,RD
1760386341.310569,2207128,36050,2,AK,1,100,35212,RD
1760386341.316569,2207134,36052,2,AK,1,100,35212,RD
1760386346.430487,2212248,36891,2,AK,1,100,36053,RD
1760386346.436487,2212254,36893,2,AK,1,100,36053,RD
1760386346.491486,2212309,36896,2,AK,1,100,36894,RD
1760386351.550404,2217368,37735,2,AK,1,100,36894,RD
1760386351.614403,2217432,37738,2,AK,1,100,37736,RD
1760386356.676322,2222494,38576,2,AK,1,100,37736,RD
1760386356.695322,2222513,38579,2,AK,1,100,38577,RD
1760386361.790240,2227608,39415,2,AK,1,100,38577,RD
1760386361.817239,2227635,39418,2,AK,1,100,39416,RD
1760386366.909158,2232727,40257,2,AK,1,100,39416,RD
1760386366.942157,2232760,40260,2,AK,1,100,40258,RD
1760386372.029075,2237847,41100,2,AK,1,100,40258,RD
1760386372.081074,2237899,41103,2,AK,1,100,41101,RD
1760386377.167993,2242986,41942,2,AK,1,100,41940,RD
1760386382.254911,2248073,42779,2,AK,1,100,41940,RD
1760386382.298910,2248117,42782,2,AK,1,100,42780,RD
1760386387.369828,2253188,43622,2,AK,1,100,42780,RD
1760386387.410828,2253229,43625,2,AK,1,100,43623,RD
1760386392.490746,2258309,44462,2,AK,1,100,43623,RD
1760386397.598664,2263417,45299,2,AK,1,100,44463,RD
1760386397.604664,2263423,45301,2,AK,1,100,44463,RD
1760386397.630663,2263449,45304,2,AK,1,100,45302,RD
1760386402.725582,2268544,46140,2,AK,1,100,45302,RD
1760386402.808580,2268627,46143,2,AK,1,100,46141,RD
1760386407.837499,2273656,46980,2,AK,1,100,46141,RD
1760386407.884499,2273703,46983,2,AK,1,100,46981,RD
1760386412.952417,2278771,47823,2,AK,1,100,46981,RD
1760386413.002416,2278821,47826,2,AK,1,100,47824,RD
1760386418.061335,2283880,48662,2,AK,1,100,47824,RD
1760386418.109334,2283928,48665,2,AK,1,100,48663,RD
1760386423.174253,2288993,49502,2,AK,1,100,48663,RD
1760386423.202252,2289021,49505,2,AK,1,100,49503,RD
1760386428.294170,2294113,50345,2,AK,1,100,49503,RD
1760386428.335170,2294154,50348,2,AK,1,100,50346,RD
1760386433.412088,2299231,51184,2,AK,1,100,50346,RD
1760386433.434088,2299253,51187,2,AK,1,100,51185,RD
1760386438.551005,2304370,52026,2,AK,1,100,51185,RD
1760386443.657923,2309477,52865,2,AK,1,100,52027,RD
1760386443.660923,2309480,52867,2,AK,1,100,52027,RD
1760386443.682923,2309502,52870,2,AK,1,100,52868,RD
