LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1760386311.759044,2177576.000,31177,1,AX,1,100,0.735
1760386311.798544,2177615.500,31194,2,AX,1,100,0.737
1760386311.838043,2177655.000,31194,2,AX,1,100,0.734
1760386311.878042,2177695.000,31210,3,AX,1,100,0.738
1760386311.918042,2177735.000,31210,3,AX,1,100,0.741
1760386311.958041,2177775.000,31210,3,AX,1,100,0.736
1760386311.993707,2177810.667,31227,3,AX,1,100,0.733
1760386312.029373,2177846.333,31227,3,AX,1,100,0.730
1760386312.065039,2177882.000,31227,3,AX,1,100,0.732
1760386312.105039,2177922.000,31245,2,AX,1,100,0.766
1760386312.145038,2177962.000,31245,2,AX,1,100,0.760
1760386312.185037,2178002.000,31261,3,AX,1,100,0.737
1760386312.225037,2178042.000,31261,3,AX,1,100,0.721
1760386312.265036,2178082.000,31261,3,AX,1,100,0.720
1760386312.305035,2178122.000,31277,2,AX,1,100,0.729
1760386312.345035,2178162.000,31277,2,AX,1,100,0.736
1760386312.385034,2178202.000,31295,3,AX,1,100,0.737
1760386312.425034,2178242.000,31295,3,AX,1,100,0.736
1760386312.465033,2178282.000,31295,3,AX,1,100,0.734
1760386312.505032,2178322.000,31312,3,AX,1,100,0.742
1760386312.545032,2178362.000,31312,3,AX,1,100,0.741
1760386312.585031,2178402.000,31312,3,AX,1,100,0.734
1760386312.625030,2178442.000,31328,2,AX,1,100,0.744
1760386312.665030,2178482.000,31328,2,AX,1,100,0.735
1760386312.705362,2178522.333,31346,3,AX,1,100,0.732
1760386312.745695,2178562.667,31346,3,AX,1,100,0.735
1760386312.786028,2178603.000,31346,3,AX,1,100,0.734
1760386312.826027,2178643.000,31360,2,AX,1,100,0.737
1760386312.866026,2178683.000,31360,2,AX,1,100,0.742
1760386312.906026,2178723.000,31379,3,AX,1,100,0.740
1760386312.946025,2178763.000,31379,3,AX,1,100,0.737
1760386312.986025,2178803.000,31379,3,AX,1,100,0.733
1760386313.026024,2178843.000,31395,2,AX,1,100,0.737
1760386313.066023,2178883.000,31395,2,AX,1,100,0.741
1760386313.106023,2178923.000,31413,3,AX,1,100,0.728
1760386313.146022,2178963.000,31413,3,AX,1,100,0.720
1760386313.186021,2179003.000,31413,3,AX,1,100,0.740
1760386313.226021,2179043.000,31427,2,AX,1,100,0.734
1760386313.266020,2179083.000,31427,2,AX,1,100,0.737
1760386313.306019,2179123.000,31444,3,AX,1,100,0.736
1760386313.346019,2179163.000,31444,3,AX,1,100,0.734
1760386313.386018,2179203.000,31444,3,AX,1,100,0.732
1760386313.426018,2179243.000,31461,2,AX,1,100,0.733
1760386313.466017,2179283.000,31461,2,AX,1,100,0.740
1760386313.506016,2179323.000,31478,3,AX,1,100,0.735
1760386313.546016,2179363.000,31478,3,AX,1,100,0.736
1760386313.586015,2179403.000,31478,3,AX,1,100,0.738
1760386313.626014,2179443.000,31494,2,AX,1,100,0.746
1760386313.666013,2179483.000,31494,2,AX,1,100,0.728
1760386313.706013,2179523.000,31512,3,AX,1,100,0.747
1760386313.746012,2179563.000,31512,3,AX,1,100,0.733
1760386313.786012,2179603.000,31512,3,AX,1,100,0.749
1760386313.826011,2179643.000,31528,3,AX,1,100,0.730
1760386313.866010,2179683.000,31528,3,AX,1,100,0.734
1760386313.906010,2179723.000,31528,3,AX,1,100,0.736
1760386313.946009,2179763.000,31545,2,AX,1,100,0.735
1760386313.986008,2179803.000,31545,2,AX,1,100,0.740
1760386314.026008,2179843.000,31559,3,AX,1,100,0.742
1760386314.066007,2179883.000,31559,3,AX,1,100,0.733
1760386314.106006,2179923.000,31559,3,AX,1,100,0.731
1760386314.146006,2179963.000,31579,2,AX,1,100,0.741
1760386314.186005,2180003.000,31579,2,AX,1,100,0.730
1760386314.226005,2180043.000,31595,3,AX,1,100,0.732
1760386314.266004,2180083.000,31595,3,AX,1,100,0.731
1760386314.306003,2180123.000,31595,3,AX,1,100,0.740
1760386314.346003,2180163.000,31612,2,AX,1,100,0.732
1760386314.386002,2180203.000,31612,2,AX,1,100,0.735
1760386314.426001,2180243.000,31628,3,AX,1,100,0.734
1760386314.466001,2180283.000,31628,3,AX,1,100,0.734
1760386314.506000,2180323.000,31628,3,AX,1,100,0.740
1760386314.546000,2180363.000,31644,2,AX,1,100,0.750
1760386314.585999,2180403.000,31644,2,AX,1,100,0.742
1760386314.625665,2180442.667,31662,3,AX,1,100,0.731
1760386314.665331,2180482.333,31662,3,AX,1,100,0.735
1760386314.704997,2180522.000,31662,3,AX,1,100,0.743
1760386314.745496,2180562.500,31680,2,AX,1,100,0.739
1760386314.785995,2180603.000,31680,2,AX,1,100,0.742
1760386314.825662,2180642.667,31696,3,AX,1,100,0.727
1760386314.865328,2180682.333,31696,3,AX,1,100,0.730
1760386314.904994,2180722.000,31696,3,AX,1,100,0.726
1760386314.944993,2180762.000,31711,2,AX,1,100,0.734
1760386314.984992,2180802.000,31711,2,AX,1,100,0.738
1760386315.024992,2180842.000,31730,3,AX,1,100,0.730
1760386315.064991,2180882.000,31730,3,AX,1,100,0.733
1760386315.104990,2180922.000,31730,3,AX,1,100,0.733
1760386315.144990,2180962.000,31747,3,AX,1,100,0.735
1760386315.184989,2181002.000,31747,3,AX,1,100,0.736
1760386315.224988,2181042.000,31747,3,AX,1,100,0.745
1760386315.264988,2181082.000,31763,2,AX,1,100,0.730
1760386315.304987,2181122.000,31763,2,AX,1,100,0.745
1760386315.340320,2181157.333,31778,3,AX,1,100,0.732
1760386315.375653,2181192.667,31778,3,AX,1,100,0.733
1760386315.410985,2181228.000,31778,3,AX,1,100,0.734
1760386315.450985,2181268.000,31795,3,AX,1,100,0.731
1760386315.490984,2181308.000,31795,3,AX,1,100,0.732
1760386315.530984,2181348.000,31795,3,AX,1,100,0.743
1760386315.570983,2181388.000,31814,2,AX,1,100,0.731
1760386315.610982,2181428.000,31814,2,AX,1,100,0.723
1760386315.650982,2181468.000,31835,3,AX,1,100,0.722
1760386315.690981,2181508.000,31835,3,AX,1,100,0.737
1760386315.730980,2181548.000,31835,3,AX,1,100,0.744
1760386315.770980,2181588.000,31851,2,AX,1,100,0.745
1760386315.810979,2181628.000,31851,2,AX,1,100,0.742
1760386315.850978,2181668.000,31867,3,AX,1,100,0.731
1760386315.890978,2181708.000,31867,3,AX,1,100,0.717
1760386315.930977,2181748.000,31867,3,AX,1,100,0.736
1760386315.970977,2181788.000,31884,2,AX,1,100,0.737
1760386316.010976,2181828.000,31884,2,AX,1,100,0.750
1760386316.050975,2181868.000,31901,3,AX,1,100,0.748
1760386316.090975,2181908.000,31901,3,AX,1,100,0.731
1760386316.130974,2181948.000,31901,3,AX,1,100,0.733
1760386316.170973,2181988.000,31919,2,AX,1,100,0.729
1760386316.210973,2182028.000,31919,2,AX,1,100,0.730
1760386316.250972,2182068.000,31936,3,AX,1,100,0.734
1760386316.290971,2182108.000,31936,3,AX,1,100,0.743
1760386316.330971,2182148.000,31936,3,AX,1,100,0.730
1760386316.370970,2182188.000,31953,2,AX,1,100,0.749
1760386316.410969,2182228.000,31953,2,AX,1,100,0.743
1760386316.450969,2182268.000,31970,3,AX,1,100,0.744
1760386316.490968,2182308.000,31970,3,AX,1,100,0.730
1760386316.530967,2182348.000,31970,3,AX,1,100,0.734
1760386316.570967,2182388.000,31986,2,AX,1,100,0.748
1760386316.610966,2182428.000,31986,2,AX,1,100,0.750
1760386316.650966,2182468.000,32001,3,AX,1,100,0.746
1760386316.690965,2182508.000,32001,3,AX,1,100,0.741
1760386316.730964,2182548.000,32001,3,AX,1,100,0.734
1760386316.770964,2182588.000,32021,3,AX,1,100,0.737
1760386316.810963,2182628.000,32021,3,AX,1,100,0.739
1760386316.850962,2182668.000,32021,3,AX,1,100,0.729
1760386316.890962,2182708.000,32037,2,AX,1,100,0.740
1760386316.930961,2182748.000,32037,2,AX,1,100,0.747
1760386316.970960,2182788.000,32054,3,AX,1,100,0.746
1760386317.010960,2182828.000,32054,3,AX,1,100,0.743
1760386317.050959,2182868.000,32054,3,AX,1,100,0.741
1760386317.090959,2182908.000,32069,2,AX,1,100,0.740
1760386317.130958,2182948.000,32069,2,AX,1,100,0.749
1760386317.170957,2182988.000,32086,3,AX,1,100,0.747
1760386317.210957,2183028.000,32086,3,AX,1,100,0.744
1760386317.250956,2183068.000,32086,3,AX,1,100,0.729
1760386317.290955,2183108.000,32104,2,AX,1,100,0.730
1760386317.330955,2183148.000,32104,2,AX,1,100,0.737
1760386317.370954,2183188.000,32122,3,AX,1,100,0.749
1760386317.410953,2183228.000,32122,3,AX,1,100,0.726
1760386317.450953,2183268.000,32122,3,AX,1,100,0.738
1760386317.490952,2183308.000,32136,2,AX,1,100,0.728
1760386317.530951,2183348.000,32136,2,AX,1,100,0.736
1760386317.570951,2183388.000,32153,3,AX,1,100,0.735
1760386317.610950,2183428.000,32153,3,AX,1,100,0.738
1760386317.650949,2183468.000,32153,3,AX,1,100,0.736
1760386317.690949,2183508.000,32169,2,AX,1,100,0.727
1760386317.730948,2183548.000,32169,2,AX,1,100,0.728
1760386317.770947,2183588.000,32189,3,AX,1,100,0.738
1760386317.810947,2183628.000,32189,3,AX,1,100,0.739
1760386317.850946,2183668.000,32189,3,AX,1,100,0.736
1760386317.890946,2183708.000,32203,2,AX,1,100,0.735
1760386317.930945,2183748.000,32203,2,AX,1,100,0.735
1760386317.970944,2183788.000,32220,3,AX,1,100,0.720
1760386318.010944,2183828.000,32220,3,AX,1,100,0.742
1760386318.050943,2183868.000,32220,3,AX,1,100,0.722
1760386318.090942,2183908.000,32237,3,AX,1,100,0.729
1760386318.130942,2183948.000,32237,3,AX,1,100,0.728
1760386318.170941,2183988.000,32237,3,AX,1,100,0.740
1760386318.210941,2184028.000,32254,2,AX,1,100,0.744
1760386318.250940,2184068.000,32254,2,AX,1,100,0.730
1760386318.290939,2184108.000,32268,3,AX,1,100,0.727
1760386318.330939,2184148.000,32268,3,AX,1,100,0.722
1760386318.370938,2184188.000,32268,3,AX,1,100,0.723
1760386318.410937,2184228.000,32288,2,AX,1,100,0.739
1760386318.450937,2184268.000,32288,2,AX,1,100,0.750
1760386318.490936,2184308.000,32304,3,AX,1,100,0.728
1760386318.530935,2184348.000,32304,3,AX,1,100,0.746
1760386318.570935,2184388.000,32304,3,AX,1,100,0.734
1760386318.610934,2184428.000,32321,2,AX,1,100,0.729
1760386318.650934,2184468.000,32321,2,AX,1,100,0.731
1760386318.690933,2184508.000,32336,3,AX,1,100,0.733
1760386318.730932,2184548.000,32336,3,AX,1,100,0.736
1760386318.770931,2184588.000,32336,3,AX,1,100,0.732
1760386318.810931,2184628.000,32353,2,AX,1,100,0.738
1760386318.850930,2184668.000,32353,2,AX,1,100,0.740
1760386318.886596,2184703.667,32371,3,AX,1,100,0.730
1760386318.922262,2184739.333,32371,3,AX,1,100,0.738
1760386318.957928,2184775.000,32371,3,AX,1,100,0.740
1760386318.997928,2184815.000,32388,3,AX,1,100,0.748
1760386319.037927,2184855.000,32388,3,AX,1,100,0.730
1760386319.077927,2184895.000,32388,3,AX,1,100,0.742
1760386319.117926,2184935.000,32405,2,AX,1,100,0.732
1760386319.157925,2184975.000,32405,2,AX,1,100,0.736
1760386319.197925,2185015.000,32420,3,AX,1,100,0.723
1760386319.237924,2185055.000,32420,3,AX,1,100,0.740
1760386319.277923,2185095.000,32420,3,AX,1,100,0.742
1760386319.317923,2185135.000,32436,2,AX,1,100,0.749
1760386319.357922,2185175.000,32436,2,AX,1,100,0.746
1760386319.397921,2185215.000,32454,3,AX,1,100,0.730
1760386319.437921,2185255.000,32454,3,AX,1,100,0.726
1760386319.477920,2185295.000,32454,3,AX,1,100,0.742
1760386319.517920,2185335.000,32472,2,AX,1,100,0.756
1760386319.557919,2185375.000,32472,2,AX,1,100,0.743
1760386319.597918,2185415.000,32487,3,AX,1,100,0.736
1760386319.637918,2185455.000,32487,3,AX,1,100,0.738
1760386319.677917,2185495.000,32487,3,AX,1,100,0.731
1760386319.717916,2185535.000,32504,3,AX,1,100,0.738
1760386319.757915,2185575.000,32504,3,AX,1,100,0.724
1760386319.797915,2185615.000,32504,3,AX,1,100,0.742
1760386319.837914,2185655.000,32521,2,AX,1,100,0.740
1760386319.877914,2185695.000,32521,2,AX,1,100,0.739
1760386319.917913,2185735.000,32539,3,AX,1,100,0.740
1760386319.957912,2185775.000,32539,3,AX,1,100,0.740
1760386319.997912,2185815.000,32539,3,AX,1,100,0.742
1760386320.037911,2185855.000,32554,2,AX,1,100,0.748
1760386320.077910,2185895.000,32554,2,AX,1,100,0.755
1760386320.117910,2185935.000,32571,3,AX,1,100,0.738
1760386320.157909,2185975.000,32571,3,AX,1,100,0.740
1760386320.197909,2186015.000,32571,3,AX,1,100,0.716
1760386320.237908,2186055.000,32588,2,AX,1,100,0.717
1760386320.277907,2186095.000,32588,2,AX,1,100,0.727
1760386320.317907,2186135.000,32604,3,AX,1,100,0.737
1760386320.357906,2186175.000,32604,3,AX,1,100,0.745
1760386320.397905,2186215.000,32604,3,AX,1,100,0.737
1760386320.437905,2186255.000,32622,2,AX,1,100,0.730
1760386320.477904,2186295.000,32622,2,AX,1,100,0.730
1760386320.517903,2186335.000,32638,3,AX,1,100,0.725
1760386320.557903,2186375.000,32638,3,AX,1,100,0.732
1760386320.597902,2186415.000,32638,3,AX,1,100,0.731
1760386320.637902,2186455.000,32655,2,AX,1,100,0.742
