LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760386312.052040,2177869.000,31219,1,BI,1,100,560
1760386312.412034,2178229.000,31286,1,BI,1,100,360
1760386312.946025,2178763.000,31370,1,BI,1,100,520
1760386313.626014,2179443.000,31487,1,BI,1,100,680
1760386314.185005,2180002.000,31569,1,BI,1,100,560
1760386314.704997,2180522.000,31653,1,BI,1,100,520
1760386315.064991,2180882.000,31720,1,BI,1,100,360
1760386315.584983,2181402.000,31805,1,BI,1,100,520
1760386316.304971,2182122.000,31928,1,BI,1,100,720
1760386316.824963,2182642.000,32011,1,BI,1,100,520
1760386317.344954,2183162.000,32095,1,BI,1,100,520
1760386317.784947,2183602.000,32179,1,BI,1,100,440
1760386318.384938,2184202.000,32278,1,BI,1,100,600
1760386318.944929,2184762.000,32362,1,BI,1,100,560
1760386319.504920,2185322.000,32463,1,BI,1,100,560
1760386319.984912,2185802.000,32530,1,BI,1,100,480
1760386320.464904,2186282.000,32614,1,BI,1,100,480
1760386321.104894,2186922.000,32718,1,BI,1,100,640
1760386321.744884,2187562.000,32837,1,BI,1,100,640
1760386322.304875,2188122.000,32920,1,BI,1,100,560
1760386322.664869,2188482.000,32987,1,BI,1,100,360
1760386323.237860,2189055.000,33071,1,BI,1,100,560
1760386323.957848,2189775.000,33203,1,BI,1,100,720
1760386324.517839,2190335.000,33288,1,BI,1,100,560
1760386325.037831,2190855.000,33371,1,BI,1,100,520
1760386325.557822,2191375.000,33456,1,BI,1,100,520
1760386326.117813,2191935.000,33545,1,BI,1,100,560
1760386326.797802,2192615.000,33662,1,BI,1,100,680
1760386327.317794,2193135.000,33747,1,BI,1,100,520
1760386327.916785,2193734.000,33848,1,BI,1,100,600
1760386328.276779,2194094.000,33898,1,BI,1,100,360
1760386328.836770,2194654.000,33999,1,BI,1,100,560
1760386329.556758,2195374.000,34115,1,BI,1,100,720
1760386330.116749,2195934.000,34198,1,BI,1,100,560
1760386330.556742,2196374.000,34283,1,BI,1,100,440
1760386331.116733,2196934.000,34370,1,BI,1,100,560
1760386331.836721,2197654.000,34490,1,BI,1,100,720
1760386332.436712,2198254.000,34590,1,BI,1,100,600
1760386333.009702,2198827.000,34689,1,BI,1,100,560
1760386333.529694,2199347.000,34774,1,BI,1,100,520
1760386334.089685,2199907.000,34857,1,BI,1,100,560
1760386334.769674,2200587.000,34973,1,BI,1,100,680
1760386335.289666,2201107.000,35057,1,BI,1,100,520
1760386335.769658,2201587.000,35141,1,BI,1,100,480
1760386336.329649,2202147.000,35230,1,BI,1,100,560
1760386337.049638,2202867.000,35346,1,BI,1,100,720
1760386337.649628,2203467.000,35447,1,BI,1,100,600
1760386338.169620,2203987.000,35531,1,BI,1,100,520
1760386338.729610,2204547.000,35613,1,BI,1,100,560
1760386339.489598,2205307.000,35746,1,BI,1,100,760
1760386340.129588,2205947.000,35846,1,BI,1,100,640
1760386340.609580,2206427.000,35930,1,BI,1,100,480
1760386341.128572,2206946.000,36014,1,BI,1,100,520
1760386341.768562,2207586.000,36122,1,BI,1,100,640
1760386342.448551,2208266.000,36237,1,BI,1,100,680
1760386343.008542,2208826.000,36322,1,BI,1,100,560
1760386343.462534,2209280.000,36406,1,BI,1,100,440
1760386344.061525,2209879.000,36504,1,BI,1,100,600
1760386344.781513,2210599.000,36620,1,BI,1,100,720
1760386345.342504,2211160.000,36704,1,BI,1,100,560
1760386345.861496,2211679.000,36789,1,BI,1,100,520
1760386346.421487,2212239.000,36898,1,BI,1,100,560
1760386347.061476,2212879.000,36999,1,BI,1,100,640
1760386347.781465,2213599.000,37114,1,BI,1,100,720
1760386348.341456,2214159.000,37199,1,BI,1,100,560
1760386348.861448,2214679.000,37281,1,BI,1,100,520
1760386349.501437,2215319.000,37399,1,BI,1,100,640
1760386350.181427,2215999.000,37497,1,BI,1,100,680
1760386350.781417,2216599.000,37598,1,BI,1,100,600
1760386351.341408,2217159.000,37701,1,BI,1,100,560
1760386351.861399,2217679.000,37773,1,BI,1,100,520
1760386352.301392,2218119.000,37857,1,BI,1,100,440
1760386352.901383,2218719.000,37956,1,BI,1,100,600
1760386353.594372,2219412.000,38074,1,BI,1,100,680
1760386354.154362,2219972.000,38155,1,BI,1,100,560
1760386354.634355,2220452.000,38240,1,BI,1,100,480
1760386355.074348,2220892.000,38307,1,BI,1,100,440
1760386355.714337,2221532.000,38408,1,BI,1,100,640
1760386356.354327,2222172.000,38525,1,BI,1,100,640
1760386356.994317,2222812.000,38629,1,BI,1,100,640
1760386357.473309,2223291.000,38696,1,BI,1,100,480
1760386357.993301,2223811.000,38781,1,BI,1,100,520
1760386358.793288,2224611.000,38913,1,BI,1,100,800
1760386359.353279,2225171.000,39014,1,BI,1,100,560
1760386359.913270,2225731.000,39096,1,BI,1,100,560
1760386360.473261,2226291.000,39196,1,BI,1,100,560
1760386361.193249,2227011.000,39315,1,BI,1,100,720
1760386361.793240,2227611.000,39420,1,BI,1,100,600
1760386362.273232,2228091.000,39488,1,BI,1,100,480
1760386362.833223,2228651.000,39589,1,BI,1,100,560
1760386363.593211,2229411.000,39704,1,BI,1,100,760
1760386364.206201,2230024.000,39805,1,BI,1,100,600
1760386364.686193,2230504.000,39888,1,BI,1,100,480
1760386365.246184,2231064.000,39971,1,BI,1,100,560
1760386366.006172,2231824.000,40103,1,BI,1,100,760
1760386366.566163,2232384.000,40190,1,BI,1,100,560
1760386367.166153,2232984.000,40296,1,BI,1,100,600
1760386367.646146,2233464.000,40379,1,BI,1,100,480
1760386368.406133,2234224.000,40495,1,BI,1,100,760
1760386369.046123,2234864.000,40596,1,BI,1,100,640
1760386369.566115,2235384.000,40695,1,BI,1,100,520
1760386370.126106,2235944.000,40780,1,BI,1,100,560
1760386370.846094,2236664.000,40897,1,BI,1,100,720
1760386371.445085,2237263.000,40999,1,BI,1,100,600
1760386372.005075,2237823.000,41105,1,BI,1,100,560
1760386372.565067,2238383.000,41189,1,BI,1,100,560
1760386373.285055,2239103.000,41305,1,BI,1,100,720
1760386373.979044,2239797.000,41420,1,BI,1,100,680
1760386374.458036,2240276.000,41488,1,BI,1,100,480
1760386375.018027,2240836.000,41588,1,BI,1,100,560
1760386375.698016,2241516.000,41704,1,BI,1,100,680
1760386376.418005,2242236.000,41823,1,BI,1,100,720
1760386376.897997,2242716.000,41891,1,BI,1,100,480
1760386377.497987,2243316.000,41995,1,BI,1,100,600
1760386378.137977,2243956.000,42093,1,BI,1,100,640
1760386378.817966,2244636.000,42209,1,BI,1,100,680
1760386379.337958,2245156.000,42293,1,BI,1,100,520
1760386379.857949,2245676.000,42378,1,BI,1,100,520
1760386380.617937,2246436.000,42510,1,BI,1,100,760
1760386381.257927,2247076.000,42613,1,BI,1,100,640
1760386381.737919,2247556.000,42696,1,BI,1,100,480
1760386382.297910,2248116.000,42784,1,BI,1,100,560
1760386383.057898,2248876.000,42901,1,BI,1,100,760
1760386383.657888,2249476.000,43002,1,BI,1,100,600
1760386384.110881,2249929.000,43084,1,BI,1,100,440
1760386384.710871,2250529.000,43185,1,BI,1,100,600
1760386385.470859,2251289.000,43300,1,BI,1,100,760
1760386386.070849,2251889.000,43401,1,BI,1,100,600
1760386386.550842,2252369.000,43488,1,BI,1,100,480
1760386387.190831,2253009.000,43587,1,BI,1,100,640
1760386387.910820,2253729.000,43709,1,BI,1,100,720
1760386388.549809,2254368.000,43808,1,BI,1,100,640
1760386389.069801,2254888.000,43892,1,BI,1,100,520
1760386389.669791,2255488.000,43993,1,BI,1,100,600
1760386390.429779,2256248.000,44125,1,BI,1,100,760
1760386391.029770,2256848.000,44209,1,BI,1,100,600
1760386391.589761,2257408.000,44310,1,BI,1,100,560
1760386392.229750,2258048.000,44411,1,BI,1,100,640
1760386392.989738,2258808.000,44530,1,BI,1,100,760
1760386393.589728,2259408.000,44631,1,BI,1,100,600
1760386394.202718,2260021.000,44732,1,BI,1,100,600
1760386394.922707,2260741.000,44847,1,BI,1,100,720
1760386395.562697,2261381.000,44963,1,BI,1,100,640
1760386396.122688,2261941.000,45046,1,BI,1,100,560
1760386396.722678,2262541.000,45149,1,BI,1,100,600
1760386397.442667,2263261.000,45265,1,BI,1,100,720
1760386398.082656,2263901.000,45371,1,BI,1,100,640
1760386398.562649,2264381.000,45455,1,BI,1,100,480
1760386399.162639,2264981.000,45554,1,BI,1,100,600
1760386399.922626,2265741.000,45672,1,BI,1,100,760
1760386400.562616,2266381.000,45771,1,BI,1,100,640
1760386401.121607,2266940.000,45871,1,BI,1,100,560
1760386401.721598,2267540.000,45972,1,BI,1,100,600
1760386402.441586,2268260.000,46089,1,BI,1,100,720
1760386403.081576,2268900.000,46194,1,BI,1,100,640
1760386403.615567,2269434.000,46278,1,BI,1,100,520
1760386404.214558,2270033.000,46379,1,BI,1,100,600
1760386405.015545,2270834.000,46511,1,BI,1,100,800
1760386405.655535,2271474.000,46611,1,BI,1,100,640
1760386406.094527,2271913.000,46695,1,BI,1,100,440
1760386406.654518,2272473.000,46780,1,BI,1,100,560
1760386407.494505,2273313.000,46912,1,BI,1,100,840
1760386408.134495,2273953.000,47018,1,BI,1,100,640
1760386408.574487,2274393.000,47102,1,BI,1,100,440
1760386409.094479,2274913.000,47186,1,BI,1,100,520
1760386409.854467,2275673.000,47301,1,BI,1,100,760
1760386410.454457,2276273.000,47402,1,BI,1,100,600
1760386410.934449,2276753.000,47485,1,BI,1,100,480
1760386411.534440,2277353.000,47588,1,BI,1,100,600
1760386412.294428,2278113.000,47703,1,BI,1,100,760
1760386412.854419,2278673.000,47804,1,BI,1,100,560
1760386413.467409,2279286.000,47910,1,BI,1,100,600
1760386413.987401,2279806.000,47994,1,BI,1,100,520
1760386414.707389,2280526.000,48109,1,BI,1,100,720
1760386415.347378,2281166.000,48208,1,BI,1,100,640
1760386415.907370,2281726.000,48309,1,BI,1,100,560
1760386416.387362,2282206.000,48378,1,BI,1,100,480
1760386417.187349,2283006.000,48511,1,BI,1,100,800
1760386417.746340,2283565.000,48611,1,BI,1,100,560
1760386418.266332,2284085.000,48684,1,BI,1,100,520
1760386418.786323,2284605.000,48785,1,BI,1,100,520
1760386419.546311,2285365.000,48901,1,BI,1,100,760
1760386420.266299,2286085.000,49016,1,BI,1,100,720
1760386420.746292,2286565.000,49100,1,BI,1,100,480
1760386421.346282,2287165.000,49203,1,BI,1,100,600
1760386422.146269,2287965.000,49336,1,BI,1,100,800
1760386422.786259,2288605.000,49434,1,BI,1,100,640
1760386423.266251,2289085.000,49507,1,BI,1,100,480
1760386423.786243,2289605.000,49590,1,BI,1,100,520
1760386424.559231,2290378.000,49724,1,BI,1,100,760
1760386425.199220,2291018.000,49824,1,BI,1,100,640
1760386425.719212,2291538.000,49908,1,BI,1,100,520
1760386426.279203,2292098.000,50009,1,BI,1,100,560
1760386426.999191,2292818.000,50126,1,BI,1,100,720
1760386427.679180,2293498.000,50242,1,BI,1,100,680
1760386428.239171,2294058.000,50326,1,BI,1,100,560
1760386428.759163,2294578.000,50415,1,BI,1,100,520
1760386429.519151,2295338.000,50548,1,BI,1,100,760
