LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760386311.851043,2177668.000,31190,2,EA,1,100,0.370308
1760386311.851043,2177668.000,31190,2,EA,1,100,0.369499
1760386311.918042,2177735.000,31207,1,EA,1,100,0.369185
1760386311.984541,2177801.500,31224,2,EA,1,100,0.369224
1760386312.051039,2177868.000,31224,2,EA,1,100,0.369244
1760386312.118038,2177935.000,31241,1,EA,1,100,0.369322
1760386312.184537,2178001.500,31257,2,EA,1,100,0.369087
1760386312.251036,2178068.000,31257,2,EA,1,100,0.369028
1760386312.318035,2178135.000,31274,1,EA,1,100,0.369165
1760386312.384534,2178201.500,31292,2,EA,1,100,0.369185
1760386312.451033,2178268.000,31292,2,EA,1,100,0.369244
1760386312.517532,2178334.500,31308,2,EA,1,100,0.369126
1760386312.584031,2178401.000,31308,2,EA,1,100,0.369028
1760386312.651030,2178468.000,31324,1,EA,1,100,0.368969
1760386312.717529,2178534.500,31342,2,EA,1,100,0.369008
1760386312.784028,2178601.000,31342,2,EA,1,100,0.369185
1760386312.851027,2178668.000,31358,1,EA,1,100,0.369204
1760386312.917526,2178734.500,31375,2,EA,1,100,0.369224
1760386312.984025,2178801.000,31375,2,EA,1,100,0.369145
1760386313.051023,2178868.000,31391,1,EA,1,100,0.369087
1760386313.117522,2178934.500,31409,2,EA,1,100,0.369126
1760386313.184021,2179001.000,31409,2,EA,1,100,0.369087
1760386313.251020,2179068.000,31425,1,EA,1,100,0.369047
1760386313.317519,2179134.500,31440,2,EA,1,100,0.368988
1760386313.384018,2179201.000,31440,2,EA,1,100,0.368890
1760386313.451017,2179268.000,31457,1,EA,1,100,0.368871
1760386313.517516,2179334.500,31474,2,EA,1,100,0.369145
1760386313.584015,2179401.000,31474,2,EA,1,100,0.369303
1760386313.651014,2179468.000,31492,1,EA,1,100,0.369224
1760386313.717513,2179534.500,31508,2,EA,1,100,0.369303
1760386313.784012,2179601.000,31508,2,EA,1,100,0.369263
1760386313.851011,2179668.000,31524,1,EA,1,100,0.369204
1760386313.917510,2179734.500,31541,2,EA,1,100,0.369126
1760386313.984009,2179801.000,31541,2,EA,1,100,0.369283
1760386314.051007,2179868.000,31557,1,EA,1,100,0.369381
1760386314.117506,2179934.500,31575,2,EA,1,100,0.369815
1760386314.184005,2180001.000,31575,2,EA,1,100,0.369756
1760386314.251004,2180068.000,31591,1,EA,1,100,0.369657
1760386314.317503,2180134.500,31608,2,EA,1,100,0.369499
