LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760386315.707981,2181525,31825,2,RD,1,100,TL,TU
1760386320.846898,2186664,32683,2,RD,1,100,TL,TU
1760386325.954816,2191772,33525,2,RD,1,100,TL,TU
1760386331.068734,2196886,34366,2,RD,1,100,TL,TU
1760386336.190651,2202008,35212,2,RD,1,100,TL,TU
1760386341.317569,2207135,36053,2,RD,1,100,TL,TU
1760386346.436487,2212254,36894,2,RD,1,100,TL,TU
1760386351.550404,2217368,37736,2,RD,1,100,TL,TU
1760386356.676322,2222494,38577,2,RD,1,100,TL,TU
1760386361.795240,2227613,39416,2,RD,1,100,TL,TU
1760386366.910157,2232728,40258,2,RD,1,100,TL,TU
1760386372.029075,2237847,41101,2,RD,1,100,TL,TU
1760386377.135993,2242954,41940,2,RD,1,100,TL,TU
1760386382.258911,2248077,42780,2,RD,1,100,TL,TU
1760386387.370828,2253189,43623,2,RD,1,100,TL,TU
1760386392.490746,2258309,44463,2,RD,1,100,TL,TU
1760386397.605664,2263424,45302,2,RD,1,100,TL,TU
1760386402.726582,2268545,46141,2,RD,1,100,TL,TU
1760386407.837499,2273656,46981,2,RD,1,100,TL,TU
1760386412.953417,2278772,47824,2,RD,1,100,TL,TU
1760386418.061335,2283880,48663,2,RD,1,100,TL,TU
1760386423.174253,2288993,49503,2,RD,1,100,TL,TU
1760386428.295170,2294114,50346,2,RD,1,100,TL,TU
1760386433.413088,2299232,51185,2,RD,1,100,TL,TU
1760386438.551005,2304370,52027,2,RD,1,100,TL,TU
1760386443.663923,2309483,52868,2,RD,1,100,TL,TU
