LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760386311.851043,2177668.000,31186,1,SF,1,100,5.6788
1760386312.118038,2177935.000,31237,1,SF,1,100,5.6131
1760386312.451033,2178268.000,31288,1,SF,1,100,5.5481
1760386312.784028,2178601.000,31338,1,SF,1,100,5.4840
1760386313.184021,2179001.000,31405,1,SF,1,100,5.4205
1760386313.451017,2179268.000,31453,1,SF,1,100,5.3578
1760386313.784012,2179601.000,31504,1,SF,1,100,5.2958
1760386314.184005,2180001.000,31571,1,SF,1,100,5.2346
1760386314.451001,2180268.000,31621,1,SF,1,100,5.1740
1760386314.783996,2180601.000,31672,1,SF,1,100,5.1142
1760386315.116990,2180934.000,31722,1,SF,1,100,5.0550
1760386315.516984,2181334.000,31787,1,SF,1,100,4.9965
1760386315.783979,2181601.000,31845,1,SF,1,100,4.9387
1760386316.116974,2181934.000,31893,1,SF,1,100,4.8816
1760386316.516968,2182334.000,31962,1,SF,1,100,4.8251
1760386316.850962,2182668.000,32013,1,SF,1,100,4.7693
1760386317.116958,2182934.000,32063,1,SF,1,100,4.7141
1760386317.450953,2183268.000,32114,1,SF,1,100,4.6596
1760386317.849946,2183667.000,32181,1,SF,1,100,4.6057
1760386318.116942,2183934.000,32229,1,SF,1,100,4.5524
1760386318.449937,2184267.000,32280,1,SF,1,100,4.4998
1760386318.849930,2184667.000,32346,1,SF,1,100,4.4477
1760386319.183925,2185001.000,32397,1,SF,1,100,4.3962
1760386319.449921,2185267.000,32446,1,SF,1,100,4.3454
1760386319.783915,2185601.000,32496,1,SF,1,100,4.2951
1760386320.183909,2186001.000,32563,1,SF,1,100,4.2454
1760386320.449904,2186267.000,32616,1,SF,1,100,4.1963
1760386320.783899,2186601.000,32664,1,SF,1,100,4.1478
1760386321.182893,2187000.000,32738,1,SF,1,100,4.0998
1760386321.516887,2187334.000,32787,1,SF,1,100,4.0524
1760386321.782883,2187600.000,32839,1,SF,1,100,4.0055
1760386322.116878,2187934.000,32888,1,SF,1,100,3.9592
1760386322.516871,2188334.000,32955,1,SF,1,100,3.9134
1760386322.782867,2188600.000,33005,1,SF,1,100,3.8681
1760386323.116862,2188934.000,33054,1,SF,1,100,3.8233
1760386323.516855,2189334.000,33122,1,SF,1,100,3.7791
1760386323.849850,2189667.000,33171,1,SF,1,100,3.7354
1760386324.116846,2189934.000,33222,1,SF,1,100,3.6922
1760386324.449840,2190267.000,33270,1,SF,1,100,3.6495
1760386324.849834,2190667.000,33337,1,SF,1,100,3.6073
1760386325.116829,2190934.000,33390,1,SF,1,100,3.5655
1760386325.449824,2191267.000,33438,1,SF,1,100,3.5243
1760386325.782819,2191600.000,33489,1,SF,1,100,3.4835
1760386326.115813,2191933.000,33547,1,SF,1,100,3.4432
1760386326.449808,2192267.000,33597,1,SF,1,100,3.4034
1760386326.849802,2192667.000,33664,1,SF,1,100,3.3640
1760386327.115797,2192933.000,33715,1,SF,1,100,3.3251
1760386327.449792,2193267.000,33765,1,SF,1,100,3.2866
1760386327.848785,2193666.000,33830,1,SF,1,100,3.2486
1760386328.182780,2194000.000,33881,1,SF,1,100,3.2110
1760386328.448776,2194266.000,33933,1,SF,1,100,3.1739
1760386328.782770,2194600.000,33982,1,SF,1,100,3.1372
1760386329.182764,2195000.000,34049,1,SF,1,100,3.1009
1760386329.448760,2195266.000,34097,1,SF,1,100,3.0650
1760386329.782754,2195600.000,34149,1,SF,1,100,3.0296
1760386330.115749,2195933.000,34200,1,SF,1,100,2.9945
1760386330.515743,2196333.000,34265,1,SF,1,100,2.9599
1760386330.782738,2196600.000,34316,1,SF,1,100,2.9256
1760386331.115733,2196933.000,34372,1,SF,1,100,2.8918
1760386331.448728,2197266.000,34424,1,SF,1,100,2.8583
1760386331.781722,2197599.000,34473,1,SF,1,100,2.8253
1760386332.182716,2198000.000,34540,1,SF,1,100,2.7926
1760386332.448712,2198266.000,34592,1,SF,1,100,2.7603
1760386332.782706,2198600.000,34641,1,SF,1,100,2.7283
1760386333.181700,2198999.000,34708,1,SF,1,100,2.6968
1760386333.448695,2199266.000,34756,1,SF,1,100,2.6656
1760386333.781690,2199599.000,34809,1,SF,1,100,2.6348
1760386334.115685,2199933.000,34859,1,SF,1,100,2.6043
1760386334.514678,2200332.000,34924,1,SF,1,100,2.5741
1760386334.781674,2200599.000,34975,1,SF,1,100,2.5444
1760386335.114669,2200932.000,35023,1,SF,1,100,2.5149
1760386335.514662,2201332.000,35091,1,SF,1,100,2.4858
1760386335.781658,2201599.000,35143,1,SF,1,100,2.4571
1760386336.114653,2201932.000,35191,1,SF,1,100,2.4287
1760386336.448647,2202266.000,35249,1,SF,1,100,2.4006
1760386336.781642,2202599.000,35297,1,SF,1,100,2.3728
1760386337.181635,2202999.000,35364,1,SF,1,100,2.3453
1760386337.448631,2203266.000,35413,1,SF,1,100,2.3182
1760386337.781626,2203599.000,35465,1,SF,1,100,2.2914
1760386338.114620,2203932.000,35514,1,SF,1,100,2.2649
1760386338.514614,2204332.000,35581,1,SF,1,100,2.2387
1760386338.781610,2204599.000,35631,1,SF,1,100,2.2128
1760386339.114604,2204932.000,35680,1,SF,1,100,2.1872
1760386339.514598,2205332.000,35748,1,SF,1,100,2.1619
1760386339.847593,2205665.000,35797,1,SF,1,100,2.1369
1760386340.114588,2205932.000,35848,1,SF,1,100,2.1122
1760386340.447583,2206265.000,35896,1,SF,1,100,2.0877
1760386340.847577,2206665.000,35963,1,SF,1,100,2.0636
1760386341.114572,2206932.000,36016,1,SF,1,100,2.0397
1760386341.514566,2207332.000,36071,1,SF,1,100,2.0161
1760386341.780561,2207598.000,36124,1,SF,1,100,1.9928
1760386342.114556,2207932.000,36172,1,SF,1,100,1.9697
1760386342.514550,2208332.000,36239,1,SF,1,100,1.9470
1760386342.780545,2208598.000,36288,1,SF,1,100,1.9244
1760386343.114540,2208932.000,36339,1,SF,1,100,1.9022
1760386343.447535,2209265.000,36389,1,SF,1,100,1.8802
1760386343.847528,2209665.000,36456,1,SF,1,100,1.8584
1760386344.114524,2209932.000,36506,1,SF,1,100,1.8369
1760386344.447519,2210265.000,36555,1,SF,1,100,1.8157
1760386344.847512,2210665.000,36622,1,SF,1,100,1.7947
1760386345.113508,2210931.000,36672,1,SF,1,100,1.7739
1760386345.447503,2211265.000,36723,1,SF,1,100,1.7534
1760386345.780497,2211598.000,36771,1,SF,1,100,1.7331
1760386346.180491,2211998.000,36840,1,SF,1,100,1.7131
1760386346.513485,2212331.000,36900,1,SF,1,100,1.6932
1760386346.847480,2212665.000,36948,1,SF,1,100,1.6736
1760386347.113476,2212931.000,37001,1,SF,1,100,1.6543
1760386347.447470,2213265.000,37049,1,SF,1,100,1.6351
1760386347.847464,2213665.000,37116,1,SF,1,100,1.6162
1760386348.113460,2213931.000,37165,1,SF,1,100,1.5975
1760386348.446454,2214264.000,37215,1,SF,1,100,1.5791
1760386348.846448,2214664.000,37283,1,SF,1,100,1.5608
1760386349.180443,2214998.000,37333,1,SF,1,100,1.5427
1760386349.446438,2215264.000,37381,1,SF,1,100,1.5249
1760386349.780433,2215598.000,37432,1,SF,1,100,1.5072
1760386350.180426,2215998.000,37499,1,SF,1,100,1.4898
1760386350.446422,2216264.000,37549,1,SF,1,100,1.4726
1760386350.780417,2216598.000,37600,1,SF,1,100,1.4555
1760386351.180410,2216998.000,37667,1,SF,1,100,1.4387
1760386351.513405,2217331.000,37717,1,SF,1,100,1.4221
1760386351.846400,2217664.000,37775,1,SF,1,100,1.4056
1760386352.113395,2217931.000,37823,1,SF,1,100,1.3894
1760386352.446390,2218264.000,37874,1,SF,1,100,1.3733
1760386352.846384,2218664.000,37940,1,SF,1,100,1.3574
1760386353.113379,2218931.000,37991,1,SF,1,100,1.3417
1760386353.446374,2219264.000,38040,1,SF,1,100,1.3262
1760386353.779369,2219597.000,38090,1,SF,1,100,1.3108
1760386354.179362,2219997.000,38157,1,SF,1,100,1.2957
1760386354.446358,2220264.000,38208,1,SF,1,100,1.2807
1760386354.779352,2220597.000,38258,1,SF,1,100,1.2659
1760386355.179346,2220997.000,38325,1,SF,1,100,1.2512
1760386355.512341,2221330.000,38374,1,SF,1,100,1.2367
1760386355.779336,2221597.000,38426,1,SF,1,100,1.2224
1760386356.112331,2221930.000,38475,1,SF,1,100,1.2083
1760386356.512325,2222330.000,38544,1,SF,1,100,1.1943
1760386356.779320,2222597.000,38581,1,SF,1,100,1.1805
1760386357.179314,2222997.000,38648,1,SF,1,100,1.1668
1760386357.446310,2223264.000,38698,1,SF,1,100,1.1533
1760386357.779304,2223597.000,38747,1,SF,1,100,1.1400
1760386358.179298,2223997.000,38814,1,SF,1,100,1.1268
1760386358.446294,2224264.000,38864,1,SF,1,100,1.1138
1760386358.779288,2224597.000,38915,1,SF,1,100,1.1009
1760386359.112283,2224930.000,38963,1,SF,1,100,1.0882
1760386359.512276,2225330.000,39030,1,SF,1,100,1.0756
1760386359.779272,2225597.000,39081,1,SF,1,100,1.0631
1760386360.112267,2225930.000,39131,1,SF,1,100,1.0508
1760386360.512260,2226330.000,39198,1,SF,1,100,1.0387
1760386360.779256,2226597.000,39247,1,SF,1,100,1.0267
1760386361.112251,2226930.000,39297,1,SF,1,100,1.0148
1760386361.445245,2227263.000,39350,1,SF,1,100,1.0030
1760386361.845239,2227663.000,39422,1,SF,1,100,0.9914
1760386362.178234,2227996.000,39471,1,SF,1,100,0.9800
1760386362.445229,2228263.000,39523,1,SF,1,100,0.9686
1760386362.778224,2228596.000,39571,1,SF,1,100,0.9574
1760386363.112218,2228930.000,39622,1,SF,1,100,0.9464
1760386363.512212,2229330.000,39687,1,SF,1,100,0.9354
1760386363.778208,2229596.000,39739,1,SF,1,100,0.9246
1760386364.112202,2229930.000,39788,1,SF,1,100,0.9139
1760386364.511196,2230329.000,39855,1,SF,1,100,0.9033
1760386364.778192,2230596.000,39905,1,SF,1,100,0.8929
1760386365.111186,2230929.000,39956,1,SF,1,100,0.8825
1760386365.445181,2231263.000,40006,1,SF,1,100,0.8723
1760386365.845175,2231663.000,40071,1,SF,1,100,0.8622
1760386366.111170,2231929.000,40122,1,SF,1,100,0.8523
1760386366.445165,2232263.000,40172,1,SF,1,100,0.8424
1760386366.845159,2232663.000,40240,1,SF,1,100,0.8327
1760386367.111154,2232929.000,40278,1,SF,1,100,0.8230
1760386367.511148,2233329.000,40345,1,SF,1,100,0.8135
1760386367.778143,2233596.000,40398,1,SF,1,100,0.8041
1760386368.111138,2233929.000,40446,1,SF,1,100,0.7948
1760386368.511132,2234329.000,40513,1,SF,1,100,0.7856
1760386368.844126,2234662.000,40562,1,SF,1,100,0.7765
1760386369.111122,2234929.000,40614,1,SF,1,100,0.7675
1760386369.444117,2235262.000,40663,1,SF,1,100,0.7587
1760386369.844110,2235662.000,40730,1,SF,1,100,0.7499
1760386370.111106,2235929.000,40782,1,SF,1,100,2.8235
1760386370.444101,2236262.000,40831,1,SF,1,100,2.7908
1760386370.844094,2236662.000,40899,1,SF,1,100,2.7585
1760386371.177089,2236995.000,40950,1,SF,1,100,2.7266
1760386371.444084,2237262.000,41001,1,SF,1,100,2.6951
1760386371.777079,2237595.000,41049,1,SF,1,100,2.6639
1760386372.111074,2237929.000,41107,1,SF,1,100,2.6331
1760386372.444068,2238262.000,41155,1,SF,1,100,2.6026
1760386372.844062,2238662.000,41222,1,SF,1,100,2.5725
1760386373.111058,2238929.000,41273,1,SF,1,100,2.5427
1760386373.444052,2239262.000,41323,1,SF,1,100,2.5133
1760386373.844046,2239662.000,41388,1,SF,1,100,2.4843
1760386374.111042,2239929.000,41439,1,SF,1,100,2.4555
1760386374.444036,2240262.000,41490,1,SF,1,100,2.4271
1760386374.844030,2240662.000,41555,1,SF,1,100,2.3990
1760386375.177025,2240995.000,41607,1,SF,1,100,2.3713
1760386375.444020,2241262.000,41655,1,SF,1,100,2.3438
1760386375.777015,2241595.000,41706,1,SF,1,100,2.3167
1760386376.177008,2241995.000,41773,1,SF,1,100,2.2899
1760386376.444004,2242262.000,41825,1,SF,1,100,2.2634
1760386376.776999,2242595.000,41874,1,SF,1,100,2.2373
1760386377.243991,2243062.000,41944,1,SF,1,100,2.2114
1760386377.443988,2243262.000,41978,1,SF,1,100,2.1858
1760386377.842982,2243661.000,42045,1,SF,1,100,2.1605
1760386378.109977,2243928.000,42095,1,SF,1,100,2.1355
1760386378.442972,2244261.000,42144,1,SF,1,100,2.1108
1760386378.842966,2244661.000,42211,1,SF,1,100,2.0864
1760386379.109961,2244928.000,42261,1,SF,1,100,2.0623
1760386379.442956,2245261.000,42312,1,SF,1,100,2.0384
1760386379.776951,2245595.000,42360,1,SF,1,100,2.0148
1760386380.176944,2245995.000,42427,1,SF,1,100,1.9915
1760386380.442940,2246261.000,42478,1,SF,1,100,1.9685
1760386380.776934,2246595.000,42528,1,SF,1,100,1.9457
1760386381.175928,2246994.000,42595,1,SF,1,100,1.9232
1760386381.509923,2247328.000,42646,1,SF,1,100,1.9010
1760386381.775918,2247594.000,42698,1,SF,1,100,1.8790
1760386382.109913,2247928.000,42747,1,SF,1,100,1.8572
1760386382.442908,2248261.000,42802,1,SF,1,100,1.8357
1760386382.842901,2248661.000,42868,1,SF,1,100,1.8145
1760386383.175896,2248994.000,42920,1,SF,1,100,1.7935
1760386383.442892,2249261.000,42968,1,SF,1,100,1.7728
1760386383.775886,2249594.000,43019,1,SF,1,100,1.7523
