LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760386311.859043,2177676.000,31193,1,TH,1,100,29.970
1760386311.992040,2177809.000,31226,1,TH,1,100,29.965
1760386312.126038,2177943.000,31244,1,TH,1,100,29.965
1760386312.259036,2178076.000,31260,1,TH,1,100,29.920
1760386312.392034,2178209.000,31294,1,TH,1,100,29.920
1760386312.526032,2178343.000,31311,1,TH,1,100,29.965
1760386312.659030,2178476.000,31327,1,TH,1,100,29.972
1760386312.792028,2178609.000,31345,1,TH,1,100,29.829
1760386312.926025,2178743.000,31378,1,TH,1,100,29.829
1760386313.059023,2178876.000,31394,1,TH,1,100,30.051
1760386313.192021,2179009.000,31412,1,TH,1,100,30.044
1760386313.326019,2179143.000,31443,1,TH,1,100,30.054
1760386313.459017,2179276.000,31460,1,TH,1,100,30.054
1760386313.592015,2179409.000,31477,1,TH,1,100,29.913
1760386313.726013,2179543.000,31511,1,TH,1,100,29.913
1760386313.859010,2179676.000,31527,1,TH,1,100,29.960
1760386313.992008,2179809.000,31544,1,TH,1,100,29.960
1760386314.125006,2179942.000,31578,1,TH,1,100,29.980
1760386314.259004,2180076.000,31594,1,TH,1,100,29.980
1760386314.392002,2180209.000,31611,1,TH,1,100,29.953
1760386314.525000,2180342.000,31643,1,TH,1,100,29.953
1760386314.658998,2180476.000,31661,1,TH,1,100,29.950
1760386314.791996,2180609.000,31679,1,TH,1,100,29.950
1760386314.924993,2180742.000,31695,1,TH,1,100,29.930
1760386315.058991,2180876.000,31729,1,TH,1,100,29.930
1760386315.191989,2181009.000,31746,1,TH,1,100,29.925
1760386315.324987,2181142.000,31762,1,TH,1,100,29.925
1760386315.458985,2181276.000,31794,1,TH,1,100,29.965
1760386315.591983,2181409.000,31813,1,TH,1,100,29.965
1760386315.724980,2181542.000,31834,1,TH,1,100,29.928
1760386315.858978,2181676.000,31866,1,TH,1,100,29.928
1760386315.991976,2181809.000,31883,1,TH,1,100,29.869
1760386316.124974,2181942.000,31900,1,TH,1,100,29.869
1760386316.258972,2182076.000,31935,1,TH,1,100,29.992
1760386316.391970,2182209.000,31952,1,TH,1,100,29.992
1760386316.524968,2182342.000,31969,1,TH,1,100,29.913
1760386316.658965,2182476.000,32000,1,TH,1,100,29.913
1760386316.791963,2182609.000,32020,1,TH,1,100,29.913
1760386316.924961,2182742.000,32036,1,TH,1,100,29.913
1760386317.058959,2182876.000,32053,1,TH,1,100,29.935
1760386317.191957,2183009.000,32085,1,TH,1,100,29.935
1760386317.324955,2183142.000,32103,1,TH,1,100,29.977
1760386317.458953,2183276.000,32121,1,TH,1,100,29.977
1760386317.591950,2183409.000,32152,1,TH,1,100,29.955
1760386317.724948,2183542.000,32168,1,TH,1,100,29.955
1760386317.858946,2183676.000,32188,1,TH,1,100,29.923
1760386317.991944,2183809.000,32219,1,TH,1,100,29.923
1760386318.124942,2183942.000,32236,1,TH,1,100,29.891
1760386318.257940,2184075.000,32253,1,TH,1,100,29.891
1760386318.391937,2184209.000,32287,1,TH,1,100,29.997
1760386318.524935,2184342.000,32303,1,TH,1,100,29.990
1760386318.657933,2184475.000,32320,1,TH,1,100,29.918
1760386318.791931,2184609.000,32352,1,TH,1,100,29.926
1760386318.924929,2184742.000,32370,1,TH,1,100,29.935
1760386319.057927,2184875.000,32387,1,TH,1,100,29.935
1760386319.191925,2185009.000,32404,1,TH,1,100,30.002
1760386319.324923,2185142.000,32435,1,TH,1,100,29.995
1760386319.457921,2185275.000,32453,1,TH,1,100,29.968
1760386319.591918,2185409.000,32471,1,TH,1,100,29.968
1760386319.724916,2185542.000,32503,1,TH,1,100,29.891
1760386319.857914,2185675.000,32520,1,TH,1,100,29.891
1760386319.991912,2185809.000,32538,1,TH,1,100,29.914
1760386320.124910,2185942.000,32570,1,TH,1,100,29.914
1760386320.257908,2186075.000,32587,1,TH,1,100,29.894
1760386320.391905,2186209.000,32603,1,TH,1,100,29.894
1760386320.524903,2186342.000,32637,1,TH,1,100,29.970
1760386320.657901,2186475.000,32654,1,TH,1,100,29.970
1760386320.791899,2186609.000,32671,1,TH,1,100,29.945
1760386320.924897,2186742.000,32707,1,TH,1,100,29.945
1760386321.057895,2186875.000,32726,1,TH,1,100,29.943
1760386321.190892,2187008.000,32745,1,TH,1,100,29.943
1760386321.324890,2187142.000,32776,1,TH,1,100,29.911
1760386321.457888,2187275.000,32794,1,TH,1,100,29.911
1760386321.590886,2187408.000,32810,1,TH,1,100,29.960
1760386321.724884,2187542.000,32827,1,TH,1,100,29.960
1760386321.857882,2187675.000,32861,1,TH,1,100,29.859
1760386321.990880,2187808.000,32877,1,TH,1,100,29.859
1760386322.124877,2187942.000,32895,1,TH,1,100,29.884
1760386322.257875,2188075.000,32928,1,TH,1,100,29.884
1760386322.390873,2188208.000,32944,1,TH,1,100,29.923
1760386322.524871,2188342.000,32962,1,TH,1,100,29.923
1760386322.657869,2188475.000,32995,1,TH,1,100,29.881
1760386322.790867,2188608.000,33012,1,TH,1,100,29.881
1760386322.924865,2188742.000,33029,1,TH,1,100,29.958
1760386323.057863,2188875.000,33061,1,TH,1,100,29.958
1760386323.190861,2189008.000,33079,1,TH,1,100,30.000
1760386323.324858,2189142.000,33096,1,TH,1,100,30.000
1760386323.457856,2189275.000,33128,1,TH,1,100,29.869
1760386323.590854,2189408.000,33144,1,TH,1,100,29.869
1760386323.724852,2189542.000,33161,1,TH,1,100,29.894
1760386323.857850,2189675.000,33178,1,TH,1,100,29.894
1760386323.990848,2189808.000,33211,1,TH,1,100,29.983
1760386324.124846,2189942.000,33229,1,TH,1,100,29.983
1760386324.257843,2190075.000,33245,1,TH,1,100,29.877
1760386324.390841,2190208.000,33277,1,TH,1,100,29.877
1760386324.523839,2190341.000,33296,1,TH,1,100,29.904
1760386324.657837,2190475.000,33312,1,TH,1,100,29.904
1760386324.790835,2190608.000,33344,1,TH,1,100,29.901
1760386324.923833,2190741.000,33361,1,TH,1,100,29.901
1760386325.057830,2190875.000,33379,1,TH,1,100,29.884
1760386325.190828,2191008.000,33411,1,TH,1,100,29.877
1760386325.323826,2191141.000,33428,1,TH,1,100,29.944
1760386325.457824,2191275.000,33445,1,TH,1,100,29.951
1760386325.590822,2191408.000,33478,1,TH,1,100,30.029
1760386325.724820,2191542.000,33496,1,TH,1,100,30.029
1760386325.857818,2191675.000,33512,1,TH,1,100,29.963
1760386325.990815,2191808.000,33534,1,TH,1,100,29.963
1760386326.123813,2191941.000,33554,1,TH,1,100,29.904
1760386326.257811,2192075.000,33572,1,TH,1,100,29.904
1760386326.390809,2192208.000,33604,1,TH,1,100,29.923
1760386326.523807,2192341.000,33621,1,TH,1,100,29.923
1760386326.657805,2192475.000,33637,1,TH,1,100,29.950
1760386326.790802,2192608.000,33671,1,TH,1,100,29.950
1760386326.923800,2192741.000,33688,1,TH,1,100,29.911
1760386327.057798,2192875.000,33704,1,TH,1,100,29.911
1760386327.190796,2193008.000,33736,1,TH,1,100,29.948
1760386327.323794,2193141.000,33755,1,TH,1,100,29.948
1760386327.457792,2193275.000,33772,1,TH,1,100,29.909
1760386327.590790,2193408.000,33803,1,TH,1,100,29.909
1760386327.723788,2193541.000,33820,1,TH,1,100,29.928
1760386327.857785,2193675.000,33837,1,TH,1,100,29.928
1760386327.990783,2193808.000,33856,1,TH,1,100,29.978
1760386328.123781,2193941.000,33888,1,TH,1,100,29.978
1760386328.256779,2194074.000,33906,1,TH,1,100,29.943
1760386328.390777,2194208.000,33923,1,TH,1,100,29.943
1760386328.523775,2194341.000,33955,1,TH,1,100,29.884
1760386328.656773,2194474.000,33971,1,TH,1,100,29.884
1760386328.790770,2194608.000,33989,1,TH,1,100,29.916
1760386328.923768,2194741.000,34022,1,TH,1,100,29.916
1760386329.056766,2194874.000,34038,1,TH,1,100,29.950
1760386329.190764,2195008.000,34056,1,TH,1,100,29.950
1760386329.323762,2195141.000,34087,1,TH,1,100,29.852
1760386329.456760,2195274.000,34104,1,TH,1,100,29.852
1760386329.590758,2195408.000,34123,1,TH,1,100,30.002
1760386329.723755,2195541.000,34155,1,TH,1,100,30.002
1760386329.856753,2195674.000,34171,1,TH,1,100,29.950
1760386329.990751,2195808.000,34188,1,TH,1,100,29.950
1760386330.123749,2195941.000,34207,1,TH,1,100,29.918
1760386330.256747,2196074.000,34238,1,TH,1,100,29.918
1760386330.390745,2196208.000,34255,1,TH,1,100,29.869
1760386330.523742,2196341.000,34272,1,TH,1,100,29.869
1760386330.656740,2196474.000,34305,1,TH,1,100,29.980
1760386330.790738,2196608.000,34323,1,TH,1,100,29.980
1760386330.923736,2196741.000,34339,1,TH,1,100,29.973
1760386331.056734,2196874.000,34379,1,TH,1,100,29.973
1760386331.189732,2197007.000,34397,1,TH,1,100,29.956
1760386331.323730,2197141.000,34414,1,TH,1,100,29.956
1760386331.456728,2197274.000,34431,1,TH,1,100,29.896
1760386331.589725,2197407.000,34448,1,TH,1,100,29.896
1760386331.723723,2197541.000,34480,1,TH,1,100,29.889
1760386331.856721,2197674.000,34498,1,TH,1,100,29.889
1760386331.989719,2197807.000,34515,1,TH,1,100,29.918
1760386332.123717,2197941.000,34547,1,TH,1,100,29.918
1760386332.256715,2198074.000,34563,1,TH,1,100,29.904
1760386332.389713,2198207.000,34580,1,TH,1,100,29.904
1760386332.523710,2198341.000,34614,1,TH,1,100,30.007
1760386332.656708,2198474.000,34630,1,TH,1,100,30.007
1760386332.790706,2198608.000,34648,1,TH,1,100,30.012
1760386332.923704,2198741.000,34679,1,TH,1,100,30.012
1760386333.056702,2198874.000,34697,1,TH,1,100,29.933
1760386333.189700,2199007.000,34715,1,TH,1,100,29.933
1760386333.323698,2199141.000,34746,1,TH,1,100,29.926
1760386333.456695,2199274.000,34763,1,TH,1,100,29.926
1760386333.589693,2199407.000,34782,1,TH,1,100,29.951
1760386333.723691,2199541.000,34798,1,TH,1,100,29.951
1760386333.856689,2199674.000,34830,1,TH,1,100,29.926
1760386333.989687,2199807.000,34847,1,TH,1,100,29.926
1760386334.123685,2199941.000,34866,1,TH,1,100,29.975
1760386334.256682,2200074.000,34897,1,TH,1,100,29.975
1760386334.389680,2200207.000,34914,1,TH,1,100,29.857
1760386334.522678,2200340.000,34931,1,TH,1,100,29.857
1760386334.656676,2200474.000,34962,1,TH,1,100,29.872
1760386334.789674,2200607.000,34982,1,TH,1,100,29.872
1760386334.923672,2200741.000,34998,1,TH,1,100,29.882
1760386335.056670,2200874.000,35030,1,TH,1,100,29.875
1760386335.189667,2201007.000,35047,1,TH,1,100,29.845
1760386335.323665,2201141.000,35065,1,TH,1,100,29.845
1760386335.456663,2201274.000,35097,1,TH,1,100,29.936
1760386335.589661,2201407.000,35114,1,TH,1,100,29.936
1760386335.722659,2201540.000,35130,1,TH,1,100,29.877
1760386335.856657,2201674.000,35164,1,TH,1,100,29.877
1760386335.989655,2201807.000,35181,1,TH,1,100,29.941
1760386336.122653,2201940.000,35198,1,TH,1,100,29.941
1760386336.256650,2202074.000,35220,1,TH,1,100,29.941
1760386336.389648,2202207.000,35238,1,TH,1,100,29.941
1760386336.522646,2202340.000,35270,1,TH,1,100,29.919
1760386336.656644,2202474.000,35287,1,TH,1,100,29.919
1760386336.789642,2202607.000,35304,1,TH,1,100,29.929
1760386336.922640,2202740.000,35335,1,TH,1,100,29.929
1760386337.056638,2202874.000,35354,1,TH,1,100,29.862
1760386337.189635,2203007.000,35371,1,TH,1,100,29.862
1760386337.322633,2203140.000,35402,1,TH,1,100,29.889
1760386337.456631,2203274.000,35420,1,TH,1,100,29.889
1760386337.589629,2203407.000,35436,1,TH,1,100,29.944
1760386337.722627,2203540.000,35455,1,TH,1,100,29.944
1760386337.856625,2203674.000,35487,1,TH,1,100,29.857
1760386337.989622,2203807.000,35503,1,TH,1,100,29.857
1760386338.122620,2203940.000,35521,1,TH,1,100,29.912
1760386338.255618,2204073.000,35554,1,TH,1,100,29.912
1760386338.389616,2204207.000,35570,1,TH,1,100,29.936
1760386338.522614,2204340.000,35588,1,TH,1,100,29.936
