LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760386111.740475,1977556.000,63542,1,AY,1,100,-1.185
1760386111.780141,1977595.667,63557,3,AY,1,100,-0.971
1760386111.819807,1977635.333,63557,3,AY,1,100,-0.694
1760386111.859473,1977675.000,63557,3,AY,1,100,-0.534
1760386111.899472,1977715.000,63574,2,AY,1,100,-0.421
1760386111.939472,1977755.000,63574,2,AY,1,100,-0.403
1760386111.979471,1977795.000,63592,3,AY,1,100,-0.597
1760386112.019471,1977835.000,63592,3,AY,1,100,-1.259
1760386112.059470,1977875.000,63592,3,AY,1,100,-1.608
1760386112.099469,1977915.000,63610,2,AY,1,100,-1.736
1760386112.139469,1977955.000,63610,2,AY,1,100,-1.739
1760386112.179468,1977995.000,63625,3,AY,1,100,-1.197
1760386112.219468,1978035.000,63625,3,AY,1,100,-0.732
1760386112.259467,1978075.000,63625,3,AY,1,100,-0.646
1760386112.299467,1978115.000,63643,2,AY,1,100,-0.703
1760386112.339466,1978155.000,63643,2,AY,1,100,-0.612
1760386112.379465,1978195.000,63659,3,AY,1,100,-0.530
1760386112.419465,1978235.000,63659,3,AY,1,100,-1.075
1760386112.459464,1978275.000,63659,3,AY,1,100,-1.408
1760386112.499464,1978315.000,63677,2,AY,1,100,-1.563
1760386112.539463,1978355.000,63677,2,AY,1,100,-1.579
1760386112.579463,1978395.000,63692,3,AY,1,100,-1.405
1760386112.619462,1978435.000,63692,3,AY,1,100,-1.129
1760386112.659461,1978475.000,63692,3,AY,1,100,-0.829
1760386112.699461,1978515.000,63710,2,AY,1,100,-0.490
1760386112.739460,1978555.000,63710,2,AY,1,100,-0.238
1760386112.779459,1978595.000,63727,3,AY,1,100,-0.229
1760386112.819459,1978635.000,63727,3,AY,1,100,-0.640
1760386112.859458,1978675.000,63727,3,AY,1,100,-1.498
1760386112.895458,1978711.000,63744,3,AY,1,100,-1.508
1760386112.931457,1978747.000,63744,3,AY,1,100,-1.967
1760386112.967457,1978783.000,63744,3,AY,1,100,-1.443
1760386113.007456,1978823.000,63760,2,AY,1,100,-1.065
1760386113.047456,1978863.000,63760,2,AY,1,100,-0.837
1760386113.087455,1978903.000,63776,3,AY,1,100,-0.514
1760386113.127455,1978943.000,63776,3,AY,1,100,-0.597
1760386113.167454,1978983.000,63776,3,AY,1,100,-0.418
1760386113.207453,1979023.000,63792,2,AY,1,100,-0.388
1760386113.247453,1979063.000,63792,2,AY,1,100,-1.801
1760386113.287452,1979103.000,63809,3,AY,1,100,-1.620
1760386113.327452,1979143.000,63809,3,AY,1,100,-1.642
1760386113.367451,1979183.000,63809,3,AY,1,100,-1.493
1760386113.407450,1979223.000,63826,2,AY,1,100,-1.054
1760386113.447450,1979263.000,63826,2,AY,1,100,-0.830
1760386113.487449,1979303.000,63845,3,AY,1,100,-0.540
1760386113.527449,1979343.000,63845,3,AY,1,100,-0.244
1760386113.567448,1979383.000,63845,3,AY,1,100,-0.308
1760386113.607448,1979423.000,63861,3,AY,1,100,-0.494
1760386113.647447,1979463.000,63861,3,AY,1,100,-1.583
1760386113.687446,1979503.000,63861,3,AY,1,100,-1.598
1760386113.727446,1979543.000,63878,2,AY,1,100,-1.725
1760386113.767445,1979583.000,63878,2,AY,1,100,-1.742
1760386113.807445,1979623.000,63899,3,AY,1,100,-1.376
1760386113.847444,1979663.000,63899,3,AY,1,100,-0.977
1760386113.887444,1979703.000,63899,3,AY,1,100,-0.709
