LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760386111.967471,1977783.000,63582,1,BI,1,100,480
1760386112.287467,1978103.000,63634,1,BI,1,100,320
1760386112.767460,1978583.000,63701,1,BI,1,100,480
1760386113.567448,1979383.000,63835,1,BI,1,100,800
1760386113.887444,1979703.000,63886,1,BI,1,100,320
1760386114.380436,1980196.000,63973,1,BI,1,100,480
1760386114.740431,1980556.000,64040,1,BI,1,100,360
1760386115.220424,1981036.000,64126,1,BI,1,100,480
1760386115.580419,1981396.000,64179,1,BI,1,100,360
1760386116.020413,1981836.000,64246,1,BI,1,100,440
1760386116.420407,1982236.000,64320,1,BI,1,100,400
1760386116.860400,1982676.000,64387,1,BI,1,100,440
1760386117.260395,1983076.000,64455,1,BI,1,100,400
1760386117.700388,1983516.000,64538,1,BI,1,100,440
1760386118.099383,1983915.000,64605,1,BI,1,100,400
1760386118.539376,1984355.000,64673,1,BI,1,100,440
1760386118.939370,1984755.000,64740,1,BI,1,100,400
1760386119.339365,1985155.000,64807,1,BI,1,100,400
1760386119.699359,1985515.000,64860,1,BI,1,100,360
1760386120.139353,1985955.000,64943,1,BI,1,100,440
1760386120.499348,1986315.000,64996,1,BI,1,100,360
1760386120.979341,1986795.000,65078,1,BI,1,100,480
1760386121.379335,1987195.000,65155,1,BI,1,100,400
1760386121.779329,1987595.000,65205,1,BI,1,100,400
1760386122.179323,1987995.000,65272,1,BI,1,100,400
1760386122.619317,1988435.000,65359,1,BI,1,100,440
1760386122.979312,1988795.000,65409,1,BI,1,100,360
1760386123.419306,1989235.000,65493,1,BI,1,100,440
1760386123.819300,1989635.000,25,1,BI,1,100,400
1760386124.232294,1990048.000,92,1,BI,1,100,400
1760386124.592288,1990408.000,142,1,BI,1,100,360
1760386125.072282,1990888.000,226,1,BI,1,100,480
1760386125.432276,1991248.000,277,1,BI,1,100,360
1760386125.832271,1991648.000,345,1,BI,1,100,400
1760386126.192265,1992008.000,415,1,BI,1,100,360
1760386126.672258,1992488.000,502,1,BI,1,100,480
1760386126.992254,1992808.000,554,1,BI,1,100,320
1760386127.472247,1993288.000,637,1,BI,1,100,480
1760386127.832242,1993648.000,688,1,BI,1,100,360
1760386128.272235,1994088.000,756,1,BI,1,100,440
1760386128.672230,1994488.000,823,1,BI,1,100,400
1760386129.072224,1994888.000,890,1,BI,1,100,400
1760386129.392219,1995208.000,957,1,BI,1,100,320
1760386129.872212,1995688.000,1024,1,BI,1,100,480
1760386130.232207,1996048.000,1092,1,BI,1,100,360
1760386130.672200,1996488.000,1159,1,BI,1,100,440
1760386131.032195,1996848.000,1226,1,BI,1,100,360
1760386131.471189,1997287.000,1295,1,BI,1,100,440
1760386131.791184,1997607.000,1351,1,BI,1,100,320
1760386132.231178,1998047.000,1419,1,BI,1,100,440
1760386132.591173,1998407.000,1488,1,BI,1,100,360
1760386133.031166,1998847.000,1555,1,BI,1,100,440
1760386133.391161,1999207.000,1622,1,BI,1,100,360
1760386133.845155,1999661.000,1689,1,BI,1,100,440
1760386134.245149,2000061.000,1757,1,BI,1,100,400
1760386134.644143,2000460.000,1824,1,BI,1,100,400
1760386135.004138,2000820.000,1891,1,BI,1,100,360
1760386135.444131,2001260.000,1958,1,BI,1,100,440
1760386135.804126,2001620.000,2025,1,BI,1,100,360
1760386136.204120,2002020.000,2095,1,BI,1,100,400
1760386136.564115,2002380.000,2145,1,BI,1,100,360
1760386137.004109,2002820.000,2217,1,BI,1,100,440
1760386137.364104,2003180.000,2285,1,BI,1,100,360
1760386137.804097,2003620.000,2352,1,BI,1,100,440
1760386138.164092,2003980.000,2421,1,BI,1,100,360
1760386138.604086,2004420.000,2488,1,BI,1,100,440
1760386139.004080,2004820.000,2555,1,BI,1,100,400
1760386139.404074,2005220.000,2622,1,BI,1,100,400
1760386139.804068,2005620.000,2689,1,BI,1,100,400
1760386140.204062,2006020.000,2757,1,BI,1,100,400
1760386140.564057,2006380.000,2808,1,BI,1,100,360
1760386141.004051,2006820.000,2891,1,BI,1,100,440
1760386141.844039,2007660.000,3030,1,BI,1,100,840
1760386142.204034,2008020.000,3098,1,BI,1,100,360
1760386142.644027,2008460.000,3165,1,BI,1,100,440
1760386143.004022,2008820.000,3216,1,BI,1,100,360
1760386143.444016,2009260.000,3299,1,BI,1,100,440
1760386143.777011,2009593.000,3350,1,BI,1,100,320
1760386144.257004,2010073.000,3434,1,BI,1,100,480
1760386144.616999,2010433.000,3486,1,BI,1,100,360
1760386145.056992,2010873.000,3568,1,BI,1,100,440
1760386145.416987,2011233.000,3621,1,BI,1,100,360
1760386145.856981,2011673.000,3703,1,BI,1,100,440
1760386146.256975,2012073.000,3772,1,BI,1,100,400
1760386146.656969,2012473.000,3825,1,BI,1,100,400
1760386147.056963,2012873.000,3897,1,BI,1,100,400
1760386147.456958,2013273.000,3964,1,BI,1,100,400
1760386147.855952,2013672.000,4031,1,BI,1,100,400
1760386148.255946,2014072.000,4099,1,BI,1,100,400
1760386148.615941,2014432.000,4166,1,BI,1,100,360
1760386149.015935,2014832.000,4233,1,BI,1,100,400
1760386149.415929,2015232.000,4300,1,BI,1,100,400
1760386149.815923,2015632.000,4368,1,BI,1,100,400
1760386150.175918,2015992.000,4417,1,BI,1,100,360
1760386150.615912,2016432.000,4485,1,BI,1,100,440
1760386151.015906,2016832.000,4552,1,BI,1,100,400
1760386151.455899,2017272.000,4638,1,BI,1,100,440
1760386151.775895,2017592.000,4690,1,BI,1,100,320
1760386152.215889,2018032.000,4763,1,BI,1,100,440
1760386152.575883,2018392.000,4830,1,BI,1,100,360
1760386153.015877,2018832.000,4897,1,BI,1,100,440
1760386153.375872,2019192.000,4948,1,BI,1,100,360
1760386153.775866,2019592.000,5015,1,BI,1,100,400
1760386154.188860,2020005.000,5082,1,BI,1,100,400
1760386154.628854,2020445.000,5166,1,BI,1,100,440
1760386155.028848,2020845.000,5233,1,BI,1,100,400
1760386155.388843,2021205.000,5284,1,BI,1,100,360
1760386155.748837,2021565.000,5351,1,BI,1,100,360
1760386156.188831,2022005.000,5420,1,BI,1,100,440
1760386156.588825,2022405.000,5489,1,BI,1,100,400
1760386156.988820,2022805.000,5557,1,BI,1,100,400
1760386157.388814,2023205.000,5629,1,BI,1,100,400
1760386157.788808,2023605.000,5696,1,BI,1,100,400
1760386158.148803,2023965.000,5746,1,BI,1,100,360
1760386158.548797,2024365.000,5813,1,BI,1,100,400
1760386158.948791,2024765.000,5881,1,BI,1,100,400
1760386159.388785,2025205.000,5965,1,BI,1,100,440
1760386159.748780,2025565.000,6015,1,BI,1,100,360
1760386160.148774,2025965.000,6082,1,BI,1,100,400
1760386160.548768,2026365.000,6150,1,BI,1,100,400
1760386160.947762,2026764.000,6217,1,BI,1,100,400
1760386161.387756,2027204.000,6286,1,BI,1,100,440
1760386161.747751,2027564.000,6353,1,BI,1,100,360
1760386162.107745,2027924.000,6406,1,BI,1,100,360
1760386162.547739,2028364.000,6493,1,BI,1,100,440
1760386162.907734,2028724.000,6546,1,BI,1,100,360
1760386163.307728,2029124.000,6613,1,BI,1,100,400
1760386163.667723,2029484.000,6680,1,BI,1,100,360
1760386164.121716,2029938.000,6747,1,BI,1,100,440
1760386164.480711,2030297.000,6814,1,BI,1,100,360
1760386164.880705,2030697.000,6882,1,BI,1,100,400
1760386165.240700,2031057.000,6932,1,BI,1,100,360
1760386165.640694,2031457.000,6999,1,BI,1,100,400
1760386165.960690,2031777.000,7052,1,BI,1,100,320
1760386166.440683,2032257.000,7135,1,BI,1,100,480
1760386167.200672,2033017.000,7269,1,BI,1,100,760
1760386167.520667,2033337.000,7326,1,BI,1,100,320
1760386167.960661,2033777.000,7393,1,BI,1,100,440
1760386168.280656,2034097.000,7443,1,BI,1,100,320
1760386168.720650,2034537.000,7510,1,BI,1,100,440
1760386169.080644,2034897.000,7577,1,BI,1,100,360
1760386169.480639,2035297.000,7644,1,BI,1,100,400
1760386169.880633,2035697.000,7712,1,BI,1,100,400
1760386170.320626,2036137.000,7779,1,BI,1,100,440
1760386170.640622,2036457.000,7832,1,BI,1,100,320
1760386171.040616,2036857.000,7899,1,BI,1,100,400
1760386171.400611,2037217.000,7968,1,BI,1,100,360
1760386171.840605,2037657.000,8035,1,BI,1,100,440
1760386172.240599,2038057.000,8103,1,BI,1,100,400
1760386172.640593,2038457.000,8175,1,BI,1,100,400
1760386173.000588,2038817.000,8225,1,BI,1,100,360
1760386173.440581,2039257.000,8309,1,BI,1,100,440
1760386173.813576,2039630.000,8377,1,BI,1,100,360
