LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760386116.104411,1981920.000,64280,1,BV,1,100,3.60
1760386121.104339,1986920.000,65113,1,BV,1,100,3.61
1760386126.103267,1991919.000,413,1,BV,1,100,3.60
1760386131.103194,1996919.000,1244,1,BV,1,100,3.61
1760386136.102122,2001918.000,2092,1,BV,1,100,3.61
1760386141.102050,2006918.000,2925,1,BV,1,100,3.61
1760386146.100977,2011917.000,3755,1,BV,1,100,3.60
1760386151.100905,2016917.000,4587,1,BV,1,100,3.60
1760386156.099832,2021916.000,5417,1,BV,1,100,3.61
1760386161.099760,2026916.000,6252,1,BV,1,100,3.60
1760386166.098688,2031915.000,7102,1,BV,1,100,3.60
1760386171.098615,2036915.000,7932,1,BV,1,100,3.60
1760386176.097543,2041914.000,8765,1,BV,1,100,3.61
1760386181.097471,2046914.000,9597,1,BV,1,100,3.60
1760386186.096398,2051913.000,10429,1,BV,1,100,3.60
1760386191.096326,2056913.000,11260,1,BV,1,100,3.60
1760386196.095253,2061912.000,12092,1,BV,1,100,3.60
1760386201.095181,2066912.000,12925,1,BV,1,100,3.60
1760386206.095109,2071912.000,13754,1,BV,1,100,3.60
1760386211.094036,2076911.000,14603,1,BV,1,100,3.60
1760386216.092964,2081910.000,15416,1,BV,1,100,3.59
1760386221.092891,2086910.000,16267,1,BV,1,100,3.60
1760386226.091819,2091909.000,17098,1,BV,1,100,3.60
1760386231.091747,2096909.000,17929,1,BV,1,100,3.60
1760386236.091674,2101909.000,18758,1,BV,1,100,3.60
1760386241.090602,2106908.000,19608,1,BV,1,100,3.60
