LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760386116.104411,1981920.000,64281,1,B%,1,100,31
1760386121.104339,1986920.000,65114,1,B%,1,100,31
1760386126.103267,1991919.000,414,1,B%,1,100,30
1760386131.103194,1996919.000,1245,1,B%,1,100,32
1760386136.102122,2001918.000,2093,1,B%,1,100,31
1760386141.102050,2006918.000,2926,1,B%,1,100,31
1760386146.100977,2011917.000,3756,1,B%,1,100,31
1760386151.100905,2016917.000,4588,1,B%,1,100,31
1760386156.099832,2021916.000,5418,1,B%,1,100,32
1760386161.099760,2026916.000,6253,1,B%,1,100,31
1760386166.098688,2031915.000,7103,1,B%,1,100,30
1760386171.098615,2036915.000,7933,1,B%,1,100,30
1760386176.097543,2041914.000,8766,1,B%,1,100,31
1760386181.097471,2046914.000,9598,1,B%,1,100,30
1760386186.096398,2051913.000,10430,1,B%,1,100,30
1760386191.096326,2056913.000,11261,1,B%,1,100,30
1760386196.095253,2061912.000,12093,1,B%,1,100,31
1760386201.095181,2066912.000,12926,1,B%,1,100,30
1760386206.095109,2071912.000,13755,1,B%,1,100,30
1760386211.094036,2076911.000,14604,1,B%,1,100,31
1760386216.092964,2081910.000,15417,1,B%,1,100,30
1760386221.092891,2086910.000,16268,1,B%,1,100,31
1760386226.091819,2091909.000,17099,1,B%,1,100,30
1760386231.091747,2096909.000,17930,1,B%,1,100,30
1760386236.091674,2101909.000,18759,1,B%,1,100,31
1760386241.090602,2106908.000,19609,1,B%,1,100,31
