LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760386111.739475,1977555.000,63538,1,EA,1,100,0.298789
1760386111.805474,1977621.000,63554,1,EA,1,100,0.298326
1760386111.872473,1977688.000,63569,2,EA,1,100,0.297942
1760386111.939472,1977755.000,63569,2,EA,1,100,0.297686
1760386112.005471,1977821.000,63587,1,EA,1,100,0.297648
1760386112.072470,1977888.000,63605,2,EA,1,100,0.297405
1760386112.139469,1977955.000,63605,2,EA,1,100,0.297240
1760386112.206468,1978022.000,63621,1,EA,1,100,0.297074
1760386112.272967,1978088.500,63639,2,EA,1,100,0.297227
1760386112.339466,1978155.000,63639,2,EA,1,100,0.297074
1760386112.405465,1978221.000,63654,1,EA,1,100,0.297061
1760386112.472464,1978288.000,63672,2,EA,1,100,0.297010
1760386112.539463,1978355.000,63672,2,EA,1,100,0.296782
1760386112.605462,1978421.000,63688,1,EA,1,100,0.296705
1760386112.672461,1978488.000,63706,2,EA,1,100,0.296871
1760386112.739460,1978555.000,63706,2,EA,1,100,0.296985
1760386112.805959,1978621.500,63722,2,EA,1,100,0.296921
1760386112.872458,1978688.000,63722,2,EA,1,100,0.296985
1760386112.939457,1978755.000,63739,1,EA,1,100,0.297290
1760386113.005956,1978821.500,63755,2,EA,1,100,0.297482
1760386113.072455,1978888.000,63755,2,EA,1,100,0.297635
1760386113.139454,1978955.000,63773,1,EA,1,100,0.297788
1760386113.205953,1979021.500,63787,2,EA,1,100,0.297814
1760386113.272452,1979088.000,63787,2,EA,1,100,0.297852
1760386113.339452,1979155.000,63804,1,EA,1,100,0.297942
1760386113.405951,1979221.500,63821,2,EA,1,100,0.298031
1760386113.472450,1979288.000,63821,2,EA,1,100,0.298134
1760386113.539448,1979355.000,63842,1,EA,1,100,0.298083
1760386113.605947,1979421.500,63856,2,EA,1,100,0.298249
1760386113.672447,1979488.000,63856,2,EA,1,100,0.298172
1760386113.739446,1979555.000,63873,1,EA,1,100,0.298429
1760386113.805945,1979621.500,63894,2,EA,1,100,0.298622
1760386113.872444,1979688.000,63894,2,EA,1,100,0.298506
1760386113.939443,1979755.000,63911,1,EA,1,100,0.298455
1760386114.005942,1979821.500,63925,2,EA,1,100,0.298596
1760386114.072441,1979888.000,63925,2,EA,1,100,0.298532
1760386114.139440,1979955.000,63943,1,EA,1,100,0.298660
1760386114.205939,1980021.500,63959,2,EA,1,100,0.298840
1760386114.272438,1980088.000,63959,2,EA,1,100,0.298840
1760386114.339437,1980155.000,63978,1,EA,1,100,0.298840
1760386114.405936,1980221.500,63993,2,EA,1,100,0.298943
1760386114.472435,1980288.000,63993,2,EA,1,100,0.298931
1760386114.539434,1980355.000,64010,1,EA,1,100,0.298840
1760386114.605933,1980421.500,64026,2,EA,1,100,0.298931
1760386114.672432,1980488.000,64026,2,EA,1,100,0.298943
1760386114.739431,1980555.000,64045,1,EA,1,100,0.298918
1760386114.805930,1980621.500,64061,2,EA,1,100,0.299176
1760386114.872429,1980688.000,64061,2,EA,1,100,0.299253
1760386114.938928,1980754.500,64077,2,EA,1,100,0.299331
1760386115.005427,1980821.000,64077,2,EA,1,100,0.299421
1760386115.072426,1980888.000,64093,1,EA,1,100,0.299434
1760386115.138925,1980954.500,64113,2,EA,1,100,0.299447
1760386115.205425,1981021.000,64113,2,EA,1,100,0.299434
1760386115.272424,1981088.000,64131,1,EA,1,100,0.299486
1760386115.338923,1981154.500,64146,2,EA,1,100,0.299524
1760386115.405421,1981221.000,64146,2,EA,1,100,0.299615
1760386115.472421,1981288.000,64165,1,EA,1,100,0.299615
1760386115.538920,1981354.500,64184,2,EA,1,100,0.299680
1760386115.605419,1981421.000,64184,2,EA,1,100,0.299654
1760386115.672418,1981488.000,64200,1,EA,1,100,0.299628
1760386115.738917,1981554.500,64216,2,EA,1,100,0.299654
1760386115.805416,1981621.000,64216,2,EA,1,100,0.299783
1760386115.872415,1981688.000,64232,1,EA,1,100,0.299822
1760386115.938914,1981754.500,64253,2,EA,1,100,0.299848
1760386116.005413,1981821.000,64253,2,EA,1,100,0.299835
1760386116.072412,1981888.000,64269,1,EA,1,100,0.299861
1760386116.138911,1981954.500,64287,2,EA,1,100,0.299796
1760386116.205410,1982021.000,64287,2,EA,1,100,0.299939
1760386116.271909,1982087.500,64306,2,EA,1,100,0.300017
1760386116.338408,1982154.000,64306,2,EA,1,100,0.300004
1760386116.405407,1982221.000,64325,1,EA,1,100,0.299939
1760386116.471906,1982287.500,64342,2,EA,1,100,0.299783
1760386116.538405,1982354.000,64342,2,EA,1,100,0.299796
1760386116.605404,1982421.000,64359,1,EA,1,100,0.300004
1760386116.671903,1982487.500,64374,2,EA,1,100,0.300238
1760386116.738402,1982554.000,64374,2,EA,1,100,0.300199
1760386116.805401,1982621.000,64393,1,EA,1,100,0.300134
1760386116.871900,1982687.500,64409,2,EA,1,100,0.300121
1760386116.938399,1982754.000,64409,2,EA,1,100,0.300082
1760386117.005398,1982821.000,64426,1,EA,1,100,0.300134
1760386117.071898,1982887.500,64442,2,EA,1,100,0.300420
1760386117.138397,1982954.000,64442,2,EA,1,100,0.300472
1760386117.205395,1983021.000,64460,2,EA,1,100,0.300407
1760386117.272394,1983088.000,64460,2,EA,1,100,0.300316
1760386117.338393,1983154.000,64476,1,EA,1,100,0.300355
1760386117.405393,1983221.000,64494,2,EA,1,100,0.300316
1760386117.472392,1983288.000,64494,2,EA,1,100,0.300394
1760386117.538391,1983354.000,64510,1,EA,1,100,0.300498
1760386117.605390,1983421.000,64525,2,EA,1,100,0.300511
1760386117.672389,1983488.000,64525,2,EA,1,100,0.300433
1760386117.738388,1983554.000,64543,1,EA,1,100,0.300459
1760386117.804887,1983620.500,64561,2,EA,1,100,0.300433
1760386117.871386,1983687.000,64561,2,EA,1,100,0.300628
1760386117.938385,1983754.000,64577,1,EA,1,100,0.300771
1760386118.004884,1983820.500,64592,2,EA,1,100,0.300928
1760386118.071383,1983887.000,64592,2,EA,1,100,0.300863
1760386118.138382,1983954.000,64611,1,EA,1,100,0.300863
1760386118.204881,1984020.500,64628,2,EA,1,100,0.300732
1760386118.271380,1984087.000,64628,2,EA,1,100,0.300824
1760386118.338379,1984154.000,64644,1,EA,1,100,0.300850
1760386118.404878,1984220.500,64660,2,EA,1,100,0.300863
1760386118.471377,1984287.000,64660,2,EA,1,100,0.300980
1760386118.538376,1984354.000,64678,1,EA,1,100,0.300954
1760386118.604875,1984420.500,64695,2,EA,1,100,0.300798
1760386118.671374,1984487.000,64695,2,EA,1,100,0.300850
1760386118.738373,1984554.000,64711,1,EA,1,100,0.301033
1760386118.804872,1984620.500,64727,2,EA,1,100,0.301137
1760386118.871371,1984687.000,64727,2,EA,1,100,0.301203
1760386118.938370,1984754.000,64745,1,EA,1,100,0.301229
1760386119.004869,1984820.500,64762,2,EA,1,100,0.301281
1760386119.071368,1984887.000,64762,2,EA,1,100,0.301268
1760386119.138367,1984954.000,64779,1,EA,1,100,0.301333
1760386119.204867,1985020.500,64795,2,EA,1,100,0.301412
1760386119.271366,1985087.000,64795,2,EA,1,100,0.301438
1760386119.338365,1985154.000,64812,1,EA,1,100,0.301425
1760386119.404864,1985220.500,64830,2,EA,1,100,0.301399
1760386119.471363,1985287.000,64830,2,EA,1,100,0.301399
1760386119.538362,1985354.000,64846,2,EA,1,100,0.301622
1760386119.605361,1985421.000,64846,2,EA,1,100,0.301740
1760386119.671360,1985487.000,64865,1,EA,1,100,0.301661
1760386119.738359,1985554.000,64880,2,EA,1,100,0.301687
1760386119.805358,1985621.000,64880,2,EA,1,100,0.301792
1760386119.871357,1985687.000,64899,1,EA,1,100,0.301714
1760386119.938356,1985754.000,64915,2,EA,1,100,0.301792
1760386120.005355,1985821.000,64915,2,EA,1,100,0.301963
1760386120.071354,1985887.000,64932,1,EA,1,100,0.301950
1760386120.138353,1985954.000,64949,2,EA,1,100,0.301950
1760386120.205352,1986021.000,64949,2,EA,1,100,0.301897
1760386120.271351,1986087.000,64966,1,EA,1,100,0.301884
1760386120.338350,1986154.000,64982,2,EA,1,100,0.302003
1760386120.405349,1986221.000,64982,2,EA,1,100,0.302161
1760386120.471348,1986287.000,65002,1,EA,1,100,0.302305
1760386120.538347,1986354.000,65016,2,EA,1,100,0.302187
1760386120.605346,1986421.000,65016,2,EA,1,100,0.302134
1760386120.671345,1986487.000,65033,1,EA,1,100,0.302108
1760386120.738344,1986554.000,65050,2,EA,1,100,0.302266
1760386120.805343,1986621.000,65050,2,EA,1,100,0.302371
1760386120.871342,1986687.000,65067,1,EA,1,100,0.302424
1760386120.938341,1986754.000,65083,2,EA,1,100,0.302398
1760386121.005341,1986821.000,65083,2,EA,1,100,0.302226
1760386121.071340,1986887.000,65100,1,EA,1,100,0.302200
1760386121.137839,1986953.500,65119,2,EA,1,100,0.302345
1760386121.204338,1987020.000,65119,2,EA,1,100,0.302503
1760386121.271337,1987087.000,65136,1,EA,1,100,0.302569
1760386121.338002,1987153.667,65161,3,EA,1,100,0.302450
1760386121.404668,1987220.333,65161,3,EA,1,100,0.302424
1760386121.471334,1987287.000,65161,3,EA,1,100,0.302450
1760386121.538333,1987354.000,65177,1,EA,1,100,0.302556
1760386121.604832,1987420.500,65192,2,EA,1,100,0.302807
1760386121.671331,1987487.000,65192,2,EA,1,100,0.302807
1760386121.738330,1987554.000,65210,1,EA,1,100,0.302794
1760386121.804829,1987620.500,65228,2,EA,1,100,0.302714
1760386121.871328,1987687.000,65228,2,EA,1,100,0.302688
1760386121.938327,1987754.000,65244,1,EA,1,100,0.302807
1760386122.004826,1987820.500,65259,2,EA,1,100,0.302966
1760386122.071325,1987887.000,65259,2,EA,1,100,0.303138
1760386122.138324,1987954.000,65278,1,EA,1,100,0.303151
1760386122.204823,1988020.500,65297,2,EA,1,100,0.302952
1760386122.271322,1988087.000,65297,2,EA,1,100,0.302807
1760386122.338321,1988154.000,65313,1,EA,1,100,0.302781
1760386122.404820,1988220.500,65329,2,EA,1,100,0.303045
1760386122.471319,1988287.000,65329,2,EA,1,100,0.303085
1760386122.538318,1988354.000,65345,1,EA,1,100,0.303058
1760386122.604817,1988420.500,65364,2,EA,1,100,0.302966
1760386122.671316,1988487.000,65364,2,EA,1,100,0.302939
1760386122.738315,1988554.000,65380,1,EA,1,100,0.302979
1760386122.804814,1988620.500,65397,2,EA,1,100,0.303257
1760386122.871314,1988687.000,65397,2,EA,1,100,0.303217
1760386122.938313,1988754.000,65414,1,EA,1,100,0.303217
1760386123.004812,1988820.500,65431,2,EA,1,100,0.303191
1760386123.071311,1988887.000,65431,2,EA,1,100,0.303284
1760386123.138309,1988954.000,65448,1,EA,1,100,0.303178
1760386123.204809,1989020.500,65464,2,EA,1,100,0.303231
1760386123.271308,1989087.000,65464,2,EA,1,100,0.303456
1760386123.337807,1989153.500,65479,2,EA,1,100,0.303549
1760386123.404306,1989220.000,65479,2,EA,1,100,0.303602
1760386123.471305,1989287.000,65499,1,EA,1,100,0.303509
1760386123.537804,1989353.500,65515,2,EA,1,100,0.303363
1760386123.604303,1989420.000,65515,2,EA,1,100,0.303655
1760386123.671302,1989487.000,65532,1,EA,1,100,0.303735
1760386123.737801,1989553.500,11,2,EA,1,100,0.303695
1760386123.804300,1989620.000,11,2,EA,1,100,0.303775
1760386123.871299,1989687.000,30,1,EA,1,100,0.303735
1760386123.937798,1989753.500,46,2,EA,1,100,0.303709
1760386124.004297,1989820.000,46,2,EA,1,100,0.303882
1760386124.071296,1989887.000,63,1,EA,1,100,0.303962
1760386124.137795,1989953.500,78,2,EA,1,100,0.304002
1760386124.204294,1990020.000,78,2,EA,1,100,0.303935
1760386124.271293,1990087.000,97,1,EA,1,100,0.303775
1760386124.337792,1990153.500,113,2,EA,1,100,0.303788
1760386124.404291,1990220.000,113,2,EA,1,100,0.303868
1760386124.471290,1990287.000,131,1,EA,1,100,0.303882
1760386124.537789,1990353.500,147,2,EA,1,100,0.303788
1760386124.604288,1990420.000,147,2,EA,1,100,0.303828
1760386124.671287,1990487.000,164,1,EA,1,100,0.303948
1760386124.737787,1990553.500,181,2,EA,1,100,0.303935
1760386124.804286,1990620.000,181,2,EA,1,100,0.304055
1760386124.871284,1990687.000,198,1,EA,1,100,0.304202
1760386124.937783,1990753.500,212,2,EA,1,100,0.304282
1760386125.004282,1990820.000,212,2,EA,1,100,0.304188
1760386125.071282,1990887.000,231,1,EA,1,100,0.304068
1760386125.137781,1990953.500,248,2,EA,1,100,0.303922
1760386125.204280,1991020.000,248,2,EA,1,100,0.304135
1760386125.271279,1991087.000,265,1,EA,1,100,0.304388
1760386125.337778,1991153.500,282,2,EA,1,100,0.304362
1760386125.404277,1991220.000,282,2,EA,1,100,0.304242
1760386125.471276,1991287.000,299,1,EA,1,100,0.304255
1760386125.537775,1991353.500,315,2,EA,1,100,0.304162
1760386125.604274,1991420.000,315,2,EA,1,100,0.304215
1760386125.670773,1991486.500,332,2,EA,1,100,0.304348
1760386125.737272,1991553.000,332,2,EA,1,100,0.304362
1760386125.804271,1991620.000,351,1,EA,1,100,0.304255
1760386125.870770,1991686.500,366,2,EA,1,100,0.304268
1760386125.937269,1991753.000,366,2,EA,1,100,0.304215
1760386126.004268,1991820.000,382,1,EA,1,100,0.304442
1760386126.070767,1991886.500,400,2,EA,1,100,0.304616
1760386126.137266,1991953.000,400,2,EA,1,100,0.304656
1760386126.204265,1992020.000,420,1,EA,1,100,0.304656
1760386126.270764,1992086.500,435,2,EA,1,100,0.304643
1760386126.337263,1992153.000,435,2,EA,1,100,0.304790
1760386126.404262,1992220.000,451,1,EA,1,100,0.304843
1760386126.470761,1992286.500,474,2,EA,1,100,0.304870
1760386126.537260,1992353.000,474,2,EA,1,100,0.304884
1760386126.604259,1992420.000,490,1,EA,1,100,0.304924
1760386126.670758,1992486.500,507,2,EA,1,100,0.304683
1760386126.737257,1992553.000,507,2,EA,1,100,0.304750
1760386126.804256,1992620.000,524,1,EA,1,100,0.304884
1760386126.870755,1992686.500,541,2,EA,1,100,0.305004
1760386126.937255,1992753.000,541,2,EA,1,100,0.305018
1760386127.004254,1992820.000,559,1,EA,1,100,0.305112
1760386127.070753,1992886.500,575,2,EA,1,100,0.305098
1760386127.137252,1992953.000,575,2,EA,1,100,0.305018
1760386127.204251,1993020.000,591,1,EA,1,100,0.305018
1760386127.270750,1993086.500,608,2,EA,1,100,0.305232
1760386127.337249,1993153.000,608,2,EA,1,100,0.305232
1760386127.404248,1993220.000,624,1,EA,1,100,0.305219
1760386127.470747,1993286.500,643,2,EA,1,100,0.305112
1760386127.537246,1993353.000,643,2,EA,1,100,0.305085
1760386127.604245,1993420.000,658,1,EA,1,100,0.305192
1760386127.670744,1993486.500,675,2,EA,1,100,0.305421
1760386127.737243,1993553.000,675,2,EA,1,100,0.305488
1760386127.804242,1993620.000,694,1,EA,1,100,0.305488
1760386127.870741,1993686.500,710,2,EA,1,100,0.305555
1760386127.937240,1993753.000,710,2,EA,1,100,0.305582
1760386128.003739,1993819.500,725,2,EA,1,100,0.305528
1760386128.070238,1993886.000,725,2,EA,1,100,0.305663
1760386128.137237,1993953.000,743,1,EA,1,100,0.305622
1760386128.203736,1994019.500,761,2,EA,1,100,0.305609
1760386128.270235,1994086.000,761,2,EA,1,100,0.305542
1760386128.337234,1994153.000,778,1,EA,1,100,0.305474
1760386128.403733,1994219.500,793,2,EA,1,100,0.305528
1760386128.470232,1994286.000,793,2,EA,1,100,0.305676
1760386128.537231,1994353.000,810,1,EA,1,100,0.305703
1760386128.603730,1994419.500,828,2,EA,1,100,0.305717
1760386128.670229,1994486.000,828,2,EA,1,100,0.305744
1760386128.737229,1994553.000,845,1,EA,1,100,0.305757
1760386128.803728,1994619.500,860,2,EA,1,100,0.305730
1760386128.870227,1994686.000,860,2,EA,1,100,0.305798
1760386128.937226,1994753.000,877,1,EA,1,100,0.305838
1760386129.003725,1994819.500,895,2,EA,1,100,0.305946
1760386129.070224,1994886.000,895,2,EA,1,100,0.305906
1760386129.137223,1994953.000,913,1,EA,1,100,0.305906
1760386129.203722,1995019.500,927,2,EA,1,100,0.305973
1760386129.270221,1995086.000,927,2,EA,1,100,0.306122
1760386129.337220,1995153.000,944,1,EA,1,100,0.306149
1760386129.403719,1995219.500,963,2,EA,1,100,0.306135
1760386129.470218,1995286.000,963,2,EA,1,100,0.306162
1760386129.537217,1995353.000,980,1,EA,1,100,0.306095
1760386129.603716,1995419.500,994,2,EA,1,100,0.306108
1760386129.670215,1995486.000,994,2,EA,1,100,0.306257
1760386129.737214,1995553.000,1011,1,EA,1,100,0.306392
1760386129.803713,1995619.500,1030,2,EA,1,100,0.306216
