LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760386111.740475,1977556.000,63549,1,MZ,1,100,20
1760386111.780141,1977595.667,63564,3,MZ,1,100,19
1760386111.819807,1977635.333,63564,3,MZ,1,100,19
1760386111.859473,1977675.000,63564,3,MZ,1,100,18
1760386111.899472,1977715.000,63581,2,MZ,1,100,18
1760386111.939472,1977755.000,63581,2,MZ,1,100,17
1760386111.979471,1977795.000,63599,3,MZ,1,100,17
1760386112.019471,1977835.000,63599,3,MZ,1,100,19
1760386112.059470,1977875.000,63599,3,MZ,1,100,19
1760386112.099469,1977915.000,63617,2,MZ,1,100,19
1760386112.139469,1977955.000,63617,2,MZ,1,100,21
1760386112.179468,1977995.000,63632,3,MZ,1,100,20
1760386112.219468,1978035.000,63632,3,MZ,1,100,19
1760386112.259467,1978075.000,63632,3,MZ,1,100,20
1760386112.299467,1978115.000,63650,2,MZ,1,100,19
1760386112.339466,1978155.000,63650,2,MZ,1,100,19
1760386112.379465,1978195.000,63666,3,MZ,1,100,20
1760386112.419465,1978235.000,63666,3,MZ,1,100,18
1760386112.459464,1978275.000,63666,3,MZ,1,100,19
1760386112.499464,1978315.000,63684,2,MZ,1,100,19
1760386112.539463,1978355.000,63684,2,MZ,1,100,19
1760386112.579463,1978395.000,63699,3,MZ,1,100,19
1760386112.619462,1978435.000,63699,3,MZ,1,100,18
1760386112.659461,1978475.000,63699,3,MZ,1,100,18
1760386112.699461,1978515.000,63717,2,MZ,1,100,19
1760386112.739460,1978555.000,63717,2,MZ,1,100,17
1760386112.779459,1978595.000,63734,3,MZ,1,100,17
1760386112.819459,1978635.000,63734,3,MZ,1,100,17
1760386112.859458,1978675.000,63734,3,MZ,1,100,19
1760386112.895458,1978711.000,63751,3,MZ,1,100,21
1760386112.931457,1978747.000,63751,3,MZ,1,100,21
1760386112.967457,1978783.000,63751,3,MZ,1,100,21
1760386113.007456,1978823.000,63767,2,MZ,1,100,21
1760386113.047456,1978863.000,63767,2,MZ,1,100,20
1760386113.087455,1978903.000,63783,3,MZ,1,100,19
1760386113.127455,1978943.000,63783,3,MZ,1,100,19
1760386113.167454,1978983.000,63783,3,MZ,1,100,20
1760386113.207453,1979023.000,63799,2,MZ,1,100,19
1760386113.247453,1979063.000,63799,2,MZ,1,100,20
1760386113.287452,1979103.000,63816,3,MZ,1,100,20
1760386113.327452,1979143.000,63816,3,MZ,1,100,19
1760386113.367451,1979183.000,63816,3,MZ,1,100,19
1760386113.407450,1979223.000,63833,2,MZ,1,100,19
1760386113.447450,1979263.000,63833,2,MZ,1,100,18
1760386113.487449,1979303.000,63852,3,MZ,1,100,19
1760386113.527449,1979343.000,63852,3,MZ,1,100,17
1760386113.567448,1979383.000,63852,3,MZ,1,100,18
1760386113.607448,1979423.000,63868,3,MZ,1,100,17
1760386113.647447,1979463.000,63868,3,MZ,1,100,18
1760386113.687446,1979503.000,63868,3,MZ,1,100,19
1760386113.727446,1979543.000,63885,2,MZ,1,100,19
1760386113.767445,1979583.000,63885,2,MZ,1,100,21
1760386113.807445,1979623.000,63906,3,MZ,1,100,21
1760386113.847444,1979663.000,63906,3,MZ,1,100,21
1760386113.887444,1979703.000,63906,3,MZ,1,100,19
1760386113.927443,1979743.000,63921,2,MZ,1,100,19
1760386113.967442,1979783.000,63921,2,MZ,1,100,19
1760386114.007108,1979822.667,63937,3,MZ,1,100,18
1760386114.046775,1979862.333,63937,3,MZ,1,100,19
1760386114.086441,1979902.000,63937,3,MZ,1,100,20
1760386114.126440,1979942.000,63955,2,MZ,1,100,19
1760386114.166440,1979982.000,63955,2,MZ,1,100,19
1760386114.206439,1980022.000,63971,3,MZ,1,100,20
1760386114.246438,1980062.000,63971,3,MZ,1,100,20
1760386114.286438,1980102.000,63971,3,MZ,1,100,18
1760386114.326437,1980142.000,63988,2,MZ,1,100,18
1760386114.366436,1980182.000,63988,2,MZ,1,100,17
1760386114.406436,1980222.000,64005,3,MZ,1,100,18
1760386114.446435,1980262.000,64005,3,MZ,1,100,17
1760386114.486435,1980302.000,64005,3,MZ,1,100,19
1760386114.526434,1980342.000,64022,2,MZ,1,100,19
1760386114.566434,1980382.000,64022,2,MZ,1,100,20
1760386114.606433,1980422.000,64038,3,MZ,1,100,21
1760386114.646433,1980462.000,64038,3,MZ,1,100,20
1760386114.686432,1980502.000,64038,3,MZ,1,100,21
1760386114.726431,1980542.000,64056,2,MZ,1,100,20
1760386114.766431,1980582.000,64056,2,MZ,1,100,21
1760386114.806430,1980622.000,64072,3,MZ,1,100,20
1760386114.846430,1980662.000,64072,3,MZ,1,100,20
1760386114.886429,1980702.000,64072,3,MZ,1,100,19
1760386114.926429,1980742.000,64089,3,MZ,1,100,20
1760386114.966428,1980782.000,64089,3,MZ,1,100,19
1760386115.006427,1980822.000,64089,3,MZ,1,100,18
1760386115.046427,1980862.000,64105,2,MZ,1,100,18
1760386115.086426,1980902.000,64105,2,MZ,1,100,19
1760386115.126426,1980942.000,64125,3,MZ,1,100,20
1760386115.166425,1980982.000,64125,3,MZ,1,100,18
1760386115.206424,1981022.000,64125,3,MZ,1,100,18
1760386115.246424,1981062.000,64141,2,MZ,1,100,19
1760386115.286423,1981102.000,64141,2,MZ,1,100,20
1760386115.326423,1981142.000,64158,3,MZ,1,100,21
1760386115.366422,1981182.000,64158,3,MZ,1,100,20
1760386115.406421,1981222.000,64158,3,MZ,1,100,20
1760386115.446421,1981262.000,64177,2,MZ,1,100,21
1760386115.486420,1981302.000,64177,2,MZ,1,100,21
1760386115.526420,1981342.000,64196,3,MZ,1,100,21
1760386115.566419,1981382.000,64196,3,MZ,1,100,19
1760386115.606419,1981422.000,64196,3,MZ,1,100,18
1760386115.646418,1981462.000,64210,2,MZ,1,100,19
