LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760386111.847473,1977663.000,63552,3,PR,1,100,94897
1760386111.847473,1977663.000,63552,3,PR,1,100,94954
1760386111.847473,1977663.000,63552,3,PR,1,100,95028
1760386111.887472,1977703.000,63567,2,PR,1,100,95082
1760386111.927472,1977743.000,63567,2,PR,1,100,95120
1760386111.967471,1977783.000,63585,3,PR,1,100,95148
1760386112.007471,1977823.000,63585,3,PR,1,100,95159
1760386112.047470,1977863.000,63585,3,PR,1,100,94923
1760386112.087470,1977903.000,63603,2,PR,1,100,94716
1760386112.127469,1977943.000,63603,2,PR,1,100,94771
1760386112.167469,1977983.000,63619,3,PR,1,100,94758
1760386112.207468,1978023.000,63619,3,PR,1,100,94814
1760386112.247467,1978063.000,63619,3,PR,1,100,94997
1760386112.287467,1978103.000,63637,3,PR,1,100,95102
1760386112.327466,1978143.000,63637,3,PR,1,100,95122
1760386112.367465,1978183.000,63637,3,PR,1,100,95114
1760386112.407465,1978223.000,63652,2,PR,1,100,95145
1760386112.447464,1978263.000,63652,2,PR,1,100,95102
1760386112.487464,1978303.000,63670,3,PR,1,100,94762
1760386112.527463,1978343.000,63670,3,PR,1,100,94636
1760386112.567463,1978383.000,63670,3,PR,1,100,94658
1760386112.607462,1978423.000,63686,2,PR,1,100,94701
1760386112.647461,1978463.000,63686,2,PR,1,100,94821
1760386112.687461,1978503.000,63704,3,PR,1,100,94963
1760386112.727460,1978543.000,63704,3,PR,1,100,95105
1760386112.767460,1978583.000,63704,3,PR,1,100,95210
1760386112.807459,1978623.000,63720,2,PR,1,100,95279
1760386112.847459,1978663.000,63720,2,PR,1,100,95244
1760386112.887458,1978703.000,63737,3,PR,1,100,95187
1760386112.927457,1978743.000,63737,3,PR,1,100,95209
1760386112.967457,1978783.000,63737,3,PR,1,100,95231
1760386113.007456,1978823.000,63753,2,PR,1,100,95222
1760386113.047456,1978863.000,63753,2,PR,1,100,95309
