LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760386111.747474,1977563.000,63540,1,TH,1,100,30.041
1760386111.880473,1977696.000,63572,1,TH,1,100,30.041
1760386112.013471,1977829.000,63590,1,TH,1,100,30.135
1760386112.147469,1977963.000,63608,1,TH,1,100,30.135
1760386112.280467,1978096.000,63641,1,TH,1,100,30.093
1760386112.413465,1978229.000,63657,1,TH,1,100,30.093
1760386112.547463,1978363.000,63675,1,TH,1,100,29.989
1760386112.680461,1978496.000,63708,1,TH,1,100,29.989
1760386112.813459,1978629.000,63725,1,TH,1,100,30.017
1760386112.947457,1978763.000,63742,1,TH,1,100,30.017
1760386113.080455,1978896.000,63758,1,TH,1,100,30.019
1760386113.213453,1979029.000,63790,1,TH,1,100,30.019
1760386113.347451,1979163.000,63807,1,TH,1,100,30.071
1760386113.480449,1979296.000,63824,1,TH,1,100,30.071
1760386113.613447,1979429.000,63859,1,TH,1,100,30.113
1760386113.747446,1979563.000,63876,1,TH,1,100,30.113
1760386113.880444,1979696.000,63897,1,TH,1,100,29.992
1760386114.013442,1979829.000,63928,1,TH,1,100,29.992
1760386114.147440,1979963.000,63946,1,TH,1,100,30.096
1760386114.280438,1980096.000,63962,1,TH,1,100,30.096
1760386114.413436,1980229.000,63996,1,TH,1,100,30.137
1760386114.546434,1980362.000,64013,1,TH,1,100,30.137
1760386114.680432,1980496.000,64029,1,TH,1,100,30.081
1760386114.813430,1980629.000,64063,1,TH,1,100,30.081
1760386114.946428,1980762.000,64080,1,TH,1,100,30.103
1760386115.080426,1980896.000,64096,1,TH,1,100,30.103
1760386115.213424,1981029.000,64116,1,TH,1,100,30.036
1760386115.347422,1981163.000,64149,1,TH,1,100,30.036
1760386115.480420,1981296.000,64168,1,TH,1,100,30.118
1760386115.613419,1981429.000,64187,1,TH,1,100,30.118
1760386115.746417,1981562.000,64219,1,TH,1,100,30.103
1760386115.880415,1981696.000,64235,1,TH,1,100,30.103
1760386116.013413,1981829.000,64256,1,TH,1,100,30.058
1760386116.146411,1981962.000,64290,1,TH,1,100,30.058
1760386116.280409,1982096.000,64309,1,TH,1,100,30.026
1760386116.413407,1982229.000,64328,1,TH,1,100,30.027
1760386116.546405,1982362.000,64345,1,TH,1,100,30.098
