RD,TS_received,TS_sent,AK,RoundTrip,
1982073,1987178,2025-10-13_16-08-36-265547,1987182,5105,
1987185,1987212,2025-10-13_16-08-41-388663,1987213,27,
1992304,1992319,2025-10-13_16-08-46-496113,1992320,15,
1997411,1997424,2025-10-13_16-08-51-601687,1997430,13,
2002519,2002535,2025-10-13_16-08-56-713692,2002536,16,
2007641,2007655,2025-10-13_16-09-01-833022,2007661,14,
2012749,2012766,2025-10-13_16-09-06-940881,2012767,17,
2017860,2017879,2025-10-13_16-09-12-054520,2017880,19,
2022994,2023020,2025-10-13_16-09-17-192143,2023022,26,
2028101,2028113,2025-10-13_16-09-22-291236,2028114,12,
2033209,2033227,2025-10-13_16-09-27-404033,2033228,18,
2038351,2038404,2025-10-13_16-09-32-574091,2038406,53,
2043459,2043504,2025-10-13_16-09-37-675333,2043506,45,
2048566,2048650,2025-10-13_16-09-42-824029,2048652,84,
2053676,2053723,2025-10-13_16-09-47-870626,2053724,47,
2058782,2058822,2025-10-13_16-09-52-997594,2058824,40,
2063890,2063908,2025-10-13_16-09-58-081515,2063910,18,
2069023,2069042,2025-10-13_16-10-03-214148,2069043,19,
2074127,2074141,2025-10-13_16-10-08-316515,2074143,14,
2079234,2079282,2025-10-13_16-10-13-430146,2079283,48,
2084342,2084360,2025-10-13_16-10-18-536069,2084361,18,
2089482,2089506,2025-10-13_16-10-23-672369,2089507,24,
2094591,2094603,2025-10-13_16-10-28-779780,2094605,12,
2099732,2099745,2025-10-13_16-10-33-922156,2099747,13,
2104839,2104852,2025-10-13_16-10-39-026276,2104853,13,
2109979,2109998,2025-10-13_16-10-44-170321,2110000,19,
