LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760385713.099483,1578916.000,62764,1,BI,1,100,14080
1760385723.191905,1589008.000,64435,1,BI,1,100,10080
1760385725.111985,1590928.000,64752,1,BI,1,100,1920
1760385726.392039,1592208.000,64958,1,BI,1,100,1280
1760385727.672092,1593488.000,65167,1,BI,1,100,1280
1760385737.044484,1602860.000,1199,1,BI,1,100,9360
1760385737.764514,1603580.000,1323,1,BI,1,100,720
1760385743.017734,1608833.000,2206,1,BI,1,100,5240
1760385747.057903,1612873.000,2864,1,BI,1,100,4040
1760385748.376958,1614192.000,3089,1,BI,1,100,1320
1760385749.016985,1614832.000,3207,1,BI,1,100,640
1760385755.670263,1621485.000,4302,1,BI,1,100,6640
1760385760.789477,1626604.000,5168,1,BI,1,100,5120
1760385764.003612,1629818.000,5694,1,BI,1,100,3200
1760385764.722642,1630537.000,5812,1,BI,1,100,720
1760385767.122742,1632937.000,6221,1,BI,1,100,2400
1760385767.682765,1633497.000,6307,1,BI,1,100,560
1760385772.482966,1638297.000,7120,1,BI,1,100,4800
1760385773.175995,1638990.000,7221,1,BI,1,100,680
1760385775.016072,1640830.000,7533,1,BI,1,100,1840
1760385775.656099,1641470.000,7637,1,BI,1,100,640
1760385777.656183,1643470.000,7975,1,BI,1,100,2000
1760385778.295209,1644109.000,8076,1,BI,1,100,640
1760385778.895234,1644709.000,8181,1,BI,1,100,600
1760385780.135286,1645949.000,8385,1,BI,1,100,1240
1760385780.735311,1646549.000,8486,1,BI,1,100,600
1760385783.908444,1649722.000,9015,1,BI,1,100,3160
1760385788.868651,1654682.000,9842,1,BI,1,100,4960
1760385792.067785,1657881.000,10380,1,BI,1,100,3200
1760385792.721812,1658535.000,10483,1,BI,1,100,640
1760385794.560889,1660374.000,10792,1,BI,1,100,1840
1760385795.120913,1660934.000,10895,1,BI,1,100,560
1760385796.920988,1662734.000,11184,1,BI,1,100,1800
1760385803.014243,1668827.000,12200,1,BI,1,100,6080
1760385810.213544,1676026.000,13405,1,BI,1,100,7200
1760385816.546809,1682359.000,14451,1,BI,1,100,6320
1760385820.546976,1686359.000,15110,1,BI,1,100,4000
1760385822.520059,1688332.000,15454,1,BI,1,100,1960
1760385829.159336,1694971.000,16547,1,BI,1,100,6640
1760385835.652608,1701464.000,17637,1,BI,1,100,6480
1760385837.772696,1703584.000,17988,1,BI,1,100,2120
