LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760385713.099483,1578916.000,62765,1,HR,1,100,41.23
1760385723.191905,1589008.000,64436,1,HR,1,100,33.39
1760385725.111985,1590928.000,64753,1,HR,1,100,32.91
1760385726.392039,1592208.000,64959,1,HR,1,100,36.02
1760385727.672092,1593488.000,65168,1,HR,1,100,38.43
1760385737.044484,1602860.000,1200,1,HR,1,100,31.31
1760385737.764514,1603580.000,1324,1,HR,1,100,42.87
1760385743.017734,1608833.000,2207,1,HR,1,100,35.89
1760385747.057903,1612873.000,2865,1,HR,1,100,31.21
1760385748.376958,1614192.000,3090,1,HR,1,100,34.38
1760385749.016985,1614832.000,3208,1,HR,1,100,47.57
1760385755.670263,1621485.000,4303,1,HR,1,100,39.01
1760385760.789477,1626604.000,5169,1,HR,1,100,32.94
1760385764.003612,1629818.000,5695,1,HR,1,100,29.79
1760385764.722642,1630537.000,5813,1,HR,1,100,41.69
1760385767.122742,1632937.000,6222,1,HR,1,100,37.98
1760385767.682765,1633497.000,6308,1,HR,1,100,53.35
1760385772.482966,1638297.000,7121,1,HR,1,100,44.27
1760385773.175995,1638990.000,7222,1,HR,1,100,54.04
1760385775.016072,1640830.000,7534,1,HR,1,100,49.28
1760385775.656099,1641470.000,7638,1,HR,1,100,59.16
1760385777.656183,1643470.000,7976,1,HR,1,100,52.68
1760385778.295209,1644109.000,8077,1,HR,1,100,61.81
1760385778.895234,1644709.000,8182,1,HR,1,100,70.30
1760385780.135286,1645949.000,8386,1,HR,1,100,65.43
1760385780.735311,1646549.000,8487,1,HR,1,100,73.11
1760385783.908444,1649722.000,9016,1,HR,1,100,61.08
1760385788.868651,1654682.000,9843,1,HR,1,100,50.20
1760385792.067785,1657881.000,10381,1,HR,1,100,43.21
1760385792.721812,1658535.000,10484,1,HR,1,100,54.44
1760385794.560889,1660374.000,10793,1,HR,1,100,49.59
1760385795.120913,1660934.000,10896,1,HR,1,100,62.38
1760385796.920988,1662734.000,11185,1,HR,1,100,55.92
1760385803.014243,1668827.000,12201,1,HR,1,100,45.69
1760385810.213544,1676026.000,13406,1,HR,1,100,37.39
1760385816.546809,1682359.000,14452,1,HR,1,100,31.19
1760385820.546976,1686359.000,15111,1,HR,1,100,27.59
1760385822.520059,1688332.000,15455,1,HR,1,100,28.26
1760385829.159336,1694971.000,16548,1,HR,1,100,23.99
1760385835.652608,1701464.000,17638,1,HR,1,100,20.72
1760385837.772696,1703584.000,17989,1,HR,1,100,22.40
