LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760385711.206404,1577023.000,62472,1,PG,1,100,5135
1760385711.246405,1577063.000,62477,2,PG,1,100,5131
1760385711.286407,1577103.000,62477,2,PG,1,100,5126
1760385711.326409,1577143.000,62494,3,PG,1,100,5122
1760385711.366410,1577183.000,62494,3,PG,1,100,5119
1760385711.406412,1577223.000,62494,3,PG,1,100,5106
1760385711.446414,1577263.000,62511,3,PG,1,100,5124
1760385711.486415,1577303.000,62511,3,PG,1,100,5113
1760385711.526417,1577343.000,62511,3,PG,1,100,5105
1760385711.566419,1577383.000,62528,2,PG,1,100,5097
1760385711.606421,1577423.000,62528,2,PG,1,100,5104
1760385711.646422,1577463.000,62542,3,PG,1,100,5096
1760385711.686424,1577503.000,62542,3,PG,1,100,5088
1760385711.726425,1577543.000,62542,3,PG,1,100,5108
1760385711.766427,1577583.000,62559,2,PG,1,100,5109
1760385711.806429,1577623.000,62559,2,PG,1,100,5109
1760385711.846431,1577663.000,62578,3,PG,1,100,5106
1760385711.886432,1577703.000,62578,3,PG,1,100,5104
1760385711.926434,1577743.000,62578,3,PG,1,100,5098
1760385711.966435,1577783.000,62595,2,PG,1,100,5096
1760385712.006437,1577823.000,62595,2,PG,1,100,5088
1760385712.049689,1577866.250,62615,4,PG,1,100,5095
1760385712.092941,1577909.500,62615,4,PG,1,100,5094
1760385712.136193,1577952.750,62615,4,PG,1,100,5089
1760385712.179445,1577996.000,62615,4,PG,1,100,5070
1760385712.219446,1578036.000,62632,3,PG,1,100,5070
1760385712.259448,1578076.000,62632,3,PG,1,100,5072
1760385712.299449,1578116.000,62632,3,PG,1,100,5081
1760385712.339451,1578156.000,62648,3,PG,1,100,5071
1760385712.379453,1578196.000,62648,3,PG,1,100,5065
1760385712.419455,1578236.000,62648,3,PG,1,100,5080
1760385712.459456,1578276.000,62666,2,PG,1,100,5080
1760385712.499458,1578316.000,62666,2,PG,1,100,5078
1760385712.539459,1578356.000,62682,3,PG,1,100,5073
1760385712.579461,1578396.000,62682,3,PG,1,100,5070
1760385712.619463,1578436.000,62682,3,PG,1,100,5069
1760385712.659465,1578476.000,62701,2,PG,1,100,5072
1760385712.699466,1578516.000,62701,2,PG,1,100,5076
1760385712.739468,1578556.000,62717,3,PG,1,100,5061
1760385712.779469,1578596.000,62717,3,PG,1,100,5062
1760385712.819471,1578636.000,62717,3,PG,1,100,5062
1760385712.859473,1578676.000,62733,2,PG,1,100,5046
1760385712.899475,1578716.000,62733,2,PG,1,100,5048
1760385712.939476,1578756.000,62749,3,PG,1,100,5046
1760385712.979478,1578796.000,62749,3,PG,1,100,5054
1760385713.019480,1578836.000,62749,3,PG,1,100,5042
1760385713.059481,1578876.000,62768,2,PG,1,100,5063
1760385713.099483,1578916.000,62768,2,PG,1,100,5051
1760385713.139485,1578956.000,62787,3,PG,1,100,5055
1760385713.179486,1578996.000,62787,3,PG,1,100,5048
1760385713.219488,1579036.000,62787,3,PG,1,100,5048
1760385713.259490,1579076.000,62802,2,PG,1,100,5045
1760385713.299491,1579116.000,62802,2,PG,1,100,5041
1760385713.339493,1579156.000,62818,3,PG,1,100,5052
1760385713.379495,1579196.000,62818,3,PG,1,100,5057
1760385713.419496,1579236.000,62818,3,PG,1,100,5042
1760385713.459498,1579276.000,62838,2,PG,1,100,5050
1760385713.499500,1579316.000,62838,2,PG,1,100,5050
1760385713.539501,1579356.000,62854,3,PG,1,100,5030
1760385713.579503,1579396.000,62854,3,PG,1,100,5047
1760385713.619505,1579436.000,62854,3,PG,1,100,5046
1760385713.659506,1579476.000,62869,2,PG,1,100,5048
1760385713.699508,1579516.000,62869,2,PG,1,100,5042
1760385713.739510,1579556.000,62885,3,PG,1,100,5042
1760385713.779511,1579596.000,62885,3,PG,1,100,5044
1760385713.819513,1579636.000,62885,3,PG,1,100,5041
1760385713.859515,1579676.000,62903,3,PG,1,100,5049
1760385713.899516,1579716.000,62903,3,PG,1,100,5044
1760385713.939518,1579756.000,62903,3,PG,1,100,5036
1760385713.979520,1579796.000,62919,2,PG,1,100,5043
1760385714.019521,1579836.000,62919,2,PG,1,100,5041
1760385714.059523,1579876.000,62935,3,PG,1,100,5048
1760385714.099525,1579916.000,62935,3,PG,1,100,5039
1760385714.139526,1579956.000,62935,3,PG,1,100,5044
1760385714.179528,1579996.000,62951,2,PG,1,100,5026
1760385714.219530,1580036.000,62951,2,PG,1,100,5023
1760385714.259531,1580076.000,62968,3,PG,1,100,5027
1760385714.299533,1580116.000,62968,3,PG,1,100,5041
1760385714.339535,1580156.000,62968,3,PG,1,100,5034
1760385714.379536,1580196.000,62984,2,PG,1,100,5043
1760385714.419538,1580236.000,62984,2,PG,1,100,5046
1760385714.459540,1580276.000,63002,3,PG,1,100,5038
1760385714.499542,1580316.000,63002,3,PG,1,100,5041
1760385714.539543,1580356.000,63002,3,PG,1,100,5035
