LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760385711.206404,1577023.000,62471,1,PR,1,100,87419
1760385711.246405,1577063.000,62476,2,PR,1,100,87421
1760385711.286407,1577103.000,62476,2,PR,1,100,87415
1760385711.326409,1577143.000,62493,3,PR,1,100,87415
1760385711.366410,1577183.000,62493,3,PR,1,100,87431
1760385711.406412,1577223.000,62493,3,PR,1,100,87436
1760385711.446414,1577263.000,62510,3,PR,1,100,87413
1760385711.486415,1577303.000,62510,3,PR,1,100,87424
1760385711.526417,1577343.000,62510,3,PR,1,100,87427
1760385711.566419,1577383.000,62527,2,PR,1,100,87433
1760385711.606421,1577423.000,62527,2,PR,1,100,87442
1760385711.646422,1577463.000,62541,3,PR,1,100,87451
1760385711.686424,1577503.000,62541,3,PR,1,100,87427
1760385711.726425,1577543.000,62541,3,PR,1,100,87432
1760385711.766427,1577583.000,62558,2,PR,1,100,87439
1760385711.806429,1577623.000,62558,2,PR,1,100,87437
1760385711.846431,1577663.000,62577,3,PR,1,100,87431
1760385711.886432,1577703.000,62577,3,PR,1,100,87440
1760385711.926434,1577743.000,62577,3,PR,1,100,87445
1760385711.966435,1577783.000,62594,2,PR,1,100,87460
1760385712.006437,1577823.000,62594,2,PR,1,100,87470
1760385712.049689,1577866.250,62614,4,PR,1,100,87455
1760385712.092941,1577909.500,62614,4,PR,1,100,87462
1760385712.136193,1577952.750,62614,4,PR,1,100,87461
1760385712.179445,1577996.000,62614,4,PR,1,100,87468
1760385712.219446,1578036.000,62631,3,PR,1,100,87473
1760385712.259448,1578076.000,62631,3,PR,1,100,87466
1760385712.299449,1578116.000,62631,3,PR,1,100,87475
1760385712.339451,1578156.000,62647,3,PR,1,100,87481
1760385712.379453,1578196.000,62647,3,PR,1,100,87458
1760385712.419455,1578236.000,62647,3,PR,1,100,87475
1760385712.459456,1578276.000,62665,2,PR,1,100,87477
1760385712.499458,1578316.000,62665,2,PR,1,100,87468
1760385712.539459,1578356.000,62681,3,PR,1,100,87483
1760385712.579461,1578396.000,62681,3,PR,1,100,87491
1760385712.619463,1578436.000,62681,3,PR,1,100,87506
1760385712.659465,1578476.000,62700,2,PR,1,100,87493
1760385712.699466,1578516.000,62700,2,PR,1,100,87498
1760385712.739468,1578556.000,62716,3,PR,1,100,87501
1760385712.779469,1578596.000,62716,3,PR,1,100,87512
1760385712.819471,1578636.000,62716,3,PR,1,100,87501
1760385712.859473,1578676.000,62732,2,PR,1,100,87505
1760385712.899475,1578716.000,62732,2,PR,1,100,87510
1760385712.939476,1578756.000,62748,3,PR,1,100,87491
1760385712.979478,1578796.000,62748,3,PR,1,100,87497
1760385713.019480,1578836.000,62748,3,PR,1,100,87507
1760385713.059481,1578876.000,62767,2,PR,1,100,87498
1760385713.099483,1578916.000,62767,2,PR,1,100,87507
1760385713.139485,1578956.000,62786,3,PR,1,100,87516
1760385713.179486,1578996.000,62786,3,PR,1,100,87523
1760385713.219488,1579036.000,62786,3,PR,1,100,87517
