LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760385712.110441,1577927,62609,2,RD,1,100,TL,TU
1760385717.227656,1583044,63451,2,RD,1,100,TL,TU
1760385722.349870,1588166,64295,2,RD,1,100,TL,TU
1760385727.466084,1593282,65146,2,RD,1,100,TL,TU
1760385732.574297,1598390,460,2,RD,1,100,TL,TU
1760385737.686511,1603502,1304,2,RD,1,100,TL,TU
1760385742.794725,1608610,2151,2,RD,1,100,TL,TU
1760385747.912939,1613728,3019,2,RD,1,100,TL,TU
1760385753.020152,1618835,3866,2,RD,1,100,TL,TU
1760385758.128366,1623943,4712,2,RD,1,100,TL,TU
1760385763.257581,1629072,5573,2,RD,1,100,TL,TU
1760385768.366794,1634181,6430,2,RD,1,100,TL,TU
1760385773.476008,1639290,7278,2,RD,1,100,TL,TU
1760385778.590222,1644404,8130,2,RD,1,100,TL,TU
1760385783.697435,1649511,8977,2,RD,1,100,TL,TU
1760385788.836650,1654650,9838,2,RD,1,100,TL,TU
1760385793.943864,1659757,10689,2,RD,1,100,TL,TU
1760385799.055077,1664868,11538,2,RD,1,100,TL,TU
1760385804.189292,1670002,12401,2,RD,1,100,TL,TU
1760385809.308506,1675121,13250,2,RD,1,100,TL,TU
1760385814.415720,1680228,14094,2,RD,1,100,TL,TU
1760385819.522933,1685335,14939,2,RD,1,100,TL,TU
1760385824.656148,1690468,15807,2,RD,1,100,TL,TU
1760385829.763362,1695575,16652,2,RD,1,100,TL,TU
1760385834.871575,1700683,17497,2,RD,1,100,TL,TU
