LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760385711.511416,1577328.000,62508,1,SF,1,100,61.9493
1760385711.911433,1577728.000,62573,1,SF,1,100,61.2327
1760385712.178444,1577995.000,62612,1,SF,1,100,62.6066
1760385712.511458,1578328.000,62663,1,SF,1,100,63.9646
1760385712.911475,1578728.000,62730,1,SF,1,100,65.3069
1760385713.178486,1578995.000,62784,1,SF,1,100,66.6337
1760385713.511500,1579328.000,62835,1,SF,1,100,67.9451
1760385713.911517,1579728.000,62900,1,SF,1,100,67.1591
1760385714.244531,1580061.000,62948,1,SF,1,100,66.3822
1760385714.511542,1580328.000,62999,1,SF,1,100,65.6143
1760385714.844556,1580661.000,63047,1,SF,1,100,64.8553
1760385715.244573,1581061.000,63114,1,SF,1,100,66.1873
1760385715.511584,1581328.000,63163,1,SF,1,100,65.4216
1760385715.844598,1581661.000,63213,1,SF,1,100,66.7471
1760385716.244614,1582061.000,63281,1,SF,1,100,65.9749
1760385716.577628,1582394.000,63333,1,SF,1,100,67.2940
1760385716.844640,1582661.000,63381,1,SF,1,100,66.5155
1760385717.177654,1582994.000,63432,1,SF,1,100,67.8283
1760385717.511667,1583328.000,63489,1,SF,1,100,69.1259
1760385717.910684,1583727.000,63556,1,SF,1,100,70.4085
1760385718.177695,1583994.000,63605,1,SF,1,100,69.5940
1760385718.510709,1584327.000,63655,1,SF,1,100,68.7890
1760385718.844723,1584661.000,63706,1,SF,1,100,70.0755
1760385719.244740,1585061.000,63771,1,SF,1,100,69.2648
1760385719.510751,1585327.000,63821,1,SF,1,100,70.5458
1760385719.844765,1585661.000,63870,1,SF,1,100,69.7297
1760385720.244782,1586061.000,63938,1,SF,1,100,71.0054
1760385720.577796,1586394.000,63989,1,SF,1,100,72.2662
1760385720.844807,1586661.000,64040,1,SF,1,100,73.5125
1760385721.177821,1586994.000,64090,1,SF,1,100,74.7443
1760385721.577837,1587394.000,64159,1,SF,1,100,75.9619
1760385721.844849,1587661.000,64212,1,SF,1,100,77.1655
1760385722.177863,1587994.000,64260,1,SF,1,100,76.2728
1760385722.510876,1588327.000,64317,1,SF,1,100,77.4727
1760385722.843890,1588660.000,64368,1,SF,1,100,78.6588
1760385723.243907,1589060.000,64437,1,SF,1,100,79.8311
1760385723.510918,1589327.000,64485,1,SF,1,100,78.9076
1760385723.843932,1589660.000,64537,1,SF,1,100,80.0770
1760385724.177946,1589994.000,64588,1,SF,1,100,81.2330
1760385724.576963,1590393.000,64653,1,SF,1,100,80.2933
1760385724.843974,1590660.000,64704,1,SF,1,100,81.4467
1760385725.176988,1590993.000,64754,1,SF,1,100,80.5045
1760385725.577005,1591393.000,64819,1,SF,1,100,79.5732
1760385725.844016,1591660.000,64872,1,SF,1,100,80.7349
1760385726.177030,1591993.000,64922,1,SF,1,100,81.8833
1760385726.511044,1592327.000,64975,1,SF,1,100,80.9360
1760385726.911061,1592727.000,65042,1,SF,1,100,82.0820
1760385727.177072,1592993.000,65094,1,SF,1,100,83.2147
1760385727.511086,1593327.000,65150,1,SF,1,100,84.3344
1760385727.844100,1593660.000,65203,1,SF,1,100,85.4410
1760385728.177114,1593993.000,65255,1,SF,1,100,86.5349
1760385728.577130,1594393.000,65320,1,SF,1,100,85.5338
1760385728.844141,1594660.000,65370,1,SF,1,100,86.6266
1760385729.177155,1594993.000,65419,1,SF,1,100,85.6245
1760385729.577172,1595393.000,65486,1,SF,1,100,86.7163
1760385729.844183,1595660.000,2,1,SF,1,100,87.7954
1760385730.177197,1595993.000,55,1,SF,1,100,90.9443
1760385730.510211,1596326.000,103,1,SF,1,100,89.8922
1760385730.910228,1596726.000,168,1,SF,1,100,88.8523
1760385731.177239,1596993.000,221,1,SF,1,100,89.9067
1760385731.510253,1597326.000,275,1,SF,1,100,93.0312
1760385731.910269,1597726.000,342,1,SF,1,100,94.0372
1760385732.177281,1597993.000,393,1,SF,1,100,95.0317
1760385732.510295,1598326.000,442,1,SF,1,100,93.9323
1760385732.843308,1598659.000,497,1,SF,1,100,92.8457
1760385733.243325,1599059.000,562,1,SF,1,100,91.7717
1760385733.510336,1599326.000,612,1,SF,1,100,92.7923
1760385733.843350,1599659.000,661,1,SF,1,100,91.7189
1760385734.243367,1600059.000,728,1,SF,1,100,92.7401
1760385734.510378,1600326.000,780,1,SF,1,100,93.7495
1760385734.843392,1600659.000,829,1,SF,1,100,92.6650
1760385735.176406,1600992.000,879,1,SF,1,100,93.6753
1760385735.576423,1601392.000,946,1,SF,1,100,94.6740
1760385735.843434,1601659.000,997,1,SF,1,100,93.5788
1760385736.176448,1601992.000,1047,1,SF,1,100,94.5785
1760385736.576465,1602392.000,1116,1,SF,1,100,95.5667
1760385736.843476,1602659.000,1165,1,SF,1,100,94.4611
1760385737.176490,1602992.000,1218,1,SF,1,100,95.4506
1760385737.510504,1603326.000,1270,1,SF,1,100,96.4287
1760385737.909520,1603725.000,1342,1,SF,1,100,95.3132
1760385738.176532,1603992.000,1392,1,SF,1,100,96.2929
1760385738.509546,1604325.000,1441,1,SF,1,100,95.1790
1760385738.909562,1604725.000,1508,1,SF,1,100,96.1602
1760385739.176574,1604992.000,1560,1,SF,1,100,97.1300
1760385739.509587,1605325.000,1609,1,SF,1,100,96.0064
1760385739.843601,1605659.000,1659,1,SF,1,100,96.9781
1760385740.243618,1606059.000,1726,1,SF,1,100,97.9385
1760385740.509629,1606325.000,1781,1,SF,1,100,100.9700
1760385740.843643,1606659.000,1831,1,SF,1,100,101.8843
1760385741.242660,1607058.000,1898,1,SF,1,100,100.7057
1760385741.509671,1607325.000,1949,1,SF,1,100,101.6229
1760385741.842685,1607658.000,2001,1,SF,1,100,102.5296
1760385742.176699,1607992.000,2050,1,SF,1,100,101.3435
1760385742.576716,1608392.000,2117,1,SF,1,100,102.2534
1760385742.909729,1608725.000,2172,1,SF,1,100,103.1528
1760385743.176741,1608992.000,2227,1,SF,1,100,104.0418
1760385743.509755,1609325.000,2277,1,SF,1,100,104.9205
1760385743.909771,1609725.000,2342,1,SF,1,100,103.7067
1760385744.176783,1609992.000,2393,1,SF,1,100,104.5893
1760385744.509796,1610325.000,2445,1,SF,1,100,107.5439
1760385744.909813,1610725.000,2511,1,SF,1,100,106.2999
1760385745.176824,1610992.000,2561,1,SF,1,100,105.0702
1760385745.509838,1611325.000,2611,1,SF,1,100,105.9370
1760385745.842852,1611658.000,2660,1,SF,1,100,104.7115
1760385746.242869,1612058.000,2729,1,SF,1,100,105.5824
1760385746.509880,1612325.000,2781,1,SF,1,100,106.4433
1760385746.842894,1612658.000,2832,1,SF,1,100,107.2942
1760385747.242911,1613058.000,2901,1,SF,1,100,108.1353
1760385747.509922,1613325.000,2951,1,SF,1,100,108.9666
1760385747.842936,1613658.000,3002,1,SF,1,100,107.7061
1760385748.175950,1613991.000,3057,1,SF,1,100,108.5424
1760385748.575967,1614391.000,3124,1,SF,1,100,107.2867
1760385748.842978,1614658.000,3173,1,SF,1,100,106.0456
1760385749.175992,1614991.000,3225,1,SF,1,100,106.9011
1760385749.576008,1615391.000,3293,1,SF,1,100,107.7467
1760385749.843019,1615658.000,3343,1,SF,1,100,106.5003
1760385750.176033,1615991.000,3391,1,SF,1,100,105.2683
1760385750.509047,1616324.000,3442,1,SF,1,100,106.1328
1760385750.909064,1616724.000,3509,1,SF,1,100,106.9873
1760385751.176075,1616991.000,3561,1,SF,1,100,107.8319
1760385751.509089,1617324.000,3614,1,SF,1,100,108.6668
1760385751.909106,1617724.000,3679,1,SF,1,100,107.4097
1760385752.176117,1617991.000,3729,1,SF,1,100,108.2495
1760385752.509131,1618324.000,3782,1,SF,1,100,109.0795
1760385752.842145,1618657.000,3832,1,SF,1,100,109.8999
1760385753.242162,1619057.000,3902,1,SF,1,100,108.6285
1760385753.509173,1619324.000,3951,1,SF,1,100,107.3719
1760385753.842187,1619657.000,4001,1,SF,1,100,108.2121
1760385754.242203,1620057.000,4067,1,SF,1,100,106.9603
1760385754.576217,1620391.000,4119,1,SF,1,100,107.8052
1760385754.842228,1620657.000,4169,1,SF,1,100,108.6404
1760385755.175242,1620990.000,4218,1,SF,1,100,107.3836
1760385755.575259,1621390.000,4285,1,SF,1,100,108.2236
1760385755.842270,1621657.000,4339,1,SF,1,100,109.0539
1760385756.175284,1621990.000,4388,1,SF,1,100,107.7924
1760385756.509298,1622324.000,4440,1,SF,1,100,108.6277
1760385756.909315,1622724.000,4507,1,SF,1,100,109.4533
1760385757.175326,1622990.000,4560,1,SF,1,100,110.2694
1760385757.509340,1623324.000,4610,1,SF,1,100,111.0761
1760385757.908357,1623723.000,4677,1,SF,1,100,111.8734
1760385758.242371,1624057.000,4733,1,SF,1,100,112.6615
1760385758.508382,1624323.000,4783,1,SF,1,100,111.3582
1760385758.842396,1624657.000,4834,1,SF,1,100,112.1523
1760385759.242413,1625057.000,4899,1,SF,1,100,110.8549
1760385759.508424,1625323.000,4949,1,SF,1,100,111.6548
1760385759.842438,1625657.000,5001,1,SF,1,100,112.4454
1760385760.175452,1625990.000,5050,1,SF,1,100,111.1446
1760385760.575468,1626390.000,5119,1,SF,1,100,114.0234
1760385760.842479,1626657.000,5170,1,SF,1,100,112.7043
1760385761.175493,1626990.000,5220,1,SF,1,100,113.4828
1760385761.575510,1627390.000,5289,1,SF,1,100,114.2523
1760385761.841521,1627656.000,5340,1,SF,1,100,112.9306
1760385762.175535,1627990.000,5390,1,SF,1,100,113.7065
1760385762.575552,1628390.000,5457,1,SF,1,100,114.4734
1760385762.908566,1628723.000,5506,1,SF,1,100,113.1491
1760385763.175577,1628990.000,5556,1,SF,1,100,111.8402
1760385763.508591,1629323.000,5612,1,SF,1,100,112.6287
1760385763.908608,1629723.000,5677,1,SF,1,100,111.3258
1760385764.241621,1630056.000,5727,1,SF,1,100,110.0380
1760385764.508633,1630323.000,5778,1,SF,1,100,108.7651
1760385764.841647,1630656.000,5832,1,SF,1,100,111.6714
1760385765.241663,1631056.000,5897,1,SF,1,100,110.3795
1760385765.508675,1631323.000,5948,1,SF,1,100,111.1849
1760385765.841688,1631656.000,5998,1,SF,1,100,111.9810
1760385766.241705,1632056.000,6066,1,SF,1,100,110.6856
1760385766.574719,1632389.000,6118,1,SF,1,100,111.4874
1760385766.841730,1632656.000,6170,1,SF,1,100,114.3622
1760385767.174744,1632989.000,6223,1,SF,1,100,115.1215
1760385767.574761,1633389.000,6290,1,SF,1,100,115.8720
1760385767.841772,1633656.000,6344,1,SF,1,100,116.6139
1760385768.174786,1633989.000,6395,1,SF,1,100,117.3471
1760385768.507800,1634322.000,6450,1,SF,1,100,118.0719
1760385768.907817,1634722.000,6515,1,SF,1,100,116.7060
1760385769.174828,1634989.000,6566,1,SF,1,100,115.3560
1760385769.507842,1635322.000,6616,1,SF,1,100,116.1038
1760385769.907859,1635722.000,6683,1,SF,1,100,116.8429
1760385770.174870,1635989.000,6732,1,SF,1,100,115.4913
1760385770.507884,1636322.000,6783,1,SF,1,100,116.2375
1760385770.841897,1636656.000,6835,1,SF,1,100,116.9751
1760385771.240914,1637055.000,6902,1,SF,1,100,115.6219
1760385771.507926,1637322.000,6952,1,SF,1,100,116.3667
1760385771.840939,1637655.000,7001,1,SF,1,100,115.0205
1760385772.240956,1638055.000,7070,1,SF,1,100,117.8545
1760385772.507967,1638322.000,7122,1,SF,1,100,116.4911
1760385772.840981,1638655.000,7173,1,SF,1,100,117.2258
1760385773.174995,1638989.000,7225,1,SF,1,100,117.9520
1760385773.508009,1639322.000,7281,1,SF,1,100,116.5875
1760385773.841023,1639655.000,7332,1,SF,1,100,117.3211
1760385774.241040,1640055.000,7399,1,SF,1,100,118.0461
1760385774.508051,1640322.000,7449,1,SF,1,100,116.6806
1760385774.841065,1640655.000,7500,1,SF,1,100,117.4130
1760385775.174079,1640988.000,7552,1,SF,1,100,118.1371
1760385775.574095,1641388.000,7619,1,SF,1,100,118.8527
1760385775.841107,1641655.000,7672,1,SF,1,100,117.4778
1760385776.174121,1641988.000,7722,1,SF,1,100,118.2011
1760385776.574137,1642388.000,7791,1,SF,1,100,118.9160
1760385776.841148,1642655.000,7842,1,SF,1,100,119.6226
1760385777.174162,1642988.000,7891,1,SF,1,100,118.2388
1760385777.508176,1643322.000,7943,1,SF,1,100,118.9532
1760385777.907193,1643721.000,8010,1,SF,1,100,117.5772
1760385778.174204,1643988.000,8058,1,SF,1,100,116.2170
1760385778.508218,1644322.000,8111,1,SF,1,100,116.9549
1760385778.907235,1644721.000,8183,1,SF,1,100,115.6019
1760385779.174246,1644988.000,8235,1,SF,1,100,116.3469
1760385779.507260,1645321.000,8286,1,SF,1,100,117.0832
1760385779.841274,1645655.000,8334,1,SF,1,100,115.7288
1760385780.241291,1646055.000,8401,1,SF,1,100,114.3901
1760385780.507302,1646321.000,8454,1,SF,1,100,115.1490
1760385780.841316,1646655.000,8504,1,SF,1,100,113.8170
1760385781.241333,1647055.000,8573,1,SF,1,100,114.5826
1760385781.507344,1647321.000,8624,1,SF,1,100,115.3393
1760385781.840358,1647654.000,8675,1,SF,1,100,116.0873
1760385782.174371,1647988.000,8727,1,SF,1,100,116.8267
1760385782.574388,1648388.000,8792,1,SF,1,100,115.4752
1760385782.840399,1648654.000,8842,1,SF,1,100,116.2217
1760385783.174413,1648988.000,8891,1,SF,1,100,114.8772
1760385783.574430,1649388.000,8958,1,SF,1,100,115.6306
1760385783.907444,1649721.000,9017,1,SF,1,100,116.3752
1760385784.174455,1649988.000,9068,1,SF,1,100,117.1112
1760385784.507469,1650321.000,9116,1,SF,1,100,115.7564
1760385784.907486,1650721.000,9181,1,SF,1,100,114.4174
1760385785.173497,1650987.000,9234,1,SF,1,100,115.1760
1760385785.507511,1651321.000,9282,1,SF,1,100,113.8437
1760385785.840525,1651654.000,9333,1,SF,1,100,114.6090
1760385786.240541,1652054.000,9402,1,SF,1,100,115.3654
1760385786.507553,1652321.000,9452,1,SF,1,100,114.0309
1760385786.840567,1652654.000,9503,1,SF,1,100,114.7940
1760385787.240583,1653054.000,9570,1,SF,1,100,115.5483
1760385787.507595,1653321.000,9620,1,SF,1,100,116.2939
1760385787.840608,1653654.000,9671,1,SF,1,100,114.9486
1760385788.173622,1653987.000,9719,1,SF,1,100,113.6189
1760385788.573639,1654387.000,9786,1,SF,1,100,114.3868
1760385788.840650,1654654.000,9844,1,SF,1,100,115.1458
1760385789.173664,1654987.000,9892,1,SF,1,100,113.8138
1760385789.573681,1655387.000,9960,1,SF,1,100,114.5794
1760385789.906695,1655720.000,10010,1,SF,1,100,113.2539
1760385790.173706,1655987.000,10060,1,SF,1,100,114.0261
1760385790.506720,1656320.000,10111,1,SF,1,100,114.7893
1760385790.906737,1656720.000,10176,1,SF,1,100,113.4614
1760385791.173748,1656987.000,10228,1,SF,1,100,114.2311
1760385791.506762,1657320.000,10279,1,SF,1,100,112.9097
1760385791.839776,1657653.000,10329,1,SF,1,100,113.6858
1760385792.239792,1658053.000,10398,1,SF,1,100,114.4529
1760385792.506804,1658320.000,10451,1,SF,1,100,115.2112
1760385792.839818,1658653.000,10503,1,SF,1,100,115.9606
1760385793.239834,1659053.000,10570,1,SF,1,100,116.7014
1760385793.506845,1659320.000,10619,1,SF,1,100,115.3514
1760385793.839859,1659653.000,10670,1,SF,1,100,116.0993
1760385794.173873,1659987.000,10727,1,SF,1,100,116.8385
1760385794.573890,1660387.000,10794,1,SF,1,100,115.4869
1760385794.839901,1660653.000,10844,1,SF,1,100,116.2332
1760385795.172915,1660986.000,10897,1,SF,1,100,116.9708
1760385795.573932,1661387.000,10964,1,SF,1,100,117.7000
1760385795.839943,1661653.000,11018,1,SF,1,100,120.5029
1760385796.172957,1661986.000,11067,1,SF,1,100,119.1089
1760385796.506971,1662320.000,11117,1,SF,1,100,117.7311
1760385796.906988,1662720.000,11186,1,SF,1,100,118.4514
1760385797.172999,1662986.000,11237,1,SF,1,100,117.0811
1760385797.507013,1663320.000,11287,1,SF,1,100,117.8090
1760385797.907029,1663720.000,11352,1,SF,1,100,116.4462
1760385798.240043,1664053.000,11401,1,SF,1,100,115.0991
1760385798.506054,1664319.000,11453,1,SF,1,100,115.8499
1760385798.840068,1664653.000,11504,1,SF,1,100,116.5920
1760385799.173082,1664986.000,11559,1,SF,1,100,117.3255
1760385799.573099,1665386.000,11624,1,SF,1,100,115.9683
1760385799.840110,1665653.000,11679,1,SF,1,100,118.7912
1760385800.173124,1665986.000,11727,1,SF,1,100,117.4170
1760385800.573141,1666386.000,11794,1,SF,1,100,118.1410
1760385800.840152,1666653.000,11845,1,SF,1,100,118.8566
1760385801.173166,1666986.000,11894,1,SF,1,100,117.4817
1760385801.506180,1667319.000,11948,1,SF,1,100,118.2049
1760385801.906197,1667719.000,12017,1,SF,1,100,121.0020
1760385802.173208,1667986.000,12067,1,SF,1,100,121.6845
1760385802.506222,1668319.000,12116,1,SF,1,100,120.2768
1760385802.906239,1668719.000,12183,1,SF,1,100,120.9677
1760385803.173250,1668986.000,12235,1,SF,1,100,119.5683
1760385803.506263,1669319.000,12286,1,SF,1,100,120.2674
1760385803.839278,1669652.000,12334,1,SF,1,100,118.8762
1760385804.239294,1670052.000,12403,1,SF,1,100,117.5010
1760385804.572308,1670385.000,12452,1,SF,1,100,116.1417
1760385804.906322,1670719.000,12503,1,SF,1,100,116.8804
1760385805.172333,1670985.000,12557,1,SF,1,100,119.6929
1760385805.506347,1671319.000,12608,1,SF,1,100,120.3905
1760385805.906364,1671719.000,12675,1,SF,1,100,121.0801
1760385806.172375,1671985.000,12725,1,SF,1,100,121.7617
1760385806.506389,1672319.000,12778,1,SF,1,100,122.4354
1760385806.906406,1672719.000,12845,1,SF,1,100,123.1013
1760385807.172417,1672985.000,12897,1,SF,1,100,123.7595
1760385807.506431,1673319.000,12948,1,SF,1,100,124.4101
1760385807.839445,1673652.000,12998,1,SF,1,100,125.0532
1760385808.239461,1674052.000,13065,1,SF,1,100,125.6888
1760385808.505473,1674318.000,13116,1,SF,1,100,124.2348
1760385808.839487,1674652.000,13166,1,SF,1,100,124.8799
1760385809.239503,1675052.000,13231,1,SF,1,100,123.4353
1760385809.572517,1675385.000,13287,1,SF,1,100,124.0896
1760385809.839528,1675652.000,13339,1,SF,1,100,124.7364
1760385810.172542,1675985.000,13388,1,SF,1,100,123.2934
1760385810.572559,1676385.000,13457,1,SF,1,100,123.9494
1760385810.839570,1676652.000,13507,1,SF,1,100,124.5978
1760385811.172584,1676985.000,13556,1,SF,1,100,123.1565
1760385811.572601,1677385.000,13626,1,SF,1,100,123.8140
