LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760385711.111400,1576928.000,62474,1,SR,1,100,0.133333
1760385711.778428,1577595.000,62575,1,SR,1,100,0.066667
1760385712.112442,1577929.000,62662,1,SR,1,100,0.333333
1760385712.578461,1578395.000,62698,1,SR,1,100,0.066667
1760385713.045481,1578862.000,62783,1,SR,1,100,0.066667
1760385713.378495,1579195.000,62834,1,SR,1,100,0.066667
1760385714.511542,1580328.000,63066,1,SR,1,100,0.333333
1760385715.244573,1581061.000,63181,1,SR,1,100,0.333333
1760385715.978603,1581795.000,63283,1,SR,1,100,0.200000
1760385716.444623,1582261.000,63416,1,SR,1,100,0.533333
1760385717.245656,1583062.000,63472,1,SR,1,100,0.066667
1760385717.445665,1583262.000,63508,1,SR,1,100,0.066667
1760385718.310701,1584127.000,63705,1,SR,1,100,0.400000
1760385719.110734,1584927.000,63789,1,SR,1,100,0.133333
1760385719.644757,1585461.000,63905,1,SR,1,100,0.333333
1760385720.110776,1585927.000,63940,1,SR,1,100,0.066667
1760385720.310785,1586127.000,63991,1,SR,1,100,0.200000
1760385721.044815,1586861.000,64089,1,SR,1,100,0.066667
1760385721.244823,1587061.000,64127,1,SR,1,100,0.066667
1760385721.444832,1587261.000,64194,1,SR,1,100,0.200000
1760385722.177863,1587994.000,64300,1,SR,1,100,0.066667
1760385722.643882,1588460.000,64367,1,SR,1,100,0.066667
1760385722.843890,1588660.000,64401,1,SR,1,100,0.133333
1760385723.243907,1589060.000,64520,1,SR,1,100,0.400000
1760385723.911935,1589728.000,64587,1,SR,1,100,0.200000
1760385724.377954,1590194.000,64686,1,SR,1,100,0.266667
1760385724.910977,1590727.000,64821,1,SR,1,100,0.600000
1760385725.777013,1591593.000,64889,1,SR,1,100,0.066667
1760385726.377038,1592193.000,65010,1,SR,1,100,0.266667
1760385726.777055,1592593.000,65044,1,SR,1,100,0.066667
1760385726.977063,1592793.000,65111,1,SR,1,100,0.266667
1760385727.511086,1593327.000,65202,1,SR,1,100,0.266667
1760385727.911102,1593727.000,65254,1,SR,1,100,0.133333
1760385728.577130,1594393.000,65369,1,SR,1,100,0.200000
1760385728.911144,1594727.000,65454,1,SR,1,100,0.333333
1760385729.644175,1595460.000,65521,1,SR,1,100,0.066667
1760385729.844183,1595660.000,20,1,SR,1,100,0.066667
1760385730.044192,1595860.000,54,1,SR,1,100,0.066667
1760385730.644217,1596460.000,187,1,SR,1,100,0.266667
1760385731.177239,1596993.000,239,1,SR,1,100,0.066667
1760385731.377247,1597193.000,274,1,SR,1,100,0.066667
1760385731.577256,1597393.000,308,1,SR,1,100,0.066667
1760385731.910269,1597726.000,375,1,SR,1,100,0.133333
1760385732.977314,1598793.000,595,1,SR,1,100,0.333333
1760385733.710345,1599526.000,679,1,SR,1,100,0.133333
1760385734.110362,1599926.000,730,1,SR,1,100,0.066667
1760385734.310370,1600126.000,847,1,SR,1,100,0.533333
1760385735.243409,1601059.000,931,1,SR,1,100,0.133333
1760385735.910437,1601726.000,1046,1,SR,1,100,0.200000
1760385736.243451,1602059.000,1099,1,SR,1,100,0.133333
1760385736.910479,1602726.000,1217,1,SR,1,100,0.133333
1760385737.310495,1603126.000,1269,1,SR,1,100,0.066667
1760385737.510504,1603326.000,1360,1,SR,1,100,0.400000
1760385738.443543,1604259.000,1476,1,SR,1,100,0.200000
1760385738.909562,1604725.000,1543,1,SR,1,100,0.133333
1760385739.176574,1604992.000,1627,1,SR,1,100,0.400000
1760385739.709596,1605525.000,1678,1,SR,1,100,0.133333
1760385740.109612,1605925.000,1728,1,SR,1,100,0.066667
1760385740.309621,1606125.000,1780,1,SR,1,100,0.133333
1760385740.709637,1606525.000,1830,1,SR,1,100,0.066667
1760385740.909646,1606725.000,1900,1,SR,1,100,0.266667
1760385741.442668,1607258.000,1967,1,SR,1,100,0.066667
1760385741.910688,1607726.000,2068,1,SR,1,100,0.266667
1760385742.576716,1608392.000,2155,1,SR,1,100,0.066667
1760385742.776724,1608592.000,2209,1,SR,1,100,0.266667
1760385743.176741,1608992.000,2243,1,SR,1,100,0.066667
1760385743.643760,1609459.000,2361,1,SR,1,100,0.266667
1760385744.043777,1609859.000,2411,1,SR,1,100,0.200000
1760385744.376791,1610192.000,2444,1,SR,1,100,0.066667
1760385745.109822,1610925.000,2578,1,SR,1,100,0.133333
1760385745.642844,1611458.000,2695,1,SR,1,100,0.266667
1760385746.176866,1611992.000,2764,1,SR,1,100,0.133333
1760385746.576883,1612392.000,2814,1,SR,1,100,0.066667
1760385746.776891,1612592.000,2900,1,SR,1,100,0.333333
1760385747.242911,1613058.000,2935,1,SR,1,100,0.066667
1760385747.709930,1613525.000,3040,1,SR,1,100,0.266667
1760385748.775975,1614591.000,3224,1,SR,1,100,0.333333
1760385749.242994,1615058.000,3292,1,SR,1,100,0.200000
1760385750.243036,1616058.000,3441,1,SR,1,100,0.133333
1760385750.509047,1616324.000,3493,1,SR,1,100,0.200000
1760385750.843061,1616658.000,3527,1,SR,1,100,0.066667
1760385751.043070,1616858.000,3580,1,SR,1,100,0.133333
1760385751.576092,1617391.000,3713,1,SR,1,100,0.400000
1760385752.109114,1617924.000,3748,1,SR,1,100,0.066667
1760385752.576134,1618391.000,3831,1,SR,1,100,0.200000
1760385753.442170,1619257.000,4000,1,SR,1,100,0.333333
1760385753.909189,1619724.000,4069,1,SR,1,100,0.266667
1760385754.442212,1620257.000,4168,1,SR,1,100,0.333333
1760385755.309248,1621124.000,4284,1,SR,1,100,0.133333
1760385755.709265,1621524.000,4338,1,SR,1,100,0.066667
1760385756.175284,1621990.000,4408,1,SR,1,100,0.066667
1760385756.375293,1622190.000,4459,1,SR,1,100,0.133333
1760385756.643304,1622458.000,4509,1,SR,1,100,0.200000
1760385757.109323,1622924.000,4593,1,SR,1,100,0.200000
1760385757.443337,1623258.000,4629,1,SR,1,100,0.066667
1760385757.908357,1623723.000,4716,1,SR,1,100,0.133333
1760385758.708390,1624523.000,4833,1,SR,1,100,0.066667
1760385758.908399,1624723.000,4901,1,SR,1,100,0.266667
1760385759.308415,1625123.000,5000,1,SR,1,100,0.400000
1760385760.109449,1625924.000,5069,1,SR,1,100,0.066667
1760385760.309457,1626124.000,5102,1,SR,1,100,0.066667
1760385760.642471,1626457.000,5219,1,SR,1,100,0.466667
1760385761.242496,1627057.000,5288,1,SR,1,100,0.200000
1760385761.709516,1627524.000,5356,1,SR,1,100,0.133333
1760385762.109532,1627924.000,5424,1,SR,1,100,0.133333
1760385762.775560,1628590.000,5611,1,SR,1,100,0.600000
1760385764.308625,1630123.000,5794,1,SR,1,100,0.266667
1760385764.708641,1630523.000,5831,1,SR,1,100,0.066667
1760385765.041655,1630856.000,5899,1,SR,1,100,0.133333
1760385765.441672,1631256.000,5966,1,SR,1,100,0.066667
1760385766.041697,1631856.000,6068,1,SR,1,100,0.133333
1760385766.441714,1632256.000,6120,1,SR,1,100,0.066667
1760385766.641722,1632456.000,6153,1,SR,1,100,0.066667
1760385766.841730,1632656.000,6189,1,SR,1,100,0.066667
1760385767.041739,1632856.000,6258,1,SR,1,100,0.200000
1760385767.641764,1633456.000,6343,1,SR,1,100,0.133333
1760385767.908775,1633723.000,6394,1,SR,1,100,0.200000
1760385768.241789,1634056.000,6434,1,SR,1,100,0.066667
1760385769.107825,1634922.000,6582,1,SR,1,100,0.066667
1760385769.441839,1635256.000,6682,1,SR,1,100,0.333333
1760385770.041864,1635856.000,6767,1,SR,1,100,0.266667
1760385770.574886,1636389.000,6834,1,SR,1,100,0.133333
1760385770.975903,1636790.000,6920,1,SR,1,100,0.266667
1760385771.507926,1637322.000,7036,1,SR,1,100,0.400000
1760385772.040948,1637855.000,7069,1,SR,1,100,0.066667
1760385772.240956,1638055.000,7155,1,SR,1,100,0.400000
1760385772.907984,1638722.000,7224,1,SR,1,100,0.200000
1760385773.641015,1639455.000,7331,1,SR,1,100,0.066667
1760385773.841023,1639655.000,7398,1,SR,1,100,0.266667
1760385774.241040,1640055.000,7482,1,SR,1,100,0.400000
1760385774.908068,1640722.000,7536,1,SR,1,100,0.066667
1760385775.108076,1640922.000,7587,1,SR,1,100,0.133333
1760385775.641098,1641455.000,7688,1,SR,1,100,0.266667
1760385776.174121,1641988.000,7757,1,SR,1,100,0.066667
1760385776.374129,1642188.000,7793,1,SR,1,100,0.133333
1760385777.174162,1642988.000,7909,1,SR,1,100,0.066667
1760385777.508176,1643322.000,8079,1,SR,1,100,0.733333
1760385778.641224,1644455.000,8234,1,SR,1,100,0.466667
1760385779.374254,1645188.000,8285,1,SR,1,100,0.066667
1760385780.107285,1645921.000,8420,1,SR,1,100,0.133333
1760385780.907319,1646721.000,8537,1,SR,1,100,0.066667
1760385781.241333,1647055.000,8606,1,SR,1,100,0.066667
1760385781.440341,1647254.000,8642,1,SR,1,100,0.133333
1760385781.840358,1647654.000,8709,1,SR,1,100,0.133333
1760385782.240374,1648054.000,8794,1,SR,1,100,0.266667
1760385783.040408,1648854.000,8926,1,SR,1,100,0.200000
1760385783.374422,1649188.000,8981,1,SR,1,100,0.266667
1760385783.907444,1649721.000,9050,1,SR,1,100,0.133333
1760385784.841483,1650655.000,9233,1,SR,1,100,0.266667
1760385785.373505,1651187.000,9301,1,SR,1,100,0.200000
1760385785.840525,1651654.000,9368,1,SR,1,100,0.066667
1760385786.440550,1652254.000,9469,1,SR,1,100,0.066667
1760385786.640558,1652454.000,9521,1,SR,1,100,0.200000
1760385787.107578,1652921.000,9588,1,SR,1,100,0.133333
1760385787.640600,1653454.000,9738,1,SR,1,100,0.533333
1760385788.440634,1654254.000,9819,1,SR,1,100,0.266667
1760385788.973656,1654787.000,9927,1,SR,1,100,0.266667
1760385789.507678,1655321.000,10012,1,SR,1,100,0.333333
1760385789.973698,1655787.000,10110,1,SR,1,100,0.466667
1760385790.973739,1656787.000,10227,1,SR,1,100,0.133333
1760385791.240751,1657054.000,10313,1,SR,1,100,0.333333
1760385791.973781,1657787.000,10383,1,SR,1,100,0.066667
1760385792.173790,1657987.000,10450,1,SR,1,100,0.266667
1760385792.573806,1658387.000,10486,1,SR,1,100,0.066667
1760385792.906820,1658720.000,10536,1,SR,1,100,0.066667
1760385793.106829,1658920.000,10637,1,SR,1,100,0.400000
1760385793.907862,1659721.000,10726,1,SR,1,100,0.200000
1760385794.507887,1660321.000,10827,1,SR,1,100,0.200000
1760385794.839901,1660653.000,10879,1,SR,1,100,0.133333
1760385795.106912,1660920.000,10915,1,SR,1,100,0.066667
1760385795.306921,1661120.000,10966,1,SR,1,100,0.200000
1760385795.639935,1661453.000,11001,1,SR,1,100,0.066667
1760385796.106954,1661920.000,11152,1,SR,1,100,0.466667
1760385796.840985,1662654.000,11253,1,SR,1,100,0.400000
1760385797.773024,1663586.000,11436,1,SR,1,100,0.533333
1760385798.440052,1664253.000,11470,1,SR,1,100,0.133333
1760385798.974074,1664787.000,11558,1,SR,1,100,0.133333
1760385799.373091,1665186.000,11626,1,SR,1,100,0.133333
1760385799.640102,1665453.000,11661,1,SR,1,100,0.066667
1760385799.973116,1665786.000,11746,1,SR,1,100,0.200000
1760385800.573141,1666386.000,11844,1,SR,1,100,0.200000
1760385801.040160,1666853.000,11914,1,SR,1,100,0.133333
1760385801.306172,1667119.000,11966,1,SR,1,100,0.200000
1760385801.640186,1667453.000,11999,1,SR,1,100,0.066667
1760385801.973199,1667786.000,12050,1,SR,1,100,0.066667
1760385802.306213,1668119.000,12167,1,SR,1,100,0.400000
1760385803.106247,1668919.000,12285,1,SR,1,100,0.333333
1760385804.239294,1670052.000,12486,1,SR,1,100,0.400000
1760385804.772316,1670585.000,12505,1,SR,1,100,0.066667
1760385804.972325,1670785.000,12540,1,SR,1,100,0.066667
1760385805.306339,1671119.000,12607,1,SR,1,100,0.133333
1760385805.572350,1671385.000,12657,1,SR,1,100,0.133333
1760385805.972367,1671785.000,12724,1,SR,1,100,0.133333
1760385806.240378,1672053.000,12762,1,SR,1,100,0.066667
1760385806.440386,1672253.000,12796,1,SR,1,100,0.066667
1760385806.772400,1672585.000,12847,1,SR,1,100,0.066667
1760385806.972409,1672785.000,12930,1,SR,1,100,0.400000
1760385807.506431,1673319.000,12966,1,SR,1,100,0.066667
1760385807.839445,1673652.000,13064,1,SR,1,100,0.266667
1760385808.373467,1674186.000,13149,1,SR,1,100,0.266667
1760385809.305506,1675118.000,13286,1,SR,1,100,0.133333
1760385809.706523,1675519.000,13338,1,SR,1,100,0.066667
1760385809.906531,1675719.000,13423,1,SR,1,100,0.400000
1760385810.572559,1676385.000,13506,1,SR,1,100,0.200000
1760385811.172584,1676985.000,13593,1,SR,1,100,0.066667
1760385811.772609,1677585.000,13742,1,SR,1,100,0.400000
1760385812.839654,1678652.000,13874,1,SR,1,100,0.200000
1760385813.439679,1679252.000,13959,1,SR,1,100,0.066667
1760385813.772693,1679585.000,14009,1,SR,1,100,0.066667
1760385814.238712,1680051.000,14098,1,SR,1,100,0.066667
1760385814.705732,1680518.000,14182,1,SR,1,100,0.133333
1760385814.971743,1680784.000,14215,1,SR,1,100,0.066667
1760385815.305757,1681118.000,14348,1,SR,1,100,0.533333
1760385816.105790,1681918.000,14417,1,SR,1,100,0.200000
1760385816.971827,1682784.000,14634,1,SR,1,100,0.666667
1760385818.171877,1683984.000,14735,1,SR,1,100,0.066667
1760385818.371885,1684184.000,14785,1,SR,1,100,0.133333
1760385818.771902,1684584.000,14837,1,SR,1,100,0.066667
1760385819.104916,1684917.000,14888,1,SR,1,100,0.066667
1760385819.304924,1685117.000,14960,1,SR,1,100,0.200000
1760385819.638938,1685451.000,15027,1,SR,1,100,0.266667
1760385820.304966,1686117.000,15128,1,SR,1,100,0.200000
1760385820.772986,1686585.000,15195,1,SR,1,100,0.133333
1760385821.038997,1686851.000,15232,1,SR,1,100,0.066667
