LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760385711.238405,1577055.000,62480,1,T1,1,100,31.035
1760385711.371411,1577188.000,62497,1,T1,1,100,31.015
1760385711.504416,1577321.000,62514,1,T1,1,100,31.042
1760385711.638422,1577455.000,62545,1,T1,1,100,31.018
1760385711.771427,1577588.000,62562,1,T1,1,100,31.114
1760385711.904433,1577721.000,62581,1,T1,1,100,31.191
1760385712.037939,1577854.500,62618,2,T1,1,100,31.083
1760385712.171444,1577988.000,62618,2,T1,1,100,31.071
1760385712.304450,1578121.000,62635,1,T1,1,100,30.995
1760385712.438455,1578255.000,62669,1,T1,1,100,31.033
1760385712.571461,1578388.000,62685,1,T1,1,100,30.979
1760385712.704466,1578521.000,62704,1,T1,1,100,31.097
1760385712.838472,1578655.000,62736,1,T1,1,100,31.042
1760385712.971478,1578788.000,62752,1,T1,1,100,31.054
1760385713.104483,1578921.000,62771,1,T1,1,100,31.059
1760385713.238489,1579055.000,62805,1,T1,1,100,31.061
1760385713.371494,1579188.000,62821,1,T1,1,100,31.026
1760385713.504500,1579321.000,62841,1,T1,1,100,31.047
1760385713.638505,1579455.000,62872,1,T1,1,100,31.091
1760385713.771511,1579588.000,62888,1,T1,1,100,31.039
1760385713.904517,1579721.000,62906,1,T1,1,100,31.088
1760385714.037522,1579854.000,62922,1,T1,1,100,31.144
1760385714.171528,1579988.000,62954,1,T1,1,100,31.062
1760385714.304533,1580121.000,62971,1,T1,1,100,31.098
1760385714.437539,1580254.000,62987,1,T1,1,100,31.113
1760385714.571544,1580388.000,63019,1,T1,1,100,31.049
1760385714.704550,1580521.000,63036,1,T1,1,100,30.950
1760385714.837556,1580654.000,63053,1,T1,1,100,31.049
1760385714.971561,1580788.000,63086,1,T1,1,100,31.021
1760385715.104567,1580921.000,63103,1,T1,1,100,31.009
1760385715.237572,1581054.000,63120,1,T1,1,100,30.969
1760385715.371578,1581188.000,63151,1,T1,1,100,31.057
1760385715.504584,1581321.000,63169,1,T1,1,100,31.060
1760385715.637589,1581454.000,63187,1,T1,1,100,31.097
1760385715.771595,1581588.000,63219,1,T1,1,100,31.077
1760385715.904600,1581721.000,63236,1,T1,1,100,31.140
1760385716.037606,1581854.000,63252,1,T1,1,100,31.096
1760385716.170611,1581987.000,63269,1,T1,1,100,31.077
1760385716.304617,1582121.000,63305,1,T1,1,100,31.033
1760385716.437623,1582254.000,63321,1,T1,1,100,31.050
1760385716.570628,1582387.000,63339,1,T1,1,100,31.022
1760385716.704634,1582521.000,63370,1,T1,1,100,30.938
1760385716.837639,1582654.000,63387,1,T1,1,100,31.080
1760385716.970645,1582787.000,63404,1,T1,1,100,31.070
1760385717.104650,1582921.000,63438,1,T1,1,100,31.030
1760385717.237656,1583054.000,63459,1,T1,1,100,31.084
1760385717.370661,1583187.000,63478,1,T1,1,100,31.036
1760385717.504667,1583321.000,63495,1,T1,1,100,31.087
1760385717.637673,1583454.000,63528,1,T1,1,100,31.144
1760385717.770678,1583587.000,63545,1,T1,1,100,31.098
1760385717.904684,1583721.000,63562,1,T1,1,100,31.149
1760385718.037689,1583854.000,63579,1,T1,1,100,31.135
1760385718.170695,1583987.000,63611,1,T1,1,100,31.165
1760385718.304701,1584121.000,63627,1,T1,1,100,31.071
1760385718.437706,1584254.000,63644,1,T1,1,100,31.102
1760385718.570712,1584387.000,63676,1,T1,1,100,31.150
1760385718.704717,1584521.000,63692,1,T1,1,100,31.136
1760385718.837723,1584654.000,63712,1,T1,1,100,31.165
1760385718.970728,1584787.000,63743,1,T1,1,100,31.036
1760385719.104734,1584921.000,63759,1,T1,1,100,31.157
1760385719.237740,1585054.000,63777,1,T1,1,100,31.139
1760385719.370745,1585187.000,63810,1,T1,1,100,31.167
1760385719.503751,1585320.000,63827,1,T1,1,100,31.178
1760385719.637756,1585454.000,63844,1,T1,1,100,31.148
1760385719.770762,1585587.000,63876,1,T1,1,100,30.958
1760385719.903767,1585720.000,63892,1,T1,1,100,31.053
1760385720.037773,1585854.000,63911,1,T1,1,100,31.129
1760385720.170779,1585987.000,63927,1,T1,1,100,31.056
1760385720.303784,1586120.000,63961,1,T1,1,100,31.131
1760385720.437790,1586254.000,63978,1,T1,1,100,31.127
1760385720.570795,1586387.000,63997,1,T1,1,100,31.020
1760385720.703801,1586520.000,64028,1,T1,1,100,31.150
1760385720.837806,1586654.000,64046,1,T1,1,100,31.171
1760385720.970812,1586787.000,64062,1,T1,1,100,31.145
1760385721.103818,1586920.000,64096,1,T1,1,100,31.205
1760385721.237823,1587054.000,64115,1,T1,1,100,31.124
1760385721.370829,1587187.000,64133,1,T1,1,100,31.018
1760385721.503834,1587320.000,64165,1,T1,1,100,31.150
1760385721.637840,1587454.000,64182,1,T1,1,100,31.207
1760385721.770846,1587587.000,64200,1,T1,1,100,31.125
1760385721.903851,1587720.000,64232,1,T1,1,100,31.125
1760385722.037857,1587854.000,64249,1,T1,1,100,31.160
1760385722.170862,1587987.000,64266,1,T1,1,100,31.069
1760385722.303868,1588120.000,64283,1,T1,1,100,31.065
1760385722.437873,1588254.000,64306,1,T1,1,100,31.135
1760385722.570879,1588387.000,64338,1,T1,1,100,31.058
1760385722.703885,1588520.000,64354,1,T1,1,100,30.990
1760385722.837890,1588654.000,64374,1,T1,1,100,31.031
1760385722.970896,1588787.000,64407,1,T1,1,100,31.191
1760385723.103901,1588920.000,64423,1,T1,1,100,31.153
1760385723.236907,1589053.000,64443,1,T1,1,100,31.208
1760385723.370913,1589187.000,64459,1,T1,1,100,31.232
1760385723.503918,1589320.000,64491,1,T1,1,100,31.100
1760385723.636924,1589453.000,64508,1,T1,1,100,31.150
1760385723.770929,1589587.000,64526,1,T1,1,100,31.207
1760385723.903935,1589720.000,64558,1,T1,1,100,31.160
1760385724.036940,1589853.000,64575,1,T1,1,100,31.211
1760385724.170946,1589987.000,64594,1,T1,1,100,31.233
1760385724.303952,1590120.000,64625,1,T1,1,100,31.101
1760385724.436957,1590253.000,64642,1,T1,1,100,31.185
1760385724.570963,1590387.000,64659,1,T1,1,100,31.187
1760385724.703968,1590520.000,64692,1,T1,1,100,31.187
1760385724.836974,1590653.000,64710,1,T1,1,100,31.152
1760385724.970979,1590787.000,64726,1,T1,1,100,31.208
1760385725.103985,1590920.000,64760,1,T1,1,100,31.054
1760385725.236990,1591053.000,64777,1,T1,1,100,31.094
1760385725.370996,1591187.000,64793,1,T1,1,100,31.218
1760385725.504002,1591320.000,64827,1,T1,1,100,31.094
