LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760385711.253406,1577070.000,62481,1,TH,1,100,29.485
1760385711.386411,1577203.000,62498,1,TH,1,100,29.485
1760385711.519417,1577336.000,62515,1,TH,1,100,29.415
1760385711.653422,1577470.000,62546,1,TH,1,100,29.415
1760385711.786428,1577603.000,62563,1,TH,1,100,29.361
1760385711.919434,1577736.000,62582,1,TH,1,100,29.361
1760385712.052939,1577869.500,62619,2,TH,1,100,29.500
1760385712.186445,1578003.000,62619,2,TH,1,100,29.500
1760385712.319450,1578136.000,62636,1,TH,1,100,29.480
1760385712.452456,1578269.000,62670,1,TH,1,100,29.480
1760385712.586462,1578403.000,62686,1,TH,1,100,29.515
1760385712.719467,1578536.000,62705,1,TH,1,100,29.515
1760385712.852473,1578669.000,62737,1,TH,1,100,29.368
1760385712.986478,1578803.000,62753,1,TH,1,100,29.368
1760385713.119484,1578936.000,62772,1,TH,1,100,29.443
1760385713.252489,1579069.000,62806,1,TH,1,100,29.450
1760385713.386495,1579203.000,62822,1,TH,1,100,29.428
1760385713.519500,1579336.000,62842,1,TH,1,100,29.428
1760385713.652506,1579469.000,62873,1,TH,1,100,29.514
1760385713.786512,1579603.000,62889,1,TH,1,100,29.514
1760385713.919517,1579736.000,62907,1,TH,1,100,29.442
1760385714.052523,1579869.000,62938,1,TH,1,100,29.442
1760385714.186528,1580003.000,62955,1,TH,1,100,29.440
1760385714.319534,1580136.000,62972,1,TH,1,100,29.440
1760385714.452539,1580269.000,62988,1,TH,1,100,29.442
1760385714.586545,1580403.000,63020,1,TH,1,100,29.442
1760385714.719551,1580536.000,63037,1,TH,1,100,29.568
1760385714.852556,1580669.000,63054,1,TH,1,100,29.575
1760385714.985562,1580802.000,63087,1,TH,1,100,29.519
1760385715.119567,1580936.000,63104,1,TH,1,100,29.519
1760385715.252573,1581069.000,63121,1,TH,1,100,29.444
1760385715.385579,1581202.000,63152,1,TH,1,100,29.444
1760385715.519584,1581336.000,63170,1,TH,1,100,29.491
1760385715.652590,1581469.000,63188,1,TH,1,100,29.491
1760385715.785595,1581602.000,63220,1,TH,1,100,29.359
1760385715.919601,1581736.000,63237,1,TH,1,100,29.359
1760385716.052606,1581869.000,63253,1,TH,1,100,29.499
1760385716.185612,1582002.000,63289,1,TH,1,100,29.506
1760385716.319618,1582136.000,63306,1,TH,1,100,29.429
1760385716.452623,1582269.000,63322,1,TH,1,100,29.422
1760385716.585629,1582402.000,63340,1,TH,1,100,29.514
1760385716.719634,1582536.000,63371,1,TH,1,100,29.514
1760385716.852640,1582669.000,63388,1,TH,1,100,29.523
1760385716.985646,1582802.000,63405,1,TH,1,100,29.530
1760385717.119651,1582936.000,63439,1,TH,1,100,29.518
1760385717.252657,1583069.000,63460,1,TH,1,100,29.518
1760385717.385662,1583202.000,63479,1,TH,1,100,29.523
1760385717.519668,1583336.000,63496,1,TH,1,100,29.523
1760385717.652673,1583469.000,63529,1,TH,1,100,29.510
1760385717.785679,1583602.000,63546,1,TH,1,100,29.510
1760385717.919684,1583736.000,63563,1,TH,1,100,29.498
1760385718.052690,1583869.000,63594,1,TH,1,100,29.498
1760385718.185696,1584002.000,63612,1,TH,1,100,29.520
1760385718.318701,1584135.000,63628,1,TH,1,100,29.520
1760385718.452707,1584269.000,63645,1,TH,1,100,29.557
1760385718.585712,1584402.000,63677,1,TH,1,100,29.557
1760385718.718718,1584535.000,63693,1,TH,1,100,29.503
1760385718.852724,1584669.000,63713,1,TH,1,100,29.503
1760385718.985729,1584802.000,63744,1,TH,1,100,29.518
1760385719.118735,1584935.000,63760,1,TH,1,100,29.518
1760385719.252740,1585069.000,63778,1,TH,1,100,29.501
1760385719.385746,1585202.000,63811,1,TH,1,100,29.501
1760385719.518751,1585335.000,63828,1,TH,1,100,29.528
1760385719.652757,1585469.000,63845,1,TH,1,100,29.528
1760385719.785763,1585602.000,63877,1,TH,1,100,29.555
1760385719.918768,1585735.000,63893,1,TH,1,100,29.555
1760385720.052774,1585869.000,63912,1,TH,1,100,29.533
1760385720.185779,1586002.000,63946,1,TH,1,100,29.540
1760385720.318785,1586135.000,63962,1,TH,1,100,29.609
1760385720.452790,1586269.000,63979,1,TH,1,100,29.609
1760385720.585796,1586402.000,63998,1,TH,1,100,29.639
1760385720.718801,1586535.000,64029,1,TH,1,100,29.639
1760385720.852807,1586669.000,64047,1,TH,1,100,29.530
1760385720.985813,1586802.000,64063,1,TH,1,100,29.530
1760385721.118818,1586935.000,64097,1,TH,1,100,29.510
1760385721.251824,1587068.000,64116,1,TH,1,100,29.510
1760385721.385829,1587202.000,64134,1,TH,1,100,29.547
1760385721.518835,1587335.000,64166,1,TH,1,100,29.547
1760385721.651840,1587468.000,64183,1,TH,1,100,29.552
1760385721.785846,1587602.000,64201,1,TH,1,100,29.552
1760385721.918852,1587735.000,64233,1,TH,1,100,29.527
1760385722.051857,1587868.000,64250,1,TH,1,100,29.527
1760385722.185863,1588002.000,64267,1,TH,1,100,29.502
1760385722.318868,1588135.000,64307,2,TH,1,100,29.502
1760385722.451874,1588268.000,64307,2,TH,1,100,29.512
1760385722.585880,1588402.000,64339,1,TH,1,100,29.512
1760385722.718885,1588535.000,64355,1,TH,1,100,29.587
