LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760385712.108441,1577925,62607,1,TL,1,100,2025-10-13_16-01-47-210223
1760385712.127442,1577944,62610,1,TL,1,100,2025-10-13_16-01-52-123657
1760385717.225656,1583042,63449,1,TL,1,100,2025-10-13_16-01-52-253992
1760385717.240656,1583057,63452,1,TL,1,100,2025-10-13_16-01-57-232501
1760385722.347870,1588164,64293,1,TL,1,100,2025-10-13_16-01-57-355148
1760385722.409872,1588226,64296,1,TL,1,100,2025-10-13_16-02-02-401989
1760385727.465084,1593281,65144,1,TL,1,100,2025-10-13_16-02-02-496376
1760385727.477084,1593293,65147,1,TL,1,100,2025-10-13_16-02-07-471584
1760385732.572297,1598388,458,1,TL,1,100,2025-10-13_16-02-07-686035
1760385732.621299,1598437,461,1,TL,1,100,2025-10-13_16-02-12-579389
1760385737.681511,1603497,1302,1,TL,1,100,2025-10-13_16-02-12-675205
1760385737.700512,1603516,1305,1,TL,1,100,2025-10-13_16-02-17-695318
1760385742.792725,1608608,2149,1,TL,1,100,2025-10-13_16-02-17-743032
1760385742.806725,1608622,2152,1,TL,1,100,2025-10-13_16-02-22-800078
1760385747.910939,1613726,3017,1,TL,1,100,2025-10-13_16-02-22-843348
1760385747.943940,1613759,3020,1,TL,1,100,2025-10-13_16-02-27-929544
1760385753.018152,1618833,3864,1,TL,1,100,2025-10-13_16-02-28-001734
1760385753.038153,1618853,3867,1,TL,1,100,2025-10-13_16-02-33-028874
1760385758.126366,1623941,4710,1,TL,1,100,2025-10-13_16-02-33-121844
1760385758.143367,1623958,4713,1,TL,1,100,2025-10-13_16-02-38-134202
1760385763.253580,1629068,5571,1,TL,1,100,2025-10-13_16-02-38-202656
1760385763.324583,1629139,5574,1,TL,1,100,2025-10-13_16-02-43-305146
1760385768.364794,1634179,6428,1,TL,1,100,2025-10-13_16-02-43-353035
1760385768.398795,1634213,6431,1,TL,1,100,2025-10-13_16-02-48-371069
1760385773.473008,1639287,7276,1,TL,1,100,2025-10-13_16-02-48-428288
1760385773.551011,1639365,7279,1,TL,1,100,2025-10-13_16-02-53-501821
1760385778.585222,1644399,8128,1,TL,1,100,2025-10-13_16-02-53-585393
1760385778.603222,1644417,8131,1,TL,1,100,2025-10-13_16-02-58-596110
1760385783.695435,1649509,8975,1,TL,1,100,2025-10-13_16-02-58-651845
1760385783.712436,1649526,8978,1,TL,1,100,2025-10-13_16-03-03-705190
1760385788.834650,1654648,9836,1,TL,1,100,2025-10-13_16-03-03-746142
1760385788.877652,1654691,9839,1,TL,1,100,2025-10-13_16-03-08-839159
1760385793.941864,1659755,10687,1,TL,1,100,2025-10-13_16-03-08-936724
1760385793.955864,1659769,10690,1,TL,1,100,2025-10-13_16-03-13-947382
1760385799.050077,1664863,11536,1,TL,1,100,2025-10-13_16-03-14-045026
1760385799.069078,1664882,11539,1,TL,1,100,2025-10-13_16-03-19-058073
1760385804.184292,1669997,12399,1,TL,1,100,2025-10-13_16-03-19-109942
1760385809.303506,1675116,13248,1,TL,1,100,2025-10-13_16-03-24-329185
1760385809.323507,1675136,13251,1,TL,1,100,2025-10-13_16-03-29-316007
1760385814.413720,1680226,14092,1,TL,1,100,2025-10-13_16-03-29-400798
1760385814.463722,1680276,14095,1,TL,1,100,2025-10-13_16-03-34-444408
1760385819.520933,1685333,14937,1,TL,1,100,2025-10-13_16-03-34-497748
1760385819.541934,1685354,14940,1,TL,1,100,2025-10-13_16-03-39-529492
1760385824.653148,1690465,15805,1,TL,1,100,2025-10-13_16-03-39-579822
1760385824.682149,1690494,15808,1,TL,1,100,2025-10-13_16-03-44-673120
1760385829.761362,1695573,16650,1,TL,1,100,2025-10-13_16-03-44-746471
1760385829.800363,1695612,16653,1,TL,1,100,2025-10-13_16-03-49-779413
1760385834.869575,1700681,17495,1,TL,1,100,2025-10-13_16-03-49-837755
1760385834.889576,1700701,17498,1,TL,1,100,2025-10-13_16-03-54-874254
