RD,TS_received,TS_sent,AK,RoundTrip,
1577927,1577944,2025-10-13_16-01-52-123657,1577945,17,
1583044,1583057,2025-10-13_16-01-57-232501,1583058,13,
1588166,1588226,2025-10-13_16-02-02-401989,1588227,60,
1593282,1593293,2025-10-13_16-02-07-471584,1593295,11,
1598390,1598437,2025-10-13_16-02-12-579389,1598439,47,
1603502,1603516,2025-10-13_16-02-17-695318,1603518,14,
1608610,1608622,2025-10-13_16-02-22-800078,1608623,12,
1613728,1613759,2025-10-13_16-02-27-929544,1613760,31,
1618835,1618853,2025-10-13_16-02-33-028874,1618855,18,
1623943,1623958,2025-10-13_16-02-38-134202,1623960,15,
1629072,1629139,2025-10-13_16-02-43-305146,1629140,67,
1634181,1634213,2025-10-13_16-02-48-371069,1634214,32,
1639290,1639365,2025-10-13_16-02-53-501821,1639366,75,
1644404,1644417,2025-10-13_16-02-58-596110,1644419,13,
1649511,1649526,2025-10-13_16-03-03-705190,1649527,15,
1654650,1654691,2025-10-13_16-03-08-839159,1654692,41,
1659757,1659769,2025-10-13_16-03-13-947382,1659771,12,
1664868,1664882,2025-10-13_16-03-19-058073,1664883,14,
1670002,1675116,2025-10-13_16-03-24-329185,1675120,5114,
1675121,1675136,2025-10-13_16-03-29-316007,1675138,15,
1680228,1680276,2025-10-13_16-03-34-444408,1680280,48,
1685335,1685354,2025-10-13_16-03-39-529492,1685355,19,
1690468,1690494,2025-10-13_16-03-44-673120,1690495,26,
1695575,1695612,2025-10-13_16-03-49-779413,1695614,37,
1700683,1700701,2025-10-13_16-03-54-874254,1700705,18,
