LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760385942.874477,1808692.000,35573,3,MZ,1,100,18
1760385942.874477,1808692.000,35573,3,MZ,1,100,21
1760385942.874477,1808692.000,35573,3,MZ,1,100,20
1760385942.914478,1808732.000,35590,3,MZ,1,100,22
1760385942.954479,1808772.000,35590,3,MZ,1,100,20
1760385942.994481,1808812.000,35590,3,MZ,1,100,20
1760385943.034482,1808852.000,35606,2,MZ,1,100,20
1760385943.074484,1808892.000,35606,2,MZ,1,100,19
1760385943.114485,1808932.000,35622,3,MZ,1,100,20
1760385943.154486,1808972.000,35622,3,MZ,1,100,20
1760385943.194488,1809012.000,35622,3,MZ,1,100,20
1760385943.234489,1809052.000,35642,2,MZ,1,100,19
1760385943.274491,1809092.000,35642,2,MZ,1,100,20
1760385943.314492,1809132.000,35659,3,MZ,1,100,19
1760385943.354493,1809172.000,35659,3,MZ,1,100,19
1760385943.394495,1809212.000,35659,3,MZ,1,100,20
1760385943.434496,1809252.000,35676,2,MZ,1,100,20
1760385943.474497,1809292.000,35676,2,MZ,1,100,20
1760385943.514499,1809332.000,35691,3,MZ,1,100,20
1760385943.554500,1809372.000,35691,3,MZ,1,100,19
1760385943.594501,1809412.000,35691,3,MZ,1,100,20
1760385943.634503,1809452.000,35707,2,MZ,1,100,19
1760385943.674504,1809492.000,35707,2,MZ,1,100,18
1760385943.714505,1809532.000,35724,3,MZ,1,100,20
1760385943.754507,1809572.000,35724,3,MZ,1,100,20
1760385943.794508,1809612.000,35724,3,MZ,1,100,20
1760385943.834510,1809652.000,35741,2,MZ,1,100,20
1760385943.874511,1809692.000,35741,2,MZ,1,100,20
1760385943.914512,1809732.000,35756,3,MZ,1,100,20
1760385943.954514,1809772.000,35756,3,MZ,1,100,20
1760385943.994515,1809812.000,35756,3,MZ,1,100,20
1760385944.034516,1809852.000,35774,3,MZ,1,100,20
1760385944.074518,1809892.000,35774,3,MZ,1,100,20
1760385944.114519,1809932.000,35774,3,MZ,1,100,20
1760385944.154521,1809972.000,35792,2,MZ,1,100,20
1760385944.194522,1810012.000,35792,2,MZ,1,100,19
1760385944.234523,1810052.000,35810,3,MZ,1,100,20
1760385944.274525,1810092.000,35810,3,MZ,1,100,20
1760385944.314526,1810132.000,35810,3,MZ,1,100,18
1760385944.354527,1810172.000,35826,2,MZ,1,100,20
1760385944.394529,1810212.000,35826,2,MZ,1,100,20
1760385944.434530,1810252.000,35842,3,MZ,1,100,21
1760385944.474531,1810292.000,35842,3,MZ,1,100,20
1760385944.514533,1810332.000,35842,3,MZ,1,100,21
1760385944.554534,1810372.000,35859,2,MZ,1,100,20
1760385944.594536,1810412.000,35859,2,MZ,1,100,21
1760385944.634537,1810452.000,35875,3,MZ,1,100,21
1760385944.674538,1810492.000,35875,3,MZ,1,100,20
1760385944.714540,1810532.000,35875,3,MZ,1,100,20
1760385944.754541,1810572.000,35895,2,MZ,1,100,19
1760385944.794542,1810612.000,35895,2,MZ,1,100,21
1760385944.834544,1810652.000,35909,3,MZ,1,100,21
1760385944.874545,1810692.000,35909,3,MZ,1,100,20
1760385944.914546,1810732.000,35909,3,MZ,1,100,22
1760385944.954548,1810772.000,35928,2,MZ,1,100,20
1760385944.994549,1810812.000,35928,2,MZ,1,100,22
1760385945.034551,1810852.000,35944,3,MZ,1,100,21
1760385945.074552,1810892.000,35944,3,MZ,1,100,21
1760385945.114553,1810932.000,35944,3,MZ,1,100,22
1760385945.154555,1810972.000,35962,2,MZ,1,100,20
1760385945.194556,1811012.000,35962,2,MZ,1,100,20
1760385945.234557,1811052.000,35976,3,MZ,1,100,21
1760385945.274559,1811092.000,35976,3,MZ,1,100,20
1760385945.314560,1811132.000,35976,3,MZ,1,100,21
1760385945.354562,1811172.000,35993,3,MZ,1,100,21
1760385945.394563,1811212.000,35993,3,MZ,1,100,20
1760385945.434564,1811252.000,35993,3,MZ,1,100,21
1760385945.474566,1811292.000,36010,2,MZ,1,100,19
1760385945.514567,1811332.000,36010,2,MZ,1,100,20
1760385945.554568,1811372.000,36029,3,MZ,1,100,20
1760385945.594570,1811412.000,36029,3,MZ,1,100,20
1760385945.634571,1811452.000,36029,3,MZ,1,100,20
1760385945.674572,1811492.000,36043,2,MZ,1,100,21
1760385945.714574,1811532.000,36043,2,MZ,1,100,19
1760385945.754575,1811572.000,36063,3,MZ,1,100,20
1760385945.794577,1811612.000,36063,3,MZ,1,100,20
1760385945.834578,1811652.000,36063,3,MZ,1,100,20
1760385945.874579,1811692.000,36079,2,MZ,1,100,21
1760385945.914581,1811732.000,36079,2,MZ,1,100,21
1760385945.954582,1811772.000,36096,3,MZ,1,100,21
1760385945.994583,1811812.000,36096,3,MZ,1,100,20
1760385946.034585,1811852.000,36096,3,MZ,1,100,21
1760385946.074586,1811892.000,36110,2,MZ,1,100,20
1760385946.114588,1811932.000,36110,2,MZ,1,100,20
1760385946.150255,1811967.667,36132,3,MZ,1,100,20
1760385946.185923,1812003.333,36132,3,MZ,1,100,18
1760385946.221591,1812039.000,36132,3,MZ,1,100,20
1760385946.261592,1812079.000,36150,3,MZ,1,100,22
1760385946.301594,1812119.000,36150,3,MZ,1,100,20
1760385946.341595,1812159.000,36150,3,MZ,1,100,21
1760385946.381597,1812199.000,36167,2,MZ,1,100,19
1760385946.421598,1812239.000,36167,2,MZ,1,100,20
1760385946.461599,1812279.000,36184,3,MZ,1,100,20
1760385946.501601,1812319.000,36184,3,MZ,1,100,20
1760385946.541602,1812359.000,36184,3,MZ,1,100,20
1760385946.581604,1812399.000,36201,2,MZ,1,100,19
1760385946.621605,1812439.000,36201,2,MZ,1,100,21
1760385946.661606,1812479.000,36217,3,MZ,1,100,20
1760385946.701607,1812519.000,36217,3,MZ,1,100,20
1760385946.741609,1812559.000,36217,3,MZ,1,100,20
1760385946.781610,1812599.000,36235,2,MZ,1,100,19
1760385946.821612,1812639.000,36235,2,MZ,1,100,20
1760385946.861613,1812679.000,36251,3,MZ,1,100,20
1760385946.901614,1812719.000,36251,3,MZ,1,100,20
1760385946.941616,1812759.000,36251,3,MZ,1,100,20
1760385946.981617,1812799.000,36268,2,MZ,1,100,20
1760385947.021618,1812839.000,36268,2,MZ,1,100,21
1760385947.061620,1812879.000,36287,3,MZ,1,100,21
1760385947.101621,1812919.000,36287,3,MZ,1,100,20
1760385947.141623,1812959.000,36287,3,MZ,1,100,20
1760385947.181624,1812999.000,36304,3,MZ,1,100,21
1760385947.221625,1813039.000,36304,3,MZ,1,100,20
1760385947.261627,1813079.000,36304,3,MZ,1,100,21
1760385947.301628,1813119.000,36328,4,MZ,1,100,20
1760385947.341629,1813159.000,36328,4,MZ,1,100,20
1760385947.381631,1813199.000,36328,4,MZ,1,100,20
1760385947.421632,1813239.000,36328,4,MZ,1,100,20
1760385947.461633,1813279.000,36345,3,MZ,1,100,19
1760385947.501635,1813319.000,36345,3,MZ,1,100,19
1760385947.541636,1813359.000,36345,3,MZ,1,100,19
1760385947.581638,1813399.000,36364,2,MZ,1,100,20
1760385947.621639,1813439.000,36364,2,MZ,1,100,21
1760385947.661640,1813479.000,36381,3,MZ,1,100,20
1760385947.701642,1813519.000,36381,3,MZ,1,100,21
1760385947.741643,1813559.000,36381,3,MZ,1,100,20
1760385947.781644,1813599.000,36398,2,MZ,1,100,20
1760385947.821646,1813639.000,36398,2,MZ,1,100,21
1760385947.861647,1813679.000,36416,3,MZ,1,100,21
1760385947.901649,1813719.000,36416,3,MZ,1,100,20
1760385947.941650,1813759.000,36416,3,MZ,1,100,21
1760385947.981651,1813799.000,36433,2,MZ,1,100,21
1760385948.021653,1813839.000,36433,2,MZ,1,100,22
1760385948.061321,1813878.667,36450,3,MZ,1,100,21
1760385948.100989,1813918.333,36450,3,MZ,1,100,20
1760385948.140657,1813958.000,36450,3,MZ,1,100,19
1760385948.181158,1813998.500,36465,2,MZ,1,100,19
1760385948.221659,1814039.000,36465,2,MZ,1,100,20
1760385948.261328,1814078.667,36481,3,MZ,1,100,20
1760385948.300995,1814118.333,36481,3,MZ,1,100,19
1760385948.340663,1814158.000,36481,3,MZ,1,100,20
1760385948.380998,1814198.333,36498,3,MZ,1,100,21
1760385948.421333,1814238.667,36498,3,MZ,1,100,19
1760385948.461668,1814279.000,36498,3,MZ,1,100,20
1760385948.501669,1814319.000,36517,2,MZ,1,100,19
1760385948.541670,1814359.000,36517,2,MZ,1,100,20
1760385948.581672,1814399.000,36534,3,MZ,1,100,18
1760385948.621673,1814439.000,36534,3,MZ,1,100,20
1760385948.661674,1814479.000,36534,3,MZ,1,100,19
1760385948.701676,1814519.000,36550,2,MZ,1,100,20
1760385948.741677,1814559.000,36550,2,MZ,1,100,20
1760385948.781678,1814599.000,36568,3,MZ,1,100,20
1760385948.821680,1814639.000,36568,3,MZ,1,100,18
1760385948.861681,1814679.000,36568,3,MZ,1,100,20
1760385948.901683,1814719.000,36586,2,MZ,1,100,19
1760385948.941684,1814759.000,36586,2,MZ,1,100,20
1760385948.981685,1814799.000,36601,3,MZ,1,100,19
1760385949.021687,1814839.000,36601,3,MZ,1,100,20
1760385949.061688,1814879.000,36601,3,MZ,1,100,19
1760385949.101690,1814919.000,36618,2,MZ,1,100,19
1760385949.141691,1814959.000,36618,2,MZ,1,100,20
1760385949.181692,1814999.000,36639,3,MZ,1,100,19
1760385949.221694,1815039.000,36639,3,MZ,1,100,20
1760385949.261695,1815079.000,36639,3,MZ,1,100,21
1760385949.301696,1815119.000,36655,2,MZ,1,100,22
1760385949.341698,1815159.000,36655,2,MZ,1,100,21
1760385949.381699,1815199.000,36670,3,MZ,1,100,21
1760385949.421700,1815239.000,36670,3,MZ,1,100,20
1760385949.461702,1815279.000,36670,3,MZ,1,100,20
1760385949.501703,1815319.000,36687,3,MZ,1,100,21
1760385949.541704,1815359.000,36687,3,MZ,1,100,20
1760385949.581706,1815399.000,36687,3,MZ,1,100,21
1760385949.621707,1815439.000,36704,2,MZ,1,100,20
