LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760385942.687470,1808505.000,35555,1,SA,1,100,0.000216
1760385943.154486,1808972.000,35625,1,SA,1,100,0.000079
1760385944.087518,1809905.000,35793,1,SA,1,100,0.000086
1760385944.754541,1810572.000,35911,1,SA,1,100,0.000224
1760385945.354562,1811172.000,36045,1,SA,1,100,0.000181
1760385945.954582,1811772.000,36115,1,SA,1,100,0.000210
1760385946.287593,1812105.000,36168,1,SA,1,100,0.000152
1760385946.687607,1812505.000,36269,1,SA,1,100,0.000283
1760385947.287627,1813105.000,36311,1,SA,1,100,0.000109
1760385947.487634,1813305.000,36365,1,SA,1,100,0.000124
1760385947.754643,1813572.000,36399,1,SA,1,100,0.000058
1760385948.420666,1814238.000,36519,1,SA,1,100,0.000051
1760385948.687675,1814505.000,36569,1,SA,1,100,0.000066
1760385948.953684,1814771.000,36622,1,SA,1,100,0.000212
1760385949.687710,1815505.000,36756,1,SA,1,100,0.000301
1760385950.686743,1816504.000,36891,1,SA,1,100,0.000081
1760385951.486771,1817304.000,37027,1,SA,1,100,0.000015
1760385951.886785,1817704.000,37095,1,SA,1,100,0.000015
1760385952.286798,1818104.000,37171,1,SA,1,100,0.000141
1760385952.619810,1818437.000,37272,1,SA,1,100,0.000312
1760385953.353835,1819171.000,37323,1,SA,1,100,0.000089
1760385953.686846,1819504.000,37410,1,SA,1,100,0.000104
1760385954.153862,1819971.000,37460,1,SA,1,100,0.000052
1760385954.353869,1820171.000,37529,1,SA,1,100,0.000344
1760385955.286901,1821104.000,37663,1,SA,1,100,0.000060
1760385955.953923,1821771.000,37784,1,SA,1,100,0.000158
1760385956.286935,1822104.000,37835,1,SA,1,100,0.000105
1760385956.819953,1822637.000,37920,1,SA,1,100,0.000151
1760385957.486976,1823304.000,38093,1,SA,1,100,0.000333
1760385958.220001,1824037.000,38198,1,SA,1,100,0.000288
1760385959.020028,1824837.000,38301,1,SA,1,100,0.000106
1760385959.754053,1825571.000,38435,1,SA,1,100,0.000259
1760385960.620083,1826437.000,38552,1,SA,1,100,0.000031
1760385960.954094,1826771.000,38672,1,SA,1,100,0.000345
