LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760385942.887477,1808705.000,35557,1,SF,1,100,122.3872
1760385943.154486,1808972.000,35608,1,SF,1,100,120.9714
1760385943.487498,1809305.000,35660,1,SF,1,100,121.6542
1760385943.887511,1809705.000,35725,1,SF,1,100,120.2469
1760385944.154521,1809972.000,35776,1,SF,1,100,118.8559
1760385944.487532,1810305.000,35827,1,SF,1,100,119.5632
1760385944.820543,1810638.000,35879,1,SF,1,100,118.1801
1760385945.220557,1811038.000,35946,1,SF,1,100,118.8952
1760385945.487566,1811305.000,35994,1,SF,1,100,117.5199
1760385945.820577,1811638.000,36047,1,SF,1,100,118.2426
1760385946.220591,1812038.000,36114,1,SF,1,100,116.8748
1760385946.487600,1812305.000,36170,1,SF,1,100,119.6873
1760385946.820611,1812638.000,36219,1,SF,1,100,118.3027
1760385947.153623,1812971.000,36271,1,SF,1,100,119.0164
1760385947.487634,1813305.000,36329,1,SF,1,100,119.7219
1760385947.820646,1813638.000,36383,1,SF,1,100,120.4192
1760385948.153657,1813971.000,36434,1,SF,1,100,121.1084
1760385948.553671,1814371.000,36501,1,SF,1,100,119.7075
1760385948.820680,1814638.000,36552,1,SF,1,100,120.4049
1760385949.153691,1814971.000,36602,1,SF,1,100,121.0943
1760385949.553705,1815371.000,36671,1,SF,1,100,121.7757
1760385949.886716,1815704.000,36722,1,SF,1,100,120.3670
1760385950.153725,1815971.000,36774,1,SF,1,100,121.0569
1760385950.486737,1816304.000,36823,1,SF,1,100,119.6565
1760385950.886750,1816704.000,36890,1,SF,1,100,118.2723
1760385951.153759,1816971.000,36942,1,SF,1,100,118.9864
1760385951.486771,1817304.000,36993,1,SF,1,100,117.6099
1760385951.886785,1817704.000,37062,1,SF,1,100,118.3317
1760385952.153794,1817971.000,37112,1,SF,1,100,119.0450
1760385952.553807,1818371.000,37170,1,SF,1,100,117.6679
1760385952.819816,1818637.000,37220,1,SF,1,100,118.3890
1760385953.153828,1818971.000,37274,1,SF,1,100,119.1017
1760385953.486839,1819304.000,37325,1,SF,1,100,119.8062
1760385953.886853,1819704.000,37392,1,SF,1,100,118.4203
1760385954.153862,1819971.000,37443,1,SF,1,100,119.1326
1760385954.486873,1820304.000,37493,1,SF,1,100,119.8367
1760385954.886887,1820704.000,37562,1,SF,1,100,120.5327
1760385955.153896,1820971.000,37613,1,SF,1,100,119.1384
1760385955.486907,1821304.000,37665,1,SF,1,100,119.8424
1760385955.819919,1821637.000,37714,1,SF,1,100,118.4561
1760385956.219933,1822037.000,37783,1,SF,1,100,117.0858
1760385956.486942,1822304.000,37837,1,SF,1,100,119.8958
1760385956.819953,1822637.000,37886,1,SF,1,100,118.5089
1760385957.219967,1823037.000,37955,1,SF,1,100,119.2202
1760385957.486976,1823304.000,38003,1,SF,1,100,117.8410
1760385957.885989,1823703.000,38061,1,SF,1,100,116.4779
1760385958.152998,1823970.000,38111,1,SF,1,100,117.2127
1760385958.486010,1824303.000,38163,1,SF,1,100,115.8568
1760385958.886024,1824703.000,38232,1,SF,1,100,116.5988
1760385959.220035,1825037.000,38283,1,SF,1,100,115.2499
1760385959.486044,1825303.000,38334,1,SF,1,100,115.9990
1760385959.820055,1825637.000,38382,1,SF,1,100,114.6571
1760385960.220069,1826037.000,38451,1,SF,1,100,115.4130
1760385960.486078,1826303.000,38502,1,SF,1,100,114.0779
1760385960.820090,1826637.000,38554,1,SF,1,100,114.8405
1760385961.153101,1826970.000,38603,1,SF,1,100,113.5120
1760385961.553115,1827370.000,38674,1,SF,1,100,114.2811
1760385961.819124,1827636.000,38724,1,SF,1,100,112.9591
1760385962.153135,1827970.000,38775,1,SF,1,100,113.7346
1760385962.553149,1828370.000,38844,1,SF,1,100,114.5012
1760385962.819158,1828636.000,38883,1,SF,1,100,115.2589
1760385963.219172,1829036.000,38950,1,SF,1,100,113.9256
1760385963.486181,1829303.000,39002,1,SF,1,100,116.7722
1760385963.819192,1829636.000,39053,1,SF,1,100,115.4213
1760385964.219206,1830036.000,39120,1,SF,1,100,116.1684
1760385964.486215,1830303.000,39170,1,SF,1,100,114.8246
1760385964.819226,1830636.000,39223,1,SF,1,100,115.5785
1760385965.152237,1830969.000,39271,1,SF,1,100,114.2415
1760385965.552251,1831369.000,39340,1,SF,1,100,115.0022
1760385965.819260,1831636.000,39391,1,SF,1,100,113.6718
1760385966.152272,1831969.000,39439,1,SF,1,100,112.3569
1760385966.552285,1832369.000,39508,1,SF,1,100,111.0571
1760385966.819294,1832636.000,39559,1,SF,1,100,111.8547
1760385967.152306,1832969.000,39612,1,SF,1,100,112.6430
1760385967.486317,1833303.000,39664,1,SF,1,100,113.4221
1760385967.885331,1833702.000,39738,1,SF,1,100,114.1923
1760385968.219342,1834036.000,39786,1,SF,1,100,112.8713
1760385968.485351,1834302.000,39841,1,SF,1,100,113.6479
1760385968.819363,1834636.000,39891,1,SF,1,100,114.4155
1760385969.219376,1835036.000,39958,1,SF,1,100,113.0919
1760385969.552388,1835369.000,40009,1,SF,1,100,113.8659
1760385969.819397,1835636.000,40059,1,SF,1,100,112.5487
1760385970.152408,1835969.000,40110,1,SF,1,100,111.2467
1760385970.552422,1836369.000,40175,1,SF,1,100,109.9598
1760385970.819431,1836636.000,40225,1,SF,1,100,108.6878
1760385971.152442,1836969.000,40279,1,SF,1,100,111.5950
1760385971.485454,1837302.000,40332,1,SF,1,100,110.3040
1760385971.885467,1837702.000,40399,1,SF,1,100,111.1103
1760385972.152477,1837969.000,40448,1,SF,1,100,109.8250
1760385972.485488,1838302.000,40500,1,SF,1,100,110.6367
1760385972.885502,1838702.000,40565,1,SF,1,100,109.3569
1760385973.152511,1838969.000,40606,1,SF,1,100,110.1741
1760385973.552524,1839369.000,40671,1,SF,1,100,108.8996
1760385973.818533,1839635.000,40726,1,SF,1,100,109.7221
1760385974.151545,1839968.000,40774,1,SF,1,100,108.4528
1760385974.551558,1840368.000,40841,1,SF,1,100,107.1982
1760385974.818568,1840635.000,40892,1,SF,1,100,108.0404
1760385975.152579,1840969.000,40943,1,SF,1,100,106.7906
1760385975.485590,1841302.000,40995,1,SF,1,100,107.6375
1760385975.885604,1841702.000,41060,1,SF,1,100,106.3923
1760385976.151613,1841968.000,41112,1,SF,1,100,107.2438
1760385976.485624,1842302.000,41163,1,SF,1,100,106.0032
1760385976.885638,1842702.000,41232,1,SF,1,100,106.8592
1760385977.151647,1842968.000,41282,1,SF,1,100,105.6231
1760385977.485659,1843302.000,41333,1,SF,1,100,106.4835
1760385977.818670,1843635.000,41383,1,SF,1,100,105.2517
1760385978.151681,1843968.000,41443,1,SF,1,100,106.1164
1760385978.551695,1844368.000,41512,1,SF,1,100,106.9710
1760385978.818704,1844635.000,41562,1,SF,1,100,107.8158
1760385979.151716,1844968.000,41616,1,SF,1,100,108.6509
1760385979.484727,1845301.000,41665,1,SF,1,100,107.3940
1760385979.884741,1845701.000,41730,1,SF,1,100,106.1517
1760385980.151750,1845968.000,41783,1,SF,1,100,107.0059
1760385980.484761,1846301.000,41831,1,SF,1,100,105.7681
1760385980.884775,1846701.000,41901,1,SF,1,100,106.6268
1760385981.151784,1846968.000,41953,1,SF,1,100,107.4756
1760385981.484795,1847301.000,42005,1,SF,1,100,106.2323
1760385981.817806,1847634.000,42056,1,SF,1,100,107.0857
1760385982.217820,1848034.000,42121,1,SF,1,100,105.8469
1760385982.484829,1848301.000,42175,1,SF,1,100,106.7047
1760385982.817841,1848634.000,42226,1,SF,1,100,107.5526
1760385983.284857,1849101.000,42296,1,SF,1,100,106.3084
1760385983.484864,1849301.000,42332,1,SF,1,100,107.1609
1760385983.884877,1849701.000,42397,1,SF,1,100,105.9212
1760385984.151886,1849968.000,42449,1,SF,1,100,106.7782
1760385984.484898,1850301.000,42498,1,SF,1,100,105.5430
1760385984.884911,1850701.000,42567,1,SF,1,100,106.4043
1760385985.151920,1850968.000,42619,1,SF,1,100,107.2556
1760385985.484932,1851301.000,42668,1,SF,1,100,106.0149
1760385985.817943,1851634.000,42720,1,SF,1,100,106.8708
1760385986.217957,1852034.000,42789,1,SF,1,100,105.6345
1760385986.484966,1852301.000,42842,1,SF,1,100,106.4947
1760385986.817977,1852634.000,42890,1,SF,1,100,105.2628
1760385987.217991,1853034.000,42957,1,SF,1,100,104.0451
1760385987.485000,1853301.000,43006,1,SF,1,100,102.8415
1760385987.818011,1853634.000,43057,1,SF,1,100,101.6518
1760385988.151023,1853967.000,43109,1,SF,1,100,102.5582
1760385988.484034,1854300.000,43160,1,SF,1,100,101.3718
1760385988.884048,1854700.000,43229,1,SF,1,100,102.2813
1760385989.151057,1854967.000,43282,1,SF,1,100,103.1804
1760385989.484068,1855300.000,43334,1,SF,1,100,104.0691
1760385989.884082,1855700.000,43401,1,SF,1,100,104.9474
1760385990.218093,1856034.000,43454,1,SF,1,100,105.8156
1760385990.484102,1856300.000,43504,1,SF,1,100,104.5916
1760385990.818114,1856634.000,43555,1,SF,1,100,105.4639
1760385991.217127,1857033.000,43624,1,SF,1,100,104.2439
1760385991.484137,1857300.000,43672,1,SF,1,100,103.0380
1760385991.818148,1857634.000,43726,1,SF,1,100,103.9283
1760385992.151159,1857967.000,43775,1,SF,1,100,102.7260
1760385992.551173,1858367.000,43842,1,SF,1,100,101.5377
1760385992.817182,1858633.000,43893,1,SF,1,100,102.4453
1760385993.151193,1858967.000,43941,1,SF,1,100,101.2602
1760385993.484205,1859300.000,44003,1,SF,1,100,102.1711
1760385993.817216,1859633.000,44053,1,SF,1,100,103.0714
1760385994.217230,1860033.000,44122,1,SF,1,100,103.9614
1760385994.484239,1860300.000,44173,1,SF,1,100,102.7587
1760385994.817250,1860633.000,44223,1,SF,1,100,101.5700
1760385995.217264,1861033.000,44290,1,SF,1,100,102.4773
1760385995.550275,1861366.000,44341,1,SF,1,100,101.2918
1760385995.817285,1861633.000,44391,1,SF,1,100,100.1201
1760385996.150296,1861966.000,44440,1,SF,1,100,98.9619
1760385996.550309,1862366.000,44511,1,SF,1,100,99.8993
1760385996.817319,1862633.000,44559,1,SF,1,100,98.7437
1760385997.150330,1862966.000,44610,1,SF,1,100,97.6014
1760385997.550344,1863366.000,44676,1,SF,1,100,96.4724
1760385997.883355,1863699.000,44727,1,SF,1,100,95.3564
1760385998.150364,1863966.000,44780,1,SF,1,100,98.4178
1760385998.483376,1864299.000,44832,1,SF,1,100,99.3615
1760385998.817387,1864633.000,44888,1,SF,1,100,98.2121
1760385999.150398,1864966.000,44936,1,SF,1,100,97.0760
1760385999.550412,1865366.000,45005,1,SF,1,100,98.0353
1760385999.817421,1865633.000,45058,1,SF,1,100,96.9012
1760386000.150432,1865966.000,45106,1,SF,1,100,95.7802
1760386000.550446,1866366.000,45171,1,SF,1,100,94.6722
1760386000.817455,1866633.000,45222,1,SF,1,100,93.5770
1760386001.150466,1866966.000,45274,1,SF,1,100,94.5768
1760386001.483478,1867299.000,45327,1,SF,1,100,95.5650
1760386001.883492,1867699.000,45396,1,SF,1,100,96.5417
1760386002.150501,1867966.000,45444,1,SF,1,100,95.4249
1760386002.483512,1868299.000,45495,1,SF,1,100,94.3211
1760386002.883526,1868699.000,45561,1,SF,1,100,93.2299
1760386003.150535,1868966.000,45612,1,SF,1,100,92.1515
1760386003.483546,1869299.000,45663,1,SF,1,100,93.1677
1760386003.816558,1869632.000,45722,1,SF,1,100,94.1722
1760386004.150569,1869966.000,45777,1,SF,1,100,97.2473
1760386004.549583,1870365.000,45842,1,SF,1,100,96.1223
1760386004.883594,1870699.000,45894,1,SF,1,100,97.0926
1760386005.150603,1870966.000,45945,1,SF,1,100,95.9694
1760386005.483614,1871299.000,45995,1,SF,1,100,94.8593
1760386005.883628,1871699.000,46060,1,SF,1,100,93.7619
1760386006.150637,1871966.000,46109,1,SF,1,100,92.6773
1760386006.483649,1872299.000,46163,1,SF,1,100,93.6874
1760386006.883662,1872699.000,46231,1,SF,1,100,94.6859
1760386007.216674,1873032.000,46285,1,SF,1,100,95.6728
1760386007.483683,1873299.000,46333,1,SF,1,100,94.5661
1760386007.816694,1873632.000,46386,1,SF,1,100,95.5544
1760386008.216708,1874032.000,46451,1,SF,1,100,94.4490
1760386008.482717,1874298.000,46503,1,SF,1,100,95.4387
1760386008.882730,1874698.000,46561,1,SF,1,100,96.4169
1760386009.149740,1874965.000,46611,1,SF,1,100,95.3015
1760386009.482751,1875298.000,46664,1,SF,1,100,96.2813
1760386009.882765,1875698.000,46729,1,SF,1,100,95.1675
1760386010.149774,1875965.000,46779,1,SF,1,100,94.0666
1760386010.482785,1876298.000,46829,1,SF,1,100,92.9784
1760386010.882799,1876698.000,46896,1,SF,1,100,91.9029
1760386011.215810,1877031.000,46949,1,SF,1,100,92.9220
1760386011.482819,1877298.000,47000,1,SF,1,100,93.9293
1760386011.815831,1877631.000,47052,1,SF,1,100,94.9250
1760386012.215844,1878031.000,47117,1,SF,1,100,93.8269
1760386012.482853,1878298.000,47170,1,SF,1,100,92.7415
1760386012.815865,1878631.000,47220,1,SF,1,100,93.7509
1760386013.215878,1879031.000,47285,1,SF,1,100,92.6664
1760386013.549890,1879365.000,47338,1,SF,1,100,93.6767
1760386013.815899,1879631.000,47388,1,SF,1,100,92.5930
1760386014.149910,1879965.000,47443,1,SF,1,100,91.5219
1760386014.482922,1880298.000,47493,1,SF,1,100,90.4631
1760386014.815933,1880631.000,47544,1,SF,1,100,89.4167
1760386015.215947,1881031.000,47611,1,SF,1,100,90.4645
1760386015.482956,1881298.000,47661,1,SF,1,100,91.5003
1760386015.815967,1881631.000,47714,1,SF,1,100,92.5241
1760386016.215981,1882031.000,47784,1,SF,1,100,91.4537
1760386016.548992,1882364.000,47835,1,SF,1,100,90.3958
1760386016.816001,1882631.000,47884,1,SF,1,100,89.3501
1760386017.149013,1882964.000,47934,1,SF,1,100,90.3987
1760386017.549026,1883364.000,48003,1,SF,1,100,91.4352
1760386017.816036,1883631.000,48056,1,SF,1,100,92.4598
1760386018.149047,1883964.000,48108,1,SF,1,100,93.4724
1760386018.549061,1884364.000,48173,1,SF,1,100,92.3911
1760386018.882072,1884697.000,48222,1,SF,1,100,91.3223
1760386019.216083,1885031.000,48281,1,SF,1,100,92.3482
1760386019.482092,1885297.000,48334,1,SF,1,100,93.3621
1760386019.816104,1885631.000,48384,1,SF,1,100,94.3644
1760386020.216118,1886031.000,48452,1,SF,1,100,93.2728
1760386020.549129,1886364.000,48502,1,SF,1,100,92.1938
1760386020.816138,1886631.000,48550,1,SF,1,100,91.1273
1760386021.149149,1886964.000,48601,1,SF,1,100,90.0731
1760386021.549163,1887364.000,48670,1,SF,1,100,91.1134
1760386021.816172,1887631.000,48720,1,SF,1,100,90.0594
1760386022.149184,1887964.000,48773,1,SF,1,100,91.0998
1760386022.549197,1888364.000,48838,1,SF,1,100,90.0460
1760386022.882209,1888697.000,48890,1,SF,1,100,91.0865
1760386023.149218,1888964.000,48941,1,SF,1,100,90.0329
1760386023.482229,1889297.000,48989,1,SF,1,100,88.9913
1760386023.882243,1889697.000,49058,1,SF,1,100,90.0441
1760386024.215254,1890030.000,49112,1,SF,1,100,89.0025
1760386024.548265,1890363.000,49164,1,SF,1,100,87.9729
1760386024.815274,1890630.000,49217,1,SF,1,100,89.0375
1760386025.148286,1890963.000,49267,1,SF,1,100,88.0075
1760386025.548300,1891363.000,49332,1,SF,1,100,86.9894
1760386025.815309,1891630.000,49385,1,SF,1,100,85.9831
1760386026.148320,1891963.000,49437,1,SF,1,100,89.1530
1760386026.482332,1892297.000,49490,1,SF,1,100,90.2039
1760386026.882345,1892697.000,49557,1,SF,1,100,89.1604
1760386027.148354,1892963.000,49609,1,SF,1,100,90.2113
1760386027.482366,1893297.000,49660,1,SF,1,100,89.1677
1760386027.881379,1893696.000,49725,1,SF,1,100,88.1362
1760386028.148388,1893963.000,49775,1,SF,1,100,87.1166
1760386028.481400,1894296.000,49825,1,SF,1,100,86.1088
1760386028.815411,1894630.000,49874,1,SF,1,100,85.1127
1760386029.215425,1895030.000,49943,1,SF,1,100,86.2104
1760386029.548436,1895363.000,49998,1,SF,1,100,85.2131
1760386029.881448,1895696.000,50049,1,SF,1,100,84.2274
1760386030.148457,1895963.000,50098,1,SF,1,100,83.2530
1760386030.481468,1896296.000,50146,1,SF,1,100,82.2899
1760386030.881482,1896696.000,50215,1,SF,1,100,83.4202
1760386031.148491,1896963.000,50268,1,SF,1,100,82.4552
1760386031.481502,1897296.000,50318,1,SF,1,100,81.5014
1760386031.814513,1897629.000,50367,1,SF,1,100,80.5586
1760386032.214527,1898029.000,50436,1,SF,1,100,81.7089
1760386032.481536,1898296.000,50486,1,SF,1,100,80.7637
1760386032.814548,1898629.000,50535,1,SF,1,100,79.8294
1760386033.214561,1899029.000,50602,1,SF,1,100,78.9060
1760386033.481570,1899296.000,50652,1,SF,1,100,80.0754
1760386033.814582,1899629.000,50706,1,SF,1,100,81.2314
1760386034.148593,1899963.000,50755,1,SF,1,100,80.2917
1760386034.481605,1900296.000,50811,1,SF,1,100,79.3629
1760386034.881618,1900696.000,50876,1,SF,1,100,78.4448
1760386035.147627,1900962.000,50928,1,SF,1,100,79.6196
1760386035.481639,1901296.000,50981,1,SF,1,100,80.7808
1760386035.814650,1901629.000,51029,1,SF,1,100,79.8463
1760386036.214664,1902029.000,51100,1,SF,1,100,81.0049
1760386036.481673,1902296.000,51153,1,SF,1,100,82.1501
1760386036.814684,1902629.000,51203,1,SF,1,100,81.1998
1760386037.214698,1903029.000,51270,1,SF,1,100,82.3427
1760386037.547709,1903362.000,51321,1,SF,1,100,81.3901
1760386037.814718,1903629.000,51371,1,SF,1,100,80.4486
1760386038.147730,1903962.000,51420,1,SF,1,100,79.5180
1760386038.547743,1904362.000,51487,1,SF,1,100,78.5981
1760386038.814753,1904629.000,51537,1,SF,1,100,79.7711
1760386039.147764,1904962.000,51590,1,SF,1,100,80.9306
1760386039.614780,1905429.000,51663,1,SF,1,100,82.0766
1760386039.814787,1905629.000,51695,1,SF,1,100,81.1272
1760386040.214800,1906029.000,51764,1,SF,1,100,82.2709
1760386040.480809,1906295.000,51814,1,SF,1,100,81.3192
1760386040.814821,1906629.000,51865,1,SF,1,100,80.3785
1760386041.147832,1906962.000,51913,1,SF,1,100,79.4487
1760386041.547846,1907362.000,51980,1,SF,1,100,78.5296
1760386041.813855,1907628.000,52035,1,SF,1,100,79.7034
1760386042.147866,1907962.000,52083,1,SF,1,100,78.7814
1760386042.547880,1908362.000,52150,1,SF,1,100,77.8701
1760386042.813889,1908628.000,52199,1,SF,1,100,76.9693
1760386043.147901,1908962.000,52251,1,SF,1,100,76.0789
1760386043.480912,1909295.000,52300,1,SF,1,100,75.1988
1760386043.880925,1909695.000,52365,1,SF,1,100,74.3289
1760386044.147935,1909962.000,52415,1,SF,1,100,73.4690
1760386044.480946,1910295.000,52464,1,SF,1,100,72.6192
1760386044.813957,1910628.000,52523,1,SF,1,100,73.8613
1760386045.213971,1911028.000,52588,1,SF,1,100,73.0069
1760386045.547982,1911362.000,52639,1,SF,1,100,72.1624
1760386045.813992,1911628.000,52689,1,SF,1,100,71.3276
1760386046.147003,1911961.000,52738,1,SF,1,100,70.5025
1760386046.547017,1912361.000,52807,1,SF,1,100,69.6869
1760386046.814026,1912628.000,52857,1,SF,1,100,68.8807
1760386047.147037,1912961.000,52906,1,SF,1,100,68.0839
1760386047.547051,1913361.000,52974,1,SF,1,100,69.3786
1760386047.881062,1913695.000,53027,1,SF,1,100,70.6583
1760386048.147071,1913961.000,53076,1,SF,1,100,69.8409
1760386048.480083,1914294.000,53126,1,SF,1,100,69.0330
1760386048.880096,1914694.000,53191,1,SF,1,100,68.2344
1760386049.147105,1914961.000,53242,1,SF,1,100,67.4450
1760386049.480117,1915294.000,53292,1,SF,1,100,66.6648
1760386049.814128,1915628.000,53348,1,SF,1,100,65.8936
1760386050.147140,1915961.000,53398,1,SF,1,100,65.1314
1760386050.547153,1916361.000,53463,1,SF,1,100,64.3779
1760386050.814162,1916628.000,53516,1,SF,1,100,65.7155
1760386051.147174,1916961.000,53564,1,SF,1,100,64.9553
1760386051.547187,1917361.000,53633,1,SF,1,100,64.2039
1760386051.880199,1917694.000,53684,1,SF,1,100,63.4612
1760386052.147208,1917961.000,53734,1,SF,1,100,64.8093
1760386052.480219,1918294.000,53787,1,SF,1,100,66.1418
1760386052.880233,1918694.000,53852,1,SF,1,100,65.3767
1760386053.147242,1918961.000,53904,1,SF,1,100,64.6204
1760386053.480253,1919294.000,53955,1,SF,1,100,65.9551
1760386053.813265,1919627.000,54005,1,SF,1,100,67.2744
1760386054.213278,1920027.000,54072,1,SF,1,100,66.4962
1760386054.480287,1920294.000,54123,1,SF,1,100,65.7269
1760386054.813299,1920627.000,54173,1,SF,1,100,64.9666
1760386055.146310,1920960.000,54229,1,SF,1,100,64.2151
1760386055.480322,1921294.000,54277,1,SF,1,100,63.4722
1760386055.880335,1921694.000,54346,1,SF,1,100,64.8202
1760386056.146344,1921960.000,54397,1,SF,1,100,64.0704
1760386056.480356,1922294.000,54447,1,SF,1,100,63.3292
1760386056.880369,1922694.000,54513,1,SF,1,100,62.5966
1760386057.213381,1923027.000,54565,1,SF,1,100,61.8725
1760386057.480390,1923294.000,54615,1,SF,1,100,63.2390
1760386057.813401,1923627.000,54666,1,SF,1,100,62.5074
1760386058.213415,1924027.000,54731,1,SF,1,100,61.7844
1760386058.479424,1924293.000,54783,1,SF,1,100,61.0696
1760386058.813435,1924627.000,54832,1,SF,1,100,60.3632
1760386059.146447,1924960.000,54880,1,SF,1,100,59.6649
1760386059.546460,1925360.000,54947,1,SF,1,100,58.9747
1760386059.813469,1925627.000,54998,1,SF,1,100,58.2924
1760386060.213483,1926027.000,55053,1,SF,1,100,57.6181
1760386060.479492,1926293.000,55104,1,SF,1,100,56.9516
1760386060.813504,1926627.000,55152,1,SF,1,100,56.2928
1760386061.213517,1927027.000,55221,1,SF,1,100,55.6416
1760386061.479526,1927293.000,55270,1,SF,1,100,54.9979
1760386061.812538,1927626.000,55322,1,SF,1,100,56.4439
1760386062.212551,1928026.000,55388,1,SF,1,100,55.7910
1760386062.546563,1928360.000,55440,1,SF,1,100,55.1456
1760386062.812572,1928626.000,55488,1,SF,1,100,54.5077
1760386063.146583,1928960.000,55537,1,SF,1,100,53.8771
1760386063.546597,1929360.000,55604,1,SF,1,100,53.2539
1760386063.812606,1929626.000,55654,1,SF,1,100,52.6378
1760386064.146617,1929960.000,55705,1,SF,1,100,52.0289
1760386064.545631,1930359.000,55770,1,SF,1,100,51.4270
1760386064.879642,1930693.000,55820,1,SF,1,100,50.8321
1760386065.212654,1931026.000,55874,1,SF,1,100,50.2441
1760386065.479663,1931293.000,55922,1,SF,1,100,49.6629
1760386065.812674,1931626.000,55974,1,SF,1,100,49.0884
1760386066.145686,1931959.000,56023,1,SF,1,100,48.5205
1760386066.545699,1932359.000,56092,1,SF,1,100,47.9592
1760386066.812708,1932626.000,56141,1,SF,1,100,47.4044
1760386067.145720,1932959.000,56191,1,SF,1,100,46.8560
1760386067.545733,1933359.000,56256,1,SF,1,100,46.3140
1760386067.812743,1933626.000,56307,1,SF,1,100,45.7782
1760386068.145754,1933959.000,56357,1,SF,1,100,45.2487
1760386068.478765,1934292.000,56406,1,SF,1,100,44.7252
1760386068.878779,1934692.000,56473,1,SF,1,100,44.2079
1760386069.145788,1934959.000,56523,1,SF,1,100,43.6965
1760386069.478800,1935292.000,56574,1,SF,1,100,43.1910
