LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760385942.687470,1808505.000,35556,1,SR,1,100,0.066667
1760385943.154486,1808972.000,35626,1,SR,1,100,0.066667
1760385944.087518,1809905.000,35794,1,SR,1,100,0.133333
1760385944.754541,1810572.000,35912,1,SR,1,100,0.200000
1760385945.354562,1811172.000,36046,1,SR,1,100,0.333333
1760385945.954582,1811772.000,36116,1,SR,1,100,0.200000
1760385946.287593,1812105.000,36169,1,SR,1,100,0.133333
1760385946.687607,1812505.000,36270,1,SR,1,100,0.333333
1760385947.287627,1813105.000,36312,1,SR,1,100,0.066667
1760385947.487634,1813305.000,36366,1,SR,1,100,0.133333
1760385947.754643,1813572.000,36400,1,SR,1,100,0.066667
1760385948.420666,1814238.000,36520,1,SR,1,100,0.133333
1760385948.687675,1814505.000,36570,1,SR,1,100,0.133333
1760385948.953684,1814771.000,36623,1,SR,1,100,0.200000
1760385949.687710,1815505.000,36757,1,SR,1,100,0.333333
1760385950.686743,1816504.000,36892,1,SR,1,100,0.133333
1760385951.486771,1817304.000,37028,1,SR,1,100,0.066667
1760385951.886785,1817704.000,37096,1,SR,1,100,0.066667
1760385952.286798,1818104.000,37172,1,SR,1,100,0.200000
1760385952.619810,1818437.000,37273,1,SR,1,100,0.466667
1760385953.353835,1819171.000,37324,1,SR,1,100,0.066667
1760385953.686846,1819504.000,37411,1,SR,1,100,0.200000
1760385954.153862,1819971.000,37461,1,SR,1,100,0.066667
1760385954.353869,1820171.000,37530,1,SR,1,100,0.266667
1760385955.286901,1821104.000,37664,1,SR,1,100,0.133333
1760385955.953923,1821771.000,37785,1,SR,1,100,0.200000
1760385956.286935,1822104.000,37836,1,SR,1,100,0.133333
1760385956.819953,1822637.000,37921,1,SR,1,100,0.133333
1760385957.486976,1823304.000,38094,1,SR,1,100,0.466667
1760385958.220001,1824037.000,38199,1,SR,1,100,0.333333
1760385959.020028,1824837.000,38302,1,SR,1,100,0.200000
1760385959.754053,1825571.000,38436,1,SR,1,100,0.266667
1760385960.620083,1826437.000,38553,1,SR,1,100,0.133333
1760385960.954094,1826771.000,38673,1,SR,1,100,0.466667
1760385961.687119,1827504.000,38741,1,SR,1,100,0.200000
1760385962.019130,1827836.000,38843,1,SR,1,100,0.400000
1760385962.553149,1828370.000,38882,1,SR,1,100,0.133333
1760385962.886160,1828703.000,38952,1,SR,1,100,0.266667
1760385963.286174,1829103.000,39001,1,SR,1,100,0.133333
