LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760385942.813475,1808631.000,35563,1,T1,1,100,30.531
1760385942.947479,1808765.000,35580,1,T1,1,100,30.478
1760385943.080484,1808898.000,35596,1,T1,1,100,30.526
1760385943.213488,1809031.000,35632,1,T1,1,100,30.653
1760385943.347493,1809165.000,35649,1,T1,1,100,30.566
1760385943.480498,1809298.000,35666,1,T1,1,100,30.529
1760385943.613502,1809431.000,35697,1,T1,1,100,30.654
1760385943.747507,1809565.000,35714,1,T1,1,100,30.673
1760385943.880511,1809698.000,35731,1,T1,1,100,30.504
1760385944.013516,1809831.000,35764,1,T1,1,100,30.608
1760385944.147520,1809965.000,35782,1,T1,1,100,30.618
1760385944.280525,1810098.000,35800,1,T1,1,100,30.622
1760385944.413529,1810231.000,35817,1,T1,1,100,30.553
1760385944.547534,1810365.000,35849,1,T1,1,100,30.629
1760385944.680538,1810498.000,35865,1,T1,1,100,30.662
1760385944.813543,1810631.000,35885,1,T1,1,100,30.641
1760385944.947548,1810765.000,35918,1,T1,1,100,30.667
1760385945.080552,1810898.000,35934,1,T1,1,100,30.537
1760385945.213557,1811031.000,35952,1,T1,1,100,30.587
1760385945.347561,1811165.000,35983,1,T1,1,100,30.609
1760385945.480566,1811298.000,36000,1,T1,1,100,30.582
1760385945.613570,1811431.000,36019,1,T1,1,100,30.642
1760385945.747575,1811565.000,36053,1,T1,1,100,30.703
1760385945.880579,1811698.000,36069,1,T1,1,100,30.588
1760385946.013584,1811831.000,36086,1,T1,1,100,30.609
1760385946.147588,1811965.000,36122,1,T1,1,100,30.724
1760385946.280593,1812098.000,36140,1,T1,1,100,30.597
1760385946.413598,1812231.000,36157,1,T1,1,100,30.577
1760385946.547602,1812365.000,36191,1,T1,1,100,30.604
1760385946.680607,1812498.000,36207,1,T1,1,100,30.616
1760385946.813611,1812631.000,36225,1,T1,1,100,30.657
1760385946.946616,1812764.000,36241,1,T1,1,100,30.710
1760385947.080621,1812898.000,36277,1,T1,1,100,30.697
1760385947.213625,1813031.000,36294,1,T1,1,100,30.656
1760385947.346630,1813164.000,36318,1,T1,1,100,30.674
1760385947.480634,1813298.000,36335,1,T1,1,100,30.540
1760385947.613639,1813431.000,36354,1,T1,1,100,30.588
1760385947.746643,1813564.000,36372,1,T1,1,100,30.715
1760385947.880648,1813698.000,36406,1,T1,1,100,30.629
1760385948.013652,1813831.000,36423,1,T1,1,100,30.591
1760385948.146657,1813964.000,36440,1,T1,1,100,30.646
1760385948.280661,1814098.000,36471,1,T1,1,100,30.599
1760385948.413666,1814231.000,36488,1,T1,1,100,30.472
1760385948.546670,1814364.000,36507,1,T1,1,100,30.559
1760385948.680675,1814498.000,36540,1,T1,1,100,30.596
1760385948.813680,1814631.000,36558,1,T1,1,100,30.577
1760385948.946684,1814764.000,36576,1,T1,1,100,30.604
1760385949.080689,1814898.000,36608,1,T1,1,100,30.722
1760385949.213693,1815031.000,36629,1,T1,1,100,30.667
1760385949.346698,1815164.000,36645,1,T1,1,100,30.785
1760385949.480702,1815298.000,36677,1,T1,1,100,30.694
1760385949.613707,1815431.000,36694,1,T1,1,100,30.549
1760385949.746711,1815564.000,36710,1,T1,1,100,30.556
1760385949.879716,1815697.000,36728,1,T1,1,100,30.631
1760385950.013721,1815831.000,36763,1,T1,1,100,30.592
1760385950.146725,1815964.000,36780,1,T1,1,100,30.682
1760385950.279730,1816097.000,36797,1,T1,1,100,30.685
1760385950.413734,1816231.000,36829,1,T1,1,100,30.580
1760385950.546739,1816364.000,36845,1,T1,1,100,30.641
1760385950.679743,1816497.000,36862,1,T1,1,100,30.632
1760385950.813748,1816631.000,36898,1,T1,1,100,30.628
1760385950.946753,1816764.000,36914,1,T1,1,100,30.591
1760385951.079757,1816897.000,36931,1,T1,1,100,30.717
1760385951.213762,1817031.000,36965,1,T1,1,100,30.665
1760385951.346766,1817164.000,36981,1,T1,1,100,30.607
1760385951.479771,1817297.000,36999,1,T1,1,100,30.617
1760385951.613775,1817431.000,37034,1,T1,1,100,30.551
1760385951.746780,1817564.000,37050,1,T1,1,100,30.664
1760385951.879784,1817697.000,37068,1,T1,1,100,30.642
1760385952.013789,1817831.000,37084,1,T1,1,100,30.597
1760385952.146793,1817964.000,37118,1,T1,1,100,30.684
1760385952.279798,1818097.000,37137,1,T1,1,100,30.792
1760385952.413803,1818231.000,37153,1,T1,1,100,30.697
1760385952.546807,1818364.000,37178,1,T1,1,100,30.656
1760385952.679812,1818497.000,37209,1,T1,1,100,30.745
1760385952.812816,1818630.000,37226,1,T1,1,100,30.606
1760385952.946821,1818764.000,37243,1,T1,1,100,30.688
1760385953.079825,1818897.000,37261,1,T1,1,100,30.723
1760385953.212830,1819030.000,37295,1,T1,1,100,30.632
1760385953.346834,1819164.000,37312,1,T1,1,100,30.734
1760385953.479839,1819297.000,37331,1,T1,1,100,30.672
1760385953.612844,1819430.000,37362,1,T1,1,100,30.645
1760385953.746848,1819564.000,37379,1,T1,1,100,30.669
1760385953.879853,1819697.000,37398,1,T1,1,100,30.680
1760385954.012857,1819830.000,37431,1,T1,1,100,30.613
1760385954.146862,1819964.000,37449,1,T1,1,100,30.549
1760385954.279866,1820097.000,37467,1,T1,1,100,30.663
1760385954.412871,1820230.000,37499,1,T1,1,100,30.571
1760385954.546875,1820364.000,37516,1,T1,1,100,30.637
1760385954.679880,1820497.000,37536,1,T1,1,100,30.701
1760385954.812885,1820630.000,37568,1,T1,1,100,30.658
1760385954.946889,1820764.000,37585,1,T1,1,100,30.675
1760385955.079894,1820897.000,37601,1,T1,1,100,30.647
1760385955.212898,1821030.000,37619,1,T1,1,100,30.670
1760385955.346903,1821164.000,37650,1,T1,1,100,30.680
1760385955.479907,1821297.000,37671,1,T1,1,100,30.649
1760385955.612912,1821430.000,37688,1,T1,1,100,30.671
1760385955.746916,1821564.000,37720,1,T1,1,100,30.787
1760385955.879921,1821697.000,37736,1,T1,1,100,30.695
1760385956.012925,1821830.000,37753,1,T1,1,100,30.726
1760385956.145930,1821963.000,37791,1,T1,1,100,30.704
1760385956.279935,1822097.000,37807,1,T1,1,100,30.730
1760385956.412939,1822230.000,37824,1,T1,1,100,30.671
1760385956.545944,1822363.000,37858,1,T1,1,100,30.716
1760385956.679948,1822497.000,37874,1,T1,1,100,30.700
1760385956.812953,1822630.000,37892,1,T1,1,100,30.657
1760385956.946957,1822764.000,37927,1,T1,1,100,30.745
1760385957.079962,1822897.000,37943,1,T1,1,100,30.748
1760385957.212966,1823030.000,37961,1,T1,1,100,30.607
1760385957.345971,1823163.000,37977,1,T1,1,100,30.617
1760385957.479975,1823297.000,38009,1,T1,1,100,30.693
1760385957.612980,1823430.000,38033,1,T1,1,100,30.654
1760385957.745985,1823563.000,38049,1,T1,1,100,30.744
