LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760385947.335629,1813153,36305,1,TL,1,100,2025-10-13_16-05-42-752731
1760385947.438633,1813256,36308,1,TL,1,100,2025-10-13_16-05-47-361621
1760385952.469805,1818287,37164,1,TL,1,100,2025-10-13_16-05-47-481036
1760385952.529807,1818347,37167,1,TL,1,100,2025-10-13_16-05-52-485987
1760385957.589979,1823407,38020,1,TL,1,100,2025-10-13_16-05-52-642010
1760385957.608980,1823426,38023,1,TL,1,100,2025-10-13_16-05-57-603522
1760385962.709154,1828526,38875,1,TL,1,100,2025-10-13_16-05-57-742566
1760385962.748155,1828565,38878,1,TL,1,100,2025-10-13_16-06-02-725474
1760385967.826329,1833643,39732,1,TL,1,100,2025-10-13_16-06-02-859707
1760385967.837329,1833654,39735,1,TL,1,100,2025-10-13_16-06-07-832329
1760385972.943503,1838760,40584,1,TL,1,100,2025-10-13_16-06-07-962041
1760385978.062678,1843879,41435,1,TL,1,100,2025-10-13_16-06-12-993521
1760385978.065678,1843882,41437,1,TL,1,100,2025-10-13_16-06-13-085213
1760385978.107680,1843924,41440,1,TL,1,100,2025-10-13_16-06-18-088899
1760385983.174853,1848991,42290,1,TL,1,100,2025-10-13_16-06-18-198756
1760385983.220854,1849037,42293,1,TL,1,100,2025-10-13_16-06-23-209619
1760385988.282027,1854098,43140,1,TL,1,100,2025-10-13_16-06-23-331297
1760385993.411202,1859227,43995,1,TL,1,100,2025-10-13_16-06-28-304597
1760385993.414202,1859230,43997,1,TL,1,100,2025-10-13_16-06-28-422570
1760385993.519206,1859335,44000,1,TL,1,100,2025-10-13_16-06-33-430700
1760385998.534377,1864350,44849,1,TL,1,100,2025-10-13_16-06-33-551633
1760385998.640381,1864456,44852,1,TL,1,100,2025-10-13_16-06-38-556970
1760386003.664552,1869480,45700,1,TL,1,100,2025-10-13_16-06-38-670599
1760386003.687553,1869503,45703,1,TL,1,100,2025-10-13_16-06-43-673020
1760386008.774727,1874590,46553,1,TL,1,100,2025-10-13_16-06-43-806108
1760386008.831729,1874647,46556,1,TL,1,100,2025-10-13_16-06-48-805195
1760386013.902902,1879718,47403,1,TL,1,100,2025-10-13_16-06-48-925126
1760386014.004905,1879820,47406,1,TL,1,100,2025-10-13_16-06-53-911712
1760386019.022077,1884837,48259,1,TL,1,100,2025-10-13_16-06-54-042671
1760386019.049078,1884864,48262,1,TL,1,100,2025-10-13_16-06-59-029888
1760386024.134251,1889949,49106,1,TL,1,100,2025-10-13_16-06-59-216556
1760386024.153252,1889968,49109,1,TL,1,100,2025-10-13_16-07-04-145701
1760386029.265426,1895080,49960,1,TL,1,100,2025-10-13_16-07-04-300696
1760386029.288427,1895103,49963,1,TL,1,100,2025-10-13_16-07-09-277984
1760386034.385601,1900200,50803,1,TL,1,100,2025-10-13_16-07-09-412061
1760386034.436603,1900251,50806,1,TL,1,100,2025-10-13_16-07-14-399775
1760386039.514776,1905329,51657,1,TL,1,100,2025-10-13_16-07-14-520803
1760386039.530777,1905345,51660,1,TL,1,100,2025-10-13_16-07-19-523777
1760386044.633951,1910448,52497,1,TL,1,100,2025-10-13_16-07-19-668005
1760386044.723954,1910538,52500,1,TL,1,100,2025-10-13_16-07-24-639691
1760386049.742126,1915556,53340,1,TL,1,100,2025-10-13_16-07-24-770782
1760386049.831129,1915645,53343,1,TL,1,100,2025-10-13_16-07-29-814478
1760386054.864300,1920678,54190,1,TL,1,100,2025-10-13_16-07-29-897007
1760386054.887301,1920701,54193,1,TL,1,100,2025-10-13_16-07-34-880499
1760386059.997476,1925811,55029,1,TL,1,100,2025-10-13_16-07-35-016506
1760386060.050478,1925864,55032,1,TL,1,100,2025-10-13_16-07-40-022906
1760386065.127651,1930941,55870,1,TL,1,100,2025-10-13_16-07-40-138230
