RD,TS_received,TS_sent,AK,RoundTrip,
1813154,1813256,2025-10-13_16-05-47-361621,1813257,102,
1818288,1818347,2025-10-13_16-05-52-485987,1818348,59,
1823412,1823426,2025-10-13_16-05-57-603522,1823427,14,
1828532,1828565,2025-10-13_16-06-02-725474,1828566,33,
1833644,1833654,2025-10-13_16-06-07-832329,1833671,10,
1838763,1843879,2025-10-13_16-06-12-993521,1843880,5116,
1843884,1843924,2025-10-13_16-06-18-088899,1843925,40,
1848993,1849037,2025-10-13_16-06-23-209619,1849038,44,
1854103,1859227,2025-10-13_16-06-28-304597,1859228,5124,
1859231,1859335,2025-10-13_16-06-33-430700,1859336,104,
1864356,1864456,2025-10-13_16-06-38-556970,1864457,100,
1869482,1869503,2025-10-13_16-06-43-673020,1869505,21,
1874595,1874647,2025-10-13_16-06-48-805195,1874649,52,
1879719,1879820,2025-10-13_16-06-53-911712,1879822,101,
1884839,1884864,2025-10-13_16-06-59-029888,1884866,25,
1889953,1889968,2025-10-13_16-07-04-145701,1889974,15,
1895086,1895103,2025-10-13_16-07-09-277984,1895104,17,
1900205,1900251,2025-10-13_16-07-14-399775,1900252,46,
1905331,1905345,2025-10-13_16-07-19-523777,1905347,14,
1910450,1910538,2025-10-13_16-07-24-639691,1910539,88,
1915558,1915645,2025-10-13_16-07-29-814478,1915646,87,
1920683,1920701,2025-10-13_16-07-34-880499,1920703,18,
1925816,1925864,2025-10-13_16-07-40-022906,1925868,48,
